qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
283.0,292.0,Main Part,,,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Main),,,,,,,,,,,,,,,,,
292.0,310.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,
310.0,327.0,Main Part,,U(Oboe 2)&P4(Bassoon 1)&P6(Bassoon 2)&P8(F Horn 3),U(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2)&P8(F Horn 3),,,P4(Oboe 1)&P4(Oboe 2)&P3(Bassoon 2)&P4(F Horn 3),P6(Oboe 1)&P6(Oboe 2)&P3(Bassoon 1)&P6(F Horn 3),,,,P8(Oboe 1)&P8(Oboe 2)&P4(Bassoon 1)&P6(Bassoon 2),,,,,,,,,,,,
327.0,338.0,Main Part,,,,,,,P8(Violoncello),,,,,,,,,,,,,,,P8(Bassoon 2),
338.0,341.0,,,,,Main Part,,,P8(Violoncello),,,,,,,,,,,,,,,P8(Bassoon 2),
341.0,344.0,,,P4(Bassoon 1)&P5(Contrabass),,Main Part,,P4(Oboe 1)&P2(Contrabass),P8(Violoncello),,,,,,,,,,,,,,,P8(Bassoon 2),P5(Oboe 1)&P2(Bassoon 1)
344.0,368.0,,,Main Part,,,,,,,P2(C Horn 2),P2(C Horn 1),,,,,,,,,,,,,
368.0,387.0,P8(Bb Clarinet 1),,Main Part,P8(C Horn 2),P8(Flute 1),,,,,,P8(Oboe 2),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
387.0,398.0,Main Part,,P6(Oboe 2),P6(Oboe 1),,,,,,,,U(F Horn 4),U(F Horn 3),,,,,,,,,,P8(Contrabass),P8(Violoncello)
398.0,401.0,Main Part,P8(Bassoon 2)&P8(Violin 2),,,P8(F Horn 3)&P8(F Horn 4),,P8(Main)&P8(Violin 1)&P3(Viola),P8(Flute 2)&P8(Violin 2),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Main)&P8(Bassoon 1)&P3(Viola),P8(Flute 2)&P8(Bassoon 2),P3(Main)&P3(Bassoon 1)&P3(Violin 1),,
401.0,404.0,P8(Bassoon 1)&P8(Violin 1),P8(Bassoon 2)&P8(Violin 2)&P3(Contrabass),Main Part,,P8(F Horn 3)&P8(F Horn 4),,P8(Flute 1)&P8(Violin 1),P8(Flute 2)&P8(Violin 2)&P3(Contrabass),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2)&P3(Contrabass),,,P3(Flute 2)&P3(Bassoon 2)&P3(Violin 2)
404.0,407.0,P8(Bassoon 1)&P8(Violin 1)&P3(Viola),P8(Bassoon 2)&P8(Violin 2),Main Part,,P8(F Horn 3)&P8(F Horn 4),,P8(Flute 1)&P8(Violin 1)&P3(Viola),P8(Flute 2)&P8(Violin 2),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Flute 1)&P8(Bassoon 1)&P3(Viola),P8(Flute 2)&P8(Bassoon 2),P3(Flute 1)&P3(Bassoon 1)&P3(Violin 1),,
407.0,410.0,P8(Bassoon 1)&P8(Violin 1),P8(Bassoon 2)&P8(Violin 2)&P3(Contrabass),,,Main Part,,P8(Flute 1)&P8(Violin 1),P8(Flute 2)&P8(Violin 2)&P3(Contrabass),,,,P8(Main)&U(F Horn 4),P8(Main)&U(F Horn 3),,,,,,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2)&P3(Contrabass),P8(Violoncello),P8(Viola),P3(Flute 2)&P3(Bassoon 2)&P3(Violin 2)
410.0,413.0,P8(Bassoon 1)&P8(Violin 1),P8(Bassoon 2)&P8(Violin 2),,,Main Part,,P8(Flute 1)&P8(Violin 1),P8(Flute 2)&P8(Violin 2),,,,P8(Main)&U(F Horn 4),P8(Main)&U(F Horn 3),,,,,,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Violoncello),P8(Viola),
413.0,471.0,,,,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,Main Part,,,,
471.0,483.0,P4(Bb Clarinet 1),P8(Bb Clarinet 2)&P8(F Trumpet 1),P8(F Horn 3),,P4(Flute 1),P8(Flute 2)&P8(F Trumpet 1),,P4(C Horn 2),P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani)&P8(Main)&P8(Violin 2)&P3(Viola)&P4(Violoncello)&U(Contrabass),,P4(Bassoon 2),P8(Oboe 1),,P8(Flute 2)&P8(Bb Clarinet 2),,P4(Contrabassoon)&P6(Trombone 2)&P4(Trombone 3)&P4(Timpani)&P4(Main)&P4(Violin 2)&P6(Viola)&P8(Violoncello)&P4(Contrabass),P3(Contrabassoon)&P6(Trombone 1)&P3(Trombone 3)&P3(Timpani)&P3(Main)&P3(Violin 2)&U(Viola)&P6(Violoncello)&P3(Contrabass),P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&U(Timpani)&P8(Main)&P8(Violin 2)&P3(Viola)&P4(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&U(Trombone 3)&P8(Main)&P8(Violin 2)&P3(Viola)&P4(Violoncello)&P8(Contrabass),Main Part,P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani)&P8(Main)&P3(Viola)&P4(Violoncello)&P8(Contrabass),P3(Contrabassoon)&P6(Trombone 1)&U(Trombone 2)&P3(Trombone 3)&P3(Timpani)&P3(Main)&P3(Violin 2)&P6(Violoncello)&P3(Contrabass),P4(Contrabassoon)&P8(Trombone 1)&P6(Trombone 2)&P4(Trombone 3)&P4(Timpani)&P4(Main)&P4(Violin 2)&P6(Viola)&P4(Contrabass),U(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani)&P8(Main)&P8(Violin 2)&P3(Viola)&P4(Violoncello)
483.0,507.0,P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P3(F Horn 3)&P8(F Horn 4)&P3(F Trumpet 1)&P4(F Trumpet 2),P3(Flute 1)&U(Oboe 1)&P6(Oboe 2)&P8(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P6(F Trumpet 2),P3(Flute 1)&U(Flute 2)&P6(Oboe 2)&P8(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P6(F Trumpet 2),P4(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P6(F Horn 3)&P4(F Horn 4)&P6(F Trumpet 1)&U(F Trumpet 2),P8(Main)&P8(C Horn 2),,Main Part,P8(C Horn 1),U(Contrabass),P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Main),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P3(F Horn 4)&P8(F Trumpet 1)&P6(F Trumpet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P3(F Horn 3)&P3(F Trumpet 1)&P4(F Trumpet 2),P3(Flute 1)&U(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P8(F Horn 3)&P3(F Horn 4)&P6(F Trumpet 2),P4(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(F Horn 3)&P4(F Horn 4)&P6(F Trumpet 1),,,,,,,,,U(Contrabassoon)
507.0,531.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),,,Main Part,,U(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,,,,,,P8(Violin 2),P8(Violin 1),,,U(Contrabassoon)
531.0,558.0,Main Part,,,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,,,
558.0,606.0,Main Part,,,,,,,,P8(Trombone 3),,,,,,,,,P8(Contrabassoon),,,,,,
606.0,651.0,,,,,Main Part,,,,,U(C Horn 2),U(C Horn 1),,,,,,,,,,,,,
651.0,682.0,,,,,Main Part,,,,,U(C Horn 2)&P4(F Horn 3)&P4(F Horn 4),U(C Horn 1)&P4(F Horn 3)&P4(F Horn 4),P4(C Horn 1)&P4(C Horn 2)&U(F Horn 4),P4(C Horn 1)&P4(C Horn 2)&U(F Horn 3),,,,,,,,,,,
682.0,718.0,U(Flute 2),U(Flute 1),Main Part,,,,U(Bassoon 2),U(Bassoon 1),,,,P8(Main)&P4(F Horn 4)&U(Violin 2),P4(Main)&P4(F Horn 3)&P4(Violin 2),,,,,,,,P8(Main)&U(F Horn 3)&P4(F Horn 4),,,
718.0,735.0,U(Flute 2),U(Flute 1),Main Part,,,,U(Bassoon 2),U(Bassoon 1),,,,P4(F Horn 4)&U(Violin 2),P4(F Horn 3)&P4(Violin 2),,,,,,,,U(F Horn 3)&P4(F Horn 4),P8(Main),,
735.0,754.0,Main Part,,,,,,,,,,,P4(F Horn 4),P4(F Horn 3),,,,,,,,,,,
754.0,763.0,Main Part,,,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Main),,,,,,,,,,,,,,,,,
763.0,781.0,,,,,,,,,,,,,,,,,,,,Main Part,,,,
781.0,798.0,,,U(Oboe 2)&P4(Bassoon 1)&P6(Bassoon 2)&P8(F Horn 3),U(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2)&P8(F Horn 3),,,P4(Oboe 1)&P4(Oboe 2)&P3(Bassoon 2)&P4(F Horn 3),P6(Oboe 1)&P6(Oboe 2)&P3(Bassoon 1)&P6(F Horn 3),,,,P8(Oboe 1)&P8(Oboe 2)&P4(Bassoon 1)&P6(Bassoon 2),,,,,,,,Main Part,,,,
798.0,809.0,,Main Part,,,,,,P8(Violoncello),,,,,,,,,,,,,,,P8(Bassoon 2),
809.0,812.0,,Main Part,,,,,,P8(Violoncello),,,,,,,,,,,,,,,P8(Bassoon 2),
812.0,815.0,Main Part,,P4(Bassoon 1)&P5(Contrabass),,,,P4(Oboe 1)&P2(Contrabass),P8(Violoncello),,,,,,,,,,,,,,,P8(Bassoon 2),P5(Oboe 1)&P2(Bassoon 1)
815.0,839.0,Main Part,,,,,,,,,P2(C Horn 2),P2(C Horn 1),,,,,,,,,,,,,
839.0,858.0,P8(Bb Clarinet 1),Main Part,,P8(C Horn 2),P8(Flute 1),,,,,,P8(Oboe 2),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
858.0,869.0,,Main Part,P6(Oboe 2),P6(Oboe 1),,,,,,,,U(F Horn 4),U(F Horn 3),,,,,,,,,,P8(Contrabass),P8(Violoncello)
869.0,872.0,Main Part,P8(Bassoon 2)&P8(Violin 2),,,P8(F Horn 3)&P8(F Horn 4),,P8(Main)&P8(Violin 1)&P3(Viola),P8(Flute 2)&P8(Violin 2),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Main)&P8(Bassoon 1)&P3(Viola),P8(Flute 2)&P8(Bassoon 2),P3(Main)&P3(Bassoon 1)&P3(Violin 1),,
872.0,875.0,Main Part,P8(Bassoon 2)&P8(Violin 2)&P3(Contrabass),,,P8(F Horn 3)&P8(F Horn 4),,P8(Main)&P8(Violin 1),P8(Flute 2)&P8(Violin 2)&P3(Contrabass),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2)&P3(Contrabass),,,P3(Flute 2)&P3(Bassoon 2)&P3(Violin 2)
875.0,878.0,P8(Bassoon 1)&P8(Violin 1)&P3(Viola),Main Part,,,P8(F Horn 3)&P8(F Horn 4),,P8(Flute 1)&P8(Violin 1)&P3(Viola),P8(Main)&P8(Violin 2),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Flute 1)&P8(Bassoon 1)&P3(Viola),P8(Main)&P8(Bassoon 2),P3(Flute 1)&P3(Bassoon 1)&P3(Violin 1),,
878.0,881.0,P8(Bassoon 1)&P8(Violin 1),Main Part,,,P8(F Horn 3)&P8(F Horn 4),,P8(Flute 1)&P8(Violin 1),P8(Main)&P8(Violin 2)&P3(Contrabass),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Flute 1)&P8(Bassoon 1),P8(Main)&P8(Bassoon 2)&P3(Contrabass),P8(Violoncello),P8(Viola),P3(Main)&P3(Bassoon 2)&P3(Violin 2)
881.0,884.0,Main Part,P8(Bassoon 2)&P8(Violin 2),,,P8(F Horn 3)&P8(F Horn 4),,P8(Main)&P8(Violin 1),P8(Flute 2)&P8(Violin 2),,,,P8(Bb Clarinet 1)&U(F Horn 4),P8(Bb Clarinet 1)&U(F Horn 3),,,,,,,P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Violoncello),P8(Viola),
884.0,930.0,Main Part,,,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,,,
930.0,966.0,,,,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,,,,,,,,,,Main Part,P8(Main),,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
966.0,1002.0,P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(C Horn 1)&P3(C Horn 2)&P3(F Horn 3)&P3(F Horn 4),P3(Flute 1)&U(Oboe 1)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(C Horn 1)&P8(C Horn 2)&P5(F Horn 3)&P5(F Horn 4),P3(Flute 1)&U(Flute 2)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(C Horn 1)&P8(C Horn 2)&P5(F Horn 3)&P5(F Horn 4),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&U(C Horn 1)&P3(C Horn 2)&P3(F Horn 3)&P3(F Horn 4),P3(Flute 1)&U(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(C Horn 1)&P8(C Horn 2)&P5(F Horn 3)&P5(F Horn 4),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&U(C Horn 1)&P3(C Horn 2)&P3(F Horn 3)&P3(F Horn 4),Main Part,P8(Main),,P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(C Horn 2)&P3(F Horn 3)&P3(F Horn 4),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(C Horn 1)&P5(F Horn 3)&P5(F Horn 4),P3(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(C Horn 1)&P5(C Horn 2)&P8(F Horn 4),P3(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(C Horn 1)&P5(C Horn 2)&P8(F Horn 3),,,,,,,,,P8(Violoncello),P8(Viola),
1002.0,1057.0,,,,,,,,,,,,,,,,,,,,Main Part,,,,
1057.0,1069.0,P3(Flute 2),P3(Flute 1),Main Part,P8(Bassoon 2),,,P8(Main),P8(Oboe 2),,,,,,,,,,,,,,,,
1069.0,1075.0,Main Part,P8(Bb Clarinet 2),,,,P8(Flute 2),,,,,,,,,,,,,,,,,,
1075.0,1081.0,,,Main Part,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,,,,,,,,,
1081.0,1090.0,Main Part,,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1090.0,1093.0,,,,,Main Part,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1093.0,1110.0,,,,,,,Main Part,,P3(C Horn 1),P3(Contrabassoon),,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1110.0,1134.0,,,U(Oboe 2),U(Oboe 1),U(Bb Clarinet 2),U(Bb Clarinet 1),,,,Main Part,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1134.0,1158.0,,,Main Part,U(Main),,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1158.0,1176.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,Main Part,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1176.0,1182.0,,,U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Contrabassoon),,U(Oboe 1)&P8(Bb Clarinet 2)&P8(Contrabassoon),P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Contrabassoon),Main Part,P8(Main)&U(Violoncello)&P8(Contrabass),P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),U(C Horn 2)&P5(Violin 1)&P3(Violin 2)&P3(Viola),U(C Horn 1)&P5(Violin 1)&P3(Violin 2)&P3(Viola),,,,,,,,,P5(C Horn 1)&P5(C Horn 2)&P3(Violin 2)&P3(Viola),P3(C Horn 1)&P3(C Horn 2)&P3(Violin 1)&U(Viola),P3(C Horn 1)&P3(C Horn 2)&P3(Violin 1)&U(Violin 2),P8(Main)&U(Bassoon 2)&P8(Contrabass),P8(Main)&P8(Bassoon 2)&P8(Violoncello)
1182.0,1188.0,U(Flute 2)&U(Violin 1)&P8(Violin 2)&P8(Viola),U(Flute 1)&U(Violin 1)&P8(Violin 2)&P8(Viola),Main Part,,U(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Violoncello)&U(Contrabass),P8(Main)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),,,,,,,,,,,U(Flute 1)&U(Flute 2)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Violin 1)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Violin 1)&P8(Violin 2),P8(Main)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Main)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)
1188.0,1206.0,Main Part,P8(Main),,,P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),,,,P8(F Horn 4),P8(F Horn 3),,,,,,,P8(Violoncello)&P8(Contrabass),,,P8(Violin 1)&P8(Contrabass),P8(Violin 1)&P8(Violoncello)
1206.0,1212.0,U(Flute 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,,U(Flute 1)&U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bassoon 1),Main Part,,,P8(F Horn 4),P8(F Horn 3),,,,,,,,,,P8(Main)&P8(Contrabass),U(Main)&P8(Violoncello)
1212.0,1224.0,Main Part,U(Main)&P8(Bassoon 2),U(Oboe 2)&U(F Trumpet 1)&P8(F Trumpet 2),U(Oboe 1)&U(F Trumpet 1)&P8(F Trumpet 2),P8(Bassoon 1),,P8(Bb Clarinet 1),P8(Main)&P8(Flute 2),P8(Violoncello)&U(Contrabass),,,,,U(Oboe 1)&U(Oboe 2)&P8(F Trumpet 2),P8(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1),P6(Trombone 2)&P3(Trombone 3),P6(Trombone 1)&P4(Trombone 3),P3(Trombone 1)&P4(Trombone 2),P8(Viola),,,P8(Timpani),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1224.0,1236.0,Main Part,,U(Main),P4(Bb Clarinet 1),P4(Oboe 2),U(F Horn 3),,,,P4(C Horn 2)&U(Trombone 1)&P4(Trombone 2),P4(C Horn 1)&P4(Trombone 1)&U(Trombone 2),U(Bb Clarinet 2),,,,U(C Horn 1)&P4(C Horn 2)&P4(Trombone 2),P4(C Horn 1)&U(C Horn 2)&P4(Trombone 1),,,,,,,
