qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
295.0,116.4474,121,1.0,B5,G5,G5,B4,B4,G4,D4,G3,G4,G3,G4,G4,G4,r,B4,G4,D4,G3,G1
296.0,116.8421,121,2.0,G6,B5,B5,G5,G5,B4,G3,G2,G4,G3,G4,G4,G4,r,G5,B4,G4,G2,G1
297.0,117.2368,122,1.0,G6,B5,G5,B4,B4,G4,G3,G2,G4,G3,G4,G4,G4,r,G5,B4,G4,G2,G1
299.0,118.0263,123,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
299.5,118.2237,123,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,C4,r
300.0,118.4211,123,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,C4,r
300.5,118.6184,123,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,C4,r
301.0,118.8158,124,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,C4,r
302.0,119.2105,124,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,B3,r
303.0,119.6053,125,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
303.5,119.8026,125,1.5,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
304.0,120.0,125,2.0,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
304.5,120.1974,125,2.5,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,G4,r,r,r,r
305.0,120.3947,126,1.0,r,r,r,r,F5,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
306.0,120.7895,126,2.0,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,C5,r,r,r,r
306.5,120.9868,126,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,r,r,r,r
307.0,121.1842,127,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r
307.5,121.3816,127,1.5,r,r,r,r,r,r,F4,r,r,r,r,r,r,r,C5,r,r,r,r
308.0,121.5789,127,2.0,r,r,r,r,r,r,F4,r,r,r,r,r,r,r,B4,r,r,r,r
308.5,121.7763,127,2.5,r,r,r,r,r,r,F4,r,r,r,r,r,r,r,D5,r,r,r,r
309.0,121.9737,128,1.0,r,r,r,r,r,r,F4,r,r,r,r,r,r,r,C5,r,r,r,r
310.0,122.3684,128,2.0,r,r,r,r,r,r,E-4,r,r,r,r,r,r,r,C5,r,r,r,r
310.5,122.5658,128,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r,r
311.0,122.7632,129,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G4,r,r,r
311.5,122.9605,129,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,G4,r,r,r
312.0,123.1579,129,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,r,r,r
312.5,123.3553,129,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G4,r,r,r
313.0,123.5526,130,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,r,r,r
313.5,123.75,130,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,r,r,r
313.75,123.8487,130,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,C5,r,r,r
314.0,123.9474,130,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,r,r,r
314.25,124.0461,130,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,r,r,r
314.5,124.1447,130,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,C5,r,r,r
314.75,124.2434,130,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,C5,r,r,r
315.0,124.3421,131,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,C4,r,r,r
315.5,124.5395,131,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,C4,r,r,r
316.0,124.7368,131,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,C4,r,r,r
316.5,124.9342,131,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,C4,r,r,r
317.0,125.1316,132,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F4,r,r,r
317.5,125.3289,132,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,F4,r,r,r
318.0,125.5263,132,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,r,r,r
318.5,125.7237,132,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,r,r,r
319.0,125.9211,133,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,r,r
319.5,126.1184,133,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F4,r,r,r
320.0,126.3158,133,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,r,r,r
320.5,126.5132,133,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,G4,r,r,r
321.0,126.7105,134,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F4,r,r,r
321.5,126.9079,134,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,F4,r,r,r
322.0,127.1053,134,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,r,r,r
322.5,127.3026,134,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r
323.0,127.5,135,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,r,r,r
323.5,127.6974,135,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,r,r,r
324.0,127.8947,135,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,r,r,r
324.5,128.0921,135,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,B-4,r,r,r
325.0,128.2895,136,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,r,r,r
325.5,128.4868,136,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,G4,r,r,r
326.0,128.6842,136,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F4,r,r,r
326.5,128.8816,136,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,r,r,r
327.0,129.0789,137,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,G4,C4,r,r
327.5,129.2763,137,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,F4,C4,r,r
327.75,129.375,137,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F4,C4,r,r
328.0,129.4737,137,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,C4,r,r
328.5,129.6711,137,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C5,C4,r,r
329.0,129.8684,138,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,C5,G4,r,r
329.5,130.0658,138,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B4,G4,r,r
329.75,130.1645,138,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,A4,G4,r,r
330.0,130.2632,138,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B4,G4,r,r
330.25,130.3618,138,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C5,G4,r,r
330.5,130.4605,138,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D5,G4,r,r
330.75,130.5592,138,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-5,G4,r,r
331.0,130.6579,139,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,F5,G3,r,r
331.5,130.8553,139,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F5,G3,r,r
332.0,131.0526,139,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,F5,G3,r,r
332.5,131.25,139,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,F5,G3,r,r
333.0,131.4474,140,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E-5,C4,r,r
333.5,131.6447,140,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G5,C4,r,r
334.0,131.8421,140,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,C5,C4,r,r
334.5,132.0395,140,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,r,E-4,r,r
335.0,132.2368,141,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,r,D4,r,r
335.5,132.4342,141,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,C4,r,r
336.0,132.6316,141,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B3,r,r
336.5,132.8289,141,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F5,D4,r,r
337.0,133.0263,142,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E-5,C4,r,r
337.5,133.2237,142,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G5,C4,r,r
338.0,133.4211,142,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,C5,C4,r,r
338.5,133.6184,142,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E-5,G4,r,r
339.0,133.8158,143,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,D5,F4,G3,G2
339.5,134.0132,143,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,E-4,G3,G2
340.0,134.2105,143,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,B4,D4,G3,G2
340.5,134.4079,143,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,F4,G3,G2
341.0,134.6053,144,1.0,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,G5,G4,F4,C4,C3
341.5,134.8026,144,1.5,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,B-4,E4,C4,C3
341.75,134.9013,144,1.75,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,B-4,D4,C4,C3
342.0,135.0,144,2.0,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,B-4,E4,C4,C3
342.25,135.0987,144,2.25,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,G#4,F4,C4,C3
342.5,135.1974,144,2.5,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,G4,G4,C4,C3
342.75,135.2961,144,2.75,r,r,r,r,G4,r,G3,r,r,r,r,r,r,r,r,F4,G#4,C4,C3
343.0,135.3947,145,1.0,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,E4,B-4,C3,C2
343.5,135.5921,145,1.5,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,C5,B-4,C3,C2
343.75,135.6908,145,1.75,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,B4,B-4,C3,C2
344.0,135.7895,145,2.0,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,C5,B-4,C3,C2
344.25,135.8882,145,2.25,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,D5,B-4,C3,C2
344.5,135.9868,145,2.5,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,E-5,B-4,C3,C2
344.75,136.0855,145,2.75,r,r,r,r,C5,r,C4,r,r,r,r,r,r,r,r,E5,B-4,C3,C2
345.0,136.1842,146,1.0,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,F5,G#4,F3,F2
345.5,136.3816,146,1.5,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C5,C5,F3,F2
346.0,136.5789,146,2.0,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C#5,F4,F3,F2
346.5,136.7763,146,2.5,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C#5,r,G#3,G#2
347.0,136.9737,147,1.0,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C#5,r,G3,G2
347.5,137.1711,147,1.5,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,B4,G4,F3,F2
348.0,137.3684,147,2.0,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C5,C4,E3,E2
348.5,137.5658,147,2.5,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C5,B-4,G3,G2
349.0,137.7632,148,1.0,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C5,G#4,F3,F2
349.5,137.9605,148,1.5,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C5,C5,F3,F2
350.0,138.1579,148,2.0,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C#5,F4,F3,F2
350.5,138.3553,148,2.5,r,r,r,r,C4,r,C3,r,r,r,r,r,r,r,r,C#5,G#4,C4,C3
351.0,138.5526,149,1.0,r,r,C5,C5,C4,r,C3,r,r,r,r,r,r,r,r,C#5,G4,B-3,B-2
351.5,138.75,149,1.5,r,r,C5,C5,C4,r,C3,r,r,r,r,r,r,r,r,B4,F4,G#3,G#2
352.0,138.9474,149,2.0,r,r,C5,C5,C4,r,C3,r,r,r,r,r,r,r,r,C5,E4,G3,G2
352.5,139.1447,149,2.5,r,r,C5,C5,C4,r,C3,r,r,r,r,r,r,r,r,C5,G4,B-3,B-2
353.0,139.3421,150,1.0,r,r,F5,F5,C4,r,C3,r,r,r,r,r,r,r,r,C5,F4,G#3,G#2
353.5,139.5395,150,1.5,r,r,F5,F5,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,G3,G2
354.0,139.7368,150,2.0,r,r,F5,F5,r,r,r,r,r,r,r,r,r,r,r,C5,D4,F3,F2
354.5,139.9342,150,2.5,r,r,F5,F5,r,r,r,r,r,r,r,r,r,r,r,C5,F4,G#3,G#2
355.0,140.1316,151,1.0,C6,C6,r,r,C5,C5,r,r,r,r,r,r,r,r,r,C5,E-4,G3,G2
355.5,140.3289,151,1.5,C6,C6,r,r,C5,C5,r,r,r,r,r,r,r,r,r,B4,D4,F3,F2
356.0,140.5263,151,2.0,C6,C6,r,r,C5,C5,r,r,r,r,r,r,r,r,r,C5,C4,E-3,E-2
356.5,140.7237,151,2.5,C6,C6,r,r,C5,C5,r,r,r,r,r,r,r,r,r,A4,E-4,G3,G2
357.0,140.9211,152,1.0,G6,G6,r,r,G5,G5,r,r,r,r,r,r,r,r,G5,B4,D4,F3,F2
357.5,141.1184,152,1.5,G6,G6,r,r,G5,G5,r,r,r,r,r,r,r,r,G5,C5,C4,E-3,E-2
358.0,141.3158,152,2.0,G6,G6,r,r,G5,G5,r,r,r,r,r,r,r,r,G5,D5,B3,D3,D2
358.5,141.5132,152,2.5,G6,G6,r,r,G5,G5,r,r,r,r,r,r,r,r,G5,B4,D4,F3,F2
359.0,141.7105,153,1.0,G6,G6,G4,G4,G5,G5,G3,G3,r,r,r,r,r,r,C6,G4,D4,F3,F2
359.5,141.9079,153,1.5,G6,G6,G4,G4,G5,G4,G3,G3,r,r,r,r,r,r,C6,G4,C4,E3,E2
359.75,142.0066,153,1.75,G6,G6,G4,G4,G5,G4,G3,G3,r,r,r,r,r,r,C6,G4,B3,D3,D2
360.0,142.1053,153,2.0,C6,C6,G4,G4,C5,C5,G3,G3,r,r,r,r,r,r,C6,r,C4,E3,E2
360.25,142.2039,153,2.25,C6,C6,G4,G4,C5,C5,G3,G3,r,r,r,r,r,r,C6,r,D4,F3,F2
360.5,142.3026,153,2.5,C6,C6,G4,G4,C5,C4,G3,G3,r,r,r,r,r,r,C6,r,E4,G3,G2
360.75,142.4013,153,2.75,C6,C6,G4,G4,C5,C4,G3,G3,r,r,r,r,r,r,C6,r,F4,G#3,G#2
361.0,142.5,154,1.0,C6,C6,C5,C5,C5,C4,C4,C4,r,r,r,r,r,r,C5,r,G4,B-3,B-2
361.25,142.5987,154,1.25,C6,C6,C5,C5,C5,C4,C4,C4,r,r,r,r,r,r,C5,r,G#4,B-3,B-2
361.5,142.6974,154,1.5,C6,C6,C5,C5,C5,C4,C4,C4,r,r,r,r,r,r,C5,r,G4,B-3,B-2
361.75,142.7961,154,1.75,C6,C6,C5,C5,C5,C4,C4,C4,r,r,r,r,r,r,C5,r,F4,B-3,B-2
362.0,142.8947,154,2.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,C5,r,E4,B-3,B-2
362.25,142.9934,154,2.25,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,C5,r,F4,B-3,B-2
362.5,143.0921,154,2.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,C5,r,G4,B-3,B-2
362.75,143.1908,154,2.75,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,C5,r,E-4,B-3,B-2
363.0,143.2895,155,1.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,r,C4,G#3,G#2
363.5,143.4868,155,1.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,r,C4,C4,C3
364.0,143.6842,155,2.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,r,C#4,F3,F2
364.5,143.8816,155,2.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,G#5,r,C#4,r,r
365.0,144.0789,156,1.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,G5,r,C#4,r,r
365.5,144.2763,156,1.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,r,B3,G3,G2
366.0,144.4737,156,2.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,E5,r,C4,C3,C2
366.25,144.5724,156,2.25,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,E5,C4,C4,C3,C2
366.5,144.6711,156,2.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,G5,D4,C4,B-3,B-2
366.75,144.7697,156,2.75,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,G5,E4,C4,B-3,B-2
367.0,144.8684,157,1.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,F4,C4,G#3,G#2
367.5,145.0658,157,1.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,r,C4,C4,C3
368.0,145.2632,157,2.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,r,C#4,F3,F2
368.5,145.4605,157,2.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,G#5,r,C#4,r,r
369.0,145.6579,158,1.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,G5,C5,C#4,r,r
369.5,145.8553,158,1.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,F5,C5,B3,G3,G2
370.0,146.0526,158,2.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,E5,C5,C4,C3,C2
370.5,146.25,158,2.5,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,G5,C5,C4,B-3,B-2
371.0,146.4474,159,1.0,C6,C6,C5,C5,C5,C4,C3,C3,r,r,r,r,r,r,C5,F5,C4,A3,A2
371.5,146.6447,159,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F5,r,F3,F2
371.75,146.7434,159,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,F5,r,E3,E2
372.0,146.8421,159,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,A4,F5,r,F3,F2
372.25,146.9408,159,2.25,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,B-4,F5,r,G3,G2
372.5,147.0395,159,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,C5,F5,r,A3,A2
372.75,147.1382,159,2.75,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,C#5,F5,r,B-3,B-2
373.0,147.2368,160,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,E-5,E-5,F4,C4,C3
373.5,147.4342,160,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,r,C#5,F4,B-3,B-2
374.0,147.6316,160,2.0,r,r,F5,F5,F4,F4,F3,F3,r,r,r,r,r,r,r,C5,F4,A3,A2
374.5,147.8289,160,2.5,r,r,F5,F5,F4,F4,F3,F3,r,r,r,r,r,r,r,E-5,F4,C4,C3
375.0,148.0263,161,1.0,r,r,F5,F5,F4,F4,r,r,r,r,r,r,r,r,r,C#5,B-4,B-3,B-2
375.5,148.2237,161,1.5,r,r,F5,F5,F4,F4,r,r,r,r,r,r,r,r,r,B-4,G#4,r,r
375.75,148.3224,161,1.75,r,r,F5,F5,F4,F4,r,r,r,r,r,r,r,r,r,A4,G#4,r,r
376.0,148.4211,161,2.0,r,r,B-4,B-4,B-3,B-3,r,r,r,r,r,r,r,r,r,B-4,G4,r,r
376.25,148.5197,161,2.25,r,r,B-4,B-4,B-3,B-3,r,r,r,r,r,r,r,r,r,C5,G4,r,r
376.5,148.6184,161,2.5,r,r,B-4,B-4,B-3,B-3,r,r,r,r,r,r,r,r,r,C#5,B-4,r,r
376.75,148.7171,161,2.75,r,r,B-4,B-4,B-3,B-3,r,r,r,r,r,r,r,r,r,E-5,B-4,r,r
377.0,148.8158,162,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,F5,G#4,r,r
377.5,149.0132,162,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,E-5,G4,r,r
378.0,149.2105,162,2.0,r,r,r,r,r,r,r,r,B-4,B-3,r,r,r,r,B-5,D5,F4,r,r
378.5,149.4079,162,2.5,r,r,r,r,r,r,r,r,B-4,B-3,r,r,r,r,B-5,F5,G#4,r,r
379.0,149.6053,163,1.0,r,r,r,r,r,r,r,r,B-4,B-3,r,r,r,r,E-6,E-5,G4,r,r
379.5,149.8026,163,1.5,r,r,r,r,r,r,r,r,B-4,B-3,r,r,r,r,C#6,G4,E-4,r,r
379.75,149.9013,163,1.75,r,r,r,r,r,r,r,r,B-4,B-3,r,r,r,r,C#6,F4,D4,r,r
380.0,150.0,163,2.0,r,r,r,r,r,r,r,r,E-4,E-3,r,r,r,r,C6,G4,E-4,r,r
380.25,150.0987,163,2.25,r,r,r,r,r,r,r,r,E-4,E-3,r,r,r,r,C6,G#4,F4,r,r
380.5,150.1974,163,2.5,r,r,r,r,r,r,r,r,E-4,E-3,r,r,r,r,E-6,B-4,G4,r,r
380.75,150.2961,163,2.75,r,r,r,r,r,r,r,r,E-4,E-3,r,r,r,r,E-6,C5,G#4,r,r
381.0,150.3947,164,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,C#5,B-4,E-3,E-2
381.5,150.5921,164,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,D5,G#4,E-3,E-2
382.0,150.7895,164,2.0,r,B-5,r,r,r,B-4,r,r,r,r,r,r,r,r,B-5,E-5,G4,E-3,E-2
382.5,150.9868,164,2.5,r,B-5,r,r,r,B-4,r,r,r,r,r,r,r,r,C#6,B-4,G4,E-3,E-2
383.0,151.1842,165,1.0,C6,B-5,r,r,C5,B-4,r,r,r,r,r,r,r,r,C6,B-4,E-4,G#3,G#2
383.5,151.3816,165,1.5,C6,B-5,r,r,C5,B-4,r,r,r,r,r,r,r,r,C6,G#4,E-4,G#3,G#2
383.75,151.4803,165,1.75,C6,B-5,r,r,C5,B-4,r,r,r,r,r,r,r,r,C6,G4,E-4,G#3,G#2
384.0,151.5789,165,2.0,C6,G#5,r,r,C5,G#4,E-4,G#3,r,r,r,r,r,r,C6,G#4,E-4,G#3,G#2
384.25,151.6776,165,2.25,C6,G#5,r,r,C5,G#4,E-4,G#3,r,r,r,r,r,r,C6,C5,E-4,G#3,G#2
384.5,151.7763,165,2.5,C6,G#5,r,r,C5,G#4,E-4,G#3,r,r,r,r,r,r,C6,B-4,E-4,G#3,G#2
384.75,151.875,165,2.75,C6,G#5,r,r,C5,G#4,E-4,G#3,r,r,r,r,r,r,C6,G#4,E-4,G#3,G#2
385.0,151.9737,166,1.0,B-5,G5,r,r,B-4,G4,E-4,E-3,E-4,E-3,r,r,r,r,B-5,G4,E-4,E-4,E-3
385.5,152.1711,166,1.5,B-5,G5,r,r,B-4,G4,E-4,E-3,E-4,E-3,r,r,r,r,B-5,G4,E-4,E-4,E-3
385.75,152.2697,166,1.75,B-5,G5,r,r,B-4,G4,E-4,E-3,E-4,E-3,r,r,r,r,B-5,G4,D4,E-4,E-3
386.0,152.3684,166,2.0,B-5,F#5,r,r,B-4,F#4,E-4,E-3,E-4,E-3,r,r,r,r,B-5,F#4,E-4,E-3,E-2
386.25,152.4671,166,2.25,B-5,F#5,r,r,B-4,F#4,E-4,E-3,E-4,E-3,r,r,r,r,B-5,F#4,F#4,E-3,E-2
386.5,152.5658,166,2.5,C6,A5,r,r,C5,A4,E-4,E-3,E-4,E-3,r,r,r,r,C6,F#4,F4,E-3,E-2
386.75,152.6645,166,2.75,C6,A5,r,r,C5,A4,E-4,E-3,E-4,E-3,r,r,r,r,C6,F#4,E-4,E-3,E-2
387.0,152.7632,167,1.0,C#6,B-5,r,r,C#5,B-4,C#4,B-3,B-4,B-3,r,r,r,r,C#6,F4,C#4,B-3,B-2
387.5,152.9605,167,1.5,C#6,B-5,r,r,C#5,B-4,C#4,B-3,B-4,B-3,r,r,r,r,C#6,B-4,C#4,B-3,B-2
387.75,153.0592,167,1.75,C#6,B-5,r,r,C#5,B-4,C#4,B-3,B-4,B-3,r,r,r,r,C#6,A4,C#4,B-3,B-2
388.0,153.1579,167,2.0,C#6,B-5,r,r,C#5,B-4,F4,B-3,B-3,B-2,r,r,r,r,C#6,B-4,F4,B-3,B-2
388.25,153.2566,167,2.25,C#6,B-5,r,r,C#5,B-4,F4,B-3,B-3,B-2,r,r,r,r,C#6,C#5,F4,B-3,B-2
388.5,153.3553,167,2.5,C#6,B-5,r,r,C#5,B-4,F4,B-3,B-3,B-2,r,r,r,r,C#6,C5,F4,B-3,B-2
388.75,153.4539,167,2.75,C#6,B-5,r,r,C#5,B-4,F4,B-3,B-3,B-2,r,r,r,r,C#6,B-4,F4,B-3,B-2
389.0,153.5526,168,1.0,C6,A5,F5,F5,C5,A4,F4,F3,r,r,r,r,r,r,C6,A4,F4,F4,F3
389.25,153.6513,168,1.25,C6,A5,F5,F5,C5,A4,F4,F3,r,r,r,r,r,r,C6,A4,C4,F4,F3
389.5,153.75,168,1.5,C6,A5,F5,F5,C5,A4,F4,F3,r,r,r,r,r,r,C6,A4,D4,F4,F3
389.75,153.8487,168,1.75,C6,A5,F5,F5,C5,A4,F4,F3,r,r,r,r,r,r,C6,A4,E4,F4,F3
390.0,153.9474,168,2.0,C6,G#5,F5,F5,C5,G#4,F4,F3,r,r,r,r,r,r,C6,G#4,F4,F3,F2
390.25,154.0461,168,2.25,C6,G#5,F5,F5,C5,G#4,F4,F3,r,r,r,r,r,r,C6,G#4,G4,F3,F2
