qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
22.5,11.6379,8,2.0,r,r,r,r,r,r,r,r,A4,r,r,r,r,r,r,A4,A3,C3,r
23.0,11.8966,8,2.3333,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,A4,A3,C3,r
23.5,12.1552,8,2.6667,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,A4,A3,C3,r
24.0,12.4138,9,1.0,r,r,r,r,A4,F4,A3,F3,A4,r,r,r,r,r,A5,A4,A3,C3,r
24.5,12.6724,9,1.3333,r,r,r,r,A4,F4,A3,F3,A4,r,r,r,r,r,A5,r,C4,r,r
25.5,13.1897,9,2.0,r,r,r,r,A4,F4,A3,F3,A4,r,r,r,r,r,F5,r,C4,r,r
26.5,13.7069,9,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,C6,r,C4,F3,r
27.0,13.9655,10,1.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,F3,r
28.5,14.7414,10,2.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,F5,r,C4,r,r
29.5,15.2586,10,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,C5,r,C4,F3,r
30.0,15.5172,11,1.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,F5,r,C4,F3,r
31.0,16.0345,11,1.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,r,r
31.5,16.2931,11,2.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,C6,r,C4,r,r
32.5,16.8103,11,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,F3,r
33.0,17.069,12,1.0,r,r,r,r,B-4,F4,F3,D3,r,r,r,r,r,r,B-5,r,D4,D3,r
34.5,17.8448,12,2.0,r,r,r,r,B-4,F4,F3,D3,r,r,r,r,r,r,B-5,r,D4,r,r
35.5,18.3621,12,2.6667,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,G5,r,C4,E3,r
36.0,18.6207,13,1.0,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,B-5,r,C4,E3,r
37.5,19.3966,13,2.0,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,G5,r,C4,r,r
38.5,19.9138,13,2.6667,r,r,r,r,B-4,G4,G3,E3,r,r,r,r,r,r,C6,r,C4,C3,r
39.0,20.1724,14,1.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,C4,F3,r
40.5,20.9483,14,2.0,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,F5,r,D4,D3,r
41.5,21.4655,14,2.6667,r,r,r,r,A4,F4,A3,F3,r,r,r,r,r,r,A5,r,D4,A2,r
42.0,21.7241,15,1.0,r,r,r,r,G4,F4,G3,F3,r,r,r,r,r,r,G5,r,D4,B-2,r
43.0,22.2414,15,1.6667,r,r,r,r,G4,F4,G3,F3,r,r,r,r,r,r,D5,r,D4,r,r
43.5,22.5,15,2.0,r,r,r,r,G4,E4,G3,E3,C4,C3,r,r,r,r,E5,r,G3,C3,r
44.5,23.0172,15,2.6667,r,r,r,r,G4,E4,G3,E3,C4,C3,r,r,r,r,C5,r,C4,C2,r
45.0,23.2759,16,1.0,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,C5,r,C4,F2,r
45.5,23.5345,16,1.3333,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,F5,r,C4,F2,r
46.5,24.0517,16,2.0,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,F5,r,C4,r,r
47.5,24.569,16,2.6667,r,r,r,r,A4,F4,A3,F3,C4,F3,r,r,r,r,A5,r,C4,r,r
48.0,24.8276,17,1.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
48.25,24.9569,17,1.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
48.5,25.0862,17,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
48.75,25.2155,17,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
49.0,25.3448,17,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,r,r
49.25,25.4741,17,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
49.5,25.6034,17,2.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
49.75,25.7328,17,2.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
50.0,25.8621,17,2.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
50.25,25.9914,17,2.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
50.5,26.1207,17,2.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C5,r,F3,F2
50.75,26.25,17,2.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C5,r,F3,F2
51.0,26.3793,18,1.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
51.25,26.5086,18,1.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
51.5,26.6379,18,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
51.75,26.7672,18,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
52.0,26.8966,18,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,r,r
52.25,27.0259,18,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
52.5,27.1552,18,2.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
52.75,27.2845,18,2.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
53.0,27.4138,18,2.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
53.25,27.5431,18,2.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
53.5,27.6724,18,2.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C4,r,F3,F2
53.75,27.8017,18,2.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C4,r,F3,F2
54.0,27.931,19,1.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,r,F3,F2
54.25,28.0603,19,1.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,r,F3,F2
54.5,28.1897,19,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,r,F3,F2
54.75,28.319,19,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,r,F3,F2
55.0,28.4483,19,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,r,r
55.25,28.5776,19,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
55.5,28.7069,19,2.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C5,F4,r,r
55.75,28.8362,19,2.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C5,F4,r,r
56.0,28.9655,19,2.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C5,F4,r,r
56.25,29.0948,19,2.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C5,F4,r,r
56.5,29.2241,19,2.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
56.75,29.3534,19,2.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
57.0,29.4828,20,1.0,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,r,D3,D2
57.25,29.6121,20,1.1667,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,r,D3,D2
57.5,29.7414,20,1.3333,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,r,D3,D2
57.75,29.8707,20,1.5,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,r,D3,D2
58.0,30.0,20,1.6667,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,r,r,r
58.25,30.1293,20,1.8333,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,r,r,r
58.5,30.2586,20,2.0,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,D4,r,r
58.75,30.3879,20,2.1667,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,D4,r,r
59.0,30.5172,20,2.3333,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,D4,r,r
59.25,30.6466,20,2.5,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,D4,r,r
59.5,30.7759,20,2.6667,r,r,r,r,C4,B-3,G3,E3,B-4,F4,r,r,r,r,G5,G4,r,E3,E2
59.75,30.9052,20,2.8333,r,r,r,r,C4,B-3,G3,E3,B-4,F4,r,r,r,r,C6,G4,r,E3,E2
60.0,31.0345,21,1.0,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,B-4,r,E3,E2
60.25,31.1638,21,1.1667,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,B-4,r,E3,E2
60.5,31.2931,21,1.3333,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,B-4,r,E3,E2
60.75,31.4224,21,1.5,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,B-4,r,E3,E2
61.0,31.5517,21,1.6667,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,B-4,r,r,r
61.25,31.681,21,1.8333,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,B-4,r,r,r
61.5,31.8103,21,2.0,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,G4,C4,r,r
61.75,31.9397,21,2.1667,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,G4,C4,r,r
62.0,32.069,21,2.3333,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,G4,C4,r,r
62.25,32.1983,21,2.5,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,G4,C4,r,r
62.5,32.3276,21,2.6667,r,r,r,r,E4,C4,G3,C3,B-4,G4,r,r,r,r,G5,C5,r,C3,C2
62.75,32.4569,21,2.8333,r,r,r,r,E4,C4,G3,C3,B-4,G4,r,r,r,r,C6,C5,r,C3,C2
63.0,32.5862,22,1.0,r,r,r,r,F4,C4,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
63.25,32.7155,22,1.1667,r,r,r,r,F4,C4,A3,F3,A4,F4,r,r,r,r,C6,A4,r,F3,F2
63.5,32.8448,22,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
63.75,32.9741,22,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,C6,A4,r,F3,F2
64.0,33.1034,22,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
64.25,33.2328,22,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,C6,A4,r,r,r
64.5,33.3621,22,2.0,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,A5,F4,A3,D3,D2
64.75,33.4914,22,2.1667,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,D6,F4,A3,D3,D2
65.0,33.6207,22,2.3333,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,A5,F4,A3,D3,D2
65.25,33.75,22,2.5,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,D6,F4,A3,D3,D2
65.5,33.8793,22,2.6667,r,r,r,r,C4,A3,F3,A2,A4,F4,r,r,r,r,A5,A4,r,A2,A1
65.75,34.0086,22,2.8333,r,r,r,r,C4,A3,F3,A2,A4,F4,r,r,r,r,C6,A4,r,A2,A1
66.0,34.1379,23,1.0,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,G5,G4,r,B-2,B-1
66.25,34.2672,23,1.1667,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,D6,G4,r,B-2,B-1
66.5,34.3966,23,1.3333,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,G5,G4,r,B-2,B-1
66.75,34.5259,23,1.5,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,D6,G4,r,B-2,B-1
67.0,34.6552,23,1.6667,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,G5,D4,G3,r,r
67.25,34.7845,23,1.8333,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,D6,D4,G3,r,r
67.5,34.9138,23,2.0,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,G5,E4,r,C3,C2
67.75,35.0431,23,2.1667,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,C6,E4,r,C3,C2
68.0,35.1724,23,2.3333,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,G5,E4,r,C3,C2
68.25,35.3017,23,2.5,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,C6,E4,r,C3,C2
68.5,35.431,23,2.6667,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,G5,C4,C4,C3,C2
68.75,35.5603,23,2.8333,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,C6,C4,C4,C3,C2
69.0,35.6897,24,1.0,r,r,r,r,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,C4,r,F3,F2
69.25,35.819,24,1.1667,r,r,r,r,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,C4,r,F3,F2
69.5,35.9483,24,1.3333,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,F3,F2
69.75,36.0776,24,1.5,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,F3,F2
70.0,36.2069,24,1.6667,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,r,r
70.25,36.3362,24,1.8333,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,r,r
70.5,36.4655,24,2.0,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,r,r
70.75,36.5948,24,2.1667,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,r,r
71.0,36.7241,24,2.3333,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,r,r
71.25,36.8534,24,2.5,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,r,r
71.5,36.9828,24,2.6667,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,A4,A3,r,r
71.75,37.1121,24,2.8333,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,A4,A3,r,r
72.0,37.2414,25,1.0,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
72.1667,37.3276,25,1.1111,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
72.3333,37.4138,25,1.2222,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
72.5,37.5,25,1.3333,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
72.6667,37.5862,25,1.4444,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
72.8333,37.6724,25,1.5556,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.0,37.7586,25,1.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.1667,37.8448,25,1.7778,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.3333,37.931,25,1.8889,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.5,38.0172,25,2.0,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
73.6667,38.1035,25,2.1111,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
73.8333,38.1896,25,2.2222,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
74.0,38.2759,25,2.3333,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
74.1667,38.3621,25,2.4444,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
74.3333,38.4483,25,2.5556,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
74.5,38.5345,25,2.6667,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
74.6667,38.6207,25,2.7778,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
74.8333,38.7069,25,2.8889,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
75.0,38.7931,26,1.0,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
75.5,39.0517,26,1.3333,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
76.0,39.3103,26,1.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
76.5,39.569,26,2.0,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
77.0,39.8276,26,2.3333,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
77.5,40.0862,26,2.6667,F6,C6,A5,F5,C4,C4,F3,F2,C4,C3,C5,C4,A4,A3,F6,A5,C3,C3,F1
78.0,40.3448,27,1.0,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
78.5,40.6034,27,1.3333,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
79.0,40.8621,27,1.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
79.5,41.1207,27,2.0,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F2
80.0,41.3793,27,2.3333,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
80.5,41.6379,27,2.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,C6,A3,A3,F1
81.0,41.8966,28,1.0,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D2
81.5,42.1552,28,1.3333,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D3
82.0,42.4138,28,1.6667,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D3
82.5,42.6724,28,2.0,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D3
83.0,42.931,28,2.3333,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D2
83.5,43.1897,28,2.6667,G6,C6,B-5,G5,G4,G4,E3,E2,G4,C3,C5,r,r,r,G6,B-5,G3,G3,E2
84.0,43.4483,29,1.0,G6,C6,B-5,G5,B-4,B-4,E3,E2,B-4,C3,C5,C4,B-4,r,G6,B-5,B-3,B-3,E2
84.5,43.7069,29,1.3333,G6,C6,B-5,G5,B-4,B-4,E3,E2,B-4,C3,C5,C4,B-4,r,G6,B-5,B-3,B-3,E3
85.0,43.9655,29,1.6667,G6,C6,B-5,G5,B-4,B-4,E3,E2,B-4,C3,C5,C4,B-4,r,G6,B-5,B-3,B-3,E2
85.5,44.2241,29,2.0,G6,C6,B-5,G5,G4,G4,E3,E2,G4,C3,C5,C4,G4,G4,G6,B-5,G3,G3,E2
86.0,44.4828,29,2.3333,G6,C6,B-5,G5,G4,G4,E3,E2,G4,C3,C5,C4,G4,G4,G6,B-5,G3,G3,E2
86.5,44.7414,29,2.6667,G6,C6,B-5,G5,C5,C5,C3,C2,C5,C3,C5,C4,r,r,G6,B-5,C4,C4,C2
87.0,45.0,30,1.0,G6,C6,A5,F5,A4,A4,F3,r,A4,F3,C5,C4,A4,r,G6,A5,A3,A3,F1
87.5,45.2586,30,1.3333,F6,C6,A5,F5,A4,A4,F3,r,A4,F3,C5,C4,A4,r,F6,A5,A3,A3,F2
88.0,45.5172,30,1.6667,F6,C6,A5,F5,A4,A4,F3,r,A4,F3,C5,C4,A4,r,F6,A5,A3,A3,F2
88.5,45.7759,30,2.0,F6,D6,A5,F5,F4,F4,D3,D2,F4,F3,C5,C4,F4,F4,F6,A5,F3,F3,D2
89.0,46.0345,30,2.3333,F6,D6,A5,F5,F4,F4,D3,D2,F4,F3,C5,C4,F4,F4,F6,A5,F3,F3,D2
89.5,46.2931,30,2.6667,F6,C6,A5,F5,A4,A4,A2,A2,A4,F4,C5,C4,r,r,F6,F5,A3,A3,A1
90.0,46.5517,31,1.0,F6,D6,G5,F5,G4,G4,B-2,B-1,G4,F4,r,r,r,r,F6,G5,G3,G3,B-1
90.5,46.8103,31,1.3333,F6,D6,G5,F5,G4,G4,B-2,B-1,G4,F4,r,r,r,r,F6,G5,G3,G3,B-2
91.0,47.069,31,1.6667,F6,D6,G5,F5,D4,D4,B-2,B-1,G4,F4,D5,D5,r,r,F6,G5,D3,D3,B-1
