qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb basso Horn 1,Bb basso Horn 2,Violin 1,Violin 2,Viola,Violoncello solo,Violoncello,Contrabass
28.25,22.6,5,3.8333,B-5,B-5,r,r,B-4,G4,r,r,B-3,B-2,C5,B-3,G3,B-2,r,r
28.5,22.8,5,4.0,B-5,B-5,r,r,B-4,G4,r,r,B-3,B-2,C5,C4,B-3,C3,r,r
28.75,23.0,5,4.1667,B-5,B-5,r,r,B-4,G4,r,r,B-3,B-2,C5,B-3,G3,B-2,r,r
29.0,23.2,5,4.3333,B-5,B-5,r,r,B-4,G4,r,r,B-3,B-2,E-5,C4,B-3,C3,r,r
29.25,23.4,5,4.5,B-5,B-5,r,r,B-4,G4,r,r,B-3,B-2,E-5,B-3,G3,B-2,r,r
29.5,23.6,5,4.6667,B-5,B-5,r,r,B-4,G4,r,r,B-3,B-2,G5,C4,B-3,C3,r,r
29.75,23.8,5,4.8333,B-5,B-5,r,r,B-4,G4,r,r,B-3,B-2,G5,B-3,G3,B-2,r,r
29.875,23.9,5,4.9167,A5,A5,r,r,B-4,G4,r,r,B-3,B-2,G5,B-3,G3,B-2,r,r
30.0,24.0,6,1.0,r,r,r,r,B-4,D4,r,r,F3,F2,F4,D4,B-3,D3,F2,F1
30.25,24.2,6,1.1667,r,r,r,r,B-4,D4,r,r,F3,F2,F4,B-3,F3,B-2,F2,F1
30.5,24.4,6,1.3333,r,r,r,r,B-4,D4,r,r,F3,F2,F4,D4,B-3,D3,F2,F1
30.75,24.6,6,1.5,r,r,r,r,B-4,D4,r,r,F3,F2,F4,B-3,F3,B-2,F2,F1
31.0,24.8,6,1.6667,r,r,r,r,B-4,D4,r,r,F3,F2,F4,D4,B-3,D3,r,r
31.25,25.0,6,1.8333,r,r,r,r,B-4,D4,r,r,F3,F2,F4,B-3,F3,B-2,r,r
31.5,25.2,6,2.0,B-5,F5,D5,B-4,F4,D4,B-3,F3,F3,F2,F4,D4,B-3,D3,r,r
31.75,25.4,6,2.1667,B-5,F5,D5,B-4,F4,D4,B-3,F3,F3,F2,F4,B-3,F3,B-2,r,r
32.0,25.6,6,2.3333,B-5,F5,D5,B-4,F4,D4,B-3,F3,F3,F2,G4,D4,B-3,D3,r,r
32.25,25.8,6,2.5,B-5,F5,D5,B-4,F4,D4,B-3,F3,F3,F2,G4,B-3,F3,B-2,r,r
32.5,26.0,6,2.6667,r,r,r,r,F4,D4,r,r,F3,F2,A4,D4,B-3,D3,r,r
32.75,26.2,6,2.8333,r,r,r,r,F4,D4,r,r,F3,F2,A4,B-3,F3,B-2,r,r
33.0,26.4,6,3.0,B-5,F5,D5,B-4,F4,D4,B-3,F3,F3,F2,B-4,D4,B-3,D3,F2,F1
33.25,26.6,6,3.1667,B-5,F5,D5,B-4,F4,D4,B-3,F3,F3,F2,B-4,B-3,F3,B-2,F2,F1
