qstamp_start,qstamp_end,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (basso) Horn 1,Bb (basso) Horn 2,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
84.0,90.0,,,,Main Part,,P8(Main),,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
90.0,96.0,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
96.0,104.0,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
104.0,120.0,,,,,,,P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,P8(Bassoon 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bassoon 2)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2),P8(Bassoon 2)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
120.0,131.0,U(Violin 1),,P8(Viola),,,Main Part,,,,,,,U(Flute),,P8(Oboe 2),,
131.0,135.0,,,,,,Main Part,,,,,,,,,,,
135.0,137.0,U(Oboe 1)&P2(Oboe 2)&U(Violin 1)&P8(Violin 2)&P2(Violoncello),U(Flute)&P2(Oboe 2)&U(Violin 1)&P8(Violin 2)&P2(Violoncello),P2(Flute)&P2(Oboe 1)&P2(Violin 1)&P2(Violin 2)&P3(Violoncello),,,Main Part,,,,,,,U(Flute)&U(Oboe 1)&P2(Oboe 2)&P8(Violin 2)&P2(Violoncello),P8(Flute)&P8(Oboe 1)&P2(Oboe 2)&P8(Violin 1)&P2(Violoncello),,P2(Flute)&P2(Oboe 1)&P3(Oboe 2)&P2(Violin 1)&P2(Violin 2),
137.0,143.0,U(Main),P2(Oboe 2),P2(Oboe 1),,,,,,,,,,Main Part,,,,
143.0,147.0,,,,,,,,,,,,,Main Part,,,,
147.0,149.0,U(Oboe 1)&P2(Oboe 2)&U(Main)&P2(Violin 2)&P5(Violoncello),U(Flute)&P2(Oboe 2)&U(Main)&P2(Violin 2)&P5(Violoncello),P2(Flute)&P2(Oboe 1)&P2(Main)&P8(Violin 2)&P4(Violoncello),,,,,,,,,,Main Part,P2(Flute)&P2(Oboe 1)&P8(Oboe 2)&P2(Main)&P4(Violoncello),,P5(Flute)&P5(Oboe 1)&P4(Oboe 2)&P5(Main)&P4(Violin 2),
149.0,155.0,U(Main),P2(Oboe 2),P2(Oboe 1)&P4(Violoncello),,,,,,,,,,Main Part,,,P4(Oboe 2),
155.0,159.0,,,,,,,,,,,,,Main Part,,,,
159.0,161.0,U(Oboe 1)&P2(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(Main)&P3(Violoncello),U(Flute)&P2(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(Main)&P3(Violoncello),P2(Flute)&P2(Oboe 1)&P4(Bassoon 1)&P4(Bassoon 2)&P2(Main)&P4(Violoncello),,,P3(Flute)&P3(Oboe 1)&P4(Oboe 2)&U(Bassoon 2)&P3(Main)&U(Violoncello),P3(Flute)&P3(Oboe 1)&P4(Oboe 2)&U(Bassoon 1)&P3(Main)&U(Violoncello),,,,,,Main Part,,,P3(Flute)&P3(Oboe 1)&P4(Oboe 2)&U(Bassoon 1)&U(Bassoon 2)&P3(Main),
161.0,170.0,,P2(Oboe 2),P2(Oboe 1),,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,Main Part,,U(Bassoon 1)&U(Bassoon 2),
170.0,176.0,P8(Main),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,Main Part,,U(Bassoon 1)&U(Bassoon 2),
176.0,182.0,P8(Main)&P3(Viola),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,Main Part,P3(Flute)&P3(Main),U(Bassoon 1)&U(Bassoon 2),
182.0,188.0,P8(Violin 2),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,P8(Flute),Main Part,U(Bassoon 1)&U(Bassoon 2),
188.0,191.0,,P8(Violin 2)&P6(Main),,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,P8(Oboe 1)&P6(Main),Main Part,U(Bassoon 1)&U(Bassoon 2),
191.0,194.0,,P8(Violin 2),P3(Bb Clarinet 1)&U(Bb Clarinet 2),P3(Oboe 2)&P3(Bb Clarinet 2),U(Oboe 2)&P3(Bb Clarinet 1),U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,P8(Oboe 1),Main Part,U(Bassoon 1)&U(Bassoon 2),
194.0,197.0,P8(Violin 2)&P3(Viola),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Flute)&P3(Viola),P3(Flute)&P3(Violin 2),U(Bassoon 1)&U(Bassoon 2),
197.0,200.0,P8(Violin 2),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Flute),,U(Bassoon 1)&U(Bassoon 2),
200.0,203.0,,P8(Violin 2)&P3(Viola),,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Oboe 1)&P3(Viola),P3(Oboe 1)&P3(Violin 2),U(Bassoon 1)&U(Bassoon 2),
203.0,206.0,,,,,,U(Bassoon 2),U(Bassoon 1),,,,,,,Main Part,,,
206.0,216.0,P4(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),P4(Flute)&P3(Oboe 2)&P4(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bb (basso) Horn 1)&P2(Bb (basso) Horn 2)&P2(Bb Trumpet 1)&P2(Bb Trumpet 2)&P2(Timpani)&P2(Contrabass),P6(Flute)&P3(Oboe 1)&P6(Bb Clarinet 1)&P6(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani)&P4(Contrabass),P8(Flute)&P4(Oboe 1)&P6(Oboe 2)&U(Bb Clarinet 2)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),P8(Flute)&P4(Oboe 1)&P6(Oboe 2)&U(Bb Clarinet 1)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),P8(Bassoon 2),P8(Bassoon 1),P6(Flute)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani)&P4(Contrabass),P3(Flute)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani)&P8(Contrabass),P3(Flute)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P8(Timpani)&P8(Contrabass),P3(Flute)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Timpani)&P8(Contrabass),P3(Flute)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Contrabass),,Main Part,,,P3(Flute)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani)
216.0,228.0,P8(Bb Clarinet 2)&U(Violin 1),,,,P8(Flute)&P8(Violin 1),,U(Violoncello)&P8(Contrabass),,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,U(Flute)&P8(Bb Clarinet 2),Main Part,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
228.0,234.0,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,P8(Violin 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Main)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Violin 1)&P8(Violin 2)&P8(Main)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Main)&P8(Violoncello)
234.0,240.0,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,P8(Violin 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Main)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Violin 1)&P8(Violin 2)&P8(Main)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Main)&P8(Violoncello)
240.0,246.0,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,P8(Violin 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Main)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Violin 1)&P8(Violin 2)&P8(Main)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Main)&P8(Violoncello)
246.0,252.0,P8(Bb Clarinet 1)&P8(Bassoon 1),,,P8(Flute)&P8(Bassoon 1),,P8(Flute)&P8(Bb Clarinet 1),,,,,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
252.0,259.0,P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Main)&P8(Violin 2)&P8(Viola),,,P8(Flute)&P8(Bassoon 1)&U(Main)&U(Violin 2)&P8(Viola),,P8(Flute)&P8(Bb Clarinet 1)&P8(Main)&P8(Violin 2)&U(Viola),,,,,,,Main Part,P8(Flute)&U(Bb Clarinet 1)&P8(Bassoon 1)&U(Main)&P8(Viola),P8(Flute)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Main)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
259.0,270.0,P8(Bb Clarinet 1)&P8(Bassoon 1),P3(Oboe 2),P3(Oboe 1),P8(Flute)&P8(Bassoon 1),,P8(Flute)&P8(Bb Clarinet 1),,,,,,,Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
270.0,284.0,P8(Bb Clarinet 1),,,P8(Flute),P4(Bassoon 2)&P4(Bb (basso) Horn 1)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani),,P4(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P4(Bb Clarinet 2)&P8(Bassoon 2)&U(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),,P4(Bb Clarinet 2)&P8(Bassoon 2)&U(Bb (basso) Horn 1)&U(Bb Trumpet 2)&P8(Timpani),P4(Bb Clarinet 2)&P8(Bassoon 2)&U(Bb (basso) Horn 1)&U(Bb Trumpet 1)&P8(Timpani),P4(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,Main Part,,P8(Contrabass),P8(Violoncello)
284.0,301.0,,U(Violin 1),,,,,,,,P8(Bb Trumpet 2)&P8(Timpani),P8(Bb Trumpet 1)&P8(Timpani),P8(Bb Trumpet 1)&P8(Bb Trumpet 2),U(Oboe 1),Main Part,,P8(Contrabass),P8(Violoncello)
301.0,330.0,U(Violin 1),,,,,,,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,U(Flute),Main Part,,P8(Contrabass),P8(Violoncello)
330.0,341.0,U(Violin 1),,P8(Main),,,,,,,,,,U(Flute),,Main Part,,
341.0,345.0,,,,,,,,,,,,,,,Main Part,,
345.0,347.0,U(Oboe 1)&P2(Oboe 2)&U(Violin 1)&P8(Violin 2)&P2(Violoncello),U(Flute)&P2(Oboe 2)&U(Violin 1)&P8(Violin 2)&P2(Violoncello),P2(Flute)&P2(Oboe 1)&P2(Violin 1)&P2(Violin 2)&P3(Violoncello),,,,,,,,,,U(Flute)&U(Oboe 1)&P2(Oboe 2)&P8(Violin 2)&P2(Violoncello),P8(Flute)&P8(Oboe 1)&P2(Oboe 2)&P8(Violin 1)&P2(Violoncello),Main Part,P2(Flute)&P2(Oboe 1)&P3(Oboe 2)&P2(Violin 1)&P2(Violin 2),
347.0,353.0,U(Main),P2(Oboe 2),P2(Oboe 1),,,,,,,,,,Main Part,,,,
353.0,357.0,,,,,,,,,,,,,Main Part,,,,
357.0,359.0,U(Oboe 1)&P2(Oboe 2)&U(Main)&P2(Violin 2)&P5(Violoncello),U(Flute)&P2(Oboe 2)&U(Main)&P2(Violin 2)&P5(Violoncello),P2(Flute)&P2(Oboe 1)&P2(Main)&P8(Violin 2)&P4(Violoncello),,,,,,,,,,Main Part,P2(Flute)&P2(Oboe 1)&P8(Oboe 2)&P2(Main)&P4(Violoncello),,P5(Flute)&P5(Oboe 1)&P4(Oboe 2)&P5(Main)&P4(Violin 2),
359.0,365.0,Main Part,P2(Oboe 2),P2(Oboe 1)&P4(Violoncello),,,,,,,,,,U(Main),,,P4(Oboe 2),
365.0,369.0,Main Part,,,,,,,,,,,,,,,,
369.0,371.0,Main Part,U(Main)&P2(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(Violin 1)&P3(Violoncello),P2(Main)&P2(Oboe 1)&P4(Bassoon 1)&P4(Bassoon 2)&P2(Violin 1)&P4(Violoncello),,,P3(Main)&P3(Oboe 1)&P4(Oboe 2)&U(Bassoon 2)&P3(Violin 1)&U(Violoncello),P3(Main)&P3(Oboe 1)&P4(Oboe 2)&U(Bassoon 1)&P3(Violin 1)&U(Violoncello),,,,,,U(Main)&U(Oboe 1)&P2(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello),,,P3(Main)&P3(Oboe 1)&P4(Oboe 2)&U(Bassoon 1)&U(Bassoon 2)&P3(Violin 1),
371.0,380.0,,P2(Oboe 2),P2(Oboe 1),,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,,,U(Bassoon 1)&U(Bassoon 2),
380.0,386.0,P8(Violin 2),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Flute),,U(Bassoon 1)&U(Bassoon 2),
386.0,392.0,P8(Violin 2)&P3(Viola),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Flute)&P3(Viola),P3(Flute)&P3(Violin 2),U(Bassoon 1)&U(Bassoon 2),
392.0,398.0,Main Part,,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,P8(Main),,U(Bassoon 1)&U(Bassoon 2),
398.0,401.0,Main Part,P8(Violin 2)&P6(Viola),,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,P8(Oboe 1)&P6(Viola),P6(Oboe 1)&P6(Violin 2),U(Bassoon 1)&U(Bassoon 2),
401.0,404.0,Main Part,P8(Violin 2),P3(Bb Clarinet 1)&U(Bb Clarinet 2),P3(Oboe 2)&P3(Bb Clarinet 2),U(Oboe 2)&P3(Bb Clarinet 1),U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,,P8(Oboe 1),,U(Bassoon 1)&U(Bassoon 2),
404.0,407.0,P8(Violin 2)&P3(Viola),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Flute)&P3(Viola),P3(Flute)&P3(Violin 2),U(Bassoon 1)&U(Bassoon 2),
407.0,410.0,P8(Violin 2),,,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Flute),,U(Bassoon 1)&U(Bassoon 2),
410.0,413.0,,P8(Violin 2)&P3(Viola),,,,U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),,,,,,Main Part,P8(Oboe 1)&P3(Viola),P3(Oboe 1)&P3(Violin 2),U(Bassoon 1)&U(Bassoon 2),
413.0,416.0,,Main Part,,,,U(Bassoon 2),U(Bassoon 1),,,,,,,,,,
416.0,426.0,P4(Main)&P6(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),Main Part,P6(Flute)&P3(Main)&P6(Bb Clarinet 1)&P6(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani)&P4(Contrabass),P8(Flute)&P4(Main)&P6(Oboe 2)&U(Bb Clarinet 2)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),P8(Flute)&P4(Main)&P6(Oboe 2)&U(Bb Clarinet 1)&P6(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),P8(Bassoon 2),P8(Bassoon 1),P6(Flute)&P3(Main)&P8(Oboe 2)&P6(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani)&P4(Contrabass),P3(Flute)&P2(Main)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani)&P8(Contrabass),P3(Flute)&P2(Main)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P8(Timpani)&P8(Contrabass),P3(Flute)&P2(Main)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Timpani)&P8(Contrabass),P3(Flute)&P2(Main)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Contrabass),,,,,P3(Flute)&P2(Main)&P4(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani)
426.0,438.0,P8(Bb Clarinet 2)&U(Violin 1),Main Part,,,P8(Flute)&P8(Violin 1),,U(Violoncello)&P8(Contrabass),,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,U(Flute)&P8(Bb Clarinet 2),,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
438.0,444.0,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,Main Part,P8(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
444.0,450.0,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
450.0,456.0,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,Main Part,P8(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
456.0,462.0,Main Part,,,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(Bb Clarinet 1),,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
462.0,469.0,Main Part,,,P8(Main)&P8(Bassoon 1)&U(Violin 1)&U(Violin 2)&P8(Viola),,P8(Main)&P8(Bb Clarinet 1)&P8(Violin 1)&P8(Violin 2)&U(Viola),,,,,,,P8(Main)&U(Bb Clarinet 1)&P8(Bassoon 1)&U(Violin 2)&P8(Viola),P8(Main)&U(Bb Clarinet 1)&P8(Bassoon 1)&U(Violin 1)&P8(Viola),P8(Main)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
469.0,480.0,Main Part,P3(Oboe 2),P3(Oboe 1),P8(Main)&P8(Bassoon 1),,P8(Main)&P8(Bb Clarinet 1),,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
480.0,494.0,P8(Bb Clarinet 1),,,P8(Flute),P4(Bassoon 2)&P4(Bb (basso) Horn 1)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani),,P4(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P4(Bb Clarinet 2)&P8(Bassoon 2)&U(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani),,P4(Bb Clarinet 2)&P8(Bassoon 2)&U(Bb (basso) Horn 1)&U(Bb Trumpet 2)&P8(Timpani),P4(Bb Clarinet 2)&P8(Bassoon 2)&U(Bb (basso) Horn 1)&U(Bb Trumpet 1)&P8(Timpani),P4(Bb Clarinet 2)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
494.0,511.0,,U(Main),,,,,,,,P8(Bb Trumpet 2)&P8(Timpani),P8(Bb Trumpet 1)&P8(Timpani),P8(Bb Trumpet 1)&P8(Bb Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
511.0,540.0,U(Main),,,,,,,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
