qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
4.0,2.449,3,1.6667,F#5,D5,r,r,F#4,F#4,F#4,F#4,D4,F#4,F#4,F#4,r,r,r,r,r,D4
4.25,2.602,3,1.8333,F#5,D5,r,r,D4,D4,D4,D4,D4,D4,D4,D4,r,r,r,r,r,D4
4.5,2.7551,4,1.0,G5,E5,r,A2,A4,A4,A4,A4,D4,A4,A4,A4,r,r,r,r,r,D4
5.0,3.0612,4,1.3333,A5,F#5,r,r,A4,A4,A4,A4,C#4,A4,A4,A4,r,r,r,r,r,C#4
5.25,3.2143,4,1.5,G5,E5,r,r,A4,A4,A4,A4,C#4,A4,A4,A4,r,r,r,r,r,C#4
5.5,3.3673,4,1.6667,F#5,D5,r,r,A4,A4,A4,A4,A3,A4,A4,A4,r,r,r,r,r,A3
5.75,3.5204,4,1.8333,G5,E5,r,r,A4,A4,A4,A4,A3,A4,A4,A4,r,r,r,r,r,A3
6.0,3.6735,5,1.0,A5,F#5,D5,D3,A4,A4,A4,A4,D3,A4,A4,A4,r,r,r,r,r,D3
6.25,3.8265,5,1.1667,A5,F#5,D5,D3,A4,A4,A4,A4,D3,A4,A4,A4,r,r,r,r,r,D3
6.5,3.9796,5,1.3333,A5,A5,A4,D3,D5,D5,D5,D5,D3,D5,A4,F#4,r,r,r,r,r,D3
6.75,4.1327,5,1.5,A5,A5,A4,D3,F#5,F#5,F#5,F#5,D3,F#5,A4,F#4,r,r,r,r,r,D3
7.0,4.2857,5,1.6667,A5,G5,A4,A2,A5,A5,A5,A5,E3,A5,C#5,E4,r,r,r,r,r,E3
7.25,4.4388,5,1.8333,A5,G5,A4,A2,C#5,C#5,C#5,C#5,E3,C#5,C#5,E4,r,r,r,r,r,E3
7.5,4.5918,6,1.0,A5,F#5,A4,D3,D5,D5,D5,D5,F#3,D5,A4,D4,r,r,r,r,r,F#3
7.75,4.7449,6,1.1667,A5,F#5,A4,D3,F#5,F#5,F#5,F#5,F#3,F#5,A4,D4,r,r,r,r,r,F#3
8.0,4.898,6,1.3333,B5,D5,D4,D3,B5,B5,B5,B5,G3,B5,D5,D4,r,r,r,r,r,G3
8.25,5.051,6,1.5,A5,D5,D4,D3,A5,A5,A5,A5,F#3,A5,D5,D4,r,r,r,r,r,F#3
8.5,5.2041,6,1.6667,G5,D5,A4,D3,G5,G5,G5,G5,E3,G5,D5,A4,r,r,r,r,r,E3
8.75,5.3571,6,1.8333,F#5,D5,A4,D3,F#5,F#5,F#5,F#5,D3,F#5,D5,A4,r,r,r,r,r,D3
9.0,5.5102,7,1.0,E5,E5,A4,A2,E5,E5,E5,E5,A3,E5,C#5,A4,r,r,r,r,r,A3
9.25,5.6633,7,1.1667,E5,E5,A4,A2,C#5,A4,C#5,A4,A3,E5,C#5,A4,r,r,r,r,r,A3
9.5,5.8163,7,1.3333,A5,r,r,r,E5,C#5,E5,C#5,r,r,r,r,r,r,r,r,r,r
9.75,5.9694,7,1.5,A5,r,r,r,G5,E5,G5,E5,r,r,r,r,r,r,r,r,r,r
10.0,6.1224,7,1.6667,G5,r,r,r,E5,C#5,E5,C#5,r,r,r,r,r,r,r,r,r,r
10.25,6.2755,7,1.8333,G5,r,r,r,C#5,A4,C#5,A4,r,r,r,r,r,r,r,r,r,r
10.5,6.4286,8,1.0,F#5,D5,A4,A2,D5,D5,D5,D5,A2,r,r,r,r,r,r,r,r,A2
10.75,6.5816,8,1.1667,A5,D5,A4,A2,F#5,F#5,F#5,F#5,A2,D4,D4,D4,r,r,r,r,r,A2
11.0,6.7347,8,1.3333,G5,r,r,r,E5,E5,E5,E5,r,F#4,F#4,F#4,r,r,r,r,r,r
11.25,6.8878,8,1.5,F#5,r,r,r,D5,D5,D5,D5,r,A4,A4,A4,r,r,r,r,r,r
11.5,7.0408,8,1.6667,E5,r,r,r,C#5,C#5,C#5,C#5,r,F#4,F#4,F#4,r,r,r,r,r,r
11.75,7.1939,8,1.8333,D5,r,r,r,B4,B4,B4,B4,r,D4,D4,D4,r,r,r,r,r,r
12.0,7.3469,9,1.0,E5,A5,A4,A2,C#5,C#5,C#5,C#5,r,A4,A4,A4,r,r,r,r,r,r
12.25,7.5,9,1.1667,E5,A5,A4,A2,A4,C#5,A4,C#5,r,A4,A4,A4,r,r,r,r,r,r
12.5,7.6531,9,1.3333,r,r,r,r,C#5,r,C#5,r,A3,C#5,r,E4,r,r,r,r,r,A3
12.75,7.8061,9,1.5,r,r,r,r,E5,r,E5,r,A3,E5,r,E4,r,r,r,r,r,A3
13.0,7.9592,9,1.6667,r,r,r,r,C#5,r,C#5,r,G3,C#5,r,E4,r,r,r,r,r,G3
13.25,8.1122,9,1.8333,r,r,r,r,A4,r,A4,r,G3,A4,r,E4,r,r,r,r,r,G3
13.5,8.2653,10,1.0,A5,F#5,r,r,A5,r,A5,r,F#3,A5,r,F#4,r,r,r,r,r,F#3
13.75,8.4184,10,1.1667,A5,F#5,r,r,A5,F#4,A5,F#4,F#3,A5,F#4,F#4,r,r,r,r,r,F#3
14.0,8.5714,10,1.3333,r,r,r,r,A5,A4,A5,A4,F#3,A5,A4,C#4,r,r,r,r,r,F#3
14.25,8.7245,10,1.5,r,r,r,r,A5,C#5,A5,C#5,F#3,A5,C#5,C#4,r,r,r,r,r,F#3
14.5,8.8776,10,1.6667,r,r,r,r,A5,A4,A5,A4,E3,A5,A4,C#4,r,r,r,r,r,E3
14.75,9.0306,10,1.8333,r,r,r,r,A5,F#4,A5,F#4,E3,A5,F#4,C#4,r,r,r,r,r,E3
15.0,9.1837,11,1.0,A5,F#5,r,r,A5,F#5,A5,F#5,E-3,A5,F#5,B3,r,r,r,r,r,E-3
15.25,9.3367,11,1.1667,A5,F#5,r,r,B4,F#5,B4,F#5,E-3,B4,F#5,B3,r,r,r,r,r,E-3
15.5,9.4898,11,1.3333,r,r,r,r,E-5,F#5,E-5,F#5,B3,E-5,F#5,F#4,r,r,r,r,r,B3
15.75,9.6429,11,1.5,r,r,r,r,F#5,F#5,F#5,F#5,B3,F#5,F#5,F#4,r,r,r,r,r,B3
16.0,9.7959,11,1.6667,r,r,r,r,E-5,F#5,E-5,F#5,A3,E-5,F#5,F#4,r,r,r,r,r,A3
16.25,9.949,11,1.8333,r,r,r,r,B4,F#5,B4,F#5,A3,B4,F#5,F#4,r,r,r,r,r,A3
16.5,10.102,12,1.0,r,r,r,r,B5,F#5,B5,F#5,G3,B5,F#5,B3,r,r,r,r,r,G3
16.75,10.2551,12,1.1667,r,r,r,r,C6,A5,C6,A5,F#3,C6,A5,B3,r,r,r,r,r,F#3
17.0,10.4082,12,1.3333,B5,G5,r,r,B5,G5,B5,G5,G3,B5,G5,E4,r,r,r,r,r,G3
17.25,10.5612,12,1.5,B5,G5,r,r,A5,F#5,A5,F#5,A3,A5,F#5,E4,r,r,r,r,r,A3
17.5,10.7143,12,1.6667,A5,F#5,r,r,G5,E5,G5,E5,B3,G5,E5,B4,r,r,r,r,r,B3
17.75,10.8673,12,1.8333,A5,F#5,r,r,F#5,E-5,F#5,E-5,B3,F#5,E-5,B4,r,r,r,r,r,B3
18.0,11.0204,13,1.0,G5,E5,r,r,G5,E5,G5,E5,E3,G5,E5,B4,r,r,r,r,r,E3
18.25,11.1735,13,1.1667,G5,E5,r,r,B4,E5,B4,E5,E3,B4,E5,B4,r,r,r,r,r,E3
18.5,11.3265,13,1.3333,r,r,r,r,E5,r,E5,r,G3,E5,r,B3,r,r,r,r,r,G3
18.75,11.4796,13,1.5,r,r,r,r,G5,r,G5,r,G3,G5,r,B3,r,r,r,r,r,G3
19.0,11.6327,13,1.6667,r,r,r,r,E5,r,E5,r,F#3,E5,r,B3,r,r,r,r,r,F#3
19.25,11.7857,13,1.8333,r,r,r,r,B4,r,B4,r,F#3,B4,r,B3,r,r,r,r,r,F#3
19.5,11.9388,14,1.0,G5,E5,r,r,G5,r,G5,r,E3,G5,r,B3,r,r,r,r,r,E3
19.75,12.0918,14,1.1667,G5,E5,r,r,G5,E4,G5,E4,E3,G5,E4,B3,r,r,r,r,r,E3
20.0,12.2449,14,1.3333,r,r,r,r,G5,G4,G5,G4,E3,G5,G4,B4,r,r,r,r,r,E3
20.25,12.398,14,1.5,r,r,r,r,G5,B4,G5,B4,E3,G5,B4,B4,r,r,r,r,r,E3
20.5,12.551,14,1.6667,r,r,r,r,G5,G4,G5,G4,D3,G5,G4,B4,r,r,r,r,r,D3
20.75,12.7041,14,1.8333,r,r,r,r,G5,E4,G5,E4,D3,G5,E4,B4,r,r,r,r,r,D3
21.0,12.8571,15,1.0,G5,E5,A4,A2,G5,E5,G5,E5,C#3,G5,E5,A4,r,r,r,r,r,C#3
21.25,13.0102,15,1.1667,G5,E5,A4,A2,A4,E5,A4,E5,C#3,A4,E5,A4,r,r,r,r,r,C#3
21.5,13.1633,15,1.3333,r,r,r,r,C#5,E5,C#5,E5,A3,C#5,E5,E4,r,r,r,r,r,A3
21.75,13.3163,15,1.5,r,r,r,r,E5,E5,E5,E5,A3,E5,E5,E4,r,r,r,r,r,A3
22.0,13.4694,15,1.6667,r,r,r,r,C#5,E5,C#5,E5,G3,C#5,E5,E4,r,r,r,r,r,G3
22.25,13.6224,15,1.8333,r,r,r,r,A4,E5,A4,E5,G3,A4,E5,E4,r,r,r,r,r,G3
22.5,13.7755,16,1.0,r,r,r,r,A5,E5,A5,E5,F#3,A5,E5,A3,r,r,r,r,r,F#3
22.75,13.9286,16,1.1667,r,r,r,r,B5,G5,B5,G5,E3,B5,G5,A3,r,r,r,r,r,E3
23.0,14.0816,16,1.3333,A5,F#5,D5,A2,A5,F#5,A5,F#5,F#3,A5,F#5,D4,r,r,r,r,r,F#3
23.25,14.2347,16,1.5,A5,F#5,D5,A2,G5,E5,G5,E5,G3,G5,E5,D4,r,r,r,r,r,G3
23.5,14.3878,16,1.6667,G5,E5,A4,A2,F#5,D5,F#5,D5,A3,F#5,D5,A4,r,r,r,r,r,A3
23.75,14.5408,16,1.8333,G5,E5,A4,A2,E5,C#5,E5,C#5,A3,E5,C#5,A4,r,r,r,r,r,A3
24.0,14.6939,17,1.0,F#5,D5,A4,D3,F#5,D5,F#5,D5,D3,F#5,D5,A4,r,r,r,r,r,D3
24.25,14.8469,17,1.1667,F#5,D5,A4,D3,D5,D5,D5,D5,D3,D5,D5,A4,r,r,r,r,r,D3
24.5,15.0,17,1.3333,A5,F#5,r,r,F#5,r,F#5,r,D4,F#5,r,r,r,r,r,r,r,D4
24.75,15.1531,17,1.5,A5,F#5,r,r,A5,r,A5,r,D4,A5,r,r,r,r,r,r,r,D4
25.0,15.3061,17,1.6667,D6,B5,r,r,D6,F#5,D6,F#5,B3,D6,F#5,B4,r,r,r,r,r,B3
25.25,15.4592,17,1.8333,D6,B5,r,r,F#5,F#5,F#5,F#5,B3,F#5,F#5,B4,r,r,r,r,r,B3
25.5,15.6122,18,1.0,r,r,r,r,E5,B5,E5,B5,G3,E5,B5,B4,r,r,r,r,r,G3
25.75,15.7653,18,1.1667,r,r,r,r,D6,B5,D6,B5,G3,D6,B5,B4,r,r,r,r,r,G3
26.0,15.9184,18,1.3333,C#6,A5,r,r,C#6,r,C#6,r,E3,C#6,r,r,r,r,r,r,r,E3
26.25,16.0714,18,1.5,B5,G5,r,r,B5,r,B5,r,E3,B5,r,r,r,r,r,r,r,E3
26.5,16.2245,18,1.6667,C#6,A5,E5,A2,C#6,A5,C#6,A5,A3,C#6,A5,E4,r,r,r,r,r,A3
26.75,16.3776,18,1.8333,C#6,A5,E5,A2,E5,A5,E5,A5,A3,E5,A5,E4,r,r,r,r,r,A3
27.0,16.5306,19,1.0,r,r,D5,D3,D5,F#5,D5,F#5,B2,D5,F#5,B4,r,r,r,r,r,B2
27.25,16.6837,19,1.1667,r,r,D5,D3,B4,F#5,B4,F#5,B2,B4,F#5,B4,r,r,r,r,r,B2
27.5,16.8367,19,1.3333,F#5,D5,r,r,D5,r,D5,r,B3,D5,r,r,r,r,r,r,r,B3
27.75,16.9898,19,1.5,F#5,D5,r,r,F#5,r,F#5,r,B3,F#5,r,r,r,r,r,r,r,B3
28.0,17.1429,19,1.6667,B5,G5,r,r,B5,G5,B5,G5,G3,B5,G5,D5,r,r,r,r,r,G3
28.25,17.2959,19,1.8333,B5,G5,r,r,D5,G5,D5,G5,G3,D5,G5,D5,r,r,r,r,r,G3
28.5,17.449,20,1.0,r,r,r,r,C#5,G5,C#5,G5,E3,C#5,G5,E5,r,r,r,r,r,E3
28.75,17.602,20,1.1667,r,r,r,r,B5,G5,B5,G5,E3,B5,G5,E5,r,r,r,r,r,E3
29.0,17.7551,20,1.3333,A5,F#5,r,r,A5,r,A5,r,C#3,A5,r,r,r,r,r,r,r,C#3
29.25,17.9082,20,1.5,G5,E5,r,r,G5,r,G5,r,C#3,G5,r,r,r,r,r,r,r,C#3
29.5,18.0612,20,1.6667,A5,F#5,D4,A2,A5,D5,A5,D5,F#3,A5,D5,A4,r,r,r,r,r,F#3
29.75,18.2143,20,1.8333,A5,F#5,D4,A2,C5,D5,C5,D5,F#3,C5,D5,A4,r,r,r,r,r,F#3
30.0,18.3673,21,1.0,r,r,D4,D3,B4,D5,B4,D5,G2,B4,D5,B4,r,r,r,r,r,G2
30.25,18.5204,21,1.1667,r,r,D4,D3,G4,D5,G4,D5,G2,G4,D5,B4,r,r,r,r,r,G2
30.5,18.6735,21,1.3333,D5,D5,r,r,B4,r,B4,r,G3,B4,r,r,r,r,r,r,r,G3
30.75,18.8265,21,1.5,D5,D5,r,r,D5,r,D5,r,G3,D5,r,r,r,r,r,r,r,G3
31.0,18.9796,21,1.6667,G5,E5,r,r,G5,E5,G5,E5,E3,G5,E5,B4,r,r,r,r,r,E3
31.25,19.1327,21,1.8333,G5,E5,r,r,B4,E5,B4,E5,E3,B4,E5,B4,r,r,r,r,r,E3
31.5,19.2857,22,1.0,r,r,r,r,A4,E5,A4,E5,C#3,A4,E5,E4,r,r,r,r,r,C#3
31.75,19.4388,22,1.1667,r,r,r,r,G5,E5,G5,E5,C#3,G5,E5,E4,r,r,r,r,r,C#3
32.0,19.5918,22,1.3333,F#5,D5,r,r,F#5,r,F#5,r,A2,F#5,r,r,r,r,r,r,r,A2
32.25,19.7449,22,1.5,E5,C#5,r,r,E5,r,E5,r,A2,E5,r,r,r,r,r,r,r,A2
32.5,19.898,22,1.6667,F#5,D5,A4,D3,F#5,A4,F#5,A4,D3,F#5,A4,D4,r,r,r,r,r,D3
32.75,20.051,22,1.8333,F#5,D5,A4,D3,A4,A4,A4,A4,D3,A4,A4,D4,r,r,r,r,r,D3
33.0,20.2041,23,1.0,E5,D5,D5,D3,B4,B4,B4,B4,G2,B4,G4,B3,r,r,r,r,r,G2
33.25,20.3571,23,1.1667,E5,D5,D5,D3,A4,A4,A4,A4,G2,A4,F#4,B3,r,r,r,r,r,G2
33.5,20.5102,23,1.3333,E5,D5,r,r,G4,G4,G4,G4,A2,G4,E4,C#4,r,r,r,r,r,A2
33.75,20.6633,23,1.5,E5,D5,r,r,F#4,F#4,F#4,F#4,A2,F#4,D4,C#4,r,r,r,r,r,A2
34.0,20.8163,23,1.6667,E5,D5,r,r,E4,E4,E4,E4,B2,E4,G4,D4,r,r,r,r,r,B2
34.25,20.9694,23,1.8333,F#5,D5,r,r,C#5,C#5,C#5,C#5,B2,C#5,G4,D4,r,r,r,r,r,B2
34.375,21.0459,23,1.9167,G5,D5,r,r,C#5,C#5,C#5,C#5,B2,C#5,G4,D4,r,r,r,r,r,B2
34.5,21.1224,24,1.0,F#5,D5,r,r,D5,D5,D5,D5,A2,D5,A4,D4,r,r,r,r,r,A2
34.75,21.2755,24,1.1667,E5,D5,r,r,E5,E5,E5,E5,G2,E5,B4,B3,r,r,r,r,r,G2
35.0,21.4286,24,1.3333,E5,A4,A4,A2,C#5,C#5,C#5,C#5,A2,C#5,A4,E4,r,r,r,r,r,A2
35.25,21.5816,24,1.5,E5,A4,A4,A2,C#5,C#5,C#5,C#5,A2,C#5,A4,E4,r,r,r,r,r,A2
35.5,21.7347,24,1.6667,E5,A4,A4,A2,C#5,C#5,C#5,C#5,A2,C#5,A4,E4,r,r,r,r,r,A2
35.75,21.8878,24,1.8333,D5,A4,A4,A2,D5,D5,D5,D5,A2,D5,A4,E4,r,r,r,r,r,A2
36.0,22.0408,25,1.0,D5,A4,F#4,D3,D5,D5,D5,D5,D2,D5,A4,F#4,r,r,D4,r,r,D2
36.25,22.1939,25,1.1667,D5,A4,F#4,D3,D5,D5,D5,D5,D2,D5,A4,F#4,r,r,D4,r,r,D3
36.5,22.3469,25,1.3333,r,r,r,r,D4,r,D4,r,r,r,r,r,r,r,A3,r,r,F#3
36.75,22.5,25,1.5,r,r,r,r,D4,r,D4,r,r,r,r,r,r,r,A3,r,r,A3
37.0,22.6531,25,1.6667,r,r,r,r,D5,r,D5,r,r,r,r,r,r,r,D4,r,r,F#3
37.25,22.8061,25,1.8333,r,r,r,r,D5,r,D5,r,r,r,r,r,r,r,D4,r,r,D3
37.5,22.9592,26,1.0,r,r,r,r,D5,r,D5,r,r,r,r,r,r,r,E4,r,r,A3
38.0,23.2653,26,1.3333,r,r,r,r,C#5,r,C#5,r,r,r,r,r,r,r,F#4,r,r,r
38.25,23.4184,26,1.5,r,r,r,r,D5,r,D5,r,r,r,r,r,r,r,E4,r,r,r
38.5,23.5714,26,1.6667,r,r,r,r,B4,r,B4,r,r,r,r,r,r,r,D4,r,r,r
38.75,23.7245,26,1.8333,r,r,r,r,C#5,r,C#5,r,r,r,r,r,r,r,E4,r,r,r
39.0,23.8776,27,1.0,A5,F#5,D5,D3,D5,D5,D5,D5,r,r,r,r,r,r,F#4,D4,r,r
39.25,24.0306,27,1.1667,A5,F#5,D5,D3,C#5,D5,C#5,D5,r,r,r,r,r,r,F#4,D4,r,D3
39.5,24.1837,27,1.3333,r,r,r,r,D5,D4,D5,D4,r,r,r,r,r,r,A4,A3,r,F#3
39.75,24.3367,27,1.5,r,r,r,r,E5,D4,E5,D4,r,r,r,r,r,r,G4,A3,r,A3
40.0,24.4898,27,1.6667,r,r,r,r,F#5,D5,F#5,D5,r,r,r,r,r,r,A4,D4,r,F#3
40.25,24.6429,27,1.8333,r,r,r,r,G5,D5,G5,D5,r,r,r,r,r,r,F#4,D4,r,D3
40.5,24.7959,28,1.0,r,r,r,r,E5,D5,E5,D5,r,r,r,r,r,r,G4,E4,r,A3
41.0,25.102,28,1.3333,r,r,r,r,A4,C#5,A4,C#5,r,r,r,r,r,r,A4,F#4,r,r
41.25,25.2551,28,1.5,r,r,r,r,A4,D5,A4,D5,r,r,r,r,r,r,A4,E4,r,r
41.5,25.4082,28,1.6667,r,r,r,r,G5,B4,G5,B4,r,r,r,r,r,r,B4,D4,r,r
41.75,25.5612,28,1.8333,r,r,r,r,G5,C#5,G5,C#5,r,r,r,r,r,r,B4,E4,r,r
42.0,25.7143,29,1.0,A5,F#5,D5,D3,F#5,D5,F#5,D5,D3,r,r,F#4,F#5,D5,A4,F#4,D3,D3
42.25,25.8673,29,1.1667,A5,F#5,D5,D3,F#5,D5,F#5,D5,D3,A4,A4,F#4,F#5,D5,A4,F#4,D3,D3
42.5,26.0204,29,1.3333,A5,F#5,A4,D3,D5,A4,D5,A4,D3,D5,D5,F#4,D5,A4,A4,F#4,D3,D3
42.75,26.1735,29,1.5,A5,F#5,A4,D3,D5,A4,D5,A4,D3,F#5,F#5,F#4,D5,A4,A4,F#4,D3,D3
43.0,26.3265,29,1.6667,G5,E5,A4,A2,C#5,A4,C#5,A4,E3,A5,A5,G4,C#5,G4,A4,E4,E3,E3
43.25,26.4796,29,1.8333,G5,E5,A4,A2,C#5,A4,C#5,A4,E3,C#5,C#5,G4,C#5,G4,A4,E4,E3,E3
43.5,26.6327,30,1.0,F#5,D5,A4,D3,D5,A4,D5,A4,F#3,D5,D5,A4,D5,F#4,A4,D4,F#3,F#3
43.75,26.7857,30,1.1667,F#5,D5,A4,D3,D5,A4,D5,A4,F#3,F#5,C#5,A4,D5,F#4,A4,D4,F#3,F#3
44.0,26.9388,30,1.3333,A5,E5,A4,D3,E5,B4,E5,B4,G3,E5,B4,B4,E5,E4,B4,C#4,G3,G3
44.25,27.0918,30,1.5,A5,E5,A4,D3,D5,A4,D5,A4,F#3,D5,A4,B4,D5,E4,A4,C#4,F#3,F#3
44.5,27.2449,30,1.6667,D6,F#5,A4,D3,C#5,G4,C#5,G4,E3,C#5,G4,A4,C#5,A4,G4,D4,E3,E3
44.75,27.398,30,1.8333,D6,F#5,A4,D3,D5,F#4,D5,F#4,D3,D5,F#4,A4,D5,A4,F#4,D4,D3,D3
45.0,27.551,31,1.0,C#6,E5,A4,A2,E5,E4,E5,E4,A3,E5,E4,A3,E5,C#5,E4,A3,A3,A3
45.25,27.7041,31,1.1667,C#6,E5,A4,A2,A4,E4,A4,E4,A3,A4,E4,A3,E5,C#5,E4,A3,A3,A3
45.5,27.8571,31,1.3333,r,r,r,r,C#5,r,C#5,r,r,C#5,r,r,C#5,A4,A4,E4,A2,r
45.75,28.0102,31,1.5,r,r,r,r,E5,r,E5,r,r,E5,r,r,C#5,A4,A4,D4,A2,r
46.0,28.1633,31,1.6667,r,r,r,r,C#5,r,C#5,r,r,C#5,r,r,E5,C#5,G4,E4,A3,r
46.25,28.3163,31,1.8333,r,r,r,r,A4,r,A4,r,r,A4,r,r,E5,C#5,G4,C#4,A3,r
46.5,28.4694,32,1.0,D6,A5,F#4,A2,A5,r,A5,r,A2,A5,r,D4,D5,D5,F#4,A3,D4,A2
46.75,28.6224,32,1.1667,D6,A5,F#4,A2,A5,F#4,A5,F#4,A2,A5,F#4,D4,D5,D5,F#4,A3,D4,A2
47.0,28.7755,32,1.3333,r,r,r,r,A5,A4,A5,A4,r,A5,A4,r,E5,A4,G4,A4,C#4,r
47.25,28.9286,32,1.5,r,r,r,r,A5,D5,A5,D5,r,A5,D5,r,D5,A4,F#4,A4,C#4,r
47.5,29.0816,32,1.6667,r,r,r,r,A5,A4,A5,A4,r,A5,A4,r,C#5,A4,E4,A3,D4,r
47.75,29.2347,32,1.8333,r,r,r,r,A5,F#4,A5,F#4,r,A5,F#4,r,B4,A4,D4,A3,D4,r
48.0,29.3878,33,1.0,C#6,E5,A4,A2,A5,C#5,A5,C#5,A3,A5,C#5,E4,C#5,A4,A4,E4,A3,A3
48.25,29.5408,33,1.1667,C#6,E5,A4,A2,A5,E4,A5,E4,A3,A5,E4,E4,C#5,A4,A4,E4,A3,A3
48.5,29.6939,33,1.3333,r,r,r,r,r,A4,r,A4,E3,r,A4,r,C#5,A4,A4,E4,A3,E3
48.75,29.8469,33,1.5,r,r,r,r,r,C#5,r,C#5,E3,r,C#5,r,C#5,A4,A4,E4,A3,E3
49.0,30.0,33,1.6667,r,r,r,r,r,A4,r,A4,C#3,r,A4,r,C#5,A4,A4,E4,A3,C#3
49.25,30.1531,33,1.8333,r,r,r,r,r,E4,r,E4,C#3,r,E4,r,C#5,A4,A4,E4,A3,C#3
49.5,30.3061,34,1.0,A5,E5,r,r,r,E5,r,E5,A2,r,E5,r,r,r,r,r,r,A2
49.75,30.4592,34,1.1667,A5,E5,r,r,C#5,E5,C#5,E5,A2,C#5,E5,r,r,r,r,r,r,A2
50.0,30.6122,34,1.3333,r,r,r,r,E5,E5,E5,E5,C#3,E5,E5,A4,r,r,r,r,r,C#3
50.25,30.7653,34,1.5,r,r,r,r,G5,E5,G5,E5,C#3,G5,E5,A4,r,r,r,r,r,C#3
50.5,30.9184,34,1.6667,r,r,r,r,E5,E5,E5,E5,E3,E5,E5,G4,r,r,r,r,r,E3
50.75,31.0714,34,1.8333,r,r,r,r,C#5,E5,C#5,E5,E3,C#5,E5,G4,r,r,r,r,r,E3
51.0,31.2245,35,1.0,C#6,E5,r,r,C#6,E5,C#6,E5,B-2,C#6,E5,F#4,r,r,r,r,r,B-2
51.25,31.3776,35,1.1667,C#6,E5,r,r,C#6,F#4,C#6,F#4,B-2,C#6,F#4,F#4,r,r,r,r,r,B-2
51.5,31.5306,35,1.3333,r,r,r,r,C#6,B-4,C#6,B-4,F#3,C#6,B-4,C#4,r,r,r,r,r,F#3
51.75,31.6837,35,1.5,r,r,r,r,C#6,C#5,C#6,C#5,F#3,C#6,C#5,C#4,r,r,r,r,r,F#3
52.0,31.8367,35,1.6667,r,r,r,r,C#6,B-4,C#6,B-4,E3,C#6,B-4,C#4,r,r,r,r,r,E3
52.25,31.9898,35,1.8333,r,r,r,r,C#6,F#4,C#6,F#4,E3,C#6,F#4,C#4,r,r,r,r,r,E3
52.5,32.1429,36,1.0,r,r,r,r,C#6,F#5,C#6,F#5,D3,C#6,F#5,F#3,r,r,r,r,r,D3
52.75,32.2959,36,1.1667,r,r,r,r,E6,G5,C#6,G5,C#3,E6,G5,F#3,r,r,r,r,r,C#3
53.0,32.449,36,1.3333,D6,F#5,r,r,D6,F#5,B5,F#5,D3,D6,F#5,B3,r,r,r,r,r,D3
53.25,32.602,36,1.5,D6,F#5,r,r,C#6,E5,C#6,E5,E3,C#6,E5,B3,r,r,r,r,r,E3
53.5,32.7551,36,1.6667,C#6,E5,r,r,B5,D5,B5,D5,F#3,B5,D5,F#4,r,r,r,r,r,F#3
53.75,32.9082,36,1.8333,C#6,E5,r,r,B-5,C#5,B-5,C#5,F#3,B-5,C#5,F#4,r,r,r,r,r,F#3
