qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
36.0,39.0,,P3(Tromba 3),P3(Tromba 2),P8(Traverso 2)&P8(Oboe 2),U(Oboe 1),P8(Timpani)&U(Oboe 2),U(Traverso 1),P8(Timpani)&U(Traverso 2),P8(Violin 1)&P5(Violin 2)&P3(Viola),P8(Bassoon)&P5(Violin 2)&P3(Viola),P5(Bassoon)&P5(Violin 1)&P3(Viola),P3(Bassoon)&P3(Violin 1)&P3(Violin 2),,,Main Part,,,
39.0,42.0,P3(Tromba 2)&P5(Tromba 3)&P5(Timpani),P3(Tromba 1)&P3(Tromba 3)&P3(Timpani),P5(Tromba 1)&P3(Tromba 2)&P8(Timpani),P5(Tromba 1)&P3(Tromba 2)&P8(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),P3(Viola)&P3(Soprano 1)&P8(Soprano 2)&U(Bass),,,P3(Bassoon)&P8(Soprano 1)&P3(Soprano 2)&P3(Bass),P3(Bassoon)&P8(Viola)&P3(Soprano 2)&P3(Bass),P8(Bassoon)&P3(Viola)&P3(Soprano 1)&P8(Bass),,Main Part,U(Bassoon)&P3(Viola)&P3(Soprano 1)&P8(Soprano 2),
42.0,48.25,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,Main Part,,,,,U(Bassoon)
48.25,49.75,,,P8(Timpani)&P4(Viola),P8(Tromba 3)&P4(Viola),U(Oboe 1)&U(Violin 1),Main Part,U(Traverso 1)&U(Violin 1),U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Main)&U(Oboe 2),P4(Tromba 3)&P4(Timpani),P6(Soprano 2)&P6(Alto)&P3(Tenor)&P6(Bass),P6(Soprano 1)&U(Alto)&P4(Tenor)&P8(Bass),P6(Soprano 1)&U(Soprano 2)&P4(Tenor)&P8(Bass),P3(Soprano 1)&P4(Soprano 2)&P4(Alto)&P4(Bass),P6(Soprano 1)&P8(Soprano 2)&P8(Alto)&P4(Tenor),U(Bassoon)
49.75,51.25,,,,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
51.25,52.75,P3(Tromba 2),P3(Tromba 1),,,U(Violin 1),Main Part,,U(Main)&U(Violin 2),U(Continuo),U(Traverso 1),U(Main)&U(Oboe 2),,,,,,,U(Bassoon)
52.75,54.25,,,,,Main Part,U(Oboe 2)&U(Violin 2),,U(Traverso 2)&U(Violin 2),U(Continuo),U(Main),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
54.25,55.75,,,,,U(Oboe 1)&U(Violin 1),Main Part,U(Traverso 1)&U(Violin 1),U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Main)&U(Oboe 2),,,,,,,U(Bassoon)
55.75,57.25,,,,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
57.25,58.75,P6(Tromba 2),P6(Tromba 1),,,U(Oboe 1)&U(Violin 1),Main Part,U(Traverso 1)&U(Violin 1),U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Main)&U(Oboe 2),,,,,,,U(Bassoon)
58.75,60.0,,,P8(Timpani)&U(Soprano 1),P8(Tromba 3)&P8(Soprano 1),Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,U(Tromba 3)&P8(Timpani),,,,,U(Bassoon)
60.0,63.0,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani),P4(Tromba 1)&P4(Tromba 3)&P4(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3),P6(Traverso 2)&U(Oboe 1)&P6(Oboe 2)&P8(Bassoon)&P4(Viola),P6(Traverso 1)&P6(Oboe 1)&U(Oboe 2)&P6(Bassoon)&P3(Viola),U(Traverso 1)&P6(Traverso 2)&P6(Oboe 2)&P8(Bassoon)&P4(Viola),P6(Traverso 1)&U(Traverso 2)&P6(Oboe 1)&P6(Bassoon)&P3(Viola),P8(Traverso 1)&P6(Traverso 2)&P8(Oboe 1)&P6(Oboe 2)&P4(Viola),,,P4(Traverso 1)&P3(Traverso 2)&P4(Oboe 1)&P3(Oboe 2)&P4(Bassoon),Main Part,,,,,
63.0,66.0,,P4(Tromba 3),P4(Tromba 2),,,,,,P4(Viola)&P8(Alto)&P4(Tenor)&U(Bass),,,P4(Bassoon)&P4(Alto)&P8(Tenor)&P4(Bass),,Main Part,P8(Bassoon)&P4(Viola)&P4(Tenor)&P8(Bass),P4(Bassoon)&P8(Viola)&P4(Alto)&P4(Bass),U(Bassoon)&P4(Viola)&P8(Alto)&P4(Tenor),
66.0,68.0,,P4(Tromba 3),P4(Tromba 2),,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Bass)&U(Continuo),,,,,,Main Part,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
68.0,73.75,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,Main Part,,,,,U(Bassoon)
73.75,75.25,,,,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,P3(Soprano 2),P3(Soprano 1),,,,U(Bassoon)
75.25,76.75,,,,,U(Violin 1)&P3(Soprano 1)&P8(Soprano 2),Main Part,,U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&P3(Soprano 1)&P8(Soprano 2),U(Main)&U(Oboe 2),,P3(Traverso 1)&P3(Violin 1)&P3(Soprano 2),P8(Traverso 1)&P8(Violin 1)&P3(Soprano 1),,,,U(Bassoon)
76.75,78.25,,,,,U(Violin 1)&P8(Soprano 2),U(Oboe 2)&U(Violin 2),,U(Traverso 2)&U(Violin 2),U(Bass)&U(Continuo),U(Traverso 1)&P8(Soprano 2),U(Traverso 2)&U(Oboe 2),,Main Part,P8(Traverso 1)&P8(Violin 1),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
78.25,79.75,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,Main Part,,U(Bassoon)
79.75,81.25,,,,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,P6(Tenor),P6(Alto),,U(Bassoon)
81.25,82.75,,,,,U(Oboe 1)&U(Violin 1)&P8(Alto),Main Part,U(Traverso 1)&U(Violin 1)&P8(Alto),U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1)&P8(Alto),U(Main)&U(Oboe 2),,P3(Soprano 2),P3(Soprano 1),P8(Traverso 1)&P8(Oboe 1)&P8(Violin 1),,,U(Bassoon)
82.75,84.25,,,,,U(Oboe 1)&P8(Violin 1)&P8(Main),U(Oboe 2)&U(Violin 2)&P8(Tenor),U(Traverso 1)&P8(Violin 1)&P8(Main),U(Traverso 2)&U(Violin 2)&P8(Tenor),U(Bass)&U(Continuo),P8(Traverso 1)&P8(Oboe 1)&P8(Main),U(Traverso 2)&U(Oboe 2)&P8(Tenor),,,,Main Part,P8(Traverso 2)&P8(Oboe 2)&P8(Violin 2),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
84.25,90.25,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,Main Part,,,,,U(Bassoon)
90.25,94.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,Main Part,,,,,U(Bassoon)
94.5,96.25,P3(Tromba 2)&P4(Tromba 3)&P4(Timpani),P3(Tromba 1)&P6(Tromba 3)&P6(Timpani),P4(Tromba 1)&P6(Tromba 2)&P8(Timpani),P4(Tromba 1)&P6(Tromba 2)&P8(Tromba 3),U(Oboe 1)&U(Main),U(Oboe 2)&U(Soprano 2),U(Traverso 1)&U(Main),U(Traverso 2)&U(Soprano 2),P8(Bass)&U(Continuo),,,,Main Part,U(Traverso 2)&U(Oboe 2),,,P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
96.25,98.0,,P6(Tromba 3)&P6(Timpani)&P6(Traverso 2)&P6(Oboe 2),P6(Tromba 2)&P8(Timpani)&P8(Traverso 2)&P8(Oboe 2),P6(Tromba 2)&P8(Tromba 3)&P8(Traverso 2)&P8(Oboe 2),U(Oboe 1),P6(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Oboe 2),U(Traverso 1),P6(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Traverso 2),U(Continuo),Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),U(Soprano 2)&P4(Alto)&P6(Tenor)&P8(Bass),U(Soprano 1)&P4(Alto)&P6(Tenor)&P8(Bass),P4(Soprano 1)&P4(Soprano 2)&P3(Tenor)&P4(Bass),P6(Soprano 1)&P6(Soprano 2)&P3(Alto)&P6(Bass),P8(Soprano 1)&P8(Soprano 2)&P4(Alto)&P6(Tenor),U(Bassoon)
98.0,99.25,,P8(Tromba 3)&P8(Timpani)&P8(Traverso 2)&P8(Oboe 2),P8(Tromba 2)&P8(Timpani)&U(Traverso 2)&U(Oboe 2),P8(Tromba 2)&P8(Tromba 3)&P8(Traverso 2)&P8(Oboe 2),Main Part,P8(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Oboe 2),U(Main),P8(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Traverso 2),U(Continuo),U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,,,,U(Bassoon)
99.25,101.0,,P8(Tromba 3)&P8(Timpani)&P8(Bassoon)&P8(Continuo),P8(Tromba 2)&P8(Timpani)&P8(Bassoon)&P8(Continuo),P8(Tromba 2)&P8(Tromba 3)&P8(Bassoon)&P8(Continuo),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),P8(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Continuo),Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),,,,,,P8(Tromba 2)&P8(Tromba 3)&P8(Timpani)&U(Bassoon)
101.0,102.0,Main Part,P4(Tromba 3)&P4(Timpani)&P8(Tenor)&P4(Continuo),P4(Tromba 2)&P8(Timpani)&P4(Tenor)&P8(Continuo),P4(Tromba 2)&P8(Tromba 3)&P4(Tenor)&U(Continuo),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),,,,,,,,P8(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P4(Continuo),,P4(Tromba 2)&P8(Tromba 3)&U(Timpani)&P4(Tenor)
102.0,105.0,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P6(Oboe 2),P4(Tromba 1)&P4(Tromba 3)&P4(Timpani)&U(Traverso 1)&P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2),P8(Tromba 1)&P4(Tromba 2)&P8(Timpani)&P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P6(Oboe 2),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P6(Oboe 2),P4(Tromba 1)&U(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2),P6(Tromba 1)&P3(Tromba 2)&P6(Tromba 3)&P6(Timpani)&P3(Traverso 1)&P3(Oboe 1)&U(Oboe 2),P4(Tromba 1)&U(Tromba 2)&P4(Tromba 3)&P4(Timpani)&U(Traverso 1)&P3(Traverso 2)&P3(Oboe 2),P6(Tromba 1)&P3(Tromba 2)&P6(Tromba 3)&P6(Timpani)&P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1),,,U(Viola),U(Violin 2),,,,Main Part,,
105.0,108.0,,,,,,,,,,,,,,,Main Part,,,
108.0,108.25,,,,,,,,,,,P6(Alto)&P8(Tenor)&P4(Main),,,,P6(Violin 2)&P6(Tenor)&P3(Main),P8(Violin 2)&P6(Alto)&P4(Main),Main Part,
108.25,111.0,,,,,U(Oboe 1),,U(Traverso 1),,,,,,,,,,,Main Part
111.0,114.0,P8(Timpani)&P8(Bassoon)&U(Soprano 2),,,P8(Tromba 1)&U(Bassoon)&P8(Soprano 2),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),P8(Tromba 1)&U(Timpani)&P8(Soprano 2),,,,Main Part,U(Tromba 1)&P8(Timpani)&P8(Bassoon),,,,
114.0,117.5,,,,,U(Oboe 1)&U(Violin 1)&U(Violin 2)&U(Viola),U(Oboe 2),U(Traverso 1)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 2),U(Continuo),U(Traverso 1)&U(Oboe 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Oboe 1)&U(Violin 1)&U(Viola),U(Traverso 1)&U(Oboe 1)&U(Violin 1)&U(Violin 2),,Main Part,,,,U(Bassoon)
117.5,120.0,Main Part,,P3(Soprano 1)&U(Soprano 2)&P5(Alto)&P5(Tenor)&P8(Bass),,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Violin 2)&U(Viola),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 2)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Violin 2),P3(Tromba 3)&P3(Soprano 2)&P3(Alto)&P3(Tenor)&P3(Bass),U(Tromba 3)&P3(Soprano 1)&P5(Alto)&P5(Tenor)&P8(Bass),P5(Tromba 3)&P3(Soprano 1)&P5(Soprano 2)&P8(Tenor)&P5(Bass),P5(Tromba 3)&P3(Soprano 1)&P5(Soprano 2)&P8(Alto)&P5(Bass),P8(Tromba 3)&P3(Soprano 1)&P8(Soprano 2)&P5(Alto)&P5(Tenor),U(Bassoon)
120.0,123.25,P8(Alto),,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Bass)&U(Continuo),,,,Main Part,,P8(Tromba 1),,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
123.25,126.5,,,P8(Timpani),P8(Tromba 3),Main Part,U(Oboe 2),U(Main),U(Traverso 2),U(Continuo),,,,,,P3(Tenor)&P4(Bass),P3(Alto)&P6(Bass),P4(Alto)&P6(Tenor),U(Bassoon)
126.5,127.75,P3(Tromba 2),P3(Tromba 1),,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,Main Part,P3(Main),,,,U(Bassoon)
127.75,129.5,P3(Tromba 2),P3(Tromba 1),,,U(Oboe 1)&U(Violin 1),Main Part,U(Traverso 1)&U(Violin 1),U(Main)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Main)&U(Oboe 2),,P3(Soprano 2),P3(Soprano 1),P2(Tenor),P2(Alto),,U(Bassoon)
129.5,130.75,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2)&U(Soprano 1),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2)&U(Soprano 1),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2)&U(Soprano 1),P8(Main),U(Traverso 2)&U(Oboe 2)&U(Violin 2),,Main Part,,,U(Bassoon)
130.75,132.5,P3(Tromba 2),P3(Tromba 1),,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,Main Part,,,,,U(Bassoon)
132.5,134.0,P3(Tromba 2),P3(Tromba 1),,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,P5(Soprano 2),P5(Soprano 1),,Main Part,,U(Bassoon)
134.0,135.5,P3(Tromba 2)&P2(Tromba 3)&P2(Timpani),P3(Tromba 1)&P4(Tromba 3)&P4(Timpani),P2(Tromba 1)&P4(Tromba 2)&P8(Timpani),P2(Tromba 1)&P4(Tromba 2)&P8(Tromba 3),U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,P3(Soprano 2),P3(Soprano 1),P3(Tenor),P3(Alto),Main Part,U(Bassoon)
135.5,136.75,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2)&P3(Alto)&P8(Tenor),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2)&P3(Alto)&P8(Tenor),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2)&P3(Alto)&P8(Tenor),P8(Soprano 2),Main Part,P8(Viola),P3(Traverso 2)&P3(Oboe 2)&P3(Violin 2)&P3(Tenor),P8(Traverso 2)&P8(Oboe 2)&P8(Violin 2)&P3(Alto),,U(Bassoon)
136.75,138.25,P3(Tromba 2),P3(Tromba 1),,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2)&P3(Main)&P8(Tenor),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2)&P3(Main)&P8(Tenor),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2)&P3(Main)&P8(Tenor),,,,Main Part,P8(Traverso 2)&P8(Oboe 2)&P8(Violin 2)&P3(Main),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
138.25,140.0,,,P5(Timpani),P5(Tromba 3),U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,Main Part,,,,U(Bassoon)
140.0,141.25,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2)&P4(Viola),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2)&P4(Viola),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2)&P4(Viola),P4(Traverso 2)&P4(Oboe 2)&P4(Violin 2),Main Part,,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
141.25,144.25,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,U(Bassoon)
144.25,149.0,,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2),U(Traverso 1)&U(Violin 1),U(Traverso 2),U(Continuo),U(Traverso 1)&U(Oboe 1),,,Main Part,,,,,U(Bassoon)
149.0,151.5,,Main Part,U(Violin 2)&P8(Tenor),P8(Bassoon),U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),P8(Timpani),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Tromba 3)&P8(Tenor),,,,,P8(Tromba 3)&P8(Violin 2),P8(Continuo),P8(Bass)
151.5,155.5,,,,,,,,,,P5(Violin 2)&U(Viola),P5(Violin 1)&P5(Viola),U(Violin 1)&P5(Violin 2),Main Part,,,,P8(Continuo),P8(Bass)
155.5,159.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),,Main Part,,,P3(Alto),,P3(Soprano 1),,,
