qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Eb Trumpet 1,Eb Trumpet 2,Alto Trombone,Tenor Trombone,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
216.0,218.0,,P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P3(Flute 1)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P5(F Horn 1)&P8(F Horn 2)&P5(Eb Trumpet 1)&P5(Eb Trumpet 2),P3(Flute 1)&P5(Flute 2)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P8(F Horn 1)&P5(F Horn 2)&U(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P5(F Horn 1)&P8(F Horn 2)&P5(Eb Trumpet 1)&P5(Eb Trumpet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P3(Eb Trumpet 1)&P3(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(F Horn 1)&U(F Horn 2)&P5(Eb Trumpet 1)&P5(Eb Trumpet 2),,P3(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P5(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P3(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P5(F Horn 1)&P5(Eb Trumpet 1)&P5(Eb Trumpet 2),P3(Flute 1)&P5(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P8(F Horn 1)&P5(F Horn 2)&P8(Eb Trumpet 2),P3(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&U(F Horn 1)&P5(F Horn 2)&P8(Eb Trumpet 1),,,,Main Part,P5(Viola),P5(Violin 2),P8(Contrabass),P8(Violoncello)
218.0,220.0,,P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P5(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Flute 1)&P5(Flute 2)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1),,,P8(F Horn 2),P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
220.0,244.0,,P3(Flute 2),P3(Flute 1),,P8(Bb Clarinet 2)&P4(F Horn 1)&P4(F Horn 2),,P8(Oboe 2)&P4(F Horn 1)&P4(F Horn 2),,,P4(Oboe 2)&P4(Bb Clarinet 2)&P8(F Horn 2),P4(Oboe 2)&P4(Bb Clarinet 2)&P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
244.0,260.5,,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,,,,Main Part,,,
260.5,263.0,,,,P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),P8(F Horn 2)&P5(Violin 2)&P8(Viola),P8(F Horn 1)&P5(Violin 2)&U(Viola),,,,,,Main Part,P5(F Horn 1)&P5(F Horn 2)&P5(Viola),P8(F Horn 1)&U(F Horn 2)&P5(Violin 2),U(Contrabass),U(Violoncello)
263.0,270.0,,P8(Flute 2),P8(Flute 1),P3(Oboe 2)&P8(Bassoon 1),P3(Oboe 1)&P3(Bassoon 1),Main Part,,P8(Oboe 1)&P3(Oboe 2),,P8(F Horn 2),P8(F Horn 1),,,,,,,,,,
270.0,276.5,,P8(Flute 2)&P3(Main)&P6(Viola),P8(Flute 1)&P3(Main)&P6(Viola),,,,,,,,,,,,,,,Main Part,P6(Flute 1)&P6(Flute 2)&P4(Main),,
276.5,280.5,,P8(Flute 2),P8(Flute 1),P6(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P6(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2),,,P3(Oboe 1)&P4(Oboe 2)&P3(Bassoon 2),P8(Oboe 1)&P6(Oboe 2)&P3(Bassoon 1),,,,,,,,Main Part,P4(Viola),P4(Violin 2),P8(Contrabass),P8(Violoncello)
280.5,284.5,,Main Part,U(Main),P6(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P6(Oboe 1)&P4(Bassoon 1)&P6(Bassoon 2),,,P3(Oboe 1)&P4(Oboe 2)&P3(Bassoon 2),P8(Oboe 1)&P6(Oboe 2)&P3(Bassoon 1),,,,,,,,,P4(Viola),P4(Violin 2),,
284.5,288.5,,,,,,,,,,,,,,,,,Main Part,P4(Viola),P4(Violin 2),,
288.5,292.5,,Main Part,,,,,,,,,,,,,,,,,,,
292.5,296.5,,,,,,,,,,,,,,,,,Main Part,P7(Viola),P7(Violin 2),,
296.5,300.5,,Main Part,,,,,,,,,,,,,,,,,,,
300.5,304.5,,,,,,,,,,,,,,,,,Main Part,P3(Viola),P3(Violin 2),,
304.5,308.0,,Main Part,P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(Eb Trumpet 1)&P8(Eb Trumpet 2),,,,P8(Flute 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(F Horn 1)&P8(F Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Flute 2)&U(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),P8(Flute 2)&U(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Eb Trumpet 2),P8(Flute 2)&U(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(Eb Trumpet 1),,,,P8(Main),,,,
308.0,320.0,,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Main)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2),P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
320.0,335.0,,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&U(Main)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&U(Flute 2)&U(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),,P8(F Horn 2),P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
335.0,351.0,,,,Main Part,P8(Main)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1),U(Main)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),,P8(F Horn 2),P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
351.0,354.0,P8(Oboe 2),,P4(Main)&P4(Bassoon 1),Main Part,P8(Piccolo),,,P4(Flute 2)&P8(Main),,U(F Horn 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),U(F Horn 1)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(F Horn 1)&P4(F Horn 2)&U(Eb Trumpet 2),P4(F Horn 1)&P4(F Horn 2)&U(Eb Trumpet 1),,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
354.0,360.0,P4(Flute 1)&P4(Bb Clarinet 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P4(Piccolo)&P4(Flute 2)&P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(Flute 1)&P4(Bb Clarinet 1)&P8(Bb Clarinet 2),P4(Oboe 2)&P8(Bassoon 1),P4(Oboe 1)&P4(Bassoon 1),P4(Piccolo)&P8(Flute 1)&P4(Flute 2)&P4(Bb Clarinet 2)&P4(Eb Trumpet 1)&P4(Eb Trumpet 2),P4(Flute 1)&P8(Flute 2)&P4(Bb Clarinet 1),P8(Oboe 1)&P4(Oboe 2),,U(F Horn 2),U(F Horn 1),P8(Piccolo)&P4(Flute 1)&P4(Bb Clarinet 1)&P8(Eb Trumpet 2),P8(Piccolo)&P4(Flute 1)&P4(Bb Clarinet 1)&P8(Eb Trumpet 1),,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
360.0,362.0,P7(Bassoon 1)&P8(Bassoon 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Oboe 2)&P8(Bb Clarinet 1),U(Main)&P8(Bb Clarinet 2),Main Part,P8(Flute 1)&U(Bb Clarinet 1),P8(Flute 1)&U(Oboe 2),P8(Flute 2)&P8(Main),P7(Piccolo)&P7(Bassoon 2)&P7(Eb Trumpet 1)&P7(Eb Trumpet 2),P8(Piccolo)&P7(Bassoon 1)&P8(Eb Trumpet 1)&U(Eb Trumpet 2),,,P8(Piccolo)&P7(Bassoon 1)&P8(Bassoon 2)&P8(Eb Trumpet 2),P8(Piccolo)&P7(Bassoon 1)&U(Bassoon 2)&P8(Eb Trumpet 1),,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
362.0,368.0,,P7(Flute 2)&P7(Oboe 1)&P8(Bb Clarinet 1)&P7(Bb Clarinet 2)&P8(Bassoon 1)&P7(Bassoon 2),P7(Flute 1)&U(Oboe 1)&P7(Bb Clarinet 1)&P8(Bb Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2),P7(Flute 1)&U(Flute 2)&P7(Bb Clarinet 1)&P8(Bb Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&P7(Flute 2)&P7(Oboe 1)&P7(Bb Clarinet 2)&P8(Bassoon 1)&P7(Bassoon 2),P7(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P7(Bb Clarinet 1)&P7(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P7(Flute 2)&P7(Oboe 1)&P8(Bb Clarinet 1)&P7(Bb Clarinet 2)&P7(Bassoon 2),P7(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P7(Bb Clarinet 1)&P8(Bb Clarinet 2)&P7(Bassoon 1),,,P8(Eb Trumpet 2),P8(Eb Trumpet 1),,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
368.0,370.0,P8(Oboe 2),P8(Bb Clarinet 1)&P8(Bassoon 1),U(Main)&P8(Bb Clarinet 2)&P8(Bassoon 2),Main Part,P8(Piccolo),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Main)&P8(Bassoon 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Main)&P8(Bb Clarinet 2),,,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
370.0,376.0,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),,,,,,,,Main Part,U(Main),,P8(Contrabass),P8(Violoncello)
376.0,376.5,P8(Bassoon 2)&P8(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bassoon 1)&P8(Violin 1),P8(Flute 1)&U(Main)&P8(Oboe 2)&P8(Bassoon 1)&P8(Violin 1),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Bassoon 1)&P8(Violin 1),,,P8(Flute 1)&P8(Flute 2)&P8(Main)&U(Oboe 2)&P8(Violin 1),P8(Piccolo)&P8(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),,,,,,,,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bassoon 1),P8(Piccolo)&P8(Bassoon 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),P5(Piccolo)&P5(Bassoon 2)&P5(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Piccolo)&P3(Bassoon 2)&P3(Violin 2)&P3(Viola)&P8(Contrabass),P3(Piccolo)&P3(Bassoon 2)&P3(Violin 2)&P3(Viola)&P8(Violoncello)
376.5,392.5,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Bassoon 1),P7(Bb Clarinet 2),P7(Bb Clarinet 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2),,,,,,,,,Main Part,P5(Viola),P5(Violin 2),,
392.5,408.5,P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Bassoon 1),P5(Piccolo)&P7(Bb Clarinet 2)&P3(Bassoon 2),P3(Piccolo)&P7(Bb Clarinet 1)&P5(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2),P3(Piccolo)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2),U(F Horn 2),U(F Horn 1),,,,,,Main Part,,,,
408.5,440.0,,P8(Oboe 2),,Main Part,P8(Flute 1),,,,,P8(F Horn 2),P8(F Horn 1),P8(Eb Trumpet 2)&P3(Alto Trombone)&P3(Tenor Trombone)&P3(Timpani),P8(Eb Trumpet 1)&P3(Alto Trombone)&P3(Tenor Trombone)&P3(Timpani),P3(Eb Trumpet 1)&P3(Eb Trumpet 2)&P8(Tenor Trombone)&P8(Timpani),P3(Eb Trumpet 1)&P3(Eb Trumpet 2)&P8(Alto Trombone)&P8(Timpani),P3(Eb Trumpet 1)&P3(Eb Trumpet 2)&P8(Alto Trombone)&P8(Tenor Trombone),U(Main),,,,
440.0,452.0,,,P4(F Horn 1)&P4(F Horn 2),Main Part,,,,,,P4(Flute 2)&P8(F Horn 2),P4(Flute 2)&P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),P8(Tenor Trombone),P8(Alto Trombone),,,,,P8(Contrabass),P8(Violoncello)
452.0,473.0,,,,Main Part,,,,,,P8(F Horn 2),P8(F Horn 1),P8(Eb Trumpet 2),P8(Eb Trumpet 1),P8(Tenor Trombone),P8(Alto Trombone),,,,,P8(Contrabass),P8(Violoncello)
473.0,485.0,,,,,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),Main Part,P8(Main),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
485.0,501.0,,,,,,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
501.0,524.0,,,,Main Part,P8(Bb Clarinet 2),P8(Main),P8(Oboe 2),,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
524.0,544.0,,,,Main Part,P8(Bb Clarinet 2),P8(Main),P8(Oboe 2),,,,,,,,,,,,,,
544.0,552.0,,,,,,,,,,,,,,,,,Main Part,P3(Main),,,
552.0,557.5,,,,,,,,,,,,,,,,,Main Part,,,,
557.5,562.0,,,,,,,,,,,,,,,,,Main Part,P3(Viola),P3(Violin 2),,
562.0,570.0,,,,,,,,,,,,,,,,,Main Part,P3(Main),,,
570.0,582.0,,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,Main Part,,,,
582.0,596.0,,,,Main Part,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,P3(Main),,
596.0,612.5,,,,Main Part,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,,,P8(Main),,,,
612.5,619.5,,Main Part,,P4(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(Violin 1),P4(Oboe 1)&P2(Bassoon 1)&P2(Bassoon 2)&P4(Violin 1),,,P3(Oboe 1)&P2(Oboe 2)&P8(Bassoon 2)&P3(Violin 1),P3(Oboe 1)&P2(Oboe 2)&P8(Bassoon 1)&P3(Violin 1),,,,,,,,P8(Oboe 1)&P4(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2),,,,
