qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
114.0,123.0,,,U(Oboe 2),U(Oboe 1),U(A Clarinet 2),U(A Clarinet 1),,,,,,,,,,,,,Main Part,,,,,P8(Main)
123.0,129.0,,,U(Oboe 2),U(Oboe 1),,,,P8(D Horn 1)&U(D Horn 2),P8(Bassoon 2)&P8(D Horn 2),U(Bassoon 2)&P8(D Horn 1),,,,,,P5(Violoncello),,,Main Part,P5(Viola)&P5(Contrabass),,P5(Violin 1)&P8(Contrabass),P5(Trombone 2),P5(Violin 1)&P8(Viola)
129.0,141.0,U(Flute 2),U(Flute 1),,,,,,,P8(D Horn 2),P8(D Horn 1),,,,,Main Part,P3(Main),,,,,,,,
141.0,153.0,,,,,,,,,,,,,,,Main Part,,,,,,,,,
153.0,159.0,Main Part,P6(A Clarinet 1)&P8(A Clarinet 2),P4(D Horn 1)&P4(D Horn 2),,P6(Flute 2)&P6(A Clarinet 2),P8(Flute 2)&P6(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),P4(Oboe 1)&P8(D Horn 2),P4(Oboe 1)&P8(D Horn 1),,,,,,,,,,,,,,
159.0,166.0,Main Part,,P8(Main),,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabass),P8(D Horn 2),P8(D Horn 1),,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,,,P8(Bassoon 1)&P8(Bassoon 2)
166.0,195.0,,,,,,,,P8(Violoncello)&P8(Contrabass),,,,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,Main Part,,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
195.0,198.5,,,,,P6(A Clarinet 2)&P4(E Horn 3)&P4(E Horn 4)&P6(D Trumpet 1)&P6(D Trumpet 2)&U(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(A Clarinet 1)&P3(E Horn 3)&P3(E Horn 4)&U(D Trumpet 1)&P8(D Trumpet 2)&P6(Violin 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),,,,,P4(A Clarinet 1)&P3(A Clarinet 2)&U(E Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P4(A Clarinet 1)&P3(A Clarinet 2)&U(E Horn 3)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P6(A Clarinet 1)&U(A Clarinet 2)&P3(E Horn 3)&P3(E Horn 4)&P8(D Trumpet 2)&P6(Violin 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P3(E Horn 3)&P3(E Horn 4)&P8(D Trumpet 1)&P6(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),,,,,Main Part,,U(A Clarinet 1)&P6(A Clarinet 2)&P4(E Horn 3)&P4(E Horn 4)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(A Clarinet 1)&U(A Clarinet 2)&P3(E Horn 3)&P3(E Horn 4)&U(D Trumpet 1)&P8(D Trumpet 2)&P6(Violin 2)&P3(Violoncello)&P3(Contrabass),P4(A Clarinet 1)&P3(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Contrabass),P4(A Clarinet 1)&P3(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Violoncello)
198.5,201.0,,,P3(Oboe 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2),P3(Oboe 1)&U(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),,,P3(Oboe 1)&U(Oboe 2)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(D Horn 1)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&U(D Horn 1),,,,,Main Part,,,,,,,,,
201.0,204.5,P4(Flute 2),P4(Flute 1),,,,,,,,,,,,,Main Part,,,,,,,,,
204.5,207.0,,,P3(Oboe 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2),P3(Oboe 1)&U(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),Main Part,,P3(Oboe 1)&U(Oboe 2)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(D Horn 1)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&U(D Horn 1),,,,,,,,,,,,,,
207.0,210.5,P8(Flute 2),P8(Flute 1),,,Main Part,,,,,,,,,,,,,,,,,,,
210.5,230.0,,P4(Oboe 2),Main Part,P4(Flute 2),,,,,,,,,,,,,,,,,,,,
230.0,243.5,,,Main Part,,,,,,,,,,,,,,,,,,,,,
243.5,268.5,,,,,,,,,,,,,,,,,,,,Main Part,,,,
268.5,294.5,,,U(Oboe 2),U(Oboe 1),U(A Clarinet 2),U(A Clarinet 1),,,P8(D Horn 2)&P8(Timpani),P8(D Horn 1)&U(Timpani),,,,,,,,,P8(D Horn 1)&U(D Horn 2),Main Part,,,,
294.5,300.5,Main Part,P3(Main),,,,,,,,,,,,,,,,,,,,P3(Violoncello),P3(Viola),
300.5,303.0,Main Part,P3(Viola)&P8(Violoncello),P6(Oboe 2)&P8(Bassoon 1),P6(Oboe 1)&P6(Bassoon 1),P3(A Clarinet 2),P3(A Clarinet 1),P8(Oboe 1)&P6(Oboe 2),,,,,,,,,,,,,,,P3(Flute 2)&P3(Violoncello),P8(Flute 2)&P3(Viola),
303.0,315.0,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2),,,P8(Flute 1)&P8(Oboe 1),,,,,,,,,,,,,Main Part,,,,
315.0,321.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,Main Part,,,,
321.0,327.0,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,P8(Violin 2),P8(Violin 1),P3(Violoncello)&P3(Contrabass),P3(Viola)&P8(Contrabass),P3(Viola)&P8(Violoncello)
327.0,333.0,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
333.0,339.0,P8(Oboe 1),P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1),P8(Flute 2)&P8(Bassoon 2),,,,P8(Flute 2)&P8(Oboe 2),U(D Horn 2)&P8(Timpani),U(D Horn 1)&P8(Timpani),,,,,,,,,P8(D Horn 1)&P8(D Horn 2),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
339.0,351.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(D Horn 1)&P8(D Horn 2),P8(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1)&U(E Horn 3)&U(E Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2),,P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1),P8(A Clarinet 1)&U(A Clarinet 2)&U(E Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1)&U(A Clarinet 2)&U(E Horn 3)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&U(D Trumpet 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&U(D Trumpet 1),,,,,,Main Part,,P8(Bassoon 2),P8(Contrabass),P8(Violoncello)
351.0,383.0,P8(Main),P8(Oboe 2)&P8(A Clarinet 1),Main Part,P8(Flute 2)&U(A Clarinet 1),P8(Flute 2)&U(Oboe 2),,P8(Bassoon 2),P8(Bassoon 1),P8(D Horn 2),P8(D Horn 1),U(E Horn 4),U(E Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
383.0,390.0,P8(Violin 1),P8(Oboe 2),Main Part,P8(Flute 2),,,U(Bassoon 2),U(Bassoon 1),P8(D Horn 2),P8(D Horn 1),,,,,,,,,,P8(Flute 1),,,P8(Contrabass),P8(Violoncello)
390.0,409.0,,,,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,,P3(Trombone 2)&P4(Trombone 3)&P3(Tuba),P3(Trombone 1)&P6(Trombone 3)&P5(Tuba),P4(Trombone 1)&P6(Trombone 2)&P2(Tuba),P3(Trombone 1)&P5(Trombone 2)&P2(Trombone 3),,Main Part,P8(Main),,P8(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
409.0,465.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
465.0,489.0,,P8(Oboe 2)&P2(Violin 1),Main Part,P8(Flute 2)&P2(Violin 1),,,,,,,,,,,,,,,,P2(Flute 2)&P2(Oboe 2),,,,
489.0,510.0,P8(Main),,Main Part,,,,,,,,,,,,,,,,,,,,,
510.0,516.0,P8(Main),,U(Oboe 2),U(Oboe 1),,,,,,,,P2(Violin 2)&U(Contrabass),,,,,,,,Main Part,P2(E Horn 4)&P2(Contrabass),,,U(E Horn 4)&P2(Violin 2)
516.0,522.0,P8(Main),P8(Violin 2),U(Oboe 2)&P8(Bassoon 2),U(Oboe 1)&P8(Bassoon 2),P3(A Clarinet 2)&P3(Viola),P3(A Clarinet 1)&U(Viola),,P8(Oboe 1)&P8(Oboe 2),,,P8(E Horn 4),P8(E Horn 3),,,,,,,,Main Part,P8(Flute 2),P3(A Clarinet 1)&U(A Clarinet 2),P8(Contrabass),P8(Violoncello)
522.0,528.0,P8(Flute 2),P8(Flute 1),Main Part,P8(Bassoon 2),,,P8(Main),P8(Oboe 2),,,P8(E Horn 4),P8(E Horn 3),,,,,,,,P8(Violin 2)&P8(Violoncello),P8(Violin 1)&P8(Violoncello),,P8(Violin 1)&P8(Violin 2),
528.0,534.0,,,Main Part,P8(Main)&P8(Bassoon 2),P8(A Clarinet 2)&P4(D Horn 1),P8(A Clarinet 1)&P4(D Horn 1),,P8(Main)&P8(Oboe 2),P4(A Clarinet 1)&P4(A Clarinet 2),,P8(E Horn 4),P8(E Horn 3),,,,,,,,P8(Viola),P8(Violoncello),P8(Violin 1),P8(Violin 2),
534.0,540.0,P8(Oboe 1),,P8(Flute 1),,,P4(D Horn 1),,,P4(A Clarinet 2),,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
540.0,545.0,P8(Oboe 1),,P8(Flute 1),,,P4(D Horn 1),,,P4(A Clarinet 2),,,,,,,,,,,Main Part,P4(Viola),P4(Violin 2),P8(Contrabass),P8(Violoncello)
545.0,558.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
558.0,570.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2),,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1),,,,,,,,,,,,,,Main Part,U(Main)&P5(Viola),P5(Main)&P5(Violin 2),P8(Contrabass),P8(Violoncello)
570.0,582.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),U(D Horn 2),U(D Horn 1),P3(E Horn 4),P3(E Horn 3),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
582.0,594.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2),,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1),,,,,,,,,,,,,,Main Part,,,,
594.0,605.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,,,,,,,,,,,Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
605.0,648.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2),,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2),P8(Flute 1)&P8(A Clarinet 1),,,,,,,,,,,,,Main Part,,,,
648.0,651.0,,,,,Main Part,,,,,,,,,,P4(Trombone 2)&P6(Trombone 3)&P3(Tuba)&P3(Violoncello),P4(Trombone 1)&P3(Trombone 3)&P2(Tuba)&P2(Violoncello),P6(Trombone 1)&P3(Trombone 2)&P4(Tuba)&P4(Violoncello),P3(Trombone 1)&P2(Trombone 2)&P4(Trombone 3)&U(Violoncello),,,,,P3(Trombone 1)&P2(Trombone 2)&P4(Trombone 3)&U(Tuba),
651.0,657.0,P8(Oboe 1),,P8(Flute 1),,Main Part,,,,,,,,,,,P3(Trombone 3),P3(Trombone 2),U(Violoncello),,,,,U(Tuba),
657.0,660.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,P2(Trombone 2)&P4(Trombone 3)&P3(Tuba)&P3(Violoncello),P2(Trombone 1)&P3(Trombone 3)&P4(Tuba)&P4(Violoncello),P4(Trombone 1)&P3(Trombone 2)&P6(Tuba)&P6(Violoncello),P3(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&U(Violoncello),,Main Part,,,P3(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&U(Tuba),
660.0,663.0,,,,,,,,,,,,,,,P4(Trombone 2)&P3(Trombone 3)&P3(Violoncello),P4(Trombone 1)&P6(Trombone 3)&P6(Violoncello),P3(Trombone 1)&P6(Trombone 2)&U(Violoncello),,,Main Part,,,P3(Trombone 1)&P6(Trombone 2)&U(Trombone 3),
663.0,669.0,Main Part,,,,U(A Clarinet 2)&P8(Bassoon 1),U(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 1)&P8(A Clarinet 2),,,,,,,,,,U(Violoncello),,,,,,U(Trombone 3),
669.0,678.0,Main Part,,U(Oboe 2),U(Oboe 1),U(A Clarinet 2),U(A Clarinet 1),,,,,,,,,,,,,P8(Contrabass),,,,,P8(Timpani)
678.0,684.0,,,U(Oboe 2),U(Oboe 1),,,,P8(D Horn 1)&U(D Horn 2),P8(Bassoon 2)&P8(D Horn 2),U(Bassoon 2)&P8(D Horn 1),,,,,,P5(Violoncello),,,,Main Part,,P5(Main)&P8(Contrabass),P5(Trombone 2),P5(Main)&P8(Viola)
684.0,696.0,U(Flute 2),U(Flute 1),,,,,,,P8(D Horn 2),P8(D Horn 1),,,,,P3(Trombone 2),P3(Trombone 1),,,,Main Part,,,,
696.0,708.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,
708.0,714.0,Main Part,P6(A Clarinet 1)&P8(A Clarinet 2),P4(D Horn 1)&P4(D Horn 2),,P6(Flute 2)&P6(A Clarinet 2),P8(Flute 2)&P6(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),P4(Oboe 1)&P8(D Horn 2),P4(Oboe 1)&P8(D Horn 1),,,,,,,,,,,,,,
714.0,721.0,P8(Oboe 1),,P8(Flute 1),,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabass),P8(D Horn 2),P8(D Horn 1),,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,,Main Part,,,,P8(Bassoon 1)&P8(Bassoon 2)
721.0,750.0,,,,,,,,P8(Violoncello)&P8(Contrabass),,,,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,,Main Part,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
750.0,753.5,Main Part,,,,P6(A Clarinet 2)&P4(E Horn 3)&P4(E Horn 4)&P6(D Trumpet 1)&P6(D Trumpet 2)&U(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(A Clarinet 1)&P3(E Horn 3)&P3(E Horn 4)&U(D Trumpet 1)&P8(D Trumpet 2)&P6(Violin 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),,,,,P4(A Clarinet 1)&P3(A Clarinet 2)&U(E Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P4(A Clarinet 1)&P3(A Clarinet 2)&U(E Horn 3)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P6(A Clarinet 1)&U(A Clarinet 2)&P3(E Horn 3)&P3(E Horn 4)&P8(D Trumpet 2)&P6(Violin 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),P6(A Clarinet 1)&P8(A Clarinet 2)&P3(E Horn 3)&P3(E Horn 4)&P8(D Trumpet 1)&P6(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),,,,,,,U(A Clarinet 1)&P6(A Clarinet 2)&P4(E Horn 3)&P4(E Horn 4)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Viola)&P4(Violoncello)&P4(Contrabass),P6(A Clarinet 1)&U(A Clarinet 2)&P3(E Horn 3)&P3(E Horn 4)&U(D Trumpet 1)&P8(D Trumpet 2)&P6(Violin 2)&P3(Violoncello)&P3(Contrabass),P4(A Clarinet 1)&P3(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Contrabass),P4(A Clarinet 1)&P3(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P4(Violin 2)&P3(Viola)&P8(Violoncello)
753.5,756.0,Main Part,,P3(Oboe 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2),P3(Oboe 1)&U(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),,,P3(Oboe 1)&U(Oboe 2)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(D Horn 1)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2)&U(D Horn 1),,,,,,,,,,,,,,
756.0,759.5,P4(Flute 2),P4(Flute 1),,,,,Main Part,,,,,,,,,,,,,,,,,
759.5,762.0,,,P3(Oboe 2)&P3(Main)&P5(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2),P3(Oboe 1)&U(Main)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2),,,Main Part,P5(Oboe 1)&P3(Oboe 2)&P3(Main)&U(D Horn 1)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Main)&U(Bassoon 2)&U(D Horn 2),P5(Oboe 1)&P3(Oboe 2)&P3(Main)&U(Bassoon 2)&U(D Horn 1),,,,,,,,,,,,,,
762.0,765.5,P8(Flute 2),P8(Flute 1),,,,,,,,,,,,,,,,,,Main Part,,,,
765.5,785.0,,P4(Oboe 2),,P4(Flute 2),,,,,,,,,,,,,,,,Main Part,,,,
785.0,798.5,Main Part,,,,,,,,,,,,,,,,,,,,,,,
798.5,823.5,Main Part,,,,,,,,,,,,,,,,,,,,,,,
823.5,849.5,,,U(Oboe 2),U(Oboe 1),U(A Clarinet 2),U(A Clarinet 1),,,P8(D Horn 2)&P8(Timpani),P8(D Horn 1)&U(Timpani),,,,,,,,,P8(D Horn 1)&U(D Horn 2),Main Part,,,,
849.5,855.5,P3(Flute 2),P3(Flute 1),,,,,,,,,,,,,,,,,,Main Part,,P3(Violoncello),P3(Viola),
855.5,858.0,,P3(Viola)&P8(Violoncello),P6(Oboe 2)&P8(Bassoon 1),P6(Oboe 1)&P6(Bassoon 1),P3(A Clarinet 2),P3(A Clarinet 1),P8(Oboe 1)&P6(Oboe 2),,,,,,,,,,,,,Main Part,,P3(Flute 2)&P3(Violoncello),P8(Flute 2)&P3(Viola),
858.0,870.0,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2),,,P8(Flute 1)&P8(Oboe 1),,,,,,,,,,,,,Main Part,,,,
870.0,876.0,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,,,,,
