qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (alto) Horn 1,Bb (alto) Horn 2,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
107.0,97.2727,27,2.5,C6,C5,r,G5,G4,C4,C3,r,r,r,r,r,r,r,r,C3,G2
108.0,98.1818,28,1.0,C#6,C#5,r,G5,G4,C#4,C#3,r,r,r,r,r,r,r,r,r,E2
109.0,99.0909,28,1.5,C#6,C#5,r,r,r,C#4,C#3,r,r,r,r,r,C#5,G4,E4,G3,A1
110.0,100.0,28,2.0,C#6,C#5,r,r,r,C#4,C#3,r,r,r,r,r,E5,G4,E4,E3,r
111.0,100.9091,28,2.5,C#6,C#5,r,A5,A4,C#4,C#3,r,r,r,r,r,r,r,r,A2,A2
112.0,101.8182,29,1.0,D6,D5,r,A5,A4,D4,D3,r,r,r,r,r,r,r,r,r,F2
113.0,102.7273,29,1.5,D6,D5,r,r,r,D4,D3,r,r,r,r,r,D5,F4,D4,A3,D2
114.0,103.6364,29,2.0,D6,D5,r,r,r,D4,D3,r,r,r,r,r,F5,F4,D4,F3,r
115.0,104.5455,29,2.5,B-5,F5,D5,r,r,D4,D3,F5,B-4,r,r,r,B-5,B-4,D4,D3,B-2
116.0,105.4545,30,1.0,B-5,F5,D5,r,r,D4,D3,F5,B-4,r,r,r,B-5,B-4,D4,r,F2
117.0,106.3636,30,1.5,B-5,F5,D5,r,r,D4,D3,F5,B-4,r,r,r,D5,D4,r,B-3,D2
118.0,107.2727,30,2.0,B-5,F5,D5,r,r,D4,D3,F5,B-4,r,r,r,F5,F4,r,F3,r
119.0,108.1818,30,2.5,B-5,r,r,r,r,D4,D3,F5,B-4,r,r,r,B-4,D4,F3,D3,D2
120.0,109.0909,31,1.0,G#5,r,r,r,r,E4,E3,r,r,r,r,r,G#4,D4,E3,E3,E2
121.0,110.0,31,1.5,G#5,r,r,r,r,E4,E3,r,r,r,r,r,G#4,D4,B3,B2,B1
122.0,110.9091,31,2.0,G#5,r,r,r,r,E4,E3,r,r,r,r,r,G#4,E4,B3,E2,E1
123.0,111.8182,31,2.5,G#5,r,r,r,r,E4,E3,r,r,r,r,r,G#4,B3,E3,E3,E2
124.0,112.7273,32,1.0,A5,r,r,A4,r,A3,A2,r,r,r,r,r,A4,C#4,E3,A2,A1
125.0,113.6364,32,1.5,A5,r,r,A4,r,A3,A2,r,r,r,r,r,E4,C#4,G3,G3,r
126.0,114.5455,32,2.0,A5,r,r,A4,r,A3,A2,r,r,r,r,r,F4,D4,F3,F3,r
127.0,115.4545,32,2.5,A5,r,r,A4,r,A3,A2,r,r,r,r,r,G4,E4,E3,E3,r
127.5,115.9091,32,2.75,A5,r,r,A4,r,A3,A2,r,r,r,r,r,A4,F4,D3,D3,r
128.0,116.3636,33,1.0,A5,r,r,A4,r,A3,A2,r,r,r,r,r,G4,E4,C#3,C#3,C#2
129.0,117.2727,33,1.5,A5,r,r,A4,r,A3,A2,r,r,r,r,r,E4,C#4,G3,A2,A1
130.0,118.1818,33,2.0,A5,r,r,A4,r,A3,A2,r,r,r,r,r,F4,D4,F3,D3,D2
131.0,119.0909,33,2.5,A5,r,r,A4,r,A3,A2,r,r,r,r,r,E4,A3,G3,C#3,C#2
131.5,119.5455,33,2.75,A5,r,r,A4,r,A3,A2,r,r,r,r,r,D4,A3,F3,D3,D2
132.0,120.0,34,1.0,A5,r,r,A4,r,A3,A2,r,r,r,r,r,C#4,A3,E3,A2,A1
134.0,121.8182,34,2.0,A5,r,r,A4,r,A3,A2,r,r,r,r,r,A4,A4,A3,A2,A1
136.0,123.6364,35,1.0,A5,r,r,A4,r,A3,A2,r,r,r,r,r,A4,A4,A3,A2,A1
137.0,124.5455,35,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,r
138.0,125.4545,35,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,r
139.0,126.3636,35,2.5,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,r
140.0,127.2727,36,1.0,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,A5,A5,E-4,F2,F1
142.0,129.0909,36,2.0,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,A5,A5,E-4,F2,F1
143.5,130.4545,36,2.75,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,C5,C5,E-4,F2,F1
143.6,130.5455,36,2.8,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,D5,D5,E-4,F2,F1
143.7,130.6364,36,2.85,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,E-5,E-5,E-4,F2,F1
143.75,130.6818,36,2.875,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,E-5,E-5,E-4,F2,F1
143.8,130.7273,36,2.9,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,F5,F5,E-4,F2,F1
143.9,130.8182,36,2.95,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,G5,G5,E-4,F2,F1
144.0,130.9091,37,1.0,A5,E-5,C5,C5,A4,F3,F2,F5,F4,F4,F4,F2,A5,A5,E-4,F2,F1
148.0,134.5455,38,1.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A3,F2,F1
150.0,136.3636,38,2.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A3,F2,F1
151.5,137.7273,38,2.75,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,E-5,E-5,A3,F2,F1
151.6,137.8182,38,2.8,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,F5,F5,A3,F2,F1
151.7,137.9091,38,2.85,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,G5,G5,A3,F2,F1
151.75,137.9545,38,2.875,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,G5,G5,A3,F2,F1
151.8,138.0,38,2.9,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,A5,A5,A3,F2,F1
151.9,138.0909,38,2.95,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,B-5,B-5,A3,F2,F1
152.0,138.1818,39,1.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A3,F2,F1
155.0,139.4318,39,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F5,F5,r,r,r
155.25,139.536,39,2.625,r,r,r,r,r,r,r,r,r,r,r,r,G5,G5,r,r,r
155.5,139.6402,39,2.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
155.75,139.7443,39,2.875,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
156.0,139.8485,40,1.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A3,F2,F1
159.0,141.0985,40,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F5,F5,r,r,r
159.25,141.2027,40,2.625,r,r,r,r,r,r,r,r,r,r,r,r,G5,G5,r,r,r
159.5,141.3068,40,2.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
159.75,141.411,40,2.875,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
160.0,141.5152,41,1.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A3,F2,F1
161.5,142.1402,41,1.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
161.75,142.2443,41,1.875,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
162.0,142.3485,41,2.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A3,r,r
163.5,142.9735,41,2.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
163.75,143.0777,41,2.875,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-5,r,r,r
164.0,143.1818,42,1.0,C6,A5,E-5,E-5,A4,F3,F2,C5,F4,C5,F4,F2,C6,C6,A3,F2,F1
165.5,143.8068,42,1.75,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,r,r,r
