qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
123.5,125.75,,,Main Part,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
125.75,127.5,,,P8(Bb Clarinet 1)&P8(Bassoon 1),,P8(Oboe 1)&P8(Bassoon 1),,P8(Oboe 1)&P8(Bb Clarinet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
127.5,129.75,,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,P8(F Horn 2),P8(F Horn 1),Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
129.75,144.75,Main Part,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
144.75,146.75,,,P8(Bb Clarinet 1)&P4(F Horn 1)&P4(F Horn 2),,P8(Oboe 1)&P4(F Horn 1)&P4(F Horn 2),,,,P4(Oboe 1)&P4(Bb Clarinet 1)&P8(F Horn 2),P4(Oboe 1)&P4(Bb Clarinet 1)&P8(F Horn 1),,,,Main Part,P8(Main)
146.75,148.875,,,Main Part,,P8(Main),,,,P8(F Horn 2),P8(F Horn 1),,,,,
148.875,150.0,,,P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P2(F Horn 1)&P2(F Horn 2),P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&U(F Horn 2),P2(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&U(F Horn 1),Main Part,,,,
150.0,150.875,,,Main Part,P3(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P8(Main)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P3(Main)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P8(Main)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P3(Main)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P2(F Horn 1)&P2(F Horn 2),P2(Main)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&U(F Horn 2),P2(Main)&P2(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&U(F Horn 1),,,,,
150.875,156.0,P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),,,P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bassoon 2),,P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(F Horn 2),P8(F Horn 1),Main Part,,,P8(Contrabass),P8(Violoncello)
156.0,161.0,Main Part,P8(Oboe 2)&P8(Bb Clarinet 2),,P8(Flute 2)&P8(Bb Clarinet 2),,P8(Flute 2)&P8(Oboe 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(F Horn 2),P8(F Horn 1),,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
