qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"D, A Timpani",Triangle,Cymbals,Bass Drum,Soprano solo,Alto solo,Tenor solo,Bass solo,Soprano,Alto,Tenor,Bass,Violin 1,Violin 2,Viola,Violoncello,Contrabass
804.0,818.5,,P3(Oboe 1)&P8(Oboe 2),"P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(D Horn 1)&P3(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P8(Violin 1)&P8(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass)",P3(Flute 1)&P3(Oboe 2),P8(Flute 1)&P3(Oboe 1),,,"P3(Flute 2)&U(Bassoon 2)&P8(Contrabassoon)&P8(D Horn 1)&P8(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass)","P3(Flute 2)&U(Bassoon 1)&P8(Contrabassoon)&P8(D Horn 1)&P8(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass)","P3(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass)","P3(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&U(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass)","P3(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&U(D Horn 1)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass)",,,"P6(Flute 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Contrabassoon)&P4(D Horn 1)&P4(D Horn 2)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P6(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass)","P6(Flute 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Contrabassoon)&P4(D Horn 1)&P4(D Horn 2)&P8(D Trumpet 1)&P8(D, A Timpani)&P6(Violin 1)&P6(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass)",,,,P6(Flute 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Contrabassoon)&P4(D Horn 1)&P4(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P6(Violin 1)&P6(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),,,,,,,Main Part,,,,,"P8(Flute 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(D Horn 1)&P3(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&U(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass)","P8(Flute 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(D Horn 1)&P3(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&U(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass)","P3(Flute 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(D Horn 1)&P8(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&U(Violoncello)&P8(Contrabass)","P3(Flute 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(D Horn 1)&P8(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&U(Viola)&P8(Contrabass)","P3(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(D Horn 1)&P8(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)"
818.5,822.0,,"U(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P6(Contrabassoon)&P3(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&U(Violin 1)&P6(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass)","U(Flute 1)&U(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P6(Contrabassoon)&P3(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&U(Violin 1)&P6(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass)","U(Flute 1)&U(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P6(Contrabassoon)&P3(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&U(Violin 1)&P6(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass)","P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P8(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass)",,,"P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2)&P6(Contrabassoon)&P3(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P8(Violin 1)&P6(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass)","P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P4(Contrabassoon)&P8(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass)","P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass)","P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass)","P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass)",,,"P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass)","P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass)",,,,P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,,,,,Main Part,,,,,"U(Flute 1)&U(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P6(Contrabassoon)&P3(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P6(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass)","P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass)","P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass)","P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass)","P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P4(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)"
822.0,823.0,,Main Part,"U(Main)&P3(Oboe 2)&P6(Contrabassoon)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&U(Violin 1)&P6(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass)",P8(Bassoon 1)&P3(Bassoon 2)&P6(D Horn 2),"P3(Main)&P3(Flute 2)&P4(Contrabassoon)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P3(Violin 1)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass)",,,P8(Oboe 1)&P3(Bassoon 2)&P6(D Horn 2),P3(Oboe 1)&P3(Bassoon 1)&P4(D Horn 2),"P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass)",,P6(Oboe 1)&P6(Bassoon 1)&P4(Bassoon 2),,,"P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(Contrabassoon)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass)","P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(Contrabassoon)&P8(D Trumpet 1)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass)",,,,P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(Contrabassoon)&P8(D Trumpet 1)&P8(D Trumpet 2)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,,,,,,,,,,"U(Main)&U(Flute 2)&P3(Oboe 2)&P6(Contrabassoon)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P6(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass)","P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(Contrabassoon)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass)","P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(Contrabassoon)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass)","P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(Contrabassoon)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass)","P6(Main)&P6(Flute 2)&P4(Oboe 2)&P8(Contrabassoon)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(D, A Timpani)&P6(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)"
823.0,855.0,,,,Main Part,,,,,,,,,,,,,,,,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
855.0,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
871.0,886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,P8(Violin 2),P8(Violin 1),P8(Main)&P8(Violoncello)&P8(Contrabass),U(Main)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Viola)&P8(Violoncello)
886.0,918.0,,P8(Bb Clarinet 2),P8(Oboe 2),,P8(Flute 2),,P8(Flute 1),U(Bassoon 2),U(Bassoon 1),,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,Main Part,,P8(Tenor)&P8(Bass),P8(Alto)&P8(Bass),P8(Alto)&P8(Tenor),P8(Violin 2),P8(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
918.0,934.0,,P8(Oboe 1),,P8(Flute 1),,,,U(Bassoon 2),U(Bassoon 1),,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,,,Main Part,P8(Main)&P8(Bass),P8(Main)&P8(Tenor),U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
934.0,942.0,,,,P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Oboe 1),P8(Oboe 2),P8(Bassoon 2),P8(Bassoon 1),,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,,,U(Tenor)&P8(Bass),U(Alto)&P8(Bass),P8(Alto)&P8(Tenor),Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
942.0,951.0,,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(Bassoon 2)&P8(Main)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Contrabass),,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,P3(Tenor solo)&P3(Bass solo),P3(Alto solo)&P8(Bass solo),P3(Alto solo)&P8(Tenor solo),,,,,Main Part,P8(Bassoon 1)&P8(Bassoon 2)&U(Main)&P8(Viola)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Contrabass),,P8(Bassoon 1)&U(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)
951.0,967.0,,P8(Bassoon 1),,,,,,P8(Flute 1),,,,,,,,,,,,,,,,,Main Part,,,,,,,,,,,
967.0,975.0,,P8(Bassoon 1),,,,,,P8(Flute 1),,,,,,,,,,,,,,,,,Main Part,,U(Violoncello),,,,,,,,U(Bass solo),
975.0,983.0,,P8(Bassoon 1),,,,,,P8(Flute 1),,,,,,,,,,,,,,,,Main Part,,,,,,,,,,,,
983.0,998.0,,P8(Bassoon 1),,,,,,P8(Flute 1),,,,,,,,,,,,,,,,Main Part,,,,,,,,,,,,
998.0,1015.0,,P8(Bassoon 1),"P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P3(Soprano)&P6(Alto)&P8(Tenor)","P3(Flute 2)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&U(Soprano)&P4(Alto)&P3(Tenor)","P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P3(Soprano)&P6(Alto)&P8(Tenor)","P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&U(Soprano)&P4(Alto)&P3(Tenor)","P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P3(Soprano)&P6(Alto)&P8(Tenor)",P8(Flute 1),"P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P8(Soprano)&P4(Alto)&P3(Tenor)",,,,,,"P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 2)&P8(D Trumpet 2)&P8(D, A Timpani)&P4(Soprano)&U(Alto)&P6(Tenor)","P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 2)&P8(D Trumpet 1)&P8(D, A Timpani)&P4(Soprano)&P8(Alto)&P6(Tenor)",,,,P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P4(Soprano)&P8(Alto)&P6(Tenor),,,,Main Part,,,,"P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(D, A Timpani)&P4(Alto)&P3(Tenor)","P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P4(Soprano)&P6(Tenor)","P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(D, A Timpani)&P3(Soprano)&P6(Alto)",U(Viola)&P8(Contrabass),,,U(Bass)&P8(Contrabass),,P8(Bass)&P8(Viola)
1015.0,1030.0,,P8(Bassoon 1)&P8(Bassoon 2),,U(Main),,,,P8(Flute 1)&U(Bassoon 2),P8(Flute 1)&U(Bassoon 1),,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,,Main Part,,,,,,,P8(Contrabass),P8(Violoncello)
1030.0,1046.0,,,,P8(D Horn 1),,,,U(Bassoon 2),U(Bassoon 1),,P8(Oboe 1),,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,,Main Part,,,,,,,P8(Contrabass),P8(Violoncello)
1046.0,1054.0,,,,Main Part,P8(Bb Clarinet 2),P8(Main),P8(Oboe 2),,,,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,,,P3(Alto)&P8(Tenor)&P8(Bass),P3(Soprano)&P3(Tenor)&P3(Bass),P8(Soprano)&P3(Alto)&P8(Bass),P8(Soprano)&P3(Alto)&P8(Tenor),,,,P8(Contrabass),P8(Violoncello)
1054.0,1061.5,,,,Main Part,U(Bb Clarinet 2)&P8(Bassoon 2),,U(Oboe 2)&P8(Bassoon 2),,P8(Oboe 2)&P8(Bb Clarinet 2),,,,,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,,,P3(Bass solo),P3(Tenor solo),,,,,,,,P8(Contrabass),P8(Violoncello)
1061.5,1071.0,,P3(Flute 2),P3(Flute 1),P3(Bb Clarinet 1)&P8(Main)&P3(Bass solo),,P3(Oboe 1)&P3(Main)&P8(Bass solo),,,,,,,,,,,,,,,,,,,,Main Part,P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Main),,,,,,,,,
1071.0,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,,,
1077.0,1087.0,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,,,,
1087.0,1093.5,,P8(Main),,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,,,,
1093.5,1103.0,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,,,,,
1103.0,1110.0,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,,,,,,,
1110.0,1119.0,,,,P3(Bassoon 1),,,,P3(Oboe 1),,,,"P5(D, A Timpani)",,,,,,,,P5(D Horn 2),,,,Main Part,,,,,,,,P8(Violin 2),P8(Violin 1),,,
1119.0,1127.0,,P8(Oboe 1),P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2),,P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2),,P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Contrabassoon)&P8(D Trumpet 1)&U(D Trumpet 2),,,,P8(Contrabassoon)&P8(D Horn 1)&P8(D Trumpet 2),P8(Contrabassoon)&U(D Horn 1)&P8(D Trumpet 1),,,,,,,,Main Part,,,,P3(Alto)&P3(Tenor)&P3(Bass),P3(Soprano)&P5(Tenor)&P8(Bass),P3(Soprano)&P5(Alto)&P5(Bass),P3(Soprano)&P8(Alto)&P5(Tenor),,,,,
1127.0,1135.0,,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Main),P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Tenor),P8(Flute 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&U(Main),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(Tenor),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&U(Main),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&P8(Tenor),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Main),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Tenor),"P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P8(Bass)&U(Contrabass)",P8(D Horn 2),P8(D Horn 1),,,"P8(Contrabassoon)&P8(D Trumpet 2)&P8(D, A Timpani)&P8(Bass)&P8(Contrabass)","P8(Contrabassoon)&P8(D Trumpet 1)&P8(D, A Timpani)&U(Bass)&P8(Contrabass)",,,,P8(Contrabassoon)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Bass)&P8(Contrabass),,,,,,,,Main Part,,P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),"P8(Contrabassoon)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(D, A Timpani)&P8(Contrabass)",,,,,"U(Contrabassoon)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)&P8(Bass)"
1135.0,1142.0,,P8(Main),,P8(D Horn 1),,,,,U(Tenor),U(Contrabass),P8(Oboe 1),,,,"P8(D Trumpet 2)&P8(D, A Timpani)&P8(Bass)","P8(D Trumpet 1)&P8(D, A Timpani)&P8(Bass)",,,,P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Bass),,,,,,,,Main Part,,U(Bassoon 2),"P8(D Trumpet 1)&P8(D Trumpet 2)&P8(D, A Timpani)",,,,,U(Contrabassoon)
1142.0,1151.0,,,,,,U(Main),,,,U(Contrabass),,"P5(D Trumpet 1)&P5(D, A Timpani)",,,"P5(D Horn 2)&P8(D, A Timpani)",,,,,P5(D Horn 2)&P8(D Trumpet 1),,,,,,,,Main Part,,,,P8(Violin 2),P8(Violin 1),P8(Violoncello),P8(Viola),U(Contrabassoon)
1151.0,1158.0,,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),P8(Bassoon 2),,,P8(Flute 1)&P8(Oboe 1),P8(Oboe 2),U(Contrabass),,,,,,,,,,,,,,,,,,Main Part,,,,,,,,U(Contrabassoon)
1158.0,1166.0,,P8(D Horn 1),,Main Part,P8(Bassoon 2),,,P8(Main),P8(Oboe 2),P8(Violoncello)&U(Contrabass),P8(Flute 1),,,,,"P8(D, A Timpani)",,,,P8(D Trumpet 2),,,,,,,,,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
