qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Violoncello,Continuo
14.5,18.125,6,2.5,r,r,B-4,B4,F4,r,C#4,G#3,r,F2,r
15.0,18.75,6,3.0,r,r,B4,G#4,G#4,r,C#4,G#3,r,F2,r
15.5,19.375,6,3.5,r,r,C#5,G#4,F4,r,B3,G#3,r,F2,r
16.0,20.0,7,1.0,r,r,E4,G4,B-4,r,B-3,r,r,F#2,F#2
16.5,20.625,7,1.5,r,r,E4,F#4,C#4,r,B-3,r,r,F#2,F#2
17.0,21.25,7,2.0,r,r,E4,E4,B-4,r,B-3,G3,r,F#2,r
17.5,21.875,7,2.5,r,r,E4,G4,E4,r,B-3,F#3,r,F#2,r
18.0,22.5,7,3.0,r,r,C#5,C#4,B-4,C#5,r,F#3,r,F#2,r
18.5,23.125,7,3.5,r,r,C#5,F#4,F#4,B-4,r,E3,r,F#2,r
19.0,23.75,8,1.0,F#5,r,C#5,F#4,F#4,F#4,r,D3,r,B2,B2
19.25,24.0625,8,1.25,G5,r,C#5,F#4,F#4,F#4,r,D3,r,B2,B2
19.5,24.375,8,1.5,F#5,r,C#5,E4,B3,F#4,r,D3,r,B2,B2
19.75,24.6875,8,1.75,E5,r,C#5,E4,B3,F#4,r,D3,r,B2,B2
20.0,25.0,8,2.0,F#5,r,B4,D4,F#4,F#4,D4,D3,r,B2,r
20.25,25.3125,8,2.25,E5,r,B4,D4,F#4,F#4,D4,D3,r,B2,r
20.5,25.625,8,2.5,D5,r,B-4,C#4,C#4,F#4,E4,D3,r,B2,r
20.75,25.9375,8,2.75,C#5,r,B-4,C#4,C#4,F#4,E4,D3,r,B2,r
21.0,26.25,8,3.0,B4,r,B4,D4,F#4,F#4,F#4,r,F#3,B2,r
21.25,26.5625,8,3.25,D5,r,B4,D4,F#4,F#4,F#4,r,F#3,B2,r
21.5,26.875,8,3.5,C#5,r,B4,D4,B3,F#4,B3,r,D3,B2,r
21.75,27.1875,8,3.75,B4,r,B4,D4,B3,F#4,B3,r,D3,B2,r
22.0,27.5,9,1.0,B5,D5,B4,D4,G4,D5,G4,r,B2,G2,G2
22.25,27.8125,9,1.25,B5,C5,B4,D4,G4,D5,G4,r,B2,G2,G2
22.5,28.125,9,1.5,B5,D5,B4,C5,E4,D5,G4,r,B2,G2,G2
22.75,28.4375,9,1.75,B5,E5,B4,C5,E4,D5,G4,r,B2,G2,G2
23.0,28.75,9,2.0,B5,D5,B4,B4,G4,D5,G4,B3,B2,G2,r
23.25,29.0625,9,2.25,B5,C5,B4,B4,G4,D5,G4,B3,B2,G2,r
23.5,29.375,9,2.5,B5,B4,B4,A4,E4,D5,G4,C4,B2,G2,r
23.75,29.6875,9,2.75,B5,A4,B4,A4,E4,D5,G4,C4,B2,G2,r
24.0,30.0,9,3.0,B5,G4,B4,B4,G4,D5,G4,D4,B2,G2,r
24.25,30.3125,9,3.25,B5,B4,B4,B4,G4,D5,G4,D4,B2,G2,r
24.5,30.625,9,3.5,B5,A4,B4,F#4,B3,D5,G4,G3,B2,G2,r
24.75,30.9375,9,3.75,B5,G4,B4,F#4,B3,D5,G4,G3,B2,G2,r
25.0,31.25,10,1.0,B5,E5,B4,G4,E4,D5,G4,E4,G3,E2,E2
25.25,31.5625,10,1.25,A5,E5,B4,G4,E4,D5,G4,E4,G3,E2,E2
25.5,31.875,10,1.5,B5,E5,A4,G4,B3,D5,F#4,E4,G3,E2,E2
25.75,32.1875,10,1.75,C6,E5,A4,G4,B3,D5,F#4,E4,G3,E2,E2
26.0,32.5,10,2.0,B5,E5,G4,G4,E4,C#5,E4,E4,G3,E2,r
26.25,32.8125,10,2.25,A5,E5,G4,G4,E4,C#5,E4,E4,G3,E2,r
26.5,33.125,10,2.5,G5,E5,F#4,A4,B3,C#5,E4,E4,G3,E2,r
26.75,33.4375,10,2.75,F#5,E5,F#4,A4,B3,C#5,E4,E4,G3,E2,r
27.0,33.75,10,3.0,E5,E5,G4,B4,E4,B4,D4,E4,G3,E2,r
27.25,34.0625,10,3.25,G5,E5,G4,B4,E4,B4,D4,E4,G3,E2,r
27.5,34.375,10,3.5,F#5,E5,E4,G4,G3,B4,D4,E4,G3,E2,r
27.75,34.6875,10,3.75,E5,E5,E4,G4,G3,B4,D4,E4,G3,E2,r
28.0,35.0,11,1.0,C#6,E5,B-4,C#4,C#4,B-4,C#4,E4,G3,F#2,F#2
28.25,35.3125,11,1.25,C#6,D5,B-4,C#4,C#4,B-4,C#4,E4,G3,F#2,F#2
28.5,35.625,11,1.5,C#6,E5,B-4,C#4,E4,B-4,C#4,E4,G3,F#2,F#2
28.75,35.9375,11,1.75,C#6,F#5,B-4,C#4,E4,B-4,C#4,E4,G3,F#2,F#2
29.0,36.25,11,2.0,r,E5,B4,F#4,F#3,B-4,D4,D4,F#3,F#2,r
29.25,36.5625,11,2.25,r,D5,B4,F#4,F#3,B-4,D4,D4,F#3,F#2,r
29.5,36.875,11,2.5,r,C#5,B4,F#4,C#4,B-4,D4,D4,F#3,F#2,r
29.75,37.1875,11,2.75,r,B4,B4,F#4,C#4,B-4,D4,D4,F#3,F#2,r
30.0,37.5,11,3.0,r,B-4,C#5,F#4,F#4,B-4,E4,C#4,E3,F#2,r
30.25,37.8125,11,3.25,r,C#5,C#5,F#4,F#4,B-4,E4,C#4,E3,F#2,r
30.5,38.125,11,3.5,r,B4,C#5,F#4,C#4,B-4,E4,C#4,E3,F#2,r
30.75,38.4375,11,3.75,r,B-4,C#5,F#4,C#4,B-4,E4,C#4,E3,F#2,r
31.0,38.75,12,1.0,r,F#5,E-5,F#4,A4,r,F#4,C4,E-3,C2,C2
31.25,39.0625,12,1.25,r,E5,E-5,F#4,A4,r,F#4,C4,E-3,C2,C2
31.5,39.375,12,1.5,r,F#5,E-5,E4,G#4,r,F#4,C4,E-3,C2,C2
31.75,39.6875,12,1.75,r,G#5,E-5,E4,G#4,r,F#4,C4,E-3,C2,C2
32.0,40.0,12,2.0,r,F#5,E-5,E-4,A4,A4,F#4,C#4,E-3,C2,r
32.25,40.3125,12,2.25,r,E5,E-5,E-4,A4,A4,F#4,C#4,E-3,C2,r
32.5,40.625,12,2.5,r,E-5,E-5,G#4,E-4,G#4,F#4,C#4,E-3,C2,r
32.75,40.9375,12,2.75,r,C#5,E-5,G#4,E-4,G#4,F#4,C#4,E-3,C2,r
33.0,41.25,12,3.0,r,C5,E-4,F#4,G#4,G#4,F#4,E-4,E-3,C2,r
33.25,41.5625,12,3.25,r,E-5,E-4,F#4,G#4,G#4,F#4,E-4,E-3,C2,r
33.5,41.875,12,3.5,r,C#5,E-4,G#4,E-4,F#4,F#4,E-4,E-3,C2,r
33.75,42.1875,12,3.75,r,C5,E-4,G#4,E-4,F#4,F#4,E-4,E-3,C2,r
34.0,42.5,13,1.0,B5,G#5,F4,C#4,G#4,F4,r,G#3,r,C#2,C#2
34.25,42.8125,13,1.25,A5,G#5,F4,C#4,G#4,F4,r,G#3,r,C#2,C#2
34.5,43.125,13,1.5,B5,G#5,F4,C#4,C#4,F4,r,G#3,r,C#2,C#2
34.75,43.4375,13,1.75,C#6,G#5,F4,C#4,C#4,F4,r,G#3,r,C#2,C#2
35.0,43.75,13,2.0,B5,r,G#4,F4,G#4,F4,F4,G#3,D3,C#2,r
35.25,44.0625,13,2.25,A5,r,G#4,F4,G#4,F4,F4,G#3,D3,C#2,r
35.5,44.375,13,2.5,G#5,r,G#4,F4,B3,F4,F4,G#3,C#3,C#2,r
35.75,44.6875,13,2.75,F#5,r,G#4,F4,B3,F4,F4,G#3,C#3,C#2,r
36.0,45.0,13,3.0,F5,r,G#4,F4,G#4,r,G#4,G#3,C#3,C#2,r
36.25,45.3125,13,3.25,G#5,r,G#4,F4,G#4,r,G#4,G#3,C#3,C#2,r
36.5,45.625,13,3.5,F#5,r,G#4,F4,C#4,r,G#4,G#3,B2,C#2,r
36.75,45.9375,13,3.75,F5,r,G#4,F4,C#4,r,G#4,G#3,B2,C#2,r
37.0,46.25,14,1.0,A5,C#5,G#4,C#4,A4,r,G#4,r,A2,F#2,F#2
37.25,46.5625,14,1.25,A5,B4,G#4,C#4,A4,r,G#4,r,A2,F#2,F#2
37.5,46.875,14,1.5,A5,C#5,G#4,B3,C#4,r,F4,r,A2,F#2,F#2
37.75,47.1875,14,1.75,A5,D5,G#4,B3,C#4,r,F4,r,A2,F#2,F#2
38.0,47.5,14,2.0,r,C#5,F#4,A3,F#4,r,F#4,A3,A2,F#2,r
38.25,47.8125,14,2.25,r,B4,F#4,A3,F#4,r,F#4,A3,A2,F#2,r
38.5,48.125,14,2.5,r,A4,F#4,G#3,C#4,r,F#4,A3,A2,F#2,r
38.75,48.4375,14,2.75,r,G#4,F#4,G#3,C#4,r,F#4,A3,A2,F#2,r
39.0,48.75,14,3.0,r,F#4,A4,A3,F#4,C#5,r,C#4,r,F#2,r
39.25,49.0625,14,3.25,r,A4,A4,A3,F#4,C#5,r,C#4,r,F#2,r
39.5,49.375,14,3.5,r,G#4,A4,C#4,C#4,A4,r,C#4,r,F#2,r
39.75,49.6875,14,3.75,r,F#4,A4,C#4,C#4,A4,r,C#4,r,F#2,r
40.0,50.0,15,1.0,F#5,F#5,A4,F#4,F#4,F#4,r,C#4,r,D2,D2
40.25,50.3125,15,1.25,E5,F#5,A4,F#4,F#4,F#4,r,C#4,r,D2,D2
40.5,50.625,15,1.5,F#5,F#5,F#4,F#4,C#4,F#4,r,B-3,r,D2,D2
40.75,50.9375,15,1.75,G5,F#5,F#4,F#4,C#4,F#4,r,B-3,r,D2,D2
41.0,51.25,15,2.0,F#5,r,B4,F#4,F#4,F#4,r,B3,r,D2,r
41.25,51.5625,15,2.25,E5,r,B4,F#4,F#4,F#4,r,B3,r,D2,r
41.5,51.875,15,2.5,D5,r,C#5,E4,B-3,F#4,r,B3,r,D2,r
41.75,52.1875,15,2.75,C#5,r,C#5,E4,B-3,F#4,r,B3,r,D2,r
42.0,52.5,15,3.0,B4,r,D5,F#4,F#4,F#4,F#4,r,r,D2,r
42.25,52.8125,15,3.25,D5,r,D5,F#4,F#4,F#4,F#4,r,r,D2,r
42.5,53.125,15,3.5,C#5,r,D5,B-4,D4,F#4,D4,r,r,D2,r
42.75,53.4375,15,3.75,B4,r,D5,B-4,D4,F#4,D4,r,r,D2,r
43.0,53.75,16,1.0,B5,D5,D5,B4,F4,D5,B3,r,r,G2,G2
43.25,54.0625,16,1.25,A5,C5,D5,B4,F4,D5,B3,r,r,G2,G2
43.5,54.375,16,1.5,B5,D5,G4,B4,D4,D5,B3,r,r,G2,G2
43.75,54.6875,16,1.75,C6,E5,G4,B4,D4,D5,B3,r,r,G2,G2
44.0,55.0,16,2.0,B5,D5,A4,B4,F4,D5,B3,r,r,G2,r
44.25,55.3125,16,2.25,A5,C5,A4,B4,F4,D5,B3,r,r,G2,r
44.5,55.625,16,2.5,G5,B4,B4,B4,D4,D5,B3,r,r,G2,r
44.75,55.9375,16,2.75,A5,A4,B4,B4,D4,D5,B3,r,r,G2,r
45.0,56.25,16,3.0,B5,G4,C5,B4,F4,D5,B3,B3,r,G2,r
45.25,56.5625,16,3.25,G5,B4,C5,B4,F4,D5,B3,B3,r,G2,r
45.5,56.875,16,3.5,F#5,A4,D5,B4,B3,D5,B3,G3,r,G2,r
45.75,57.1875,16,3.75,E5,G4,D5,B4,B3,D5,B3,G3,r,G2,r
46.0,57.5,17,1.0,E5,G5,E5,B4,C4,D5,G4,E3,r,C3,C3
46.5,58.125,17,1.5,E5,G5,C5,G4,E4,D5,G4,E3,r,C3,C3
46.75,58.4375,17,1.75,E5,G5,D5,G4,F4,D5,G4,E3,r,C3,C3
47.0,58.75,17,2.0,E5,G5,E5,C5,G4,C5,G4,E3,r,C3,r
47.5,59.375,17,2.5,E5,G5,F#5,D5,F4,B4,G4,E3,r,C3,r
48.0,60.0,17,3.0,E5,G5,G5,E5,E4,E5,G4,E3,E3,C3,r
48.5,60.625,17,3.5,E5,G5,E5,E5,G4,E5,G4,E3,C3,C3,r
49.0,61.25,18,1.0,E5,G5,C#5,E5,G4,E5,G4,C#4,B-2,C#3,C#3
49.5,61.875,18,1.5,E5,G5,C#5,E5,E4,E5,G4,C#4,B-2,C#3,C#3
50.0,62.5,18,2.0,E5,G5,C#5,E5,C#4,E5,F#4,C#4,B-2,C#3,r
50.5,63.125,18,2.5,E5,G5,C#5,E5,D4,E5,F#4,C#4,B-2,C#3,r
51.0,63.75,18,3.0,E5,G5,C#5,E5,E4,G4,E4,C#4,B-2,C#3,r
51.5,64.375,18,3.5,E5,G5,C#5,E5,G4,G4,E4,C#4,B-2,C#3,r
52.0,65.0,19,1.0,E5,G5,C#5,E5,B-3,r,E4,C#4,G3,B-2,B-2
52.25,65.3125,19,1.25,E5,F#5,C#5,E5,B-3,r,E4,C#4,G3,B-2,B-2
52.5,65.625,19,1.5,E5,G5,C#5,E5,B-3,r,E4,C#4,G3,B-2,B-2
52.75,65.9375,19,1.75,E5,A5,C#5,E5,B-3,r,E4,C#4,G3,B-2,B-2
53.0,66.25,19,2.0,E5,G5,C#5,E5,B-3,E5,E4,B3,G3,B-2,r
53.25,66.5625,19,2.25,E5,F#5,C#5,E5,B-3,E5,E4,B3,G3,B-2,r
53.5,66.875,19,2.5,E5,E5,C#5,E5,B-3,D5,E4,B3,G3,B-2,r
53.75,67.1875,19,2.75,E5,D5,C#5,E5,B-3,D5,E4,B3,G3,B-2,r
54.0,67.5,19,3.0,E5,E5,C#5,E5,B-3,C#5,E4,B-3,G3,B-2,r
54.25,67.8125,19,3.25,E5,C#5,C#5,E5,B-3,C#5,E4,B-3,G3,B-2,r
54.5,68.125,19,3.5,E5,D5,C#5,E5,B-3,B4,E4,B-3,G3,B-2,r
54.75,68.4375,19,3.75,E5,E5,C#5,E5,B-3,B4,E4,B-3,G3,B-2,r
55.0,68.75,20,1.0,E5,B-4,C#5,E5,B-3,B-4,r,E4,G3,F#2,F#2
55.25,69.0625,20,1.25,D5,B4,C#5,E5,B-3,B-4,r,E4,G3,F#2,F#2
55.5,69.375,20,1.5,E5,C#5,C#5,C#5,B3,B-4,r,E4,G3,F#2,F#2
55.75,69.6875,20,1.75,F#5,D5,C#5,C#5,B3,B-4,r,E4,G3,F#2,F#2
56.0,70.0,20,2.0,E5,C#5,C#5,B-4,C#4,B-4,C#4,E4,F#3,F#2,r
56.25,70.3125,20,2.25,D5,B4,C#5,B-4,C#4,B-4,C#4,E4,F#3,F#2,r
56.5,70.625,20,2.5,C#5,B-4,C#5,B4,D4,B-4,C#4,E4,F#3,F#2,r
56.75,70.9375,20,2.75,B4,G#4,C#5,B4,D4,B-4,C#4,E4,F#3,F#2,r
57.0,71.25,20,3.0,B-4,F#4,C#5,C#5,E4,r,B-4,F#3,E3,F#2,r
57.25,71.5625,20,3.25,C#5,B-4,C#5,C#5,E4,r,B-4,F#3,E3,F#2,r
57.5,71.875,20,3.5,B4,G#4,C#5,E4,C#4,r,B-4,F#3,E3,F#2,r
57.75,72.1875,20,3.75,B-4,F#4,C#5,E4,C#4,r,B-4,F#3,E3,F#2,r
58.0,72.5,21,1.0,F#5,D5,B4,D4,F#3,r,B4,r,D3,B2,B2
58.25,72.8125,21,1.25,E5,D5,B4,D4,F#3,r,B4,r,D3,B2,B2
58.5,73.125,21,1.5,F#5,D5,B4,D4,F#3,r,B4,r,D3,B2,B2
58.75,73.4375,21,1.75,G5,D5,B4,D4,F#3,r,B4,r,D3,B2,B2
59.0,73.75,21,2.0,F#5,B4,B4,D4,F#3,B4,D4,B3,D3,B2,r
59.25,74.0625,21,2.25,E5,B4,B4,D4,F#3,B4,D4,B3,D3,B2,r
59.5,74.375,21,2.5,D5,B4,B4,D4,F#3,C#5,E4,A3,D3,B2,r
59.75,74.6875,21,2.75,C#5,B4,B4,D4,F#3,C#5,E4,A3,D3,B2,r
60.0,75.0,21,3.0,B4,B4,B4,D4,F#3,D5,F#4,G3,D3,B2,r
60.25,75.3125,21,3.25,D5,B4,B4,D4,F#3,D5,F#4,G3,D3,B2,r
60.5,75.625,21,3.5,C5,B4,B4,D4,F#3,G4,D4,F#3,D3,B2,r
60.75,75.9375,21,3.75,B4,B4,B4,D4,F#3,G4,D4,F#3,D3,B2,r
61.0,76.25,22,1.0,G5,B4,B4,E4,G3,E5,G4,E3,r,B2,B2
61.25,76.5625,22,1.25,G5,A4,B4,E4,G3,E5,G4,E3,r,B2,B2
61.5,76.875,22,1.5,G5,B4,B4,E4,G3,E5,G4,F#3,r,B2,B2
61.75,77.1875,22,1.75,G5,C5,B4,E4,G3,E5,G4,F#3,r,B2,B2
62.0,77.5,22,2.0,G5,B4,B4,E4,G3,E5,G4,G3,E3,B2,r
62.25,77.8125,22,2.25,G5,A4,B4,E4,G3,E5,G4,G3,E3,B2,r
62.5,78.125,22,2.5,G5,G4,B4,E4,G3,E5,G4,A3,F#3,B2,r
62.75,78.4375,22,2.75,G5,F#4,B4,E4,G3,E5,G4,A3,F#3,B2,r
63.0,78.75,22,3.0,G5,E4,B4,E4,G3,E5,G4,B3,G3,B2,r
63.25,79.0625,22,3.25,G5,G4,B4,E4,G3,E5,G4,B3,G3,B2,r
63.5,79.375,22,3.5,G5,F#4,B4,E4,G3,E5,G4,G3,E3,B2,r
63.75,79.6875,22,3.75,G5,E4,B4,E4,G3,E5,G4,G3,E3,B2,r
64.0,80.0,23,1.0,G5,C#5,E5,E4,G3,E5,G4,C#4,B-3,B2,B2
64.25,80.3125,23,1.25,E5,C#5,E5,E4,G3,E5,G4,C#4,B-3,B2,B2
64.5,80.625,23,1.5,E5,C#5,D5,E4,B3,E5,G4,C#4,B-3,B2,B2
64.75,80.9375,23,1.75,F#5,C#5,D5,E4,B3,E5,G4,C#4,B-3,B2,B2
65.0,81.25,23,2.0,F#5,C#5,C#5,E4,B-3,E5,C#4,B-3,F#3,B2,r
65.25,81.5625,23,2.25,D5,C#5,C#5,E4,B-3,E5,C#4,B-3,F#3,B2,r
65.5,81.875,23,2.5,D5,C#5,B4,E4,B-3,E5,C#4,B-3,F#3,B2,r
65.75,82.1875,23,2.75,E5,C#5,B4,E4,B-3,E5,C#4,B-3,F#3,B2,r
66.0,82.5,23,3.0,E5,C#5,B-4,E4,B-3,E5,F#4,C#4,B-3,B2,r
66.25,82.8125,23,3.25,C#5,C#5,B-4,E4,B-3,E5,F#4,C#4,B-3,B2,r
66.5,83.125,23,3.5,C#5,C#5,C#5,E4,B-3,E5,F#4,C#4,B-3,B2,r
66.75,83.4375,23,3.75,D5,C#5,C#5,E4,B-3,E5,F#4,C#4,B-3,B2,r
67.0,83.75,24,1.0,D5,C#5,F#4,B3,D4,D5,F#4,B3,B3,B2,B2
67.25,84.0625,24,1.25,D5,B-4,F#4,B3,D4,D5,F#4,B3,B3,B2,B2
67.5,84.375,24,1.5,D5,B-4,F#4,B3,D4,D5,F#4,B3,B3,B2,B2
67.75,84.6875,24,1.75,D5,B4,F#4,B3,D4,D5,F#4,B3,B3,B2,B2
68.0,85.0,24,2.0,E-5,B4,B4,F#4,F#3,B4,F#4,B3,F#3,B2,r
68.25,85.3125,24,2.25,E-5,G4,B4,F#4,F#3,B4,F#4,B3,F#3,B2,r
68.5,85.625,24,2.5,E-5,G4,B4,F#4,F#3,B4,F#4,B3,E3,B2,r
68.75,85.9375,24,2.75,E-5,A4,B4,F#4,F#3,B4,F#4,B3,E3,B2,r
69.0,86.25,24,3.0,E-5,A4,B4,F#4,A3,C5,F#4,A3,E-3,B2,r
69.25,86.5625,24,3.25,E-5,F#4,B4,F#4,A3,C5,F#4,A3,E-3,B2,r
69.5,86.875,24,3.5,E-5,F#4,B4,F#4,A3,B4,F#4,A3,E3,B2,r
69.75,87.1875,24,3.75,E-5,G4,B4,F#4,A3,B4,F#4,A3,F#3,B2,r
70.0,87.5,25,1.0,E5,G4,B4,E4,G3,B4,E4,G3,B2,B2,B2
70.25,87.8125,25,1.25,E5,E4,B4,E4,G3,B4,E4,G3,B2,B2,B2
70.5,88.125,25,1.5,E5,E4,A4,F#4,F#3,A4,F#4,F#3,B2,B2,B2
70.75,88.4375,25,1.75,E5,D5,A4,F#4,F#3,A4,F#4,F#3,B2,B2,B2
71.0,88.75,25,2.0,F5,D5,D5,G#4,F3,D5,G#4,F3,B3,B3,B3
71.25,89.0625,25,2.25,F5,B4,D5,G#4,F3,D5,G#4,F3,B3,B3,B3
71.5,89.375,25,2.5,F5,B4,D5,G#4,G#3,D5,G#4,G#3,B3,B3,B3
71.75,89.6875,25,2.75,F5,C#5,D5,G#4,G#3,D5,G#4,G#3,B3,B3,B3
72.0,90.0,25,3.0,F5,C#5,D5,A4,C#4,D5,A4,C#4,A3,A3,A3
72.25,90.3125,25,3.25,F5,A4,D5,A4,C#4,D5,A4,C#4,A3,A3,A3
72.5,90.625,25,3.5,F5,A4,D5,A4,B3,D5,A4,B3,A3,A3,A3
72.75,90.9375,25,3.75,F5,B4,D5,A4,B3,D5,A4,B3,A3,A3,A3
73.0,91.25,26,1.0,F5,B4,D5,B4,D4,r,B4,D4,G#3,G#3,G#3
73.25,91.5625,26,1.25,B4,G#4,D5,B4,D4,r,B4,D4,G#3,G#3,G#3
73.5,91.875,26,1.5,B4,G#4,F#4,B4,D4,r,B4,D4,G#3,G#3,G#3
73.75,92.1875,26,1.75,D6,B5,F#4,B4,D4,r,B4,D4,G#3,G#3,G#3
74.0,92.5,26,2.0,D6,B5,G#4,G#4,D4,G#4,G#4,D4,F3,F3,F3
74.25,92.8125,26,2.25,B5,G#5,G#4,G#4,D4,G#4,G#4,D4,F3,F3,F3
74.5,93.125,26,2.5,B5,G#5,F#4,G#4,D4,F#4,G#4,D4,F3,F3,F3
74.75,93.4375,26,2.75,C#6,A5,F#4,G#4,D4,F#4,G#4,D4,F3,F3,F3
75.0,93.75,26,3.0,C#6,A5,F4,C#4,A3,F4,C#4,A3,F#3,F#3,F#3
75.25,94.0625,26,3.25,A5,F#5,F4,C#4,A3,F4,C#4,A3,F#3,F#3,F#3
75.5,94.375,26,3.5,A5,F#5,F#4,C#4,B3,F#4,C#4,B3,F#3,F#3,F#3
75.75,94.6875,26,3.75,B5,G5,F#4,C#4,C#4,F#4,C#4,C#4,F#3,F#3,F#3
76.0,95.0,27,1.0,B5,G5,D5,G4,B3,D5,G4,B3,B2,B2,B2
76.25,95.3125,27,1.25,B5,F5,D5,G4,B3,D5,G4,B3,B2,B2,B2
76.5,95.625,27,1.5,B5,F5,D5,G4,B3,D5,G4,B3,B2,B2,B2
76.75,95.9375,27,1.75,B5,F#5,D5,G4,B3,D5,G4,B3,B2,B2,B2
77.0,96.25,27,2.0,B5,F#5,C#5,B3,B3,C#5,B3,B3,G#2,G#2,G#2
77.25,96.5625,27,2.25,B5,B4,C#5,B3,B3,C#5,B3,B3,G#2,G#2,G#2
77.5,96.875,27,2.5,B5,B4,B4,B3,D4,B4,B3,D4,G#2,G#2,G#2
77.75,97.1875,27,2.75,B5,F5,B4,B3,D4,B4,B3,D4,G#2,G#2,G#2
78.0,97.5,27,3.0,B5,F5,A4,C#4,F3,A4,C#4,F3,C#3,C#3,C#3
78.25,97.8125,27,3.25,B5,C#5,A4,C#4,F3,A4,C#4,F3,C#3,C#3,C#3
78.5,98.125,27,3.5,B5,C#5,G#4,C#4,G#3,G#4,C#4,G#3,C#3,C#3,C#3
78.75,98.4375,27,3.75,B5,F5,G#4,C#4,G#3,G#4,C#4,G#3,C#3,C#3,C#3
79.0,98.75,28,1.0,B5,F#5,C#5,C#4,F#3,C#5,C#4,F#3,F#2,F#2,F#2
79.25,99.0625,28,1.25,G#5,F#5,C#5,C#4,F#3,C#5,C#4,F#3,F#2,F#2,F#2
79.5,99.375,28,1.5,A5,F#5,C#5,F#4,C#3,C#5,F#4,C#3,F#2,F#2,F#2
79.75,99.6875,28,1.75,F#5,F#5,C#5,F#4,C#3,C#5,F#4,C#3,F#2,F#2,F#2
80.0,100.0,28,2.0,G#5,F#5,C#5,F#4,C#4,C#5,F#4,C#4,r,C#3,C#3
80.25,100.3125,28,2.25,G#5,F5,C#5,F#4,C#4,C#5,F#4,C#4,r,C#3,C#3
80.5,100.625,28,2.5,G#5,F#5,D5,B3,C#4,D5,B3,C#4,r,C#3,C#3
80.75,100.9375,28,2.75,G#5,E-5,C#5,B3,C#4,C#5,B3,C#4,r,C#3,C#3
81.0,101.25,28,3.0,G#5,F5,B4,D4,G#3,B4,D4,G#3,G#3,C#2,C#2
81.25,101.5625,28,3.25,G#5,F5,A4,D4,G#3,A4,D4,G#3,G#3,C#2,C#2
81.5,101.875,28,3.5,F#5,F5,B4,C#4,G#3,B4,C#4,G#3,F3,C#2,C#2
81.75,102.1875,28,3.75,F#5,F#5,B4,C#4,G#3,B4,C#4,G#3,F3,C#2,C#2
82.0,102.5,29,1.0,F#5,F#5,A4,C#4,A3,A4,C#4,A3,C#3,F#2,F#2
82.25,102.8125,29,1.25,F#5,B4,A4,C#4,A3,A4,C#4,A3,C#3,F#2,F#2
