qstamp,tstamp,measure,beat,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
23.0,10.6154,4,4.3333,E5,E5,E5,A4,G4,G4,A2,A2,A2,A1,A2
23.25,10.7308,4,4.5,E5,E5,E5,G4,G4,G4,A2,A2,A2,A1,A2
23.5,10.8462,4,4.6667,A5,A5,A5,F#4,C#5,C#5,r,r,r,r,r
23.75,10.9615,4,4.8333,A5,A5,A5,E4,C#5,C#5,r,r,r,r,r
24.0,11.0769,5,1.0,D5,D5,D5,F#4,D4,D4,D2,D2,D2,D1,D2
24.25,11.1923,5,1.1667,D5,D5,D5,F#4,C#4,C#4,D2,D2,D2,D1,D2
24.5,11.3077,5,1.3333,F#5,F#5,F#5,A4,D4,D4,D2,D2,D2,D1,D2
24.75,11.4231,5,1.5,F#5,F#5,F#5,A4,E4,E4,D2,D2,D2,D1,D2
25.0,11.5385,5,1.6667,A5,A5,A5,D5,F#4,F#4,r,r,r,r,r
25.25,11.6538,5,1.8333,A5,A5,A5,D5,G4,G4,r,r,r,r,r
25.5,11.7692,5,2.0,A4,A4,A4,C#5,A4,A4,A2,A2,A2,A1,A2
25.75,11.8846,5,2.1667,A4,A4,A4,D5,B4,B4,A2,A2,A2,A1,A2
26.0,12.0,5,2.3333,E5,E5,E5,C#5,A4,A4,A2,A2,A2,A1,A2
26.25,12.1154,5,2.5,E5,E5,E5,B4,G4,G4,A2,A2,A2,A1,A2
26.5,12.2308,5,2.6667,A5,A5,A5,A4,F#4,F#4,r,r,r,r,r
26.75,12.3462,5,2.8333,A5,A5,A5,G4,E4,E4,r,r,r,r,r
27.0,12.4615,5,3.0,D5,D5,D5,F#4,F#4,F#4,D3,D3,D3,D2,D3
27.25,12.5769,5,3.1667,C#5,C#5,C#5,F#4,F#4,F#4,D3,D3,D3,D2,D3
27.5,12.6923,5,3.3333,D5,D5,D5,D4,A4,A4,F#3,F#3,F#3,F#2,F#3
27.75,12.8077,5,3.5,E5,E5,E5,D4,A4,A4,F#3,F#3,F#3,F#2,F#3
28.0,12.9231,5,3.6667,F#5,F#5,F#5,A4,D5,D5,A3,A3,A3,A2,A3
28.25,13.0385,5,3.8333,G5,G5,G5,A4,D5,D5,A3,A3,A3,A2,A3
28.5,13.1538,5,4.0,A5,A5,A5,A4,C#5,C#5,A2,A2,A2,A1,A2
28.75,13.2692,5,4.1667,B5,B5,B5,A4,D5,D5,A2,A2,A2,A1,A2
29.0,13.3846,5,4.3333,A5,A5,A5,A4,C#5,C#5,E3,E3,E3,E2,E3
29.25,13.5,5,4.5,G5,G5,G5,A4,B4,B4,E3,E3,E3,E2,E3
29.5,13.6154,5,4.6667,F#5,F#5,F#5,A4,A4,A4,A3,A3,A3,A2,A3
29.75,13.7308,5,4.8333,E5,E5,E5,A4,G4,G4,A3,A3,A3,A2,A3
30.0,13.8462,6,1.0,D5,D5,D5,A4,F#4,F#4,D3,D3,D3,D2,D3
30.25,13.9615,6,1.1667,D5,D5,D5,A4,F#4,F#4,C#3,C#3,C#3,C#2,C#3
30.5,14.0769,6,1.3333,F#5,F#5,F#5,A4,D4,A4,D3,D3,D3,D2,D3
30.75,14.1923,6,1.5,F#5,F#5,F#5,A4,D4,A4,E3,E3,E3,E2,E3
31.0,14.3077,6,1.6667,A4,A4,A4,A4,A4,D4,F#3,F#3,F#3,F#2,F#3
31.25,14.4231,6,1.8333,A4,A4,A4,A4,A4,D4,G3,G3,G3,G2,G3
31.5,14.5385,6,2.0,E5,E5,E5,A4,A4,C#4,A3,A3,A3,A2,A3
31.75,14.6538,6,2.1667,E5,E5,E5,A4,A4,D4,B3,B3,B3,B2,B3
32.0,14.7692,6,2.3333,G5,G5,G5,A4,A4,C#4,A3,A3,A3,A2,A3
32.25,14.8846,6,2.5,G5,G5,G5,A4,A4,B3,G3,G3,G3,G2,G3
32.5,15.0,6,2.6667,A4,A4,A4,A4,A4,A3,F#3,F#3,F#3,F#2,F#3
32.75,15.1154,6,2.8333,A4,A4,A4,A4,A4,G3,E3,E3,E3,E2,E3
33.0,15.2308,6,3.0,F#5,F#5,F#5,A4,A4,A3,D3,D3,D3,D2,D3
33.25,15.3462,6,3.1667,F#5,F#5,F#5,A4,G4,A3,C#3,C#3,C#3,C#2,C#3
33.5,15.4615,6,3.3333,F#5,F#5,F#5,D5,F#4,A4,D3,D3,D3,D2,D3
33.75,15.5769,6,3.5,F#5,F#5,F#5,D5,E4,G4,E3,E3,E3,E2,E3
34.0,15.6923,6,3.6667,F#5,F#5,F#5,A4,D4,F#4,F#3,F#3,F#3,F#2,F#3
34.25,15.8077,6,3.8333,F#5,F#5,F#5,A4,C#4,E4,D3,D3,D3,D2,D3
34.5,15.9231,6,4.0,F#5,F#5,F#5,B4,B3,D4,G3,G3,G3,G2,G3
34.75,16.0385,6,4.1667,F#5,F#5,F#5,C#5,A3,D4,A3,A3,A3,A2,A3
35.0,16.1538,6,4.3333,F#5,F#5,F#5,B4,B3,G4,G3,G3,G3,G2,G3
35.25,16.2692,6,4.5,F#5,F#5,F#5,A4,C#4,G4,F#3,F#3,F#3,F#2,F#3
35.5,16.3846,6,4.6667,F#5,F#5,F#5,G#4,D4,D4,E3,E3,E3,E2,E3
35.75,16.5,6,4.8333,F#5,F#5,F#5,F#4,B3,D4,D3,D3,D3,D2,D3
36.0,16.6154,7,1.0,E5,E5,E5,G#4,E4,E4,C#3,C#3,C#3,C#2,C#3
36.25,16.7308,7,1.1667,E5,E5,E5,G#4,F#4,A4,B2,B2,B2,B1,B2
36.5,16.8462,7,1.3333,E5,E5,E5,C#5,E4,G4,C#3,C#3,C#3,C#2,C#3
36.75,16.9615,7,1.5,E5,E5,E5,C#5,D4,F#4,D3,D3,D3,D2,D3
37.0,17.0769,7,1.6667,E5,E5,E5,G#4,C#4,E4,E3,E3,E3,E2,E3
37.25,17.1923,7,1.8333,E5,E5,E5,G#4,B3,D4,C#3,C#3,C#3,C#2,C#3
37.5,17.3077,7,2.0,E5,E5,E5,A4,A3,C#4,F#3,F#3,F#3,F#2,F#3
37.75,17.4231,7,2.1667,E5,E5,E5,B4,G#3,C#4,G3,G3,G3,G2,G3
38.0,17.5385,7,2.3333,E5,E5,E5,A4,A3,F#4,F#3,F#3,F#3,F#2,F#3
38.25,17.6538,7,2.5,E5,E5,E5,G#4,B3,F#4,E3,E3,E3,E2,E3
38.5,17.7692,7,2.6667,E5,E5,E5,F#4,C#4,C#4,D3,D3,D3,D2,D3
38.75,17.8846,7,2.8333,E5,E5,E5,E4,A3,C#4,C#3,C#3,C#3,C#2,C#3
39.0,18.0,7,3.0,D5,D5,D5,F#4,D4,D4,B2,B2,B2,B1,B2
39.25,18.1154,7,3.1667,D5,D5,D5,F#4,E4,G4,A2,A2,A2,A1,A2
39.5,18.2308,7,3.3333,D5,D5,D5,B4,D4,F#4,B2,B2,B2,B1,B2
39.75,18.3462,7,3.5,D5,D5,D5,B4,C#4,E4,C#3,C#3,C#3,C#2,C#3
40.0,18.4615,7,3.6667,D5,D5,D5,F#4,B3,D4,D3,D3,D3,D2,D3
40.25,18.5769,7,3.8333,D5,D5,D5,F#4,A3,C#4,B2,B2,B2,B1,B2
40.5,18.6923,7,4.0,D5,D5,D5,G#4,G#3,B3,E3,E3,E3,E2,E3
40.75,18.8077,7,4.1667,D5,D5,D5,G#4,F#3,B3,F#3,F#3,F#3,F#2,F#3
41.0,18.9231,7,4.3333,D5,D5,D5,B4,G#3,E4,E3,E3,E3,E2,E3
41.25,19.0385,7,4.5,D5,D5,D5,B4,A3,E4,D3,D3,D3,D2,D3
41.5,19.1538,7,4.6667,D5,D5,D5,E4,B3,G#4,C#3,C#3,C#3,C#2,C#3
41.75,19.2692,7,4.8333,D5,D5,D5,E4,G#3,G#4,B2,B2,B2,B1,B2
42.0,19.3846,8,1.0,C#5,C#5,C#5,A4,E4,A4,A2,A2,A2,A1,A2
42.25,19.5,8,1.1667,E5,C#5,C#5,A4,E4,A4,A2,A2,A2,A1,A2
42.5,19.6154,8,1.3333,A4,E5,C#5,E4,C#4,A4,A2,A2,A2,A1,A2
42.75,19.7308,8,1.5,E5,E5,C#5,E4,C#4,A4,A2,A2,A2,A1,A2
43.0,19.8462,8,1.6667,C#5,A5,E5,C#4,A3,E4,A2,A2,A2,A1,A2
43.25,19.9615,8,1.8333,E5,A5,E5,C#4,A3,E4,A2,A2,A2,A1,A2
43.5,20.0769,8,2.0,D5,D5,D5,A4,F#4,A4,A2,A2,A2,A1,A2
43.75,20.1923,8,2.1667,F#5,D5,D5,A4,F#4,A4,A2,A2,A2,A1,A2
44.0,20.3077,8,2.3333,A4,F#5,D5,F#4,D4,A4,A2,A2,A2,A1,A2
44.25,20.4231,8,2.5,F#5,F#5,D5,F#4,D4,A4,A2,A2,A2,A1,A2
44.5,20.5385,8,2.6667,D5,A5,F#5,D4,A3,F#4,A2,A2,A2,A1,A2
44.75,20.6538,8,2.8333,F#5,A5,F#5,D4,A3,F#4,A2,A2,A2,A1,A2
45.0,20.7692,8,3.0,E5,C#5,E5,G4,E4,A4,A2,A2,A2,A1,A2
45.25,20.8846,8,3.1667,G5,E5,E5,G4,E4,A4,A2,A2,A2,A1,A2
45.5,21.0,8,3.3333,A4,A4,E5,E4,C#4,A4,A2,A2,A2,A1,A2
45.75,21.1154,8,3.5,G5,E5,E5,E4,C#4,A4,A2,A2,A2,A1,A2
46.0,21.2308,8,3.6667,E5,C#5,G5,C#4,A3,E4,A2,A2,A2,A1,A2
46.25,21.3462,8,3.8333,G5,E5,G5,C#4,A3,E4,A2,A2,A2,A1,A2
46.5,21.4615,8,4.0,F#5,D5,F#5,F#4,D4,A4,A2,A2,A2,A1,A2
46.75,21.5769,8,4.1667,A5,F#5,F#5,F#4,D4,A4,A2,A2,A2,A1,A2
47.0,21.6923,8,4.3333,A4,A4,F#5,D4,A3,A4,A2,A2,A2,A1,A2
47.25,21.8077,8,4.5,A5,F#5,F#5,D4,A3,A4,A2,A2,A2,A1,A2
47.5,21.9231,8,4.6667,F#5,D5,A5,A3,F#3,D4,A2,A2,A2,A1,A2
47.75,22.0385,8,4.8333,A5,F#5,A5,A3,F#3,D4,A2,A2,A2,A1,A2
48.0,22.1538,9,1.0,G5,E5,C#5,E4,C#4,A4,A2,A2,A2,A1,A2
48.25,22.2692,9,1.1667,C#5,G5,E5,E4,C#4,A4,A2,A2,A2,A1,A2
48.5,22.3846,9,1.3333,G5,A4,A4,C#4,C#4,E4,A2,A2,A2,A1,A2
48.75,22.5,9,1.5,C#5,G5,E5,C#4,C#4,E4,A2,A2,A2,A1,A2
49.0,22.6154,9,1.6667,G5,E5,C#5,A3,A4,C#4,A2,A2,A2,A1,A2
49.25,22.7308,9,1.8333,C#5,G5,E5,A3,A4,C#4,A2,A2,A2,A1,A2
49.5,22.8462,9,2.0,F#5,F#5,D5,F#4,D4,A4,A2,A2,A2,A1,A2
49.75,22.9615,9,2.1667,D5,A5,F#5,F#4,D4,A4,A2,A2,A2,A1,A2
50.0,23.0769,9,2.3333,F#5,A4,A4,D4,D4,F#4,A2,A2,A2,A1,A2
50.25,23.1923,9,2.5,D5,A5,F#5,D4,D4,F#4,A2,A2,A2,A1,A2
50.5,23.3077,9,2.6667,F#5,F#5,D5,A3,A4,D4,A2,A2,A2,A1,A2
50.75,23.4231,9,2.8333,D5,A5,F#5,A3,A4,D4,A2,A2,A2,A1,A2
51.0,23.5385,9,3.0,E5,G5,E5,C#4,C#4,C#4,A2,A2,A2,A1,A2
51.25,23.6538,9,3.1667,A4,C#5,G5,E4,E4,E4,A2,A2,A2,A1,A2
51.5,23.7692,9,3.3333,E5,G5,A4,A3,A3,A3,A2,A2,A2,A1,A2
51.75,23.8846,9,3.5,A4,C#5,G5,E4,E4,E4,A2,A2,A2,A1,A2
52.0,24.0,9,3.6667,E5,G5,E5,C#4,C#4,C#4,A2,A2,A2,A1,A2
52.25,24.1154,9,3.8333,A4,C#5,G5,E4,E4,E4,A2,A2,A2,A1,A2
52.5,24.2308,9,4.0,D5,F#5,F#5,D4,D4,D4,A2,A2,A2,A1,A2
52.75,24.3462,9,4.1667,A4,D5,A5,F#4,F#4,F#4,A2,A2,A2,A1,A2
53.0,24.4615,9,4.3333,D5,F#5,A4,A3,A3,A3,A2,A2,A2,A1,A2
53.25,24.5769,9,4.5,A4,D5,A5,F#4,F#4,F#4,A2,A2,A2,A1,A2
53.5,24.6923,9,4.6667,D5,F#5,F#5,D4,D4,D4,A2,A2,A2,A1,A2
53.75,24.8077,9,4.8333,A4,D5,A5,F#4,F#4,F#4,A2,A2,A2,A1,A2
54.0,24.9231,10,1.0,C#5,C#5,C#5,E4,E4,E4,A2,A2,A2,A1,A2
54.25,25.0385,10,1.1667,C#5,C#5,C#5,G4,G4,G4,A2,A2,A2,A1,A2
54.5,25.1538,10,1.3333,A4,A4,A4,A3,A3,A3,C#3,C#3,C#3,C#2,C#3
54.75,25.2692,10,1.5,A4,A4,A4,G4,G4,G4,C#3,C#3,C#3,C#2,C#3
55.0,25.3846,10,1.6667,A4,A4,A4,E4,E4,E4,E3,E3,E3,E2,E3
55.25,25.5,10,1.8333,A4,A4,A4,G4,G4,G4,E3,E3,E3,E2,E3
55.5,25.6154,10,2.0,A4,A4,A4,E4,E4,E4,C#3,C#3,C#3,C#2,C#3
55.75,25.7308,10,2.1667,A4,A4,A4,G4,G4,G4,C#3,C#3,C#3,C#2,C#3
56.0,25.8462,10,2.3333,A4,A4,A4,A3,A3,A3,E3,E3,E3,E2,E3
56.25,25.9615,10,2.5,A4,A4,A4,G4,G4,G4,E3,E3,E3,E2,E3
56.5,26.0769,10,2.6667,A4,A4,A4,E4,E4,E4,A3,A3,A3,A2,A3
56.75,26.1923,10,2.8333,A4,A4,A4,G4,G4,G4,A3,A3,A3,A2,A3
57.0,26.3077,10,3.0,A5,A5,A5,F#4,F#4,F#4,D3,D3,D3,D2,D3
57.25,26.4231,10,3.1667,C6,C6,C6,F#4,F#4,F#4,D3,D3,D3,D2,D3
57.5,26.5385,10,3.3333,D5,D5,D5,D4,D4,D4,F#3,F#3,F#3,F#2,F#3
57.75,26.6538,10,3.5,C6,C6,C6,D4,D4,D4,F#3,F#3,F#3,F#2,F#3
58.0,26.7692,10,3.6667,A5,A5,A5,D4,D4,D4,A3,A3,A3,A2,A3
58.25,26.8846,10,3.8333,C6,C6,C6,D4,D4,D4,A3,A3,A3,A2,A3
58.5,27.0,10,4.0,A5,A5,A5,D4,D4,D4,F#3,F#3,F#3,F#2,F#3
58.75,27.1154,10,4.1667,C6,C6,C6,D4,D4,D4,F#3,F#3,F#3,F#2,F#3
59.0,27.2308,10,4.3333,D5,D5,D5,D4,D4,D4,A3,A3,A3,A2,A3
59.25,27.3462,10,4.5,C6,C6,C6,D4,D4,D4,A3,A3,A3,A2,A3
59.5,27.4615,10,4.6667,A5,A5,A5,D4,D4,D4,D4,D4,D4,D3,D4
59.75,27.5769,10,4.8333,C6,C6,C6,D4,D4,D4,D4,D4,D4,D3,D4
60.0,27.6923,11,1.0,B5,G4,G4,D4,D4,D4,G2,G2,G2,G1,G2
60.25,27.8077,11,1.1667,C6,G4,G4,D4,D4,D4,G2,G2,G2,G1,G2
60.5,27.9231,11,1.3333,D6,B4,B4,D4,D4,D4,G2,G2,G2,G1,G2
60.75,28.0385,11,1.5,C6,B4,B4,D4,D4,D4,G2,G2,G2,G1,G2
61.0,28.1538,11,1.6667,B5,D5,D5,D4,D4,D4,r,r,r,r,r
61.25,28.2692,11,1.8333,A5,D5,D5,D4,D4,D4,r,r,r,r,r
61.5,28.3846,11,2.0,G5,B4,B4,D4,D4,D4,r,r,r,r,r
61.75,28.5,11,2.1667,A5,B4,B4,D4,D4,D4,r,r,r,r,r
62.0,28.6154,11,2.3333,B5,D5,D5,D4,D4,D4,r,r,r,r,r
62.25,28.7308,11,2.5,A5,D5,D5,D4,D4,D4,r,r,r,r,r
62.5,28.8462,11,2.6667,G5,G5,G5,D4,D4,D4,r,r,r,r,r
62.75,28.9615,11,2.8333,F#5,G5,G5,D4,D4,D4,r,r,r,r,r
63.0,29.0769,11,3.0,E5,C#5,C#5,A4,A4,A4,G3,G3,G3,G2,G3
63.25,29.1923,11,3.1667,F#5,C#5,C#5,A4,A4,A4,G3,G3,G3,G2,G3
63.5,29.3077,11,3.3333,G5,E5,E5,A4,A4,A4,G3,G3,G3,G2,G3
63.75,29.4231,11,3.5,F#5,E5,E5,A4,A4,A4,G3,G3,G3,G2,G3
64.0,29.5385,11,3.6667,E5,A5,A5,A4,A4,A4,r,r,r,r,r
64.25,29.6538,11,3.8333,D5,A5,A5,A4,A4,A4,r,r,r,r,r
64.5,29.7692,11,4.0,C#5,E5,E5,A4,A4,A4,r,r,r,r,r
64.75,29.8846,11,4.1667,D5,E5,E5,A4,A4,A4,r,r,r,r,r
65.0,30.0,11,4.3333,E5,A5,A5,A4,A4,A4,r,r,r,r,r
65.25,30.1154,11,4.5,D5,A5,A5,A4,A4,A4,r,r,r,r,r
65.5,30.2308,11,4.6667,C#5,C#6,C#6,A4,A4,A4,r,r,r,r,r
65.75,30.3462,11,4.8333,B4,C#6,C#6,A4,A4,A4,r,r,r,r,r
66.0,30.4615,12,1.0,A4,D6,D6,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
66.25,30.5769,12,1.1667,B4,D6,D6,A4,A4,A4,F#3,F#3,F#3,F#2,F#3
66.5,30.6923,12,1.3333,A4,D5,D5,F#4,F#4,F#4,E3,E3,E3,E2,E3
66.75,30.8077,12,1.5,G4,E5,E5,G4,G4,G4,E3,E3,E3,E2,E3
67.0,30.9231,12,1.6667,F#4,F#5,F#5,A4,A4,A4,D3,D3,D3,D2,D3
67.25,31.0385,12,1.8333,G4,F#5,F#5,A4,A4,A4,D3,D3,D3,D2,D3
67.5,31.1538,12,2.0,E4,A4,A4,A3,A3,A3,A3,A3,A3,A2,A3
67.75,31.2692,12,2.1667,F#4,A4,A4,A3,A3,A3,A3,A3,A3,A2,A3
68.0,31.3846,12,2.3333,G4,D5,D5,E4,E4,E4,A3,A3,A3,A2,A3
68.25,31.5,12,2.5,A4,D5,D5,E4,E4,E4,A3,A3,A3,A2,A3
68.5,31.6154,12,2.6667,B4,C#5,C#5,G4,G4,G4,A2,A2,A2,A1,A2
68.75,31.7308,12,2.8333,C#5,C#5,C#5,G4,G4,G4,A2,A2,A2,A1,A2
69.0,31.8462,12,3.0,D5,D5,D5,F#4,F#4,F#4,D2,D2,D2,D1,D2
69.25,31.9615,12,3.1667,B4,D5,D5,F#4,F#4,F#4,D2,D2,D2,D1,D2
69.5,32.0769,12,3.3333,A4,D5,D5,F#4,F#4,F#4,D2,D2,D2,D1,D2
69.75,32.1923,12,3.5,G4,D5,D5,F#4,F#4,F#4,D2,D2,D2,D1,D2
