qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
43.0,19.5455,6,2.5,r,r,r,r,A4,r,A4,r,A4,r,C#4,A4,r,C#4,D3,D3
43.5,19.7727,6,2.75,r,r,r,r,A4,r,A4,r,A4,r,C#4,A4,r,C#4,E3,E3
44.0,20.0,6,3.0,r,r,r,r,r,r,r,r,r,r,D4,r,r,D4,F#3,F#3
44.5,20.2273,6,3.25,r,r,r,r,r,r,r,r,r,r,D4,r,r,D4,E3,E3
45.0,20.4545,6,3.5,r,r,r,r,r,r,r,r,r,r,C#4,r,r,C#4,F#3,F#3
45.5,20.6818,6,3.75,r,r,r,r,r,r,r,r,r,r,B3,r,r,B3,G3,G3
46.0,20.9091,6,4.0,r,r,r,r,r,A4,r,A4,r,A4,A3,r,A4,A3,F#3,F#3
46.5,21.1364,6,4.25,r,r,r,r,r,A4,r,A4,r,A4,B3,r,A4,B3,G3,G3
47.0,21.3636,6,4.5,r,r,r,r,r,A4,r,A4,r,A4,G3,r,A4,G3,F#3,F#3
47.5,21.5909,6,4.75,r,r,r,r,r,A4,r,A4,r,A4,A3,r,A4,A3,E3,E3
48.0,21.8182,7,1.0,r,r,r,r,r,A4,r,A4,r,A4,B3,r,A4,B3,D3,D3
48.5,22.0455,7,1.25,r,r,r,r,r,A4,r,A4,r,A4,A3,r,A4,A3,D3,D3
49.0,22.2727,7,1.5,r,r,r,r,r,A4,r,A4,r,A4,B3,r,A4,B3,B2,C#3
49.5,22.5,7,1.75,r,r,r,r,r,A4,r,A4,r,A4,C#4,r,A4,C#4,B2,B2
50.0,22.7273,7,2.0,r,r,r,r,D5,G#4,D5,G#4,D5,G#4,B3,D5,G#4,B3,E3,E3
50.5,22.9545,7,2.25,r,r,r,r,D5,G#4,D5,G#4,D5,G#4,D4,D5,G#4,D4,E3,E3
51.0,23.1818,7,2.5,r,r,r,r,D5,G#4,D5,G#4,D5,G#4,C#4,D5,G#4,C#4,E3,E3
51.5,23.4091,7,2.75,r,r,r,r,D5,G#4,D5,G#4,D5,G#4,B3,D5,G#4,B3,E3,E3
52.0,23.6364,7,3.0,r,r,r,r,D5,A4,D5,A4,D5,A4,A3,D5,A4,A3,A2,A2
53.0,24.0909,7,3.5,r,r,r,r,D5,G4,D5,G4,D5,G4,E3,D5,G4,E3,A2,A2
53.5,24.3182,7,3.75,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,E3,D5,F#4,E3,A2,A2
54.0,24.5455,7,4.0,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,A3,C#5,E4,A3,A2,A3
54.5,24.7727,7,4.25,r,r,r,r,C#5,F#4,C#5,F#4,C#5,F#4,A3,C#5,F#4,A3,A2,A3
55.0,25.0,7,4.5,r,r,r,r,C#5,D4,C#5,D4,C#5,D4,A3,C#5,D4,A3,A2,A3
55.5,25.2273,7,4.75,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,A3,C#5,E4,A3,A2,A3
56.0,25.4545,8,1.0,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,D3,D5,F#4,D3,r,D4
56.5,25.6818,8,1.25,r,r,r,r,D5,E4,D5,E4,D5,E4,D3,D5,E4,D3,r,D4
57.0,25.9091,8,1.5,r,r,r,r,C#5,F#4,C#5,F#4,C#5,F#4,D3,C#5,F#4,D3,r,D4
57.5,26.1364,8,1.75,r,r,r,r,B4,G4,B4,G4,B4,G4,D3,B4,G4,D3,r,D4
58.0,26.3636,8,2.0,r,r,r,r,A4,F#4,A4,F#4,A4,F#4,D3,A4,F#4,D3,r,D3
58.5,26.5909,8,2.25,r,r,r,r,B4,G4,B4,G4,B4,G4,D3,B4,G4,D3,r,D3
59.0,26.8182,8,2.5,r,r,r,r,G4,F#4,G4,F#4,G4,F#4,D3,G4,F#4,D3,r,D3
59.5,27.0455,8,2.75,r,r,r,r,A4,E4,A4,E4,A4,E4,D3,A4,E4,D3,r,D3
60.0,27.2727,8,3.0,r,r,r,r,B4,D4,B4,D4,B4,D4,r,B4,D4,r,r,G3
60.5,27.5,8,3.25,r,r,r,r,A4,D4,A4,D4,A4,C#4,r,A4,D4,r,r,G3
61.0,27.7273,8,3.5,r,r,r,r,B4,D4,B4,D4,B4,D4,r,B4,B3,r,r,G3
61.5,27.9545,8,3.75,r,r,r,r,C5,E4,C5,E4,C5,E4,r,C5,B3,r,r,G3
62.0,28.1818,8,4.0,r,r,r,r,B4,F#4,B4,F#4,B4,F#4,r,B4,F#4,r,D3,D3
62.5,28.4091,8,4.25,r,r,r,r,C5,F#4,C5,F#4,C5,F#4,r,C5,F#4,r,D3,D3
63.0,28.6364,8,4.5,r,r,r,r,B4,F#4,B4,F#4,B4,F#4,r,B4,F#4,r,D3,D3
63.5,28.8636,8,4.75,r,r,r,r,A4,F#4,A4,F#4,A4,F#4,r,A4,F#4,r,D3,D3
64.0,29.0909,9,1.0,D4,D4,D4,D4,G4,E4,G4,E4,G4,B3,r,G4,B3,r,E3,E3
65.0,29.5455,9,1.5,r,r,r,r,E4,E4,E4,E4,E4,B3,r,E4,B3,r,E3,E3
66.0,30.0,9,2.0,r,r,r,r,A4,r,A4,r,A4,r,A3,A4,r,A3,F#3,F#3
68.0,30.9091,9,3.0,r,r,r,r,D4,r,D4,r,D4,r,B3,D4,r,B3,G3,G3
70.0,31.8182,9,4.0,r,r,r,r,r,r,r,r,r,r,C#4,r,r,C#4,F#3,F#3
71.0,32.2727,9,4.5,r,r,r,r,r,r,r,r,r,r,C#4,r,r,C#4,E3,E3
72.0,32.7273,10,1.0,r,r,r,r,r,r,r,r,r,r,D4,r,r,D4,F#3,F#3
73.0,33.1818,10,1.5,r,r,r,r,r,r,r,r,r,r,D4,r,r,D4,B2,B2
74.0,33.6364,10,2.0,r,r,r,r,r,D4,r,D4,r,D4,C#4,r,D4,C#4,B3,B3
75.0,34.0909,10,2.5,r,r,r,r,r,D4,r,D4,r,D4,B3,r,D4,B3,B3,B3
76.0,34.5455,10,3.0,r,r,r,r,r,E4,r,E4,r,E4,C#4,r,E4,C#4,B3,B3
77.0,35.0,10,3.5,r,r,r,r,r,E4,r,E4,r,E4,F#3,r,E4,F#3,A3,A3
78.0,35.4545,10,4.0,r,r,r,r,A4,F#4,A4,F#4,A4,F#4,F#4,A4,F#4,F#4,A3,A3
79.0,35.9091,10,4.5,r,r,r,r,A4,F#4,A4,F#4,A4,F#4,F#4,A4,F#4,F#4,D4,D4
80.0,36.3636,11,1.0,r,r,r,r,B4,G4,B4,G4,B4,G4,F#4,B4,G4,F#4,G3,G3
81.0,36.8182,11,1.5,r,r,r,r,B4,G4,B4,G4,B4,G4,E4,B4,G4,E4,B3,B3
82.0,37.2727,11,2.0,r,r,r,r,C#5,F#4,C#5,F#4,C#5,F#4,E4,C#5,F#4,E4,A3,A3
83.0,37.7273,11,2.5,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,A4,C#5,E4,A4,G3,G3
84.0,38.1818,11,3.0,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,D4,D5,F#4,D4,F#3,F#3
85.0,38.6364,11,3.5,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,F#4,D5,B3,F#4,F#3,F#3
86.0,39.0909,11,4.0,r,r,r,r,C#5,B4,C#5,B4,C#5,B4,E4,C#5,B4,E4,F#3,F#3
87.0,39.5455,11,4.5,r,r,r,r,B4,B4,B4,B4,B4,B4,D4,B4,B4,D4,F#3,F#3
88.0,40.0,12,1.0,r,r,r,r,C#5,B4,C#5,B4,C#5,B4,C#4,C#5,B4,C#4,r,F#3
88.5,40.2273,12,1.25,r,r,r,r,C#5,B4,C#5,B4,C#5,B4,C#4,C#5,B4,C#4,r,E3
89.0,40.4545,12,1.5,r,r,r,r,F#4,A4,F#4,A4,F#4,A4,C#4,F#4,A4,C#4,r,F#3
89.5,40.6818,12,1.75,r,r,r,r,F#4,A4,F#4,A4,F#4,A4,C#4,F#4,A4,C#4,r,G3
90.0,40.9091,12,2.0,r,r,r,r,F#5,A4,F#5,A4,F#5,A4,C#4,F#5,A4,C#4,r,F#3
90.5,41.1364,12,2.25,r,r,r,r,F#5,A4,F#5,A4,F#5,A4,C#4,F#5,A4,C#4,r,E3
91.0,41.3636,12,2.5,r,r,r,r,F#5,D5,F#5,D5,F#5,D5,C#4,F#5,D5,C#4,r,D3
91.5,41.5909,12,2.75,r,r,r,r,F#5,D5,F#5,D5,F#5,D5,C#4,F#5,D5,C#4,r,C#3
92.0,41.8182,12,3.0,r,r,r,r,F#5,G4,F#5,G4,F#5,G4,r,F#5,G4,r,r,B2
93.0,42.2727,12,3.5,r,r,r,r,B4,B4,B4,B4,B4,B4,r,E5,B4,r,r,B2
93.5,42.5,12,3.75,r,r,r,r,B4,B4,B4,B4,B4,B4,r,D5,B4,r,r,B2
94.0,42.7273,12,4.0,r,r,r,r,E5,A4,E5,A4,E5,A4,r,E5,A4,r,r,C#3
95.0,43.1818,12,4.5,r,r,r,r,E5,G4,E5,G4,E5,G4,r,E5,G4,r,r,C#3
96.0,43.6364,13,1.0,r,r,r,r,E5,F#4,E5,F#4,E5,F#4,D4,E5,F#4,D4,r,D3
97.0,44.0909,13,1.5,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,D4,D5,F#4,D4,r,F#3
98.0,44.5455,13,2.0,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,D4,D5,F#4,D4,B3,B3
99.0,45.0,13,2.5,r,r,r,r,G5,F#4,G5,F#4,G5,F#4,D4,G5,F#4,D4,B3,B3
100.0,45.4545,13,3.0,r,r,r,r,C#5,r,C#5,r,C#5,r,E4,C#5,r,E4,B3,B3
101.0,45.9091,13,3.5,r,r,r,r,E5,r,E5,r,E5,r,E4,E5,r,E4,B3,B3
102.0,46.3636,13,4.0,r,r,r,r,D5,r,D5,r,D5,r,F#4,D5,r,F#4,B-3,B-3
103.0,46.8182,13,4.5,r,r,r,r,C#5,r,C#5,r,C#5,r,F#4,C#5,r,F#4,B-3,B-3
104.0,47.2727,14,1.0,r,r,r,r,B4,r,B4,r,B4,r,G4,B4,r,G4,B3,B3
104.5,47.5,14,1.25,r,r,r,r,B4,r,B4,r,B4,r,G4,B4,r,G4,C#4,C#4
105.0,47.7273,14,1.5,r,r,r,r,B4,r,B4,r,B4,r,G4,B4,r,G4,A3,A3
105.5,47.9545,14,1.75,r,r,r,r,B4,r,B4,r,B4,r,G4,B4,r,G4,B3,B3
106.0,48.1818,14,2.0,r,r,r,r,B4,r,B4,r,B4,r,F#4,B4,r,F#4,C#4,C#4
106.5,48.4091,14,2.25,r,r,r,r,B4,r,B4,r,B4,r,F#4,B4,r,F#4,D4,D4
107.0,48.6364,14,2.5,r,r,r,r,B4,r,B4,r,B4,r,E4,B4,r,E4,B3,B3
107.5,48.8636,14,2.75,r,r,r,r,B4,r,B4,r,B4,r,E4,B4,r,E4,C#4,C#4
108.0,49.0909,14,3.0,r,r,r,r,r,A4,r,A4,r,A4,F#4,r,A4,F#4,D4,D4
108.5,49.3182,14,3.25,r,r,r,r,r,A4,r,A4,r,A4,F#4,r,A4,F#4,C#4,C#4
109.0,49.5455,14,3.5,r,r,r,r,r,A4,r,A4,r,A4,D4,r,A4,D4,D4,D4
109.5,49.7727,14,3.75,r,r,r,r,r,A4,r,A4,r,A4,D4,r,A4,D4,E4,E4
110.0,50.0,14,4.0,r,r,r,r,r,A4,r,A4,r,A4,A4,r,A4,A4,D4,D4
110.5,50.2273,14,4.25,r,r,r,r,r,A4,r,A4,r,A4,A4,r,A4,A4,E4,E4
111.0,50.4545,14,4.5,r,r,r,r,r,A4,r,A4,r,A4,A4,r,A4,A4,D4,D4
111.5,50.6818,14,4.75,r,r,r,r,r,A4,r,A4,r,A4,A4,r,A4,A4,C#4,C#4
112.0,50.9091,15,1.0,r,r,r,r,r,B4,r,B4,r,B4,A4,r,B4,A4,B3,B3
114.0,51.8182,15,2.0,r,r,r,r,r,C#5,r,C#5,r,C#5,G4,r,C#5,G4,B3,B3
116.0,52.7273,15,3.0,D5,r,r,r,D5,D5,D5,D5,D5,D5,F#4,D5,D5,F#4,B3,B3
117.0,53.1818,15,3.5,D5,r,r,r,D5,D5,D5,D5,D5,D5,F#4,D5,D5,F#4,C#4,C#4
118.0,53.6364,15,4.0,D5,r,r,r,D5,C#5,D5,C#5,D5,C#5,F#4,D5,C#5,F#4,D4,D4
119.0,54.0909,15,4.5,D5,r,r,r,D5,B4,D5,B4,D5,B4,F#4,D5,B4,F#4,D4,D4
120.0,54.5455,16,1.0,E5,r,r,r,E5,C#5,E5,C#5,E5,C#5,E4,E5,C#5,E4,A3,A3
121.0,55.0,16,1.5,E5,r,r,r,E5,A4,E5,A4,E5,A4,E4,E5,A4,E4,A3,A3
122.0,55.4545,16,2.0,F#5,r,r,r,F#5,D5,F#5,D5,F#5,D5,A3,F#5,D5,A3,G3,G3
123.0,55.9091,16,2.5,F#5,r,r,r,F#5,D5,F#5,D5,F#5,D5,A3,F#5,D5,A3,F#3,F#3
124.0,56.3636,16,3.0,G5,r,r,r,G5,D5,G5,D5,G5,D5,B3,G5,D5,B3,E3,E3
126.0,57.2727,16,4.0,F#5,r,r,r,F#5,C#5,F#5,C#5,F#5,C#5,C#4,F#5,C#5,C#4,A3,A3
127.0,57.7273,16,4.5,E5,r,r,r,E5,C#5,E5,C#5,E5,C#5,C#4,E5,C#5,C#4,A3,A3
128.0,58.1818,17,1.0,F#5,r,r,r,F#5,B4,F#5,B4,F#5,B4,D4,F#5,B4,D4,D3,D3
129.0,58.6364,17,1.5,D5,r,r,r,D5,B4,D5,B4,D5,B4,D4,D5,B4,D4,D3,D3
130.0,59.0909,17,2.0,G5,r,r,r,G5,B4,G5,B4,G5,B4,C#4,G5,B4,C#4,E3,E3
131.0,59.5455,17,2.5,G5,r,r,r,G5,B4,G5,B4,G5,B4,B3,G5,B4,B3,E3,E3
132.0,60.0,17,3.0,G5,r,r,r,G5,A4,G5,A4,G5,A4,C#4,G5,A4,C#4,A2,A2
133.0,60.4545,17,3.5,G5,r,r,r,G5,A4,G5,A4,G5,A4,A3,G5,A4,A3,A2,A2
134.0,60.9091,17,4.0,F#5,r,r,r,F#5,D4,F#5,D4,F#5,D4,D4,F#5,D4,D4,A2,A2
136.0,61.8182,18,1.0,E5,r,r,r,E5,E4,E5,E4,E5,E4,D4,E5,E4,D4,A2,A2
138.0,62.7273,18,2.0,E5,r,r,r,E5,F#4,E5,F#4,E5,F#4,C#4,E5,F#4,C#4,B-2,B-2
138.5,62.9545,18,2.25,E5,r,r,r,E5,F#4,E5,F#4,E5,F#4,C#4,E5,F#4,C#4,B2,B-2
139.0,63.1818,18,2.5,E5,r,r,r,E5,F#4,E5,F#4,E5,F#4,C#4,E5,F#4,C#4,G#2,B-2
139.5,63.4091,18,2.75,E5,r,r,r,E5,F#4,E5,F#4,E5,F#4,C#4,E5,F#4,C#4,B-2,B-2
140.0,63.6364,18,3.0,D5,r,r,r,D5,G4,D5,G4,D5,G4,B3,D5,G4,B3,B2,B2
140.5,63.8636,18,3.25,D5,r,r,r,D5,G4,D5,G4,D5,G4,B3,D5,G4,B3,C#3,B2
141.0,64.0909,18,3.5,D5,r,r,r,D5,G4,D5,G4,D5,G4,B3,D5,G4,B3,B-2,B2
141.5,64.3182,18,3.75,D5,r,r,r,D5,G4,D5,G4,D5,G4,B3,D5,G4,B3,B2,B2
142.0,64.5455,18,4.0,D5,r,r,r,D5,F#4,D5,F#4,D5,F#4,B3,D5,F#4,B3,C#3,C#3
142.5,64.7727,18,4.25,D5,r,r,r,D5,F#4,D5,F#4,D5,F#4,B3,D5,F#4,B3,D3,C#3
143.0,65.0,18,4.5,D5,r,r,r,D5,E4,D5,E4,D5,E4,B3,D5,E4,B3,B2,C#3
143.5,65.2273,18,4.75,D5,r,r,r,D5,E4,D5,E4,D5,E4,B3,D5,E4,B3,C#3,C#3
144.0,65.4545,19,1.0,r,r,r,r,r,F#4,r,F#4,r,F#4,A3,r,F#4,A3,D3,D3
144.5,65.6818,19,1.25,r,r,r,r,r,F#4,r,F#4,r,F#4,A3,r,F#4,A3,C#3,D3
145.0,65.9091,19,1.5,r,r,r,r,r,D4,r,D4,r,D4,A3,r,D4,A3,D3,D3
145.5,66.1364,19,1.75,r,r,r,r,r,D4,r,D4,r,D4,A3,r,D4,A3,E3,D3
146.0,66.3636,19,2.0,r,r,r,r,r,A4,r,A4,r,A4,E4,r,A4,E4,C3,C3
146.5,66.5909,19,2.25,r,r,r,r,r,A4,r,A4,r,A4,E4,r,A4,E4,B2,C3
147.0,66.8182,19,2.5,r,r,r,r,r,A4,r,A4,r,A4,E4,r,A4,E4,C3,C3
147.5,67.0455,19,2.75,r,r,r,r,r,A4,r,A4,r,A4,E4,r,A4,E4,D3,C3
148.0,67.2727,19,3.0,r,r,r,r,r,A4,r,A4,r,A4,E-4,r,A4,E-4,B2,B2
149.0,67.7273,19,3.5,r,r,r,r,r,A4,r,A4,r,A4,E-4,r,A4,B3,B2,B2
150.0,68.1818,19,4.0,r,r,r,r,E5,G4,E5,G4,E5,G4,B3,E5,G4,B3,E3,E3
151.0,68.6364,19,4.5,r,r,r,r,E5,G4,E5,G4,E5,G4,B3,E5,G4,B3,E3,E3
152.0,69.0909,20,1.0,r,r,r,r,E5,F#4,E5,F#4,E5,F#4,C4,E5,F#4,C4,A2,A2
154.0,70.0,20,2.0,r,r,r,r,E-5,F#4,E-5,F#4,E-5,F#4,B3,E-5,F#4,B3,B2,B2
155.0,70.4545,20,2.5,r,r,r,r,E-5,F#4,E-5,F#4,E-5,F#4,A3,E-5,F#4,B3,B2,B2
156.0,70.9091,20,3.0,r,r,r,r,E5,E4,E5,E4,E5,E4,G3,E5,E4,G3,E3,E2
157.0,71.3636,20,3.5,r,r,r,r,D5,E4,D5,E4,D5,E4,G3,D5,E4,G3,E3,E2
157.5,71.5909,20,3.75,r,r,r,r,C5,E4,C5,E4,C5,E4,G3,C5,E4,G3,E3,E2
158.0,71.8182,20,4.0,r,r,r,r,B4,G4,B4,G4,B4,G4,r,B4,G4,r,r,G4
158.5,72.0455,20,4.25,r,r,r,r,C5,G4,C5,G4,C5,G4,r,C5,G4,r,r,G4
159.0,72.2727,20,4.5,r,r,r,r,A4,G4,A4,G4,A4,G4,r,A4,G4,r,r,G4
159.5,72.5,20,4.75,r,r,r,r,B4,G4,B4,G4,B4,G4,r,B4,G4,r,r,G4
160.0,72.7273,21,1.0,r,r,r,r,C5,G4,C5,G4,C5,G4,r,C5,G4,r,r,G4
160.5,72.9545,21,1.25,r,r,r,r,B4,G4,B4,G4,B4,G4,r,B4,G4,r,r,G4
161.0,73.1818,21,1.5,r,r,r,r,C5,G4,C5,G4,C5,G4,r,C5,G4,r,r,G4
161.5,73.4091,21,1.75,r,r,r,r,D5,G4,D5,G4,D5,G4,r,D5,G4,r,r,G4
162.0,73.6364,21,2.0,r,r,r,r,C5,F#4,C5,F#4,C5,F#4,r,C5,F#4,r,r,F#4
162.5,73.8636,21,2.25,r,r,r,r,E5,F#4,E5,F#4,E5,F#4,r,E5,F#4,r,r,F#4
163.0,74.0909,21,2.5,r,r,r,r,D5,F#4,D5,F#4,D5,F#4,r,D5,F#4,r,r,F#4
163.5,74.3182,21,2.75,r,r,r,r,C5,F#4,C5,F#4,C5,F#4,r,C5,F#4,r,r,F#4
164.0,74.5455,21,3.0,r,r,r,r,B4,G4,B4,G4,B4,G4,r,B4,G4,r,r,G4
165.0,75.0,21,3.5,r,r,r,r,C#5,F#4,C#5,F#4,C#5,F#4,r,C#5,F#4,r,r,F#4
165.5,75.2273,21,3.75,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,r,C#5,E4,r,r,E4
166.0,75.4545,21,4.0,r,r,r,r,D5,D4,D5,D4,D5,D4,B3,D5,D4,B3,r,B3
166.5,75.6818,21,4.25,r,r,r,r,D5,E4,D5,E4,D5,E4,B3,D5,E4,B3,r,B3
167.0,75.9091,21,4.5,r,r,r,r,D5,C#4,D5,C#4,D5,C#4,B3,D5,C#4,B3,r,B3
167.5,76.1364,21,4.75,r,r,r,r,D5,D4,D5,D4,D5,D4,B3,D5,D4,B3,r,B3
168.0,76.3636,22,1.0,r,r,r,r,G4,E4,G4,E4,G4,E4,B3,G4,E4,B3,r,B3
168.5,76.5909,22,1.25,r,r,r,r,G4,D4,G4,D4,G4,D4,B3,G4,D4,B3,r,B3
169.0,76.8182,22,1.5,r,r,r,r,E4,E4,E4,E4,E4,E4,B3,r,E4,B3,r,B3
169.5,77.0455,22,1.75,r,r,r,r,E4,F#4,E4,F#4,E4,F#4,B3,r,F#4,B3,r,B3
170.0,77.2727,22,2.0,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,B-3,C#5,E4,B-3,r,B-3
170.5,77.5,22,2.25,r,r,r,r,C#5,G4,C#5,G4,C#5,G4,B-3,C#5,G4,B-3,r,B-3
171.0,77.7273,22,2.5,r,r,r,r,C#5,F#4,C#5,F#4,C#5,F#4,B-3,C#5,F#4,B-3,r,B-3
171.5,77.9545,22,2.75,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,B-3,C#5,E4,B-3,r,B-3
172.0,78.1818,22,3.0,r,r,r,r,C#5,D4,C#5,D4,C#5,D4,B3,C#5,D4,B3,r,B3
173.0,78.6364,22,3.5,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,A3,C#5,E4,A3,r,A3
173.5,78.8636,22,3.75,r,r,r,r,C#5,E4,C#5,E4,C#5,E4,G3,C#5,E4,G3,r,G3
174.0,79.0909,22,4.0,r,r,r,r,B4,F#4,B4,F#4,B4,F#4,F#3,B4,F#4,F#3,D3,D3
174.5,79.3182,22,4.25,r,r,r,r,B4,F#4,B4,F#4,B4,F#4,G3,B4,F#4,G3,D3,D3
175.0,79.5455,22,4.5,r,r,r,r,B4,F#4,B4,F#4,B4,F#4,E3,B4,F#4,E3,D3,D3
175.5,79.7727,22,4.75,r,r,r,r,B4,F#4,B4,F#4,B4,F#4,F#3,B4,F#4,F#3,D3,D3
176.0,80.0,23,1.0,r,r,r,r,E5,E4,E5,E4,E5,B3,G3,E5,B3,G3,D3,D3
176.5,80.2273,23,1.25,r,r,r,r,E5,E4,E5,E4,E5,B3,F#3,E5,B3,F#3,D3,D3
177.0,80.4545,23,1.5,r,r,r,r,E5,E4,E5,E4,E5,B3,G3,E5,B3,G3,D3,D3
177.5,80.6818,23,1.75,r,r,r,r,E5,E4,E5,E4,E5,B3,A3,E5,B3,A3,D3,D3
178.0,80.9091,23,2.0,r,r,r,r,A4,E4,A4,E4,A4,E4,G3,A4,E4,G3,C#3,C#3
178.5,81.1364,23,2.25,r,r,r,r,A4,E4,A4,E4,A4,E4,B3,A4,E4,B3,C#3,C#3
179.0,81.3636,23,2.5,r,r,r,r,A4,E4,A4,E4,A4,E4,A3,A4,E4,A3,C#3,C#3
179.5,81.5909,23,2.75,r,r,r,r,A4,E4,A4,E4,A4,E4,G3,A4,E4,G3,C#3,C#3
180.0,81.8182,23,3.0,r,r,r,r,A4,F#4,A4,F#4,A4,E4,F#3,A4,E4,F#3,D3,D3
181.0,82.2727,23,3.5,r,r,r,r,A4,F#4,A4,F#4,A4,D4,G3,r,D4,G3,C#3,C#3
181.5,82.5,23,3.75,r,r,r,r,A4,F#4,A4,F#4,A4,D4,G3,r,D4,G3,B2,B2
182.0,82.7273,23,4.0,r,r,r,r,F#5,r,F#5,r,F#5,C#4,A3,F#5,C#4,A3,A2,A2
