qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,F Horn 1,F Horn 2,C Horn 3,C Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Triangle,Violin 1,Violin 2,Viola,Violoncello,Contrabass
94.0,99.0,,P8(Main)&P8(Bassoon 1),,,,Main Part,,P8(Flute 1)&P8(Main),,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
99.0,101.5,,P8(Bb Clarinet 1),,,,P8(Flute 1),,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
101.5,107.5,P8(Bb Clarinet 1),,,,,P8(Piccolo),,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
107.5,109.5,Main Part,,,,,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(Bb Clarinet 1),,,,,,,,,,,,,,,
109.5,115.5,P8(Bb Clarinet 1)&P8(Bassoon 1),U(Flute 2)&P3(Bb Clarinet 2)&P3(Bassoon 2),U(Flute 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),,,P8(Piccolo)&P8(Bassoon 1),P3(Flute 1)&P3(Flute 2)&P8(Bassoon 2),P8(Piccolo)&P8(Bb Clarinet 1),P3(Flute 1)&P3(Flute 2)&P8(Bb Clarinet 2),,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
115.5,117.5,Main Part,U(Main)&U(Flute 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),U(Main)&U(Flute 1)&P8(Bb Clarinet 1)&P8(Bassoon 1),,,P8(Main)&P8(Flute 1)&P8(Flute 2)&P8(Bassoon 1),P8(Bassoon 2),P8(Main)&P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
117.5,119.5,U(Flute 1)&U(Flute 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),U(Piccolo)&U(Flute 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),U(Piccolo)&U(Flute 1)&P8(Bb Clarinet 1)&P8(Bassoon 1),,,P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Bassoon 1),P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
119.5,123.5,Main Part,,,P8(C Horn 3)&P8(C Horn 4)&P3(Triangle),,P8(Main)&P8(Bassoon 1),P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,,P8(Oboe 1)&U(C Horn 4)&P3(Triangle),P8(Oboe 1)&U(C Horn 3)&P3(Triangle),,,,P3(Oboe 1)&P3(C Horn 3)&P3(C Horn 4),,,,P8(Contrabass),P8(Violoncello)
123.5,131.5,,,,Main Part,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,U(C Horn 4),U(C Horn 3),,,,,,,,,
131.5,139.5,,,,Main Part,,U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),,,,,,,,,,,,,,
139.5,143.5,,,,,,Main Part,,U(Bassoon 2),U(Bassoon 1),,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
143.5,147.5,,,,,,Main Part,,P3(Main)&U(Bassoon 2)&P3(Violin 1),P3(Main)&U(Bassoon 1)&P3(Violin 1),,,,,,,,,,P8(Main)&P3(Bassoon 1)&P3(Bassoon 2),P3(Violoncello)&P3(Contrabass),,P3(Violin 2)&P8(Contrabass),P3(Violin 2)&P8(Violoncello)
147.5,151.0,,,,,,Main Part,,P3(Main)&U(Bassoon 2),P3(Main)&U(Bassoon 1),,,,,,,,,,,,,,
151.0,159.0,,,,,,,,U(Bassoon 2)&P8(C Horn 3)&U(C Horn 4),U(Bassoon 1)&P8(C Horn 3)&U(C Horn 4),,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 4),U(Bassoon 1)&U(Bassoon 2)&P8(C Horn 3),,,,,Main Part,,,,
159.0,163.0,,,,,,,,Main Part,U(Main),,,,P8(C Horn 4),P8(C Horn 3),,,,,,,,,
163.0,168.0,P4(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Timpani),U(Flute 2)&P8(Contrabassoon)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Contrabass),U(Flute 1)&P8(Contrabassoon)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Contrabass),P4(Piccolo)&P6(Oboe 2)&U(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Timpani),P3(Piccolo)&P6(Oboe 1)&P6(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Timpani),P4(Piccolo)&U(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 2)&P4(Timpani),P3(Piccolo)&P6(Oboe 1)&U(Oboe 2)&P6(Bb Clarinet 1)&P3(Timpani),Main Part,,P8(Flute 1)&P8(Flute 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Contrabass),,,P8(C Horn 4)&P3(Violin 2),P8(C Horn 3)&P3(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Contrabassoon)&P8(C Trumpet 2)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Contrabassoon)&P8(C Trumpet 1)&P8(Contrabass),P8(Piccolo)&P4(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2),,,P3(C Horn 3)&P3(C Horn 4),,,P8(Flute 1)&P8(Flute 2)&U(Contrabassoon)&P8(C Trumpet 1)&P8(C Trumpet 2)
