qstamp,tstamp,measure,beat,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
109.0,32.7,28,1.5,B4,F#4,B4,F#4,D4,B4,F#4,D4,F#3,F#3
109.5,32.85,28,1.75,C#5,G4,C#5,G4,E4,C#5,G4,E4,E3,E3
110.0,33.0,28,2.0,D5,A4,D5,A4,D4,D5,A4,D4,F#3,F#3
110.5,33.15,28,2.25,D5,A4,D5,A4,F#4,D5,A4,F#4,F#3,F#3
111.0,33.3,28,2.5,G5,B4,G5,B4,E4,G5,B4,E4,B3,B3
111.5,33.45,28,2.75,G5,B4,G5,B4,D4,G5,B4,D4,B3,B3
112.0,33.6,29,1.0,G5,E4,G5,E4,C#4,G5,E4,C#4,A3,A3
113.0,33.9,29,1.5,F#5,F#4,F#5,F#4,D4,F#5,F#4,D4,D3,D3
113.5,34.05,29,1.75,F#5,G4,F#5,G4,D4,F#5,G4,D4,D3,D3
114.0,34.2,29,2.0,E5,A4,E5,A4,E4,E5,A4,E4,D3,D3
114.5,34.35,29,2.25,E5,A4,E5,A4,F#4,E5,A4,E4,D3,D3
115.0,34.5,29,2.5,E5,A4,E5,A4,G4,E5,A4,E4,C#3,C#3
115.5,34.65,29,2.75,E5,A4,E5,A4,E4,E5,A4,E4,C#3,C#3
116.0,34.8,30,1.0,E5,A4,E5,A4,F#4,E5,A4,F#4,D3,D3
116.5,34.95,30,1.25,E5,D4,E5,D4,F#4,E5,A4,F#4,D3,D3
117.0,35.1,30,1.5,D5,E4,D5,E4,D4,D5,F#4,D4,D3,D3
117.5,35.25,30,1.75,D5,F#4,D5,F#4,D4,D5,F#4,D4,D3,D3
118.0,35.4,30,2.0,D5,G4,D5,G4,r,D5,G4,B3,r,r
118.5,35.55,30,2.25,B4,G4,B4,G4,r,D5,G4,B3,r,G2
119.0,35.7,30,2.5,C#5,G4,C5,G4,r,C5,G4,G3,G2,A2
119.5,35.85,30,2.75,D5,G4,D5,G4,r,D5,G4,G3,G2,B2
120.0,36.0,31,1.0,E5,G4,E5,G4,r,E5,G4,r,C3,C3
120.5,36.15,31,1.25,D5,E4,D5,E4,r,E5,E4,r,C3,C3
121.0,36.3,31,1.5,C#5,F#4,C5,F#4,G3,E5,F#4,G3,C3,C3
121.5,36.45,31,1.75,B4,G4,B4,G4,G3,E5,G4,G3,C3,C3
122.0,36.6,31,2.0,A4,A4,A4,A4,C4,E5,A4,C4,C3,r
122.5,36.75,31,2.25,G4,A4,G4,A4,C4,E5,A4,C4,A2,A2
123.0,36.9,31,2.5,F#4,A4,F#4,A4,C4,D5,A4,C4,B2,B2
123.5,37.05,31,2.75,E4,A4,E4,A4,C4,E5,A4,C4,C3,C3
124.0,37.2,32,1.0,D4,A4,D4,A4,C4,A4,A4,C4,D3,D3
124.5,37.35,32,1.25,D4,C5,D4,C5,C4,A4,A4,C4,D3,D3
125.0,37.5,32,1.5,D5,B4,D5,B4,D4,D5,B4,D4,B2,B2
125.5,37.65,32,1.75,D5,A4,D5,A4,C4,D5,A4,C4,B2,B2
126.0,37.8,32,2.0,D5,G4,D5,G4,B3,D5,G4,B3,E3,E3
126.5,37.95,32,2.25,C5,F#4,C5,F#4,B3,C5,F#4,B3,D3,D3
127.0,38.1,32,2.5,B4,G4,B4,G4,D4,B4,G4,D4,E3,E3
127.5,38.25,32,2.75,A4,A4,A4,A4,D4,A4,A4,D4,F#3,F#3
128.0,38.4,33,1.0,B4,D4,B4,D4,G4,B4,D4,G4,G3,G3
128.5,38.55,33,1.25,C#5,G4,C#5,G4,G4,C#5,G4,G4,G3,G3
129.0,38.7,33,1.5,E-5,F#4,E-5,F#4,A4,E-5,F#4,A4,C4,C4
129.5,38.85,33,1.75,E5,E4,E5,E4,G4,E5,E4,G4,C4,C4
130.0,39.0,33,2.0,F#5,C5,F#5,C5,F#4,F#5,C5,F#4,C4,C4
130.5,39.15,33,2.25,F#5,C5,F#5,C5,E4,F#5,C5,E4,C4,C4
131.0,39.3,33,2.5,F#5,B4,F#5,B4,E-4,F#5,B4,E-4,E-3,E-3
131.5,39.45,33,2.75,F#5,B4,F#5,B4,C#4,F#5,B4,C#4,E-3,E-3
132.0,39.6,34,1.0,F#5,B4,F#5,B4,B3,F#5,B4,B3,E3,E3
132.5,39.75,34,1.25,F#5,D5,F#5,D5,G3,F#5,B4,G3,E3,E3
133.0,39.9,34,1.5,E5,C5,E5,C5,A3,E5,C5,A3,A2,A2
133.5,40.05,34,1.75,D5,B4,D5,B4,B3,D5,B4,B3,A2,A2
134.0,40.2,34,2.0,C5,A4,C5,A4,C4,C5,A4,C4,A3,A2
134.5,40.35,34,2.25,B4,A4,B4,A4,C4,B4,A4,C4,A3,A2
135.0,40.5,34,2.5,A4,E-4,A4,E-4,B3,A4,E-4,B3,B3,B2
135.5,40.65,34,2.75,G4,E-4,G4,E-4,B3,G4,E-4,B3,B3,B2
136.0,40.8,35,1.0,A4,E4,A4,E4,E3,A4,E4,E3,C4,C3
136.5,40.95,35,1.25,B4,E4,B4,E4,E3,B4,E4,E3,C4,C3
137.0,41.1,35,1.5,C#5,E4,C#5,E4,G3,C#5,E4,G3,B3,B2
137.5,41.25,35,1.75,E-5,E4,E-5,E4,G3,E-5,E4,G3,B3,B2
138.0,41.4,35,2.0,E5,E4,E5,E4,C4,E5,E4,C4,A3,A2
138.5,41.55,35,2.25,E-5,E4,E-5,E4,C4,E5,E4,C4,A3,A2
