qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1 (orig. E and A),E Horn 2 (orig. E and A),Violin 1,Violin 2,Viola,Violoncello,Contrabass
106.25,108.0,Main Part,,P6(Oboe 2),P6(Oboe 1),P8(Violin 1),P8(Violin 2),P8(Main),U(Violoncello)&P8(Contrabass),P8(E Horn 2 (orig. E and A))&P8(Viola),P8(E Horn 1 (orig. E and A))&P8(Viola),P8(A Clarinet 1),P8(A Clarinet 2),P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
108.0,112.5,P8(Oboe 2)&P8(A Clarinet 1),P8(A Clarinet 2)&P8(E Horn 1 (orig. E and A)),,P8(Flute 1)&U(A Clarinet 1),P8(Flute 1)&U(Oboe 2),P8(Flute 2)&U(E Horn 1 (orig. E and A)),,P8(E Horn 2 (orig. E and A)),P8(Flute 2)&U(A Clarinet 2),P8(Bassoon 2),Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
112.5,113.5,Main Part,P3(Main)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P8(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Main)&P3(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P3(Flute 2)&P5(Oboe 1)&U(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P5(E Horn 2 (orig. E and A))&P3(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P8(Main)&P3(Flute 2)&P5(Oboe 1)&U(Oboe 2)&P3(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P5(E Horn 2 (orig. E and A))&P3(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(Bassoon 1)&P3(Bassoon 2)&U(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&U(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 2)&P8(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P8(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Main)&P3(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P3(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(E Horn 2 (orig. E and A))&U(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Main)&P3(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P3(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),,P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(E Horn 1 (orig. E and A))&P3(E Horn 2 (orig. E and A))&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Main)&P3(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1 (orig. E and A))&U(E Horn 2 (orig. E and A))&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P5(Main)&P3(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P3(Violin 2)&P8(Viola)&P8(Contrabass),P5(Main)&P3(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A))&P3(Violin 2)&P8(Viola)&P8(Violoncello)
113.5,117.0,,,,,,,,,U(E Horn 2 (orig. E and A)),U(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
117.0,121.5,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
121.5,128.25,,,P5(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2),P5(Oboe 1)&P3(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P5(Oboe 2)&P3(A Clarinet 1)&P5(Bassoon 1)&P3(Bassoon 2),P5(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 2),P3(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1),,,,Main Part,,,
128.25,138.0,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,,
138.0,147.0,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
147.0,151.5,,,,,P6(A Clarinet 2)&P8(Bassoon 1),P6(A Clarinet 1)&P6(Bassoon 1),P8(A Clarinet 1)&P6(A Clarinet 2),,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,,P8(Contrabass),P8(Violoncello)
151.5,153.125,,,,,Main Part,P8(Bassoon 2),P8(Main),P8(A Clarinet 2),P8(E Horn 2 (orig. E and A))&P8(Viola),P8(E Horn 1 (orig. E and A))&P8(Viola),,,P8(E Horn 1 (orig. E and A))&P8(E Horn 2 (orig. E and A)),P8(Contrabass),P8(Violoncello)
