score_qstamp,qstamp,measure,beat,736442_tstamp,729168_tstamp,711708_tstamp,723422_tstamp
35.875,35.875,24,1.9167,60.9535,57.187,68.2735,88.1535
36.0,36.0,25,1.0,61.553,57.4965,69.0365,90.093
36.25,36.25,25,1.1667,61.9026,57.8426,69.4304,90.4226
36.5,36.5,25,1.3333,62.2287,58.1687,69.8861,90.7487
36.75,36.75,25,1.5,62.5548,58.4948,70.2348,91.0748
37.0,37.0,25,1.6667,62.8827,58.8209,70.7081,91.4236
37.25,37.25,25,1.8333,63.414,59.388,71.367,92.125
37.5,37.5,26,1.0,63.753,59.773,71.693,92.633
37.75,37.75,26,1.1667,64.1591,60.0991,72.3991,93.0364
38.0,38.0,26,1.3333,64.5052,60.5852,72.7356,93.9252
38.25,38.25,26,1.5,64.9113,60.9113,73.1113,94.5713
38.375,38.375,26,1.5833,65.0943,61.0743,73.3143,94.8143
38.5,38.5,26,1.6667,65.2574,61.2574,73.5374,94.9774
38.625,38.625,26,1.75,65.5004,61.4404,73.7012,95.3604
38.75,38.75,26,1.8333,65.6775,61.6635,74.0435,95.6035
38.875,38.875,26,1.9167,65.9065,61.8265,74.2065,95.8665
39.0,39.0,27,1.0,66.1688,62.2064,74.504,96.5056
39.25,39.25,27,1.1667,66.5157,62.6157,75.0157,96.9557
39.5,39.5,27,1.3333,66.8617,62.9417,75.3434,97.3034
39.75,39.75,27,1.5,67.1878,63.2878,75.7478,97.9278
40.0,40.0,27,1.6667,67.5817,63.6139,76.2078,98.5139
40.25,40.25,27,1.8333,67.96,64.1,76.78,98.84
40.5,40.5,28,1.0,68.3227,64.4261,77.1793,99.282
40.75,40.75,28,1.1667,68.7322,64.8122,77.7322,100.3922
41.0,41.0,28,1.3333,69.0583,65.1383,78.0766,100.8183
41.25,41.25,28,1.5,69.4643,65.5286,78.7243,101.4501
41.5,41.5,28,1.6667,69.7904,65.8704,79.0608,101.8808
41.75,41.75,28,1.8333,70.1965,66.2365,79.5765,102.4765
42.0,42.0,29,1.0,70.6678,66.6052,80.0278,103.0826
42.25,42.25,29,1.1667,71.0287,67.0687,80.4887,103.5748
42.5,42.5,29,1.3333,71.3548,67.3948,80.8348,104.0748
42.75,42.75,29,1.5,71.8009,67.7409,81.3636,104.7708
43.0,43.0,29,1.6667,72.127,68.074,81.821,105.347
43.25,43.25,29,1.8333,72.453,68.573,82.213,105.873
43.5,43.5,30,1.0,72.8582,68.9191,82.6591,106.5391
43.75,43.75,30,1.1667,73.2852,69.3468,83.1852,107.3324
44.0,44.0,30,1.3333,73.6626,69.9113,84.0513,108.3913
44.25,44.25,30,1.5,74.0574,70.2374,84.3774,108.7174
44.5,44.5,30,1.6667,74.4235,70.7435,84.7435,109.047
44.75,44.75,30,1.8333,74.7688,71.0696,85.2296,110.088
45.0,45.0,31,1.0,75.1757,71.3957,85.5557,110.4557
45.25,45.25,31,1.1667,75.6017,71.8017,86.2217,110.9617
45.5,45.5,31,1.3333,75.9878,72.1478,86.5478,111.2878
45.75,45.75,31,1.5,76.3539,72.5539,86.8939,112.0817
46.0,46.0,31,1.6667,76.8,72.92,87.3,112.62
46.25,46.25,31,1.8333,77.1505,73.3288,87.7183,113.2461
46.5,46.5,32,1.0,77.5522,73.7888,88.2644,113.8322
46.75,46.75,32,1.1667,77.8983,74.1383,88.8583,114.2583
47.0,47.0,32,1.3333,78.4243,74.4843,89.2243,114.7843
47.25,47.25,32,1.5,78.7504,74.8304,89.5504,115.1104
47.5,47.5,32,1.6667,79.0765,75.1965,89.9565,116.023
47.75,47.75,32,1.8333,79.4826,75.7626,90.2826,116.4426
48.0,48.0,33,1.0,79.9287,76.1635,91.0435,117.7192
48.25,48.25,33,1.1667,80.2748,76.5348,91.5348,118.2548
48.375,48.375,33,1.25,80.4378,76.6978,91.6978,118.4378
48.5,48.5,33,1.3333,80.6009,76.9209,91.8609,118.6009
48.75,48.75,33,1.5,80.947,77.387,92.187,119.287
49.0,49.0,33,1.6667,81.293,77.713,92.613,119.673
49.25,49.25,33,1.8333,81.6191,78.0391,93.0591,119.9991
49.5,49.5,34,1.0,82.0008,78.4052,93.5652,120.3652
49.75,49.75,34,1.1667,82.4113,79.1713,93.9713,121.0513
49.875,49.875,34,1.25,82.5743,79.3343,94.2343,121.2143
50.0,50.0,34,1.3333,82.7374,79.4974,94.5774,121.3774
50.25,50.25,34,1.5,83.2835,79.8235,94.9035,121.8835
50.5,50.5,34,1.6667,83.6096,80.1496,95.2296,122.2096
50.75,50.75,34,1.8333,83.9357,80.4757,95.5871,122.5357
51.0,51.0,35,1.0,84.2685,80.8068,95.9217,122.9217
51.25,51.25,35,1.1667,84.7078,81.2078,96.3078,123.3278
51.375,51.375,35,1.25,84.8709,81.3909,96.4709,123.4909
51.5,51.5,35,1.3333,85.0339,81.5539,97.2139,124.4011
51.75,51.75,35,1.5,85.36,81.88,97.62,125.42
52.0,52.0,35,1.6667,85.7061,82.2061,98.0261,125.7661
52.25,52.25,35,1.8333,86.0322,82.5322,98.3522,126.181
52.5,52.5,36,1.0,86.4183,82.8583,98.7983,126.7962
52.75,52.75,36,1.1667,86.7843,83.5643,99.1944,127.6043
52.875,52.875,36,1.25,86.9474,83.7274,99.4674,127.7674
53.0,53.0,36,1.3333,87.1104,83.8904,99.6304,127.9304
53.25,53.25,36,1.5,87.453,84.2365,99.9565,128.306
53.5,53.5,36,1.6667,87.9026,84.5626,100.2826,128.6426
53.75,53.75,36,1.8333,88.2287,84.9087,100.6087,128.9687
54.0,54.0,37,1.0,88.5748,85.2348,100.9348,130.1356
54.25,54.25,37,1.1667,88.9809,85.6409,101.6409,130.7809
54.375,54.375,37,1.25,89.1639,85.8039,101.9639,130.9639
54.5,54.5,37,1.3333,89.327,85.967,102.167,131.134
54.75,54.75,37,1.5,89.653,86.293,102.533,131.593
55.0,55.0,37,1.6667,89.9991,86.6591,102.8782,132.1582
55.25,55.25,37,1.8333,90.3852,87.026,103.4616,132.6852
55.5,55.5,38,1.0,90.7313,87.4513,104.0113,133.2069
55.75,55.75,38,1.1667,91.1374,87.9374,104.3374,134.1574
55.875,55.875,38,1.25,91.3004,88.1004,104.502,134.3204
56.0,56.0,38,1.3333,91.501,88.2775,104.7835,134.487
56.25,56.25,38,1.5,91.9096,88.6896,105.2296,134.8296
56.5,56.5,38,1.6667,92.2357,89.0157,105.5557,135.1557
56.75,56.75,38,1.8333,92.6817,89.3417,105.8817,135.6217
57.0,57.0,39,1.0,93.0078,89.7068,106.2078,136.1878
57.25,57.25,39,1.1667,93.3339,90.0939,106.5339,136.5139
57.375,57.375,39,1.25,93.497,90.257,106.697,136.677
57.5,57.5,39,1.3333,93.68,90.42,106.94,136.94
57.75,57.75,39,1.5,94.0061,90.7861,107.2661,137.4183
58.0,58.0,39,1.6667,94.3322,91.1122,107.6522,137.7722
58.25,58.25,39,1.8333,94.6583,91.4383,107.9783,138.0983
58.5,58.5,40,1.0,95.0772,91.8972,109.0301,139.8886
58.75,58.75,40,1.1667,95.4504,92.4904,109.4904,140.4904
58.875,58.875,40,1.25,95.6135,92.6535,109.6535,141.4335
59.0,59.0,40,1.3333,95.7765,92.8165,109.8165,141.5965
59.25,59.25,40,1.5,96.2426,93.0956,110.4426,142.0356
59.5,59.5,40,1.6667,96.5887,93.4087,110.7687,142.4487
59.75,59.75,40,1.8333,96.9148,93.7348,111.0948,142.7748
60.0,60.0,41,1.0,97.3409,94.1645,111.6072,143.3308
60.75,60.75,41,1.5,98.4191,95.2191,112.8191,144.7791
61.0,61.0,41,1.6667,98.7904,95.6104,113.2652,145.4016
61.25,61.25,41,1.8333,99.1713,96.0113,113.6313,145.8313
61.5,61.5,42,1.0,99.5774,96.3374,114.1374,146.4574
62.0,62.0,42,1.3333,100.576,97.2784,115.1408,147.7392
63.0,63.0,43,1.0,102.0539,98.6939,116.8278,149.3539
63.75,63.75,43,1.5,103.0322,99.6722,117.9322,150.9722
64.0,64.0,43,1.6667,103.3583,100.0383,118.2783,151.4549
64.25,64.25,43,1.8333,103.7443,100.4086,118.8043,151.9643
64.5,64.5,44,1.0,104.1304,100.8104,119.2008,152.4512
65.0,65.0,44,1.3333,104.893,101.5226,120.1826,153.5852
66.0,66.0,45,1.0,106.467,103.027,121.967,155.407
66.5,66.5,45,1.3333,107.1191,103.8191,122.6991,156.0591
67.5,67.5,46,1.0,108.9435,105.1635,124.7435,158.387
68.0,68.0,46,1.3333,109.8957,105.9557,125.5957,159.3357
68.5,68.5,46,1.6667,110.6278,106.7278,126.6478,160.4278
69.0,69.0,47,1.0,111.34,107.46,127.36,161.4
69.25,69.25,47,1.1667,111.8261,108.1661,127.9261,162.5722
69.5,69.5,47,1.3333,112.1522,108.4922,128.2522,162.9522
69.75,69.75,47,1.5,112.4783,108.8183,128.5983,163.3983
70.0,70.0,47,1.6667,112.8043,109.1443,128.9443,163.7243
70.25,70.25,47,1.8333,113.1304,109.4704,129.2704,164.0504
70.5,70.5,48,1.0,113.4565,109.7965,129.8095,164.5085
70.75,70.75,48,1.1667,113.7826,110.1226,130.1426,164.9026
71.0,71.0,48,1.3333,114.2157,110.5122,130.7201,165.4166
71.25,71.25,48,1.5,114.6548,111.0348,131.4148,166.3348
71.5,71.5,48,1.6667,115.0618,111.3609,131.8809,166.8009
71.75,71.75,48,1.8333,115.447,111.694,132.227,167.196
72.0,72.0,49,1.0,115.773,112.073,132.733,167.906
72.25,72.25,49,1.1667,116.2791,112.4791,133.1991,168.5791
72.5,72.5,49,1.3333,116.6052,112.8252,133.5852,169.0252
72.75,72.75,49,1.5,116.9513,113.2713,133.9513,169.3513
73.0,73.0,49,1.6667,117.2774,113.6374,134.5574,169.6774
73.25,73.25,49,1.8333,117.6035,114.0035,134.9175,170.587
73.5,73.5,50,1.0,117.9296,114.3296,135.3096,170.9688
73.75,73.75,50,1.1667,118.3757,114.7957,135.6757,171.4957
74.0,74.0,50,1.3333,118.7217,115.1617,136.2617,172.1217
74.25,74.25,50,1.5,119.0478,115.4878,136.6312,172.4678
74.5,74.5,50,1.6667,119.3939,115.8339,137.0739,173.1478
74.75,74.75,50,1.8333,119.86,116.16,137.64,173.6
75.0,75.0,51,1.0,120.1861,116.5122,137.9661,174.0766
75.25,75.25,51,1.1667,120.5122,116.9322,138.2922,174.5322
75.5,75.5,51,1.3333,120.8583,117.2583,138.7583,175.0583
75.75,75.75,51,1.5,121.1843,117.5843,139.0886,175.5701
76.0,76.0,51,1.6667,121.5304,117.9304,139.5704,176.0104
76.25,76.25,51,1.8333,121.8565,118.3165,139.9565,176.5165
76.5,76.5,52,1.0,122.2026,118.8452,140.4556,177.2226
76.625,76.625,52,1.0833,122.4457,119.0457,140.7057,177.5771
76.75,76.75,52,1.1667,122.6087,119.2087,140.8687,177.7687
76.875,76.875,52,1.25,122.7717,119.3717,141.1517,177.9317
77.0,77.0,52,1.3333,122.9348,119.5748,141.3148,178.1096
77.125,77.125,52,1.4167,123.1378,119.7578,141.4778,178.6578
77.25,77.25,52,1.5,123.3009,119.9209,141.6409,178.8209
77.375,77.375,52,1.5833,123.4839,120.0839,141.9439,178.9839
77.5,77.5,52,1.6667,123.667,120.254,142.107,179.161
77.625,77.625,52,1.75,123.83,120.43,142.27,179.48
77.75,77.75,52,1.8333,123.993,120.593,142.453,179.653
77.875,77.875,52,1.9167,124.2561,120.8161,142.6561,179.9961
78.0,78.0,53,1.0,124.4191,120.9791,142.8191,180.2191
78.125,78.125,53,1.0833,124.6422,121.1422,143.2022,180.4422
78.25,78.25,53,1.1667,124.8052,121.3252,143.3652,180.6052
78.375,78.375,53,1.25,124.9683,121.4883,143.5283,180.9483
78.5,78.5,53,1.3333,125.1313,121.6713,143.6913,181.1113
78.625,78.625,53,1.4167,125.2943,121.8743,143.8543,181.5743
78.75,78.75,53,1.5,125.4574,122.0774,144.0174,181.7374
78.875,78.875,53,1.5833,125.6604,122.2404,144.2212,181.9404
79.0,79.0,53,1.6667,125.8235,122.4235,144.4505,182.1035
79.125,79.125,53,1.75,125.9865,122.5865,144.6465,182.4465
79.25,79.25,53,1.8333,126.1592,122.7496,144.8096,182.6496
79.375,79.375,53,1.9167,126.3726,122.9126,145.0926,183.0326
79.5,79.5,54,1.0,126.5357,123.0757,145.2557,183.1957
79.625,79.625,54,1.0833,126.8174,123.2387,145.5987,183.5187
79.75,79.75,54,1.1667,126.9817,123.4034,145.8017,183.6868
79.875,79.875,54,1.25,127.1448,123.5848,145.9648,183.9048
80.0,80.0,54,1.3333,127.3078,123.7478,146.1478,184.2478
80.125,80.125,54,1.4167,127.4909,124.0709,146.3109,184.4709
80.25,80.25,54,1.5,127.6539,124.2339,146.4739,184.8339
80.375,80.375,54,1.5833,127.817,124.397,146.637,184.997
80.5,80.5,54,1.6667,127.98,124.58,146.84,185.16
80.625,80.625,54,1.75,128.143,124.823,147.043,185.503
80.75,80.75,54,1.8333,128.3122,124.9861,147.2305,185.7044
80.875,80.875,54,1.9167,128.4891,125.1891,147.4491,186.0091
81.0,81.0,55,1.0,128.6766,125.3522,147.6122,186.2488
81.25,81.25,55,1.1667,129.0183,125.7783,148.1583,186.7583
81.5,81.5,55,1.3333,129.3443,126.1043,148.5043,187.0843
81.75,81.75,55,1.5,129.6904,126.4408,148.8616,187.6504
82.0,82.0,55,1.6667,130.0565,126.8165,149.2965,188.173
82.25,82.25,55,1.8333,130.4052,127.1426,149.6226,188.5026
82.5,82.5,56,1.0,130.7574,127.5174,150.1487,189.2087
82.75,82.75,56,1.1667,131.0948,127.8548,150.4748,189.5348
83.0,83.0,56,1.3333,131.5409,128.3009,151.0236,190.2036
83.25,83.25,56,1.5,131.867,128.627,151.454,190.667
83.5,83.5,56,1.6667,132.193,129.013,151.833,191.113
83.75,83.75,56,1.8333,132.5191,129.3591,152.1591,191.4391
84.0,84.0,57,1.0,132.866,129.7104,152.5104,191.8112
84.25,84.25,57,1.1667,133.3113,130.1713,153.0313,192.6626
84.5,84.5,57,1.3333,133.6574,130.4974,153.3974,192.9974
84.75,84.75,57,1.5,134.0035,130.8235,153.7835,193.6435
85.0,85.0,57,1.6667,134.3992,131.2496,154.2192,194.1696
85.25,85.25,57,1.8333,134.7757,131.5757,154.6157,194.5557
85.5,85.5,58,1.0,135.1234,131.9017,155.0234,195.0868
85.75,85.75,58,1.1667,135.5034,132.3078,155.4278,195.5834
86.0,86.0,58,1.3333,135.9139,132.6339,155.8339,196.0939
86.25,86.25,58,1.5,136.3,132.96,156.36,196.62
86.5,86.5,58,1.6667,136.7061,133.3661,156.6861,197.1844
86.75,86.75,58,1.8333,137.0522,133.6922,157.0122,197.6722
87.0,87.0,59,1.0,137.6783,134.1983,157.4783,198.3183
87.75,87.75,59,1.5,138.9765,135.3565,158.9765,200.1565
88.0,88.0,59,1.6667,139.3426,135.6826,159.3026,200.4826
88.25,88.25,59,1.8333,139.7687,136.0087,159.6287,201.1322
88.5,88.5,60,1.0,140.1948,136.4296,160.0584,201.6592
89.25,89.25,60,1.5,141.333,137.453,161.293,203.253
89.5,89.5,60,1.6667,141.7591,137.8791,161.7391,203.7991
89.75,89.75,60,1.8333,142.1304,138.2356,162.1652,204.2852
90.0,90.0,61,1.0,142.5913,138.6513,162.6626,204.9513
90.125,90.125,61,1.0833,142.8743,138.9743,162.8943,205.7943
90.25,90.25,61,1.1667,143.0374,139.1374,163.0574,205.9574
90.375,90.375,61,1.25,143.2004,139.3028,163.2204,206.1204
90.5,90.5,61,1.3333,143.367,139.5835,163.387,206.287
90.625,90.625,61,1.4167,143.5665,139.7465,163.673,206.4665
90.75,90.75,61,1.5,143.7896,139.9096,163.8496,206.6296
90.875,90.875,61,1.5833,143.9726,140.0726,164.0126,206.8126
91.0,91.0,61,1.6667,144.1357,140.2357,164.1757,207.1114
91.125,91.125,61,1.75,144.3987,140.4587,164.5787,207.7587
91.25,91.25,61,1.8333,144.6017,140.6617,164.7417,208.1217
91.375,91.375,61,1.9167,144.7648,140.8248,164.9048,208.2848
91.5,91.5,62,1.0,144.9278,140.9878,165.0678,208.5234
91.75,91.75,62,1.1667,145.2739,141.3139,165.5939,209.0539
92.0,92.0,62,1.3333,145.66,141.64,165.92,209.38
92.25,92.25,62,1.5,146.0061,141.9661,166.3261,209.8461
92.5,92.5,62,1.6667,146.3766,142.3444,166.7444,210.3166
92.75,92.75,62,1.8333,146.7783,142.7783,167.1783,210.7783
93.0,93.0,63,1.0,147.1043,143.1129,167.6043,211.3286
93.25,93.25,63,1.1667,147.4304,143.4704,167.9704,211.7304
93.5,93.5,63,1.3333,147.8965,143.8965,168.4365,212.3295
93.75,93.75,63,1.5,148.2826,144.2226,168.8626,212.8556
94.0,94.0,63,1.6667,148.6087,144.5687,169.1887,213.2687
94.25,94.25,63,1.8333,148.9348,144.9348,169.6148,213.6748
94.5,94.5,64,1.0,149.3036,145.2645,170.1027,214.149
94.75,94.75,64,1.1667,149.727,145.687,170.474,214.828
95.0,95.0,64,1.3333,150.133,146.033,170.813,215.293
95.25,95.25,64,1.5,150.4791,146.4191,171.2791,215.8191
95.5,95.5,64,1.6667,150.8452,146.7904,171.6052,216.3104
95.75,95.75,64,1.8333,151.1713,147.1313,171.9513,216.7913
96.0,96.0,65,1.0,151.6174,147.4574,172.4174,217.2774
96.25,96.25,65,1.1667,151.9835,147.854,172.8905,217.767
96.5,96.5,65,1.3333,152.4496,148.2392,173.3576,218.3792
96.75,96.75,65,1.5,152.8157,148.5957,173.8757,219.0157
97.0,97.0,65,1.6667,153.1702,148.9817,174.2017,219.3634
97.25,97.25,65,1.8333,153.5878,149.3478,174.5278,219.8956
97.5,97.5,66,1.0,154.0939,149.7339,174.9739,220.4539
98.25,98.25,66,1.5,155.4122,150.9122,176.2122,222.2122
98.5,98.5,66,1.6667,155.7783,151.2383,176.6583,222.5783
98.75,98.75,66,1.8333,156.1643,151.5843,177.1643,223.1686
99.0,99.0,67,1.0,156.5904,151.9504,177.5008,223.7208
99.75,99.75,67,1.5,157.8687,153.1287,178.7887,225.5287
100.0,100.0,67,1.6667,158.1948,153.4992,179.2096,225.9288
100.25,100.25,67,1.8333,158.5663,153.8809,179.7209,226.4863
100.5,100.5,68,1.0,159.087,154.314,180.087,227.107
101.25,101.25,68,1.5,160.0852,155.3652,181.1052,228.5104
101.5,101.5,68,1.6667,160.4539,155.7713,181.6252,229.1713
101.75,101.75,68,1.8333,160.8374,156.1948,182.0548,229.6174
102.0,102.0,69,1.0,161.327,156.5905,182.4635,230.134
102.25,102.25,69,1.1667,161.6696,157.0296,183.0096,231.0096
102.5,102.5,69,1.3333,161.9957,157.3557,183.4157,231.3357
102.75,102.75,69,1.5,162.3434,157.7417,183.7634,231.8417
103.0,103.0,69,1.6667,162.7678,158.1278,184.2278,232.4678
103.25,103.25,69,1.8333,163.0939,158.4539,184.6078,232.7939
103.5,103.5,70,1.0,163.44,158.8,185.02,233.3
103.75,103.75,70,1.1667,163.8261,159.2044,185.3983,233.8061
104.0,104.0,70,1.3333,164.2322,159.5922,185.8644,234.3922
104.25,104.25,70,1.5,164.6383,159.9183,186.3966,235.1196
104.5,104.5,70,1.6667,164.9643,160.2843,186.7243,235.4643
104.75,104.75,70,1.8333,165.3304,160.7312,187.0816,235.9928
105.0,105.0,71,1.0,165.6565,161.1565,187.573,236.4825
105.25,105.25,71,1.1667,166.0626,161.4826,188.0026,237.0582
105.5,105.5,71,1.3333,166.4061,161.8487,188.3861,237.5322
105.75,105.75,71,1.5,166.7548,162.1748,188.8348,238.0644
106.0,106.0,71,1.6667,167.1809,162.5645,189.2272,238.5827
106.25,106.25,71,1.8333,167.507,162.967,189.687,239.148
106.5,106.5,72,1.0,167.873,163.293,190.053,239.633
106.75,106.75,72,1.1667,168.1991,163.6391,190.4991,240.1591
107.0,107.0,72,1.3333,168.6104,164.0904,190.906,240.7208
107.25,107.25,72,1.5,168.9513,164.4313,191.2913,241.2713
107.5,107.5,72,1.6667,169.3374,164.7974,191.7374,241.7774
107.75,107.75,72,1.8333,169.787,165.181,192.214,242.382
108.0,108.0,73,1.0,170.2696,165.7096,192.6888,242.9896
109.5,109.5,74,1.0,172.7061,167.8922,195.3261,246.1722
111.0,111.0,75,1.0,175.2026,169.8626,197.9026,249.1426
111.375,111.375,75,1.25,175.8917,170.6917,198.7117,250.0317
111.5,111.5,75,1.3333,176.0548,170.8548,198.8748,250.2548
112.0,112.0,75,1.6667,176.827,171.507,199.887,251.407
112.125,112.125,75,1.75,177.03,171.67,200.05,251.75
112.25,112.25,75,1.8333,177.213,171.833,200.213,251.973
112.375,112.375,75,1.9167,177.3761,171.9961,200.3961,252.1761
