qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
48.25,32.1667,17,1.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
48.5,32.3333,17,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
48.75,32.5,17,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
49.0,32.6667,17,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,r,r
49.25,32.8333,17,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
49.5,33.0,17,2.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
49.75,33.1667,17,2.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
50.0,33.3333,17,2.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
50.25,33.5,17,2.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
50.5,33.6667,17,2.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C5,r,F3,F2
50.75,33.8333,17,2.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C5,r,F3,F2
51.0,34.0,18,1.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
51.25,34.1667,18,1.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
51.5,34.3333,18,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
51.75,34.5,18,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
52.0,34.6667,18,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,r,r
52.25,34.8333,18,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
52.5,35.0,18,2.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
52.75,35.1667,18,2.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
53.0,35.3333,18,2.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,F4,r,r
53.25,35.5,18,2.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,F4,r,r
53.5,35.6667,18,2.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C4,r,F3,F2
53.75,35.8333,18,2.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C4,r,F3,F2
54.0,36.0,19,1.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,r,F3,F2
54.25,36.1667,19,1.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,r,F3,F2
54.5,36.3333,19,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,F4,r,F3,F2
54.75,36.5,19,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,F4,r,F3,F2
55.0,36.6667,19,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,r,r
55.25,36.8333,19,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
55.5,37.0,19,2.0,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C5,F4,r,r
55.75,37.1667,19,2.1667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C5,F4,r,r
56.0,37.3333,19,2.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,C5,F4,r,r
56.25,37.5,19,2.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,C5,F4,r,r
56.5,37.6667,19,2.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,F5,A4,r,F3,F2
56.75,37.8333,19,2.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
57.0,38.0,20,1.0,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,r,D3,D2
57.25,38.1667,20,1.1667,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,r,D3,D2
57.5,38.3333,20,1.3333,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,r,D3,D2
57.75,38.5,20,1.5,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,r,D3,D2
58.0,38.6667,20,1.6667,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,r,r,r
58.25,38.8333,20,1.8333,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,r,r,r
58.5,39.0,20,2.0,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,D4,r,r
58.75,39.1667,20,2.1667,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,D4,r,r
59.0,39.3333,20,2.3333,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,F5,B-4,D4,r,r
59.25,39.5,20,2.5,r,r,r,r,D4,B-3,F3,D3,B-4,F4,r,r,r,r,B-5,B-4,D4,r,r
59.5,39.6667,20,2.6667,r,r,r,r,C4,B-3,G3,E3,B-4,F4,r,r,r,r,G5,G4,r,E3,E2
59.75,39.8333,20,2.8333,r,r,r,r,C4,B-3,G3,E3,B-4,F4,r,r,r,r,C6,G4,r,E3,E2
60.0,40.0,21,1.0,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,B-4,r,E3,E2
60.25,40.1667,21,1.1667,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,B-4,r,E3,E2
60.5,40.3333,21,1.3333,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,B-4,r,E3,E2
60.75,40.5,21,1.5,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,B-4,r,E3,E2
61.0,40.6667,21,1.6667,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,B-4,r,r,r
61.25,40.8333,21,1.8333,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,B-4,r,r,r
61.5,41.0,21,2.0,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,G4,C4,r,r
61.75,41.1667,21,2.1667,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,G4,C4,r,r
62.0,41.3333,21,2.3333,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,G5,G4,C4,r,r
62.25,41.5,21,2.5,r,r,r,r,C4,B-3,G3,E3,B-4,G4,r,r,r,r,B-5,G4,C4,r,r
62.5,41.6667,21,2.6667,r,r,r,r,E4,C4,G3,C3,B-4,G4,r,r,r,r,G5,C5,r,C3,C2
62.75,41.8333,21,2.8333,r,r,r,r,E4,C4,G3,C3,B-4,G4,r,r,r,r,C6,C5,r,C3,C2
63.0,42.0,22,1.0,r,r,r,r,F4,C4,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
63.25,42.1667,22,1.1667,r,r,r,r,F4,C4,A3,F3,A4,F4,r,r,r,r,C6,A4,r,F3,F2
63.5,42.3333,22,1.3333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,F3,F2
63.75,42.5,22,1.5,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,C6,A4,r,F3,F2
64.0,42.6667,22,1.6667,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,A5,A4,r,r,r
64.25,42.8333,22,1.8333,r,r,r,r,C4,A3,A3,F3,A4,F4,r,r,r,r,C6,A4,r,r,r
64.5,43.0,22,2.0,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,A5,F4,A3,D3,D2
64.75,43.1667,22,2.1667,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,D6,F4,A3,D3,D2
65.0,43.3333,22,2.3333,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,A5,F4,A3,D3,D2
65.25,43.5,22,2.5,r,r,r,r,D4,A3,F3,D3,A4,F4,r,r,r,r,D6,F4,A3,D3,D2
65.5,43.6667,22,2.6667,r,r,r,r,C4,A3,F3,A2,A4,F4,r,r,r,r,A5,A4,r,A2,A1
65.75,43.8333,22,2.8333,r,r,r,r,C4,A3,F3,A2,A4,F4,r,r,r,r,C6,A4,r,A2,A1
66.0,44.0,23,1.0,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,G5,G4,r,B-2,B-1
66.25,44.1667,23,1.1667,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,D6,G4,r,B-2,B-1
66.5,44.3333,23,1.3333,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,G5,G4,r,B-2,B-1
66.75,44.5,23,1.5,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,D6,G4,r,B-2,B-1
67.0,44.6667,23,1.6667,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,G5,D4,G3,r,r
67.25,44.8333,23,1.8333,r,r,r,r,D4,G3,F3,B-2,G4,F4,r,r,r,r,D6,D4,G3,r,r
67.5,45.0,23,2.0,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,G5,E4,r,C3,C2
67.75,45.1667,23,2.1667,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,C6,E4,r,C3,C2
68.0,45.3333,23,2.3333,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,G5,E4,r,C3,C2
68.25,45.5,23,2.5,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,C6,E4,r,C3,C2
68.5,45.6667,23,2.6667,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,G5,C4,C4,C3,C2
68.75,45.8333,23,2.8333,r,r,r,r,C4,G3,E3,C3,G4,C4,r,r,r,r,C6,C4,C4,C3,C2
69.0,46.0,24,1.0,r,r,r,r,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,C4,r,F3,F2
69.25,46.1667,24,1.1667,r,r,r,r,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,C4,r,F3,F2
69.5,46.3333,24,1.3333,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,F3,F2
69.75,46.5,24,1.5,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,F3,F2
70.0,46.6667,24,1.6667,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,r,r
70.25,46.8333,24,1.8333,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,r,r
70.5,47.0,24,2.0,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,r,r
70.75,47.1667,24,2.1667,r,r,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,r,r
71.0,47.3333,24,2.3333,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,F4,A3,r,r
71.25,47.5,24,2.5,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,F4,A3,r,r
71.5,47.6667,24,2.6667,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,A5,A4,A3,r,r
71.75,47.8333,24,2.8333,F6,C6,A5,F5,C4,A3,F3,F2,A4,F4,r,r,r,r,C6,A4,A3,r,r
72.0,48.0,25,1.0,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
72.1667,48.1111,25,1.1111,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
72.3333,48.2222,25,1.2222,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
72.5,48.3333,25,1.3333,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
72.6667,48.4445,25,1.4444,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
72.8333,48.5555,25,1.5556,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.0,48.6667,25,1.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.1667,48.7778,25,1.7778,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.3333,48.8889,25,1.8889,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
73.5,49.0,25,2.0,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
73.6667,49.1111,25,2.1111,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
73.8333,49.2222,25,2.2222,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
74.0,49.3333,25,2.3333,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
74.1667,49.4445,25,2.4444,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
74.3333,49.5555,25,2.5556,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
74.5,49.6667,25,2.6667,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
74.6667,49.7778,25,2.7778,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
74.8333,49.8889,25,2.8889,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
75.0,50.0,26,1.0,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F1
75.5,50.3333,26,1.3333,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
76.0,50.6667,26,1.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
76.5,51.0,26,2.0,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
77.0,51.3333,26,2.3333,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
77.5,51.6667,26,2.6667,F6,C6,A5,F5,C4,C4,F3,F2,C4,C3,C5,C4,A4,A3,F6,A5,C3,C3,F1
78.0,52.0,27,1.0,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F1
78.5,52.3333,27,1.3333,F6,C6,A5,F5,F4,F4,F3,F2,F4,F3,C5,C4,A4,A3,F6,A5,F3,F3,F2
79.0,52.6667,27,1.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,A5,A3,A3,F2
79.5,53.0,27,2.0,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F2
80.0,53.3333,27,2.3333,F6,C6,A5,F5,C5,C5,F3,F2,C5,C4,C5,C4,A4,A3,F6,A5,C4,C4,F1
80.5,53.6667,27,2.6667,F6,C6,A5,F5,A4,A4,F3,F2,A4,A3,C5,C4,A4,A3,F6,C6,A3,A3,F1
81.0,54.0,28,1.0,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D2
81.5,54.3333,28,1.3333,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D3
82.0,54.6667,28,1.6667,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D3
82.5,55.0,28,2.0,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D3
83.0,55.3333,28,2.3333,F6,D6,B-5,F5,B-4,B-4,D3,D2,B-4,F3,D5,D5,B-4,B-3,F6,B-5,B-3,B-3,D2
83.5,55.6667,28,2.6667,G6,C6,B-5,G5,G4,G4,E3,E2,G4,C3,C5,r,r,r,G6,B-5,G3,G3,E2
84.0,56.0,29,1.0,G6,C6,B-5,G5,B-4,B-4,E3,E2,B-4,C3,C5,C4,B-4,r,G6,B-5,B-3,B-3,E2
84.5,56.3333,29,1.3333,G6,C6,B-5,G5,B-4,B-4,E3,E2,B-4,C3,C5,C4,B-4,r,G6,B-5,B-3,B-3,E3
85.0,56.6667,29,1.6667,G6,C6,B-5,G5,B-4,B-4,E3,E2,B-4,C3,C5,C4,B-4,r,G6,B-5,B-3,B-3,E2
85.5,57.0,29,2.0,G6,C6,B-5,G5,G4,G4,E3,E2,G4,C3,C5,C4,G4,G4,G6,B-5,G3,G3,E2
86.0,57.3333,29,2.3333,G6,C6,B-5,G5,G4,G4,E3,E2,G4,C3,C5,C4,G4,G4,G6,B-5,G3,G3,E2
86.5,57.6667,29,2.6667,G6,C6,B-5,G5,C5,C5,C3,C2,C5,C3,C5,C4,r,r,G6,B-5,C4,C4,C2
87.0,58.0,30,1.0,G6,C6,A5,F5,A4,A4,F3,r,A4,F3,C5,C4,A4,r,G6,A5,A3,A3,F1
87.5,58.3333,30,1.3333,F6,C6,A5,F5,A4,A4,F3,r,A4,F3,C5,C4,A4,r,F6,A5,A3,A3,F2
88.0,58.6667,30,1.6667,F6,C6,A5,F5,A4,A4,F3,r,A4,F3,C5,C4,A4,r,F6,A5,A3,A3,F2
88.5,59.0,30,2.0,F6,D6,A5,F5,F4,F4,D3,D2,F4,F3,C5,C4,F4,F4,F6,A5,F3,F3,D2
89.0,59.3333,30,2.3333,F6,D6,A5,F5,F4,F4,D3,D2,F4,F3,C5,C4,F4,F4,F6,A5,F3,F3,D2
89.5,59.6667,30,2.6667,F6,C6,A5,F5,A4,A4,A2,A2,A4,F4,C5,C4,r,r,F6,F5,A3,A3,A1
90.0,60.0,31,1.0,F6,D6,G5,F5,G4,G4,B-2,B-1,G4,F4,r,r,r,r,F6,G5,G3,G3,B-1
90.5,60.3333,31,1.3333,F6,D6,G5,F5,G4,G4,B-2,B-1,G4,F4,r,r,r,r,F6,G5,G3,G3,B-2
91.0,60.6667,31,1.6667,F6,D6,G5,F5,D4,D4,B-2,B-1,G4,F4,D5,D5,r,r,F6,G5,D3,D3,B-1
