qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Violin 1,Violin 2,Viola,Violoncello,Contrabass
183.0,189.0,P3(Flute 2),P3(Flute 1),U(Oboe 2),U(Oboe 1),P3(Violin 2),P8(Bassoon 2)&P8(Contrabass),,P8(Bb Clarinet 2)&P8(Contrabass),Main Part,,,,,,,P3(Bb Clarinet 1)&P3(Main),,,P8(Bb Clarinet 2)&P8(Bassoon 2)
189.0,200.5,P3(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Horn 1)&P3(F Horn 2)&P3(Contrabass),P3(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&U(Oboe 2)&U(F Horn 1)&P3(F Horn 2)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&U(F Horn 1)&P3(F Horn 2)&P3(Contrabass),P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&U(Oboe 2)&P3(F Horn 2)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(F Horn 1)&P8(Contrabass),,,,,Main Part,,,,P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(F Horn 1)&P8(F Horn 2)
200.5,213.0,,,,,,,,,,,,,,,Main Part,,,,
213.0,224.5,,,,,P6(Bb Clarinet 2)&P6(Bassoon 1)&P4(Bassoon 2)&P6(F Horn 1)&P4(F Horn 2),P6(Bb Clarinet 1)&U(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P3(F Horn 2),P6(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 2)&P8(F Horn 1)&P3(F Horn 2),P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(F Horn 1)&P8(F Horn 2),P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 2),P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1),,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
224.5,230.5,,,P3(Oboe 2),P3(Oboe 1),P6(Bb Clarinet 2)&P4(F Horn 2),P6(Bb Clarinet 1)&P3(F Horn 2),,P3(F Horn 1),P3(Bassoon 2),P4(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(C Trumpet 2),P8(C Trumpet 1),,,,Main Part,,P8(Contrabass),P8(Violoncello)
230.5,238.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,P8(Bassoon 2),,P8(Bb Clarinet 2),P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,,Main Part,,,P8(Contrabass),P8(Violoncello)
238.0,250.5,P8(Violin 1),,,,Main Part,,P8(Main),,P8(F Horn 2),P8(F Horn 1),,,,,P8(Flute 1),,,P8(Contrabass),P8(Violoncello)
250.5,258.0,P8(Violin 1),,,U(Violin 2),Main Part,P8(Bassoon 2),P8(Main),P8(Bb Clarinet 2),P8(F Horn 2),P8(F Horn 1),,,,,P8(Flute 1),U(Oboe 2),,P8(Contrabass),P8(Violoncello)
258.0,270.0,,,P8(Oboe 2),P8(Oboe 1),Main Part,,,,P8(F Horn 2),P8(F Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
270.0,282.0,,,,,Main Part,,,,P8(F Horn 2),P8(F Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
282.0,294.0,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
