qstamp,tstamp,measure,beat,Oboe d’amore 1,Oboe d’amore 2,Violin 1,Violin 2,Viola,Soprano 1 solo,Alto solo,Continuo
13.25,10.7432,4,2.25,A4,A4,A4,C#4,C#4,r,r,r
13.5,10.9459,4,2.5,G4,G4,G4,A3,E4,r,r,A3
13.75,11.1486,4,2.75,G4,G4,G4,C#4,E4,r,r,A3
14.0,11.3514,4,3.0,F#4,F#4,F#4,D4,D4,r,r,B3
14.5,11.7568,4,3.5,F#4,F#4,F#4,D4,B3,r,r,G3
14.75,11.9595,4,3.75,E4,E4,E4,E4,B3,r,r,G3
15.0,12.1622,4,4.0,E4,E4,E4,C#4,A3,r,r,A3
15.5,12.5676,4,4.5,E4,E4,E4,C#4,G3,r,r,A2
15.75,12.7703,4,4.75,D4,D4,D4,D4,G3,r,r,A2
16.0,12.973,5,1.0,D4,D4,D4,D4,F#3,r,r,D3
16.5,13.3784,5,1.5,D4,D4,D4,D4,G3,r,r,E3
17.0,13.7838,5,2.0,D5,r,D5,r,A3,r,r,F#3
17.5,14.1892,5,2.5,D5,D4,D5,D4,F#3,r,r,D3
18.0,14.5946,5,3.0,r,E4,r,E4,B3,r,r,G3
18.5,15.0,5,3.5,D5,D4,D5,D4,A3,r,r,F#3
19.0,15.4054,5,4.0,E5,r,E5,r,B3,r,r,G3
19.5,15.8108,5,4.5,D5,r,D5,r,A3,r,r,F#3
20.0,16.2162,6,1.0,r,E4,r,E4,B3,r,r,G3
20.5,16.6216,6,1.5,r,F#4,r,F#4,A3,r,r,F#3
21.0,17.027,6,2.0,B4,G4,B4,G4,G3,r,r,E3
21.5,17.4324,6,2.5,C#5,G4,C#5,G4,A3,r,r,A2
22.0,17.8378,6,3.0,D5,G4,D5,G4,A3,r,r,D3
22.5,18.2432,6,3.5,D5,F#4,D5,F#4,D4,r,r,D2
22.75,18.4459,6,3.75,D5,G4,D5,G4,D4,r,r,D2
23.0,18.6486,6,4.0,D5,A4,D5,A4,F#4,r,r,r
23.25,18.8514,6,4.25,D5,F#4,D5,F#4,F#4,r,r,r
23.5,19.0541,6,4.5,D5,D4,D5,D4,A4,r,r,F#3
23.75,19.2568,6,4.75,D5,F#4,D5,F#4,A4,r,r,F#3
24.0,19.4595,7,1.0,D5,E4,D5,E4,r,r,r,A3
24.5,19.8649,7,1.5,C5,A3,C5,A3,E4,r,r,A2
24.75,20.0676,7,1.75,D5,A3,D5,A3,E4,r,r,A2
25.0,20.2703,7,2.0,E5,A4,E5,A4,C4,r,r,r
25.25,20.473,7,2.25,C5,A4,C5,A4,C4,r,r,r
25.5,20.6757,7,2.5,A4,A4,A4,A4,E4,r,r,C3
25.75,20.8784,7,2.75,C5,A4,C5,A4,E4,r,r,C3
26.0,21.0811,7,3.0,B4,A4,B4,A4,r,r,r,E3
26.25,21.2838,7,3.25,E-5,A4,E-5,A4,r,r,r,E3
26.5,21.4865,7,3.5,E5,G4,E5,G4,B3,r,r,E2
26.75,21.6892,7,3.75,F#5,G4,F#5,G4,B3,r,r,E2
27.0,21.8919,7,4.0,G5,C5,G5,C5,E4,r,r,r
27.25,22.0946,7,4.25,E5,C5,E5,C5,E4,r,r,r
27.5,22.2973,7,4.5,C5,C5,C5,C5,E3,r,r,A2
27.75,22.5,7,4.75,E5,C5,E5,C5,E3,r,r,A2
28.0,22.7027,8,1.0,F#5,C5,F#5,C5,r,r,r,D3
28.25,22.9054,8,1.25,E5,C5,E5,C5,r,r,r,D3
28.5,23.1081,8,1.5,F#5,E5,F#5,E5,A4,r,r,D2
28.75,23.3108,8,1.75,G5,E5,G5,E5,A4,r,r,D2
29.0,23.5135,8,2.0,A5,D5,A5,D5,F#4,r,r,r
29.25,23.7162,8,2.25,F#5,D5,F#5,D5,F#4,r,r,r
29.5,23.9189,8,2.5,D5,C5,D5,C5,A4,r,r,D3
29.75,24.1216,8,2.75,F#5,C5,F#5,C5,A4,r,r,D3
30.0,24.3243,8,3.0,G5,B4,G5,B4,G4,r,r,E3
30.5,24.7297,8,3.5,G5,B4,G5,B4,E4,r,r,C3
30.75,24.9324,8,3.75,A5,A4,A5,A4,E4,r,r,C3
31.0,25.1351,8,4.0,F#5,A4,F#5,A4,D4,r,r,D3
31.5,25.5405,8,4.5,F#5,A4,F#5,A4,C4,r,r,D2
31.75,25.7432,8,4.75,G5,G4,G5,G4,C4,r,r,D2
32.0,25.9459,9,1.0,G5,G4,G5,G4,B3,G4,r,G2
32.5,26.3514,9,1.5,G5,G4,G5,G4,B3,G4,r,A2
33.0,26.7568,9,2.0,r,r,r,r,r,r,G4,B2
33.5,27.1622,9,2.5,r,r,r,r,r,G4,G4,G2
34.0,27.5676,9,3.0,r,r,r,r,r,A4,r,C3
34.5,27.973,9,3.5,r,r,r,r,r,G4,G4,B2
35.0,28.3784,9,4.0,r,r,r,r,r,r,A4,C3
35.5,28.7838,9,4.5,r,r,r,r,r,G4,G4,B2
36.0,29.1892,10,1.0,r,r,r,r,r,A4,r,C3
36.5,29.5946,10,1.5,r,r,r,r,r,B4,D4,B2
37.0,30.0,10,2.0,r,r,r,r,r,C5,E4,A2
37.5,30.4054,10,2.5,r,r,r,r,r,C5,F#4,D3
38.0,30.8108,10,3.0,r,r,r,r,r,C5,G4,G2
38.5,31.2162,10,3.5,r,r,D4,r,G3,B4,G4,G2
38.75,31.4189,10,3.75,r,r,D4,r,G3,A4,G4,G2
39.0,31.6216,10,4.0,r,r,G4,r,G3,C5,G4,r
39.25,31.8243,10,4.25,r,r,G4,r,G3,B4,G4,r
39.5,32.027,10,4.5,r,r,B4,D5,G3,A4,G4,r
39.75,32.2297,10,4.75,r,r,B4,D5,G3,G4,G4,r
40.0,32.4324,11,1.0,r,r,r,D4,r,A4,G4,D3
40.5,32.8378,11,1.5,r,r,A4,A4,D4,D4,F#4,D3
40.75,33.0405,11,1.75,r,r,A4,A4,D4,D4,E4,D3
41.0,33.2432,11,2.0,r,r,D4,r,D4,D5,G4,r
41.25,33.4459,11,2.25,r,r,D4,r,D4,D5,F#4,r
41.5,33.6486,11,2.5,r,r,F#4,A4,D4,D5,E4,r
41.75,33.8514,11,2.75,r,r,F#4,A4,D4,D5,D4,r
42.0,34.0541,11,3.0,r,r,r,A3,r,D5,E4,A2
42.5,34.4595,11,3.5,r,r,E4,E4,A3,C5,A3,A2
42.75,34.6622,11,3.75,r,r,E4,E4,A3,B4,A3,A2
43.0,34.8649,11,4.0,r,r,A4,r,A3,D5,A4,r
43.25,35.0676,11,4.25,r,r,A4,r,A3,C5,A4,r
43.5,35.2703,11,4.5,r,r,C5,E5,A3,B4,A4,r
43.75,35.473,11,4.75,r,r,C5,E5,A3,A4,A4,r
44.0,35.6757,12,1.0,r,r,r,E4,r,B4,A4,E3
44.5,36.0811,12,1.5,r,r,B4,B4,E4,E4,G4,E3
44.75,36.2838,12,1.75,r,r,B4,B4,E4,E4,F#4,E3
45.0,36.4865,12,2.0,r,r,E4,r,E4,E5,A4,r
45.25,36.6892,12,2.25,r,r,E4,r,E4,E5,G4,r
45.5,36.8919,12,2.5,r,r,G4,B4,E4,E5,F#4,r
45.75,37.0946,12,2.75,r,r,G4,B4,E4,E5,E4,r
46.0,37.2973,12,3.0,r,r,r,B3,r,E5,F#4,B2
46.5,37.7027,12,3.5,r,r,F#4,F#4,B3,D5,B3,B2
46.75,37.9054,12,3.75,r,r,F#4,F#4,B3,C5,B3,B2
47.0,38.1081,12,4.0,r,r,B4,r,B3,E5,B4,r
47.25,38.3108,12,4.25,r,r,B4,r,B3,D5,B4,r
47.5,38.5135,12,4.5,r,r,D5,F#4,B3,C5,B4,r
47.75,38.7162,12,4.75,r,r,D5,F#4,B3,B4,B4,r
48.0,38.9189,13,1.0,r,r,C5,G4,r,C5,B4,E3
48.25,39.1216,13,1.25,r,r,C5,G4,r,B4,B4,E3
48.5,39.3243,13,1.5,r,r,C5,E4,A3,C5,A4,A3
48.75,39.527,13,1.75,r,r,C5,E4,A3,E5,G4,A3
49.0,39.7297,13,2.0,r,r,r,r,D4,D5,B4,F#3
49.25,39.9324,13,2.25,r,r,r,r,D4,C5,A4,F#3
49.5,40.1351,13,2.5,r,r,D5,r,r,B4,G4,D3
49.75,40.3378,13,2.75,r,r,D5,r,r,A4,F#4,D3
50.0,40.5405,13,3.0,r,r,B4,r,r,B4,G4,G3
50.25,40.7432,13,3.25,r,r,B4,r,r,A4,F#4,G3
50.5,40.9459,13,3.5,r,r,G4,D4,r,B4,G4,G3
50.75,41.1486,13,3.75,r,r,G4,D4,r,D5,B4,G3
51.0,41.3514,13,4.0,r,r,D4,G4,r,C5,A4,r
51.25,41.5541,13,4.25,r,r,D4,G4,r,B4,G4,r
51.5,41.7568,13,4.5,r,r,r,B4,D5,A4,F#4,G2
51.75,41.9595,13,4.75,r,r,r,B4,D5,G4,E4,G2
52.0,42.1622,14,1.0,D5,A4,D5,A4,F#4,A4,F#4,D3
52.5,42.5676,14,1.5,D5,A4,D5,A4,G4,C5,E4,E3
52.75,42.7703,14,1.75,D5,A4,D5,A4,G4,B4,D4,E3
53.0,42.973,14,2.0,r,D5,r,D5,A4,C5,r,F#3
53.5,43.3784,14,2.5,D5,D5,D5,D5,F#4,C5,r,D3
54.0,43.7838,14,3.0,E5,r,E5,r,G4,C5,G4,G3
54.5,44.1892,14,3.5,D5,D5,D5,D5,G4,B4,G4,F#3
55.0,44.5946,14,4.0,r,E5,r,E5,G4,C#5,G4,E3
55.5,45.0,14,4.5,r,D5,r,D5,B4,D5,F#4,B3
55.75,45.2027,14,4.75,r,D5,r,D5,B4,D5,F#4,A3
56.0,45.4054,15,1.0,E5,r,E5,r,B4,E5,G4,G3
56.5,45.8108,15,1.5,F#5,r,F#5,r,A4,D5,A4,F#3
56.75,46.0135,15,1.75,F#5,r,F#5,r,A4,C#5,A4,F#3
57.0,46.2162,15,2.0,G5,B4,G5,B4,G4,D5,B4,F#3
57.5,46.6216,15,2.5,G5,C#5,G5,C#5,E4,E5,A4,E3
57.75,46.8243,15,2.75,G5,C#5,G5,C#5,E4,E5,G4,E3
58.0,47.027,15,3.0,G5,D5,G5,D5,A4,A4,A4,D3
58.5,47.4324,15,3.5,F#5,D5,F#5,D5,A4,r,D5,D3
58.75,47.6351,15,3.75,G5,D5,G5,D5,A4,r,D5,D3
59.0,47.8378,15,4.0,A5,D5,A5,D5,r,A5,D4,r
59.25,48.0405,15,4.25,F#5,D5,F#5,D5,r,A5,D4,r
59.5,48.2432,15,4.5,D5,D5,D5,D5,A4,A5,r,D2
59.75,48.4459,15,4.75,F#5,D5,F#5,D5,A4,A5,r,D2
60.0,48.6486,16,1.0,E5,D5,E5,D5,A4,A5,r,A2
60.5,49.0541,16,1.5,F#5,C#5,F#5,C#5,A4,F#5,A4,A2
60.75,49.2568,16,1.75,G5,B4,G5,B4,A4,D5,A4,A2
61.0,49.4595,16,2.0,A5,C#5,A5,C#5,r,E5,A4,r
61.25,49.6622,16,2.25,E5,C#5,E5,C#5,r,C#5,A4,r
61.5,49.8649,16,2.5,C#5,E5,C#5,E5,C#5,A4,G4,A3
61.75,50.0676,16,2.75,E5,E5,E5,E5,C#5,C#5,G4,A3
62.0,50.2703,16,3.0,D5,B4,D5,B4,F#4,D5,F#4,B3
62.5,50.6757,16,3.5,B4,E5,B4,E5,E4,D5,G4,G3
62.75,50.8784,16,3.75,B4,E5,B4,E5,E4,E5,E4,G3
63.0,51.0811,16,4.0,A4,A4,A4,A4,E4,C#5,G4,A3
63.25,51.2838,16,4.25,A4,A4,A4,A4,E4,C#5,F#4,A3
63.5,51.4865,16,4.5,G4,C#5,G4,C#5,A4,C#5,E4,A2
63.75,51.6892,16,4.75,G4,C#5,G4,C#5,A4,D5,D4,A2
64.0,51.8919,17,1.0,F#4,D4,F#4,D4,A4,D5,D4,D3
64.25,52.0946,17,1.25,r,r,E5,D4,A4,D5,D4,D3
64.5,52.2973,17,1.5,r,r,F#5,D4,A4,D5,D4,E3
64.75,52.5,17,1.75,r,r,G5,D4,A4,D5,D4,E3
65.0,52.7027,17,2.0,r,r,A5,r,r,D5,r,F#3
65.25,52.9054,17,2.25,r,r,F#5,r,r,D5,r,F#3
65.5,53.1081,17,2.5,r,r,D5,r,r,D5,r,G3
65.75,53.3108,17,2.75,r,r,F#5,r,r,D5,r,G3
66.0,53.5135,17,3.0,r,r,E5,r,r,D5,r,A3
66.5,53.9189,17,3.5,r,r,F#5,r,r,C#5,r,A2
66.75,54.1216,17,3.75,r,r,G5,r,r,B4,r,A2
67.0,54.3243,17,4.0,r,r,A5,r,r,C#5,r,r
67.25,54.527,17,4.25,r,r,E5,r,r,C#5,r,r
67.5,54.7297,17,4.5,r,r,C#5,r,r,C#5,r,B-2
67.75,54.9324,17,4.75,r,r,E5,r,r,C#5,r,B-2
68.0,55.1351,18,1.0,r,r,D5,r,r,C#5,r,B2
68.25,55.3378,18,1.25,r,r,D5,C#5,r,B-4,r,B2
68.5,55.5405,18,1.5,r,r,r,D5,r,B4,r,C#3
68.75,55.7432,18,1.75,r,r,r,E5,r,B4,r,C#3
69.0,55.9459,18,2.0,r,r,r,F#5,r,r,B4,D3
69.25,56.1486,18,2.25,r,r,r,D5,r,r,B4,D3
69.5,56.3514,18,2.5,r,r,r,B4,r,r,B4,E3
69.75,56.5541,18,2.75,r,r,r,D5,r,r,B4,E3
70.0,56.7568,18,3.0,r,r,r,C#5,r,r,B4,F#3
70.5,57.1622,18,3.5,r,r,r,D5,r,r,A4,F#2
70.75,57.3649,18,3.75,r,r,r,E5,r,r,G4,F#2
71.0,57.5676,18,4.0,r,r,r,F#5,r,r,A4,r
71.25,57.7703,18,4.25,r,r,r,D5,r,r,A4,r
71.5,57.973,18,4.5,r,r,r,A4,r,r,A4,D2
71.75,58.1757,18,4.75,r,r,r,C5,r,r,A4,D2
72.0,58.3784,19,1.0,r,r,r,B4,r,B4,A4,G2
72.25,58.5811,19,1.25,r,r,A4,B4,r,B4,F#4,G2
72.5,58.7838,19,1.5,r,r,B4,r,r,B4,G4,A2
72.75,58.9865,19,1.75,r,r,C5,r,r,B4,G4,A2
73.0,59.1892,19,2.0,r,r,D5,r,r,r,G4,B2
73.25,59.3919,19,2.25,r,r,B4,r,r,r,G4,B2
73.5,59.5946,19,2.5,r,r,G4,r,r,B4,G4,C#3
73.75,59.7973,19,2.75,r,r,G5,r,r,B4,G4,C#3
74.0,60.0,19,3.0,r,r,F#5,r,r,B4,r,D3
74.25,60.2027,19,3.25,r,r,G5,E5,r,B4,r,D3
74.5,60.4054,19,3.5,r,r,A5,D5,r,A4,G4,E3
74.75,60.6081,19,3.75,r,r,A5,C5,r,A4,G4,E3
75.0,60.8108,19,4.0,r,r,r,B4,r,r,G4,D3
75.25,61.0135,19,4.25,r,r,r,D5,r,r,G4,D3
75.5,61.2162,19,4.5,r,r,r,F#5,r,r,F#4,C3
75.75,61.4189,19,4.75,r,r,r,A4,r,r,F#4,C3
76.0,61.6216,20,1.0,r,r,r,E-5,r,A4,r,B2
76.25,61.8243,20,1.25,r,r,C#5,E5,r,A4,r,B2
76.5,62.027,20,1.5,r,r,E-5,F#5,r,A4,r,C#3
76.75,62.2297,20,1.75,r,r,E5,F#5,r,A4,r,C#3
77.0,62.4324,20,2.0,r,r,F#5,r,r,A4,F#4,E-3
77.25,62.6351,20,2.25,r,r,E-5,r,r,A4,F#4,E-3
77.5,62.8378,20,2.5,r,r,A4,r,r,A4,F#4,B2
77.75,63.0405,20,2.75,r,r,F#5,r,r,A4,F#4,B2
78.0,63.2432,20,3.0,r,r,F#5,r,r,A4,F#4,E3
78.25,63.4459,20,3.25,r,r,E-5,C5,r,G4,F#4,E3
78.5,63.6486,20,3.5,r,r,E5,B4,r,G4,F#4,F#3
78.75,63.8514,20,3.75,r,r,E5,A4,r,G4,F#4,F#3
79.0,64.0541,20,4.0,r,r,r,G4,r,r,F#4,G3
79.25,64.2568,20,4.25,r,r,r,B4,r,r,E4,G3
79.5,64.4595,20,4.5,r,r,r,E5,r,r,E4,A3
79.75,64.6622,20,4.75,r,r,r,G4,r,r,E4,A3
80.0,64.8649,21,1.0,r,r,r,F#4,r,D5,r,B3
80.25,65.0676,21,1.25,r,r,r,A4,r,D5,r,B3
80.5,65.2703,21,1.5,r,r,r,D5,r,D5,r,A3
81.0,65.6757,21,2.0,r,r,E5,r,r,D5,B4,G#3
81.5,66.0811,21,2.5,r,r,E5,r,r,D5,B4,E3
82.0,66.4865,21,3.0,r,r,E5,r,r,D5,B4,A3
82.25,66.6892,21,3.25,r,r,A4,r,r,D5,B4,A3
82.5,66.8919,21,3.5,r,r,G#4,r,r,C5,B4,E3
82.75,67.0946,21,3.75,r,r,F#4,r,r,C5,B4,E3
83.0,67.2973,21,4.0,r,r,E4,C5,r,r,B4,C3
83.25,67.5,21,4.25,r,r,D4,C5,r,r,B4,C3
83.5,67.7027,21,4.5,r,r,C4,C5,r,r,A4,E3
83.75,67.9054,21,4.75,r,r,B3,C5,r,r,A4,E3
84.0,68.1081,22,1.0,r,r,A3,C5,r,C5,r,A3
84.25,68.3108,22,1.25,r,r,A3,G4,r,C5,r,A3
84.5,68.5135,22,1.5,r,r,A3,F#4,r,C5,r,G3
84.75,68.7162,22,1.75,r,r,A3,E4,r,C5,r,G3
85.0,68.9189,22,2.0,r,r,r,D4,r,C5,A4,F#3
85.25,69.1216,22,2.25,r,r,r,C4,r,C5,A4,F#3
85.5,69.3243,22,2.5,r,r,r,B3,r,C5,A4,D3
85.75,69.527,22,2.75,r,r,r,A3,r,C5,A4,D3
86.0,69.7297,22,3.0,r,r,r,G3,r,C5,A4,G3
86.5,70.1351,22,3.5,r,r,r,G3,r,B4,A4,D3
86.75,70.3378,22,3.75,r,r,r,G3,r,A4,A4,D3
87.0,70.5405,22,4.0,r,r,r,r,r,D5,A4,B2
87.25,70.7432,22,4.25,r,r,r,r,r,C5,A4,B2
87.5,70.9459,22,4.5,r,r,r,r,D4,B4,G4,D3
87.75,71.1486,22,4.75,r,r,r,r,D4,A4,F#4,D3
88.0,71.3514,23,1.0,r,r,r,r,D4,G4,B4,G2
88.25,71.5541,23,1.25,r,r,r,r,D4,G4,A4,G2
88.5,71.7568,23,1.5,r,r,r,r,B3,D4,G4,B2
88.75,71.9595,23,1.75,r,r,r,r,B3,D4,F#4,B2
89.0,72.1622,23,2.0,r,r,r,G4,r,G4,E4,E3
89.5,72.5676,23,2.5,r,r,r,G4,E4,B4,B3,D3
90.0,72.973,23,3.0,r,r,A4,G4,E4,A4,E4,C3
90.5,73.3784,23,3.5,r,r,A4,F#4,C4,A4,G4,A2
90.75,73.5811,23,3.75,r,r,A4,E4,C4,A4,G4,A2
91.0,73.7838,23,4.0,r,r,A4,F#4,r,A4,F#4,D3
91.25,73.9865,23,4.25,r,r,A4,F#4,r,E5,F#4,D3
91.5,74.1892,23,4.5,r,r,A4,G4,D4,D5,F#4,D2
91.75,74.3919,23,4.75,r,r,A4,A4,D4,C5,F#4,D2
92.0,74.5946,24,1.0,r,r,A4,B4,D4,B4,F#4,G3
92.25,74.7973,24,1.25,r,r,A4,B4,D4,A4,C5,G3
92.5,75.0,24,1.5,r,r,G4,B4,B3,B4,B4,F#3
92.75,75.2027,24,1.75,r,r,F#4,B4,B3,B4,A4,F#3
93.0,75.4054,24,2.0,r,r,G4,B4,r,r,G4,E3
93.25,75.6081,24,2.25,r,r,G4,B4,r,r,F#4,E3
93.5,75.8108,24,2.5,r,r,G5,B4,B4,D5,G4,D3
94.0,76.2162,24,3.0,r,r,C#5,B4,G4,C#5,r,E3
94.5,76.6216,24,3.5,r,r,C#5,A4,E4,C#5,B4,C#3
94.75,76.8243,24,3.75,r,r,C#5,G4,E4,C#5,B4,C#3
95.0,77.027,24,4.0,r,r,C#5,A4,r,C#5,A4,F#3
95.25,77.2297,24,4.25,r,r,C#5,A4,r,G5,A4,F#3
95.5,77.4324,24,4.5,r,r,B4,A4,F#4,F#5,A4,F#2
95.75,77.6351,24,4.75,r,r,C#5,A4,F#4,E5,A4,F#2
96.0,77.8378,25,1.0,r,r,D5,A4,F#4,D5,A4,B2
96.25,78.0405,25,1.25,r,r,D5,A4,F#4,C#5,E5,B2
96.5,78.2432,25,1.5,r,r,D5,B4,D4,D5,D5,B3
96.75,78.4459,25,1.75,r,r,D5,A4,D4,D5,C#5,B3
97.0,78.6486,25,2.0,r,r,D5,G4,r,G5,B4,E3
97.25,78.8514,25,2.25,r,r,D5,G4,r,G5,A4,E3
97.5,79.0541,25,2.5,r,r,C#5,G4,E4,E5,B4,G3
97.75,79.2568,25,2.75,r,r,B4,G4,E4,E5,B4,G3
98.0,79.4595,25,3.0,r,r,C#5,G4,A3,C#5,E5,A3
98.25,79.6622,25,3.25,r,r,C#5,C#5,A3,C#5,E5,A3
98.5,79.8649,25,3.5,r,r,r,D5,E4,B4,C#5,A3
98.75,80.0676,25,3.75,r,r,r,E5,E4,A4,C#5,A3
99.0,80.2703,25,4.0,r,r,r,F#5,r,F#5,A4,r
99.25,80.473,25,4.25,r,r,r,D5,r,F#5,A4,r
99.5,80.6757,25,4.5,r,r,r,A4,r,F#5,G4,D3
99.75,80.8784,25,4.75,r,r,r,D5,r,F#5,F#4,D3
100.0,81.0811,26,1.0,r,r,r,G4,r,F#5,D5,B3
100.25,81.2838,26,1.25,r,r,B4,G4,r,F#5,D5,B3
100.5,81.4865,26,1.5,r,r,C#5,r,r,G4,D5,B3
100.75,81.6892,26,1.75,r,r,D5,r,r,F#4,D5,B3
101.0,81.8919,26,2.0,r,r,E5,r,r,G4,D5,r
101.25,82.0946,26,2.25,r,r,B4,r,r,G4,D5,r
101.5,82.2973,26,2.5,r,r,G4,r,r,G4,E4,B2
101.75,82.5,26,2.75,r,r,B4,r,r,G4,D4,B2
102.0,82.7027,26,3.0,r,r,E4,r,r,G4,E4,C#3
102.25,82.9054,26,3.25,r,r,E4,r,G4,G4,E4,C#3
102.5,83.1081,26,3.5,r,r,r,r,A4,E5,E4,B2
102.75,83.3108,26,3.75,r,r,r,r,B4,D5,E4,B2
103.0,83.5135,26,4.0,r,r,r,r,A4,E5,E4,C#3
103.25,83.7162,26,4.25,r,r,r,r,E4,E5,E4,C#3
103.5,83.9189,26,4.5,r,r,r,r,C#4,G4,E4,A2
103.75,84.1216,26,4.75,r,r,r,r,E4,G4,E4,A2
104.0,84.3243,27,1.0,r,r,r,r,A3,F#4,E4,D3
104.25,84.527,27,1.25,r,r,r,r,A3,A4,E4,D3
104.5,84.7297,27,1.5,r,r,r,r,r,B4,D4,C#3
104.75,84.9324,27,1.75,r,r,r,r,r,C#5,E4,C#3
105.0,85.1351,27,2.0,r,r,r,r,r,D5,F#4,B2
105.5,85.5405,27,2.5,r,r,r,r,r,D5,A3,F#3
106.0,85.9459,27,3.0,r,r,r,r,r,D5,B3,G3
106.5,86.3514,27,3.5,r,r,r,r,r,C#5,G4,E3
106.75,86.5541,27,3.75,r,r,r,r,r,B4,G4,E3
107.0,86.7568,27,4.0,r,r,r,r,r,C#5,F#4,A3
107.5,87.1622,27,4.5,r,r,r,r,r,C#5,E4,A2
107.75,87.3649,27,4.75,r,r,r,r,r,D5,D4,A2
108.0,87.5676,28,1.0,D5,r,D5,r,F#4,D5,D4,D3
108.5,87.973,28,1.5,D5,r,D5,r,G4,D5,D4,E3
109.0,88.3784,28,2.0,r,D5,r,D5,A4,r,r,F#3
109.5,88.7838,28,2.5,D5,D5,D5,D5,F#4,r,r,D3
110.0,89.1892,28,3.0,E5,r,E5,r,B4,r,r,G3
110.5,89.5946,28,3.5,D5,D5,D5,D5,A4,r,r,F#3
111.0,90.0,28,4.0,r,E5,r,E5,B4,r,r,G3
111.5,90.4054,28,4.5,r,D5,r,D5,A4,r,r,F#3
112.0,90.8108,29,1.0,E5,r,E5,r,B4,r,r,G3
112.5,91.2162,29,1.5,F#5,r,F#5,r,A4,r,r,F#3
113.0,91.6216,29,2.0,G5,B4,G5,B4,G4,r,r,E3
113.5,92.027,29,2.5,G5,C#5,G5,C#5,A4,r,r,A3
114.0,92.4324,29,3.0,G5,D5,G5,D5,A4,r,r,D3
114.5,92.8378,29,3.5,F#5,D5,F#5,D5,A4,r,r,E3
114.75,93.0405,29,3.75,G5,D5,G5,D5,A4,r,r,E3
115.0,93.2432,29,4.0,A5,r,A5,r,r,r,r,F#3
115.5,93.6486,29,4.5,C5,r,C5,r,F#4,r,r,D3
116.0,94.0541,30,1.0,C5,G4,C5,G4,D4,r,r,G2
116.5,94.4595,30,1.5,B4,G4,B4,G4,D4,r,r,A2
117.0,94.8649,30,2.0,G5,r,G5,r,D4,r,r,B2
117.5,95.2703,30,2.5,G5,G4,G5,G4,B3,r,r,G2
118.0,95.6757,30,3.0,r,A4,r,A4,E4,r,r,C3
118.5,96.0811,30,3.5,G5,G4,G5,G4,D4,r,r,B2
