qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
98.0,106.0,P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Oboe 1),U(Flute 2),,,,P8(Flute 1)&U(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&U(Bassoon 1)&U(Violoncello)&P8(Contrabass),Main Part,U(Main)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violin 1),P8(Main)&P8(C Horn 2)&U(C Trumpet 2)&P8(Violin 1),P8(Main)&P8(C Horn 2)&U(C Trumpet 1)&P8(Violin 1),,P8(Main)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),,,P8(Flute 1)&U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Flute 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
106.0,110.0,U(Flute 2)&P8(Oboe 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 1)&U(C Trumpet 2),U(Flute 1)&P8(Oboe 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 1)&U(C Trumpet 2),P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(Main)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Clarinet 2),P8(C Clarinet 1),P8(Oboe 1),U(Violoncello)&P8(Contrabass),Main Part,P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Main)&P8(C Trumpet 1)&P8(C Trumpet 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 1),,,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
110.0,126.0,,P8(C Horn 1)&P8(C Horn 2),,,P8(C Clarinet 2),P8(C Clarinet 1),,U(Violoncello)&P8(Contrabass),P8(Flute 2)&U(C Horn 2),P8(Flute 2)&U(C Horn 1),,,,Main Part,P8(Main),,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
126.0,138.0,,U(C Clarinet 1)&P8(C Clarinet 2),P8(Bassoon 1),,U(Flute 2)&P8(C Clarinet 2),P8(Flute 2)&P8(C Clarinet 1),P8(Oboe 1),U(Violoncello)&P8(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,Main Part,P8(Main),,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
138.0,154.5,,,,,,,,,P8(C Trumpet 1),,P8(C Horn 1),,,Main Part,,,P8(Contrabass),P8(Violoncello)
154.5,156.5,P8(C Clarinet 1)&P8(Bassoon 1),P8(C Clarinet 2)&P8(Bassoon 2),P3(Oboe 2)&P8(Timpani),P3(Oboe 1)&P3(Timpani),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(C Clarinet 1),P8(Flute 2)&P8(C Clarinet 2),P8(C Trumpet 1),P8(C Trumpet 2)&P8(Violin 2),P8(C Horn 1),P8(C Horn 2)&P8(Violin 2),P8(Oboe 1)&P3(Oboe 2),Main Part,P8(C Horn 2)&P8(C Trumpet 2),P3(Main),P8(Contrabass),P8(Violoncello)
156.5,158.5,P6(Flute 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Flute 1)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2),,P8(Main),P8(Flute 1)&P6(Flute 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P6(Flute 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1),P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violin 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violin 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&U(Violin 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(Violin 2),,Main Part,P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
158.5,160.5,P8(C Clarinet 1)&P8(Bassoon 1),P8(C Clarinet 2)&P8(Bassoon 2),P4(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Main)&U(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P4(Oboe 1)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P4(Main)&P4(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(C Clarinet 1),P8(Flute 2)&P8(C Clarinet 2),P3(Oboe 1)&P2(Oboe 2)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,Main Part,U(Oboe 1)&P4(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Oboe 1)&P2(Oboe 2)&U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
160.5,162.5,Main Part,P6(Main)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2),U(Violin 1)&U(Violin 2),,P8(Main)&P6(Flute 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Main)&P8(Flute 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(Main)&P6(Flute 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2),P6(Main)&P8(Flute 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1),P8(C Trumpet 1),P8(C Trumpet 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1),P8(C Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,U(Oboe 1)&U(Violin 2),U(Oboe 1)&U(Violin 1),P8(C Horn 2)&P8(C Trumpet 2)&P8(Violoncello)&P8(Contrabass),P8(C Horn 2)&P8(C Trumpet 2)&P8(Viola)&P8(Contrabass),P8(C Horn 2)&P8(C Trumpet 2)&P8(Viola)&P8(Violoncello)
162.5,164.5,Main Part,P8(C Clarinet 2)&P8(Bassoon 2),P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Timpani)&P3(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P8(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(C Clarinet 1),P8(Flute 2)&P8(C Clarinet 2),P5(Oboe 1)&P3(Oboe 2)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P5(Timpani)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Oboe 1)&P3(Oboe 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P5(Timpani)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Oboe 1)&P3(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P5(Timpani)&P3(Violin 1)&U(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Oboe 1)&P3(Oboe 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P5(Timpani)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P8(Oboe 1)&P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P3(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),P3(Oboe 1)&P8(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Oboe 1)&P3(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P5(Timpani)&P3(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P8(Oboe 1)&P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Timpani)&P3(Violin 1)&P5(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Oboe 1)&P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Timpani)&P3(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Contrabass),P8(Oboe 1)&P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&U(Timpani)&P3(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)
164.5,166.5,P6(Flute 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Flute 1)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2),,P8(Main),P8(Flute 1)&P6(Flute 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P6(Flute 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1),P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Violin 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violin 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&U(Violin 2),U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(Violin 2),,Main Part,P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
166.5,168.5,P8(C Clarinet 1)&P8(Bassoon 1),P8(C Clarinet 2)&P8(Bassoon 2),P4(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Main)&U(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P4(Oboe 1)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P4(Main)&P4(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(C Clarinet 1),P8(Flute 2)&P8(C Clarinet 2),P3(Oboe 1)&P2(Oboe 2)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,Main Part,U(Oboe 1)&P4(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Oboe 1)&P2(Oboe 2)&U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P3(Oboe 1)&P2(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
168.5,170.0,P3(Flute 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Timpani),P3(Flute 1)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Timpani),U(Main)&U(Violin 2),,P8(Flute 1)&P3(Flute 2)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Timpani),P3(Flute 1)&P8(Flute 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P8(Timpani),P8(Flute 1)&P3(Flute 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P3(Timpani),P3(Flute 1)&P8(Flute 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P8(Timpani),P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),Main Part,U(Oboe 1)&U(Main),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Violoncello)&P8(Contrabass),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Viola)&P8(Contrabass),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Viola)&P8(Violoncello)
