qstamp,tstamp,measure,beat,Oboe d’amore 1,Violin 1,Violin 2,Viola,Alto solo,Continuo
39.75,34.0714,15,1.0,B4,D5,B4,D4,r,F#3
40.0,34.2857,15,1.1667,B-4,D5,B4,D4,r,F#3
40.25,34.5,15,1.3333,B4,B4,F#4,F#4,r,D3
40.5,34.7143,15,1.5,F#4,B4,F#4,F#4,r,D3
40.75,34.9286,15,1.6667,E4,r,r,r,r,r
41.0,35.1429,15,1.8333,D4,r,r,r,r,r
41.25,35.3571,15,2.0,B4,G5,B4,E4,r,E3
41.5,35.5714,15,2.1667,B-4,G5,B4,E4,r,E3
41.75,35.7857,15,2.3333,B4,E5,C#5,G4,r,C#3
42.0,36.0,15,2.5,E4,E5,C#5,G4,r,C#3
42.25,36.2143,15,2.6667,D4,r,r,r,r,r
42.5,36.4286,15,2.8333,C#4,r,r,r,r,r
42.75,36.6429,16,1.0,B4,F#5,B4,F#4,r,D3
43.0,36.8571,16,1.1667,B-4,F#5,B4,F#4,r,D3
43.25,37.0714,16,1.3333,B4,D5,F#4,B4,r,B2
43.5,37.2857,16,1.5,D4,D5,F#4,B4,r,B2
43.75,37.5,16,1.6667,C#4,r,r,r,r,r
44.0,37.7143,16,1.8333,B3,r,r,r,r,r
44.25,37.9286,16,2.0,A4,r,r,r,r,C#3
44.5,38.1429,16,2.1667,G4,r,r,r,r,C#3
44.75,38.3571,16,2.3333,F#4,B-4,E4,E4,r,C#4
45.0,38.5714,16,2.5,E4,B-4,E4,E4,r,C#4
45.25,38.7857,16,2.6667,E5,B4,G4,D4,r,B3
45.75,39.2143,17,1.0,E5,C#5,F#4,C#4,r,B-3
46.25,39.6429,17,1.3333,B-4,E5,C#5,F#4,r,F#3
47.25,40.5,17,2.0,r,G4,D4,B3,r,r
47.75,40.9286,17,2.3333,r,F#4,C#4,B-3,r,r
48.0,41.1429,17,2.5,F#4,F#4,C#4,B-3,r,r
48.25,41.3571,17,2.6667,B-4,r,C#4,r,r,E3
48.5,41.5714,17,2.8333,C#5,r,C#4,r,r,E3
48.75,41.7857,18,1.0,F#5,r,r,r,r,D3
49.0,42.0,18,1.1667,E5,r,r,r,r,D3
49.25,42.2143,18,1.3333,G5,B-4,E4,C#4,r,C#3
49.5,42.4286,18,1.5,F#5,B-4,E4,C#4,r,C#3
49.75,42.6429,18,1.6667,E5,B4,F#4,D4,r,B2
50.0,42.8571,18,1.8333,D5,B4,F#4,D4,r,B2
50.25,43.0714,18,2.0,C#5,B4,G4,E4,r,E3
50.5,43.2857,18,2.1667,B4,B4,G4,E4,r,E3
50.75,43.5,18,2.3333,D5,D5,F#4,D4,r,F#3
51.0,43.7143,18,2.5,C#5,C#5,F#4,D4,r,F#3
51.25,43.9286,18,2.6667,B4,B4,F#4,C#4,r,F#2
51.5,44.1429,18,2.8333,B-4,B-4,F#4,C#4,r,F#2
51.75,44.3571,19,1.0,B4,B4,F#4,D4,r,B2
52.25,44.7857,19,1.3333,B4,B4,F#4,D4,r,D3
52.75,45.2143,19,1.6667,B4,B4,F#4,D4,r,F#3
53.25,45.6429,19,2.0,B4,B4,F#4,D4,r,B3
54.0,46.2857,19,2.5,B4,B4,F#4,D4,B4,B3
54.25,46.5,19,2.6667,r,r,r,r,B-4,r
54.5,46.7143,19,2.8333,r,r,r,r,B4,r
54.75,46.9286,20,1.0,r,r,r,r,F#4,r
55.5,47.5714,20,1.5,B4,r,r,r,F#4,r
55.75,47.7857,20,1.6667,B-4,F#4,D4,B3,F#4,D4
56.0,48.0,20,1.8333,B4,F#4,D4,B3,F#4,D4
56.25,48.2143,20,2.0,F#4,B-4,E4,C#4,F#4,C#4
56.75,48.6429,20,2.3333,F#4,B4,F#4,D4,F#4,B3
57.0,48.8571,20,2.5,F#4,B4,F#4,D4,C#5,B3
57.25,49.0714,20,2.6667,r,r,r,r,B4,r
57.5,49.2857,20,2.8333,r,r,r,r,C#5,r
57.75,49.5,21,1.0,r,r,r,r,F#4,r
58.5,50.1429,21,1.5,C#5,r,r,r,F#4,r
58.75,50.3571,21,1.6667,B4,F#4,F#4,C#4,F#4,B3
59.0,50.5714,21,1.8333,C#5,F#4,F#4,C#4,F#4,B3
59.25,50.7857,21,2.0,F#4,E5,F#4,C#4,F#4,B-3
59.75,51.2143,21,2.3333,F#4,D5,B-4,F#4,F#4,F#3
60.0,51.4286,21,2.5,B-4,D5,B-4,F#4,B-4,F#3
60.25,51.6429,21,2.6667,C#5,C#5,F#4,F#4,C#5,B-3
60.5,51.8571,21,2.8333,E5,C#5,F#4,F#4,E5,B-3
60.75,52.0714,22,1.0,D5,D5,F#4,D4,D5,B3
61.25,52.5,22,1.3333,C#5,C#5,G4,E4,C#5,E3
61.75,52.9286,22,1.6667,B4,B4,F#4,F#4,B4,D3
62.25,53.3571,22,2.0,B4,B4,E4,G4,B4,C#3
62.75,53.7857,22,2.3333,A4,A4,E4,E4,A4,C#3
63.25,54.2143,22,2.6667,G4,G4,E4,C#4,G4,A2
63.75,54.6429,23,1.0,F#4,F#4,D4,A3,F#4,D3
64.25,55.0714,23,1.3333,E4,E4,C#4,A3,E4,A2
65.25,55.9286,23,2.0,r,D4,B3,G#3,r,r
65.75,56.3571,23,2.3333,r,C#4,A3,A3,r,r
66.0,56.5714,23,2.5,r,C#4,A3,A3,A4,r
66.25,56.7857,23,2.6667,r,r,A3,r,G4,r
66.5,57.0,23,2.8333,r,r,A3,r,A4,r
66.75,57.2143,24,1.0,r,r,r,r,F#4,r
67.5,57.8571,24,1.5,A4,r,r,r,F#4,r
67.75,58.0714,24,1.6667,G4,A4,F#4,D4,F#4,D3
68.0,58.2857,24,1.8333,A4,A4,F#4,D4,F#4,D3
68.25,58.5,24,2.0,F#4,D5,A4,F#4,F#4,D2
68.75,58.9286,24,2.3333,F#4,C5,D4,A3,F#4,F#2
69.0,59.1429,24,2.5,F#4,C5,D4,A3,D4,F#2
69.25,59.3571,24,2.6667,r,r,r,r,C#4,r
69.5,59.5714,24,2.8333,r,r,r,r,D4,r
69.75,59.7857,25,1.0,r,r,r,r,B4,r
70.5,60.4286,25,1.5,D4,r,r,r,B4,r
70.75,60.6429,25,1.6667,C4,D5,B4,G4,B4,G2
71.0,60.8571,25,1.8333,D4,D5,B4,G4,B4,G2
71.25,61.0714,25,2.0,B4,B4,G4,D4,B4,G3
71.75,61.5,25,2.3333,B4,A4,F#4,F#4,B4,E-3
72.0,61.7143,25,2.5,A4,A4,F#4,F#4,A4,E-3
72.25,61.9286,25,2.6667,G4,B4,E-4,B3,G4,B2
72.5,62.1429,25,2.8333,F#4,B4,E-4,B3,F#4,B2
72.75,62.3571,26,1.0,G4,G4,E4,B3,G4,E3
73.25,62.7857,26,1.3333,F#4,F#4,D4,B-4,F#4,F#3
73.75,63.2143,26,1.6667,E4,E4,C#4,B4,E4,G3
74.25,63.6429,26,2.0,E4,E4,G4,B-4,E4,C#3
74.5,63.8571,26,2.1667,G4,G4,G4,B-4,E4,C#3
74.75,64.0714,26,2.3333,B4,B4,G4,E4,G4,C#3
75.0,64.2857,26,2.5,E-5,E-5,G4,E4,G4,C#3
75.25,64.5,26,2.6667,E5,E5,G4,G4,B4,B2
75.75,64.9286,27,1.0,E5,E5,F#4,C#4,E5,B-2
76.25,65.3571,27,1.3333,B-4,B-4,C#4,F#4,B-4,F#2
77.25,66.2143,27,2.0,r,G4,D4,B3,r,r
77.75,66.6429,27,2.3333,r,F#4,C#4,B-3,r,r
78.0,66.8571,27,2.5,r,F#4,C#4,B-3,F#4,r
78.25,67.0714,27,2.6667,r,r,r,r,E4,r
78.5,67.2857,27,2.8333,r,r,r,r,F#4,r
78.75,67.5,28,1.0,r,r,r,r,D5,r
79.5,68.1429,28,1.5,F#4,r,r,r,D5,r
79.75,68.3571,28,1.6667,E4,F#5,D5,B4,D5,B2
80.0,68.5714,28,1.8333,F#4,F#5,D5,B4,D5,B2
80.25,68.7857,28,2.0,D5,D5,B4,F#4,D5,B3
80.75,69.2143,28,2.3333,D5,B4,F#4,D4,D5,B2
81.0,69.4286,28,2.5,D5,B4,F#4,D4,G#4,B2
81.25,69.6429,28,2.6667,r,r,r,r,F#4,r
81.5,69.8571,28,2.8333,r,r,r,r,G#4,r
81.75,70.0714,29,1.0,r,r,r,r,C#5,r
82.5,70.7143,29,1.5,G#4,r,r,r,C#5,r
82.75,70.9286,29,1.6667,F#4,F5,C#5,G#4,C#5,B3
83.0,71.1429,29,1.8333,G#4,F5,C#5,G#4,C#5,B3
83.25,71.3571,29,2.0,C#5,F#5,C#5,A4,C#5,A3
83.75,71.7857,29,2.3333,C#5,C#5,A4,F#4,C#5,A2
84.0,72.0,29,2.5,C#5,C#5,A4,F#4,A4,A2
84.25,72.2143,29,2.6667,r,r,r,r,G#4,A3
84.5,72.4286,29,2.8333,r,r,r,r,F#4,A3
84.75,72.6429,30,1.0,r,r,r,r,F4,G#3
85.0,72.8571,30,1.1667,r,r,r,r,G#4,G#3
85.25,73.0714,30,1.3333,r,F5,B4,D4,B4,G#3
85.75,73.5,30,1.6667,r,F#5,B4,D4,D4,F#3
86.25,73.9286,30,2.0,r,r,r,r,D4,F3
86.75,74.3571,30,2.3333,r,B4,G#4,C#4,C#4,F3
87.25,74.7857,30,2.6667,r,A4,F#4,C#4,A4,F#3
87.75,75.2143,31,1.0,r,r,r,r,A4,B2
88.0,75.4286,31,1.1667,r,r,r,r,G#4,B2
88.25,75.6429,31,1.3333,r,G#4,F4,C#4,F4,C#3
88.75,76.0714,31,1.6667,r,C#5,G#4,C#4,F4,C#2
89.0,76.2857,31,1.8333,r,C#5,G#4,C#4,F#4,C#2
89.25,76.5,31,2.0,r,A4,F#4,C#4,F#4,F#2
89.75,76.9286,31,2.3333,r,F#4,C#4,A3,F#4,F#2
90.0,77.1429,31,2.5,F#4,F#4,C#4,A3,F#4,F#2
90.25,77.3571,31,2.6667,F4,r,r,r,r,r
90.5,77.5714,31,2.8333,F#4,r,r,r,r,r
90.75,77.7857,32,1.0,C#4,r,r,r,r,r
91.75,78.6429,32,1.6667,C#4,F#4,C#4,F#3,r,A3
92.25,79.0714,32,2.0,C#4,F4,B3,G#3,r,G#3
92.75,79.5,32,2.3333,C#4,F#4,C#4,A3,r,F#3
93.0,79.7143,32,2.5,G#4,F#4,C#4,A3,r,F#3
93.25,79.9286,32,2.6667,F#4,r,r,r,r,r
93.5,80.1429,32,2.8333,G#4,r,r,r,r,r
93.75,80.3571,33,1.0,C#4,r,r,r,r,r
94.75,81.2143,33,1.6667,C#4,C#4,G#4,C#4,r,F3
95.25,81.6429,33,2.0,C#4,B4,F4,G#3,r,C#3
95.75,82.0714,33,2.3333,C#4,A4,F#4,F#3,r,E-3
96.0,82.2857,33,2.5,F4,A4,F#4,F#3,r,E-3
96.25,82.5,33,2.6667,G#4,G#4,G#4,C#4,r,F3
96.5,82.7143,33,2.8333,B4,G#4,G#4,C#4,r,F3
96.75,82.9286,34,1.0,A4,A4,F#4,C#4,r,F#3
97.25,83.3571,34,1.3333,G#4,G#4,D4,B3,r,B2
97.75,83.7857,34,1.6667,F#4,F#4,C#4,C#4,r,A2
98.25,84.2143,34,2.0,F#4,F#4,B3,D4,r,G#2
98.75,84.6429,34,2.3333,E4,E4,B3,B3,r,G#2
99.25,85.0714,34,2.6667,D4,D4,B3,G#3,r,E2
99.75,85.5,35,1.0,C#4,C#4,A3,E3,r,A2
100.25,85.9286,35,1.3333,B3,B3,G#3,E3,r,E2
101.25,86.7857,35,2.0,r,E-4,A3,F#3,r,r
101.75,87.2143,35,2.3333,r,E4,B3,G#3,r,r
102.0,87.4286,35,2.5,E4,E4,B3,G#3,r,r
102.25,87.6429,35,2.6667,D4,r,r,r,r,r
102.5,87.8571,35,2.8333,E4,r,r,r,r,r
102.75,88.0714,36,1.0,C#5,r,r,r,r,r
103.75,88.9286,36,1.6667,C#5,A4,E4,A3,r,A2
104.25,89.3571,36,2.0,C#5,F#4,D4,A3,r,D3
104.75,89.7857,36,2.3333,C#5,D4,A3,F#3,r,D2
105.0,90.0,36,2.5,F#4,D4,A3,F#3,r,D2
105.25,90.2143,36,2.6667,E4,r,r,r,r,r
105.5,90.4286,36,2.8333,F#4,r,r,r,r,r
105.75,90.6429,37,1.0,D5,r,r,r,r,r
106.75,91.5,37,1.6667,D5,B4,F#4,B3,r,B2
107.25,91.9286,37,2.0,D5,G#4,E4,B3,r,E3
107.75,92.3571,37,2.3333,D5,E4,B3,G#3,r,E2
108.0,92.5714,37,2.5,G#4,E4,B3,G#3,r,E2
108.25,92.7857,37,2.6667,F#4,r,r,r,r,r
108.5,93.0,37,2.8333,G#4,r,r,r,r,r
108.75,93.2143,38,1.0,E5,r,r,r,r,r
109.25,93.6429,38,1.3333,C#5,r,r,r,r,F#3
109.75,94.0714,38,1.6667,B-4,C#5,F#4,C#4,r,E3
110.25,94.5,38,2.0,B-4,F#4,F#4,C#4,r,D3
110.75,94.9286,38,2.3333,B4,B4,F#4,B3,r,D3
111.25,95.3571,38,2.6667,C#5,C#5,B-4,E4,r,C#3
111.75,95.7857,39,1.0,D5,D5,B4,F#4,r,B2
112.0,96.0,39,1.1667,C#5,D5,B4,F#4,r,B2
112.25,96.2143,39,1.3333,B4,r,r,r,r,E3
112.5,96.4286,39,1.5,A4,r,r,r,r,E3
112.75,96.6429,39,1.6667,G#4,B4,F#4,B3,r,D3
113.0,96.8571,39,1.8333,F#4,B4,F#4,B3,r,D3
113.25,97.0714,39,2.0,G#4,G#4,E4,B3,r,D3
113.5,97.2857,39,2.1667,B4,G#4,E4,B3,r,D3
113.75,97.5,39,2.3333,A4,A4,A4,E4,r,C#3
114.0,97.7143,39,2.5,C#5,A4,A4,E4,r,C#3
114.25,97.9286,39,2.6667,B4,B4,G#4,E4,r,E3
114.5,98.1429,39,2.8333,D5,B4,G#4,E4,r,E3
114.75,98.3571,40,1.0,C#5,C#5,A4,E4,r,A2
115.0,98.5714,40,1.1667,B4,C#5,A4,E4,r,A2
115.25,98.7857,40,1.3333,A4,r,r,r,r,B2
115.5,99.0,40,1.5,G#4,r,r,r,r,B2
115.75,99.2143,40,1.6667,F#4,A4,r,r,r,C#3
116.0,99.4286,40,1.8333,F4,A4,r,r,r,C#3
116.25,99.6429,40,2.0,F#4,F#4,r,r,r,D3
116.5,99.8571,40,2.1667,A4,F#4,r,r,r,D3
116.75,100.0714,40,2.3333,G#4,F#4,r,r,r,D3
117.0,100.2857,40,2.5,B4,F#4,r,r,r,D3
117.25,100.5,40,2.6667,A4,F#4,D4,A3,r,D3
117.5,100.7143,40,2.8333,C#5,F#4,D4,A3,r,D3
117.75,100.9286,41,1.0,B4,F#4,B3,G#3,r,D3
118.25,101.3571,41,1.3333,B4,B4,B3,G#3,r,D4
118.75,101.7857,41,1.6667,B4,G#4,B3,G#3,r,B3
119.25,102.2143,41,2.0,B4,F4,B3,G#3,r,G#3
119.75,102.6429,41,2.3333,B4,G#4,D4,B3,r,F3
120.0,102.8571,41,2.5,D4,G#4,D4,B3,r,F3
120.25,103.0714,41,2.6667,C#4,B4,G#3,D4,r,F#3
120.5,103.2857,41,2.8333,B3,B4,G#3,D4,r,F#3
120.75,103.5,42,1.0,C#4,B4,G#3,C#4,r,F3
121.0,103.7143,42,1.1667,E-4,B4,G#3,C#4,r,F3
121.25,103.9286,42,1.3333,F4,F4,B3,G#3,r,G#3
121.5,104.1429,42,1.5,F#4,F4,B3,G#3,r,G#3
121.75,104.3571,42,1.6667,G#4,r,r,r,r,r
122.0,104.5714,42,1.8333,A4,r,r,r,r,r
122.25,104.7857,42,2.0,B4,B4,F4,G#3,r,C#3
122.5,105.0,42,2.1667,D5,B4,F4,G#3,r,C#3
122.75,105.2143,42,2.3333,C#5,C#4,G#3,C#4,r,F3
123.0,105.4286,42,2.5,B4,C#4,G#3,C#4,r,F3
123.25,105.6429,42,2.6667,A4,r,r,r,r,r
123.5,105.8571,42,2.8333,G#4,r,r,r,r,r
123.75,106.0714,43,1.0,A4,r,r,r,r,F#3
124.0,106.2857,43,1.1667,G#4,r,r,r,r,F#3
124.25,106.5,43,1.3333,B4,B4,F#4,F#3,r,D3
124.5,106.7143,43,1.5,A4,B4,F#4,F#3,r,D3
124.75,106.9286,43,1.6667,G#4,A4,C#4,F#3,r,A2
125.0,107.1429,43,1.8333,F#4,A4,C#4,F#3,r,A2
125.25,107.3571,43,2.0,G#4,G#4,D4,F#3,r,B2
125.5,107.5714,43,2.1667,F#4,G#4,D4,F#3,r,B2
125.75,107.7857,43,2.3333,A4,A4,C#4,F#3,r,C#3
126.0,108.0,43,2.5,G#4,A4,C#4,F#3,r,C#3
126.25,108.2143,43,2.6667,F#4,G#4,C#4,C#4,r,C#2
126.5,108.4286,43,2.8333,F4,G#4,C#4,C#4,r,C#2
126.75,108.6429,44,1.0,F#4,F#4,C#4,A3,r,F#2
127.25,109.0714,44,1.3333,F#4,F#4,C#4,A3,r,A2
127.75,109.5,44,1.6667,F#4,F#4,C#4,A3,r,C#3
128.25,109.9286,44,2.0,F#4,F#4,C#4,A3,r,F#3
128.75,110.3571,44,2.3333,F#4,F#4,C#4,A3,r,A2
129.25,110.7857,44,2.6667,r,r,r,r,C#5,C#3
129.75,111.2143,45,1.0,r,r,r,r,A4,F#2
130.0,111.4286,45,1.1667,r,r,r,r,G#4,F#2
130.25,111.6429,45,1.3333,r,r,r,r,B4,G#2
130.5,111.8571,45,1.5,r,r,r,r,A4,G#2
130.75,112.0714,45,1.6667,C#5,r,r,r,G#4,A2
131.0,112.2857,45,1.8333,C#5,r,r,r,F#4,A2
131.25,112.5,45,2.0,C#5,r,r,r,D5,B2
131.75,112.9286,45,2.3333,B4,r,r,r,D5,C#3
132.0,113.1429,45,2.5,B-4,r,r,r,D5,C#3
132.25,113.3571,45,2.6667,B4,r,r,r,D5,D3
132.75,113.7857,46,1.0,r,r,r,r,D5,E2
133.0,114.0,46,1.1667,r,r,r,r,B4,E2
133.25,114.2143,46,1.3333,r,r,r,r,A4,F#2
133.5,114.4286,46,1.5,r,r,r,r,G#4,F#2
133.75,114.6429,46,1.6667,B4,r,r,r,F#4,G#2
134.0,114.8571,46,1.8333,B4,r,r,r,E4,G#2
134.25,115.0714,46,2.0,B4,r,r,r,C#5,A2
134.75,115.5,46,2.3333,A4,r,r,r,E4,B2
135.0,115.7143,46,2.5,G#4,r,r,r,E4,B2
135.25,115.9286,46,2.6667,A4,E4,E4,A3,E4,C#3
135.5,116.1429,46,2.8333,A4,E4,E4,A3,D4,C#3
135.625,116.25,46,2.9167,A4,E4,E4,A3,E4,C#3
135.75,116.3571,47,1.0,r,F#4,E4,A3,F#4,D3
136.25,116.7857,47,1.3333,r,G#4,D4,B3,G#4,B2
136.75,117.2143,47,1.6667,E5,A4,E4,A3,A4,C#3
137.25,117.6429,47,2.0,E5,E4,E4,B3,E4,G#2
137.75,118.0714,47,2.3333,D5,D5,B4,B3,D5,G#2
138.25,118.5,47,2.6667,C#5,C#5,A4,E4,C#5,A2
138.75,118.9286,48,1.0,C#5,C#5,A4,E4,C#5,E3
139.25,119.3571,48,1.3333,B4,B4,G#4,E4,B4,E2
140.25,120.2143,48,2.0,r,A4,F#4,E-4,r,r
140.75,120.6429,48,2.3333,r,G#4,E4,E4,r,r
141.0,120.8571,48,2.5,B4,G#4,E4,E4,r,r
141.25,121.0714,48,2.6667,A4,r,r,r,D5,G#3
141.5,121.2857,48,2.8333,B4,r,r,r,D5,G#3
141.75,121.5,49,1.0,E4,r,r,r,C#5,A3
142.0,121.7143,49,1.1667,G#4,r,r,r,C#5,A3
142.25,121.9286,49,1.3333,A4,r,r,r,A4,C#3
142.5,122.1429,49,1.5,C#5,r,r,r,A4,C#3
142.75,122.3571,49,1.6667,B4,G#4,E4,B3,G#4,E3
143.0,122.5714,49,1.8333,G#4,G#4,E4,B3,G#4,E3
143.25,122.7857,49,2.0,E4,A4,E4,C#4,A4,C#3
