qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
77.0,32.079,21,1.0,r,r,r,r,E5,r,E4,r,F#4,E4,r,r,r,r,r,C5,r,E4,r,r
77.5,32.2873,21,1.25,r,r,r,r,D5,r,D4,r,F#4,E4,r,r,r,r,r,C6,r,E4,r,r
78.0,32.4956,21,1.5,r,r,r,r,C5,r,C4,r,F#4,E4,r,r,r,r,r,r,r,r,A2,A1
78.5,32.7039,21,1.75,r,r,r,r,B4,r,B3,r,F#4,E4,r,r,r,r,r,r,r,r,A2,A1
79.0,32.9122,21,2.0,r,r,r,r,C5,r,C4,r,A4,E4,r,r,r,r,r,r,r,r,r,r
79.5,33.1205,21,2.25,r,r,r,r,B4,r,B3,r,A4,E4,r,r,r,r,r,r,r,r,r,r
80.0,33.3288,21,2.5,r,r,A5,r,A4,r,A3,r,A4,E4,r,r,r,r,r,r,A5,A4,F#3,F#2
80.5,33.5371,21,2.75,r,r,A5,r,G4,r,G3,r,A4,E4,r,r,r,r,r,r,A4,A4,F#3,F#2
81.0,33.7454,22,1.0,r,r,A5,r,A4,r,A3,r,A4,F#4,r,r,r,r,r,r,F#5,A4,r,r
81.5,33.9537,22,1.25,r,r,G5,r,A4,r,A3,r,A4,F#4,r,r,r,r,r,r,F#4,G4,r,r
82.0,34.162,22,1.5,r,r,F#5,r,r,r,r,r,A4,F#4,r,r,r,r,r,r,r,F#4,E-3,E-2
82.5,34.3703,22,1.75,r,r,E5,r,r,r,r,r,A4,F#4,r,r,r,r,r,r,r,E4,E-3,E-2
83.0,34.5786,22,2.0,r,r,F#5,r,r,r,r,r,F#4,E-4,r,r,r,r,r,r,r,F#4,r,r
83.5,34.7869,22,2.25,r,r,E5,r,r,r,r,r,F#4,E-4,r,r,r,r,r,r,r,E4,r,r
84.0,34.9952,22,2.5,E-6,r,E-5,r,E-5,r,E-4,r,F#4,E-4,r,r,r,r,r,E-4,r,E-4,B2,B1
84.5,35.2035,22,2.75,E-6,r,C#5,r,E-5,r,E-4,r,F#4,E-4,r,r,r,r,r,E-5,r,C#4,B2,B1
85.0,35.4118,23,1.0,E-6,r,E-5,r,E-5,r,E-4,r,F#4,E-4,r,r,r,r,r,B4,r,E-4,r,r
85.5,35.6201,23,1.25,C#6,r,E-5,r,C#5,r,C#4,r,F#4,E-4,r,r,r,r,r,B5,r,E-4,r,r
86.0,35.8284,23,1.5,B5,r,r,r,B4,r,B3,r,F#4,E-4,r,r,r,r,r,r,r,r,G2,G1
