qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
84.0,89.0,Main Part,,P8(Viola),,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(A Clarinet 1),,,,P8(C Horn 4),P8(C Horn 3),,,,,,P8(Oboe 1),P8(Contrabass),P8(Violoncello)
89.0,91.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),Main Part,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,P8(C Horn 4),P8(C Horn 3),,,,,,P8(Main),P8(Contrabass),P8(Violoncello)
91.0,93.0,Main Part,P8(A Clarinet 2)&P8(Bassoon 2),P8(Viola),,P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,P8(C Horn 4),P8(C Horn 3),,,,,,P8(Oboe 1),P8(Contrabass),P8(Violoncello)
93.0,95.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),Main Part,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,P8(C Horn 4),P8(C Horn 3),,,,,,P8(Main),P8(Contrabass),P8(Violoncello)
95.0,97.0,Main Part,P8(A Clarinet 2)&P8(Bassoon 2),P8(Viola),,P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,,,,,,,,P8(Oboe 1),P8(Contrabass),P8(Violoncello)
97.0,99.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),Main Part,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,P3(C Horn 4),P3(C Horn 3),,,,,,P8(Main),P8(Contrabass),P8(Violoncello)
99.0,101.0,Main Part,P8(A Clarinet 2)&P8(Bassoon 2),P3(Oboe 2)&P8(Viola),P3(Oboe 1)&P3(Viola),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,P3(C Horn 4),P3(C Horn 3),,,,,,P8(Oboe 1)&P3(Oboe 2),P8(Contrabass),P8(Violoncello)
101.0,103.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),Main Part,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,P3(C Horn 4),P3(C Horn 3),,,,,,P8(Main),P8(Contrabass),P8(Violoncello)
103.0,105.0,Main Part,,P3(Oboe 2),P3(Oboe 1),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,P3(C Horn 4),P3(C Horn 3),,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
105.0,121.0,,,,,P3(A Clarinet 2),P3(A Clarinet 1),,,P3(E Horn 2),P3(E Horn 1),U(C Horn 4),U(C Horn 3),,,,Main Part,P8(Main),,,
121.0,130.0,,,,,,,,,,,U(C Horn 4),U(C Horn 3),,,,Main Part,,,,
130.0,146.0,,,P8(E Horn 1)&P3(E Horn 2),,,,,,P8(Oboe 1)&P3(E Horn 2),P3(Oboe 1)&P3(E Horn 1),,,,,,Main Part,,,,
146.0,154.0,Main Part,P8(A Clarinet 2),,,,P8(Flute 2),,,,,,,P8(E Trumpet 2),P8(E Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
154.0,160.0,P8(A Clarinet 1)&P8(Violin 2),P8(A Clarinet 2)&P8(Viola),P8(Oboe 2),P8(Oboe 1),P8(Flute 1)&U(Violin 2),P8(Flute 2)&U(Viola),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),P3(E Horn 2),P3(E Horn 1),,,P8(E Trumpet 2),P8(E Trumpet 1),,Main Part,P8(Flute 1)&U(A Clarinet 1),P8(Flute 2)&U(A Clarinet 2),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
160.0,178.0,,,,,,,,,,,,,P8(E Trumpet 2),P8(E Trumpet 1),,Main Part,,,,
178.0,194.0,P3(Flute 2),P3(Flute 1),,,,,,,,,,,,,,Main Part,,,,
194.0,209.0,,,,,,,,P8(Contrabass),,,,,,,,Main Part,,,,P8(Bassoon 2)
209.0,217.0,U(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1)&U(E Trumpet 2)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1)&U(E Trumpet 2)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,U(Main)&U(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&U(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2)&U(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),,,U(Flute 1)&U(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 2)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),,P8(Flute 1)&P8(Flute 2)&U(E Horn 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P4(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(E Horn 1)&P4(E Horn 2)&P4(E Trumpet 1)&P4(E Trumpet 2)&P4(Violin 1)&P7(Viola)&P4(Violoncello)&P4(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(E Horn 1)&P4(E Horn 2)&P4(E Trumpet 1)&P4(E Trumpet 2)&P4(Violin 1)&P7(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Violoncello)
217.0,220.0,P4(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&U(Violin 1)&P8(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P4(Flute 1)&P4(E Horn 1)&P4(E Horn 2)&P4(Violin 1)&P4(Violin 2)&P7(Viola)&P4(Violoncello)&P4(Contrabass),Main Part,U(Main)&U(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4),U(Main)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4),U(Main)&U(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4),P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(C Horn 3)&U(C Horn 4),,P8(Flute 1)&P4(Flute 2)&U(E Horn 2)&P8(Violin 1)&P8(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P4(Flute 2)&U(E Horn 1)&P8(Violin 1)&P8(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(C Horn 4),P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(C Horn 3),,,,U(Flute 1)&P4(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&P8(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P4(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&P8(Violin 1)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P4(Flute 1)&P7(Flute 2)&P4(E Horn 1)&P4(E Horn 2)&P4(Violin 1)&P4(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P4(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&P8(Violin 1)&P8(Violin 2)&P4(Viola)&P8(Contrabass),P8(Flute 1)&P4(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&P8(Violin 1)&P8(Violin 2)&P4(Viola)&P8(Violoncello)
220.0,225.0,U(Main),,U(A Clarinet 1)&P4(Bassoon 2),U(A Clarinet 2)&P8(Bassoon 1),U(Oboe 1)&P4(Bassoon 2),U(Oboe 2)&P8(Bassoon 1),P8(Oboe 2)&P8(A Clarinet 2),P4(Oboe 1)&P4(A Clarinet 1),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
225.0,233.0,P8(Violin 1),,P4(Oboe 2),P4(Oboe 1),P4(A Clarinet 2),P4(A Clarinet 1),P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabass),U(E Horn 2),U(E Horn 1),,,,,,P8(Flute 1),,,Main Part,P8(Bassoon 1)&P8(Bassoon 2)
233.0,241.0,U(A Clarinet 1)&U(Violin 1),U(A Clarinet 2),,,U(Flute 1)&U(Violin 1),U(Flute 2),P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Contrabass),U(E Horn 2)&U(Main),U(E Horn 1)&U(Main),,,,,,U(Flute 1)&U(A Clarinet 1),,,Main Part,P8(Bassoon 1)&U(Bassoon 2)
241.0,249.0,,,P3(Oboe 2),P3(Oboe 1),,,U(Bassoon 2)&P8(Contrabass),U(Bassoon 1)&P8(Contrabass),,U(Main),,,,,,P8(Violin 2),P8(Violin 1),,Main Part,P8(Bassoon 1)&P8(Bassoon 2)
249.0,257.0,Main Part,U(Oboe 2),U(Main)&P8(A Clarinet 1)&P8(Violoncello),U(Flute 2),P8(Main)&P8(Oboe 1)&P8(Violoncello),,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Contrabass),,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Main)&P8(Oboe 1)&P8(A Clarinet 1),P8(Bassoon 1)&U(Bassoon 2)
257.0,265.0,U(Flute 2)&U(Oboe 1),U(Flute 1)&U(Oboe 1),U(Flute 1)&U(Flute 2),U(A Clarinet 2),,U(Oboe 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,,,Main Part,P8(Main),,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
265.0,273.0,U(Flute 2)&U(Oboe 1)&P8(Viola),U(Flute 1)&U(Oboe 1)&P8(Viola),U(Flute 1)&U(Flute 2)&P8(Viola),,,,U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),U(E Horn 2),U(E Horn 1),,,,,,Main Part,P8(Main),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
273.0,281.0,,,U(A Clarinet 1),U(A Clarinet 2),U(Oboe 1),U(Oboe 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,,,Main Part,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
281.0,289.0,,,U(A Clarinet 1),U(A Clarinet 2),U(Oboe 1),U(Oboe 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(Violin 2),,,,P8(E Trumpet 2),P8(E Trumpet 1),,Main Part,P8(E Horn 1),,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
289.0,300.0,,P8(E Horn 1),U(A Clarinet 1),U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(C Horn 4),U(Oboe 1),U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(C Horn 4),P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 2)&U(Main)&U(C Horn 4),P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 1)&U(Main)&U(C Horn 4),P8(Flute 2),P8(Viola),Main Part,P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(Main),,,,,,P8(E Horn 2),P8(Contrabass),P8(Violoncello)
300.0,305.0,P8(Violin 2),,U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(C Horn 3)&P8(C Horn 4),U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(C Horn 3)&P8(C Horn 4),U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(C Horn 3)&P8(C Horn 4),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(C Horn 3)&P8(C Horn 4),P8(Bassoon 2),P8(Bassoon 1),Main Part,,P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(C Horn 4),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(C Horn 3),P8(E Trumpet 2),P8(E Trumpet 1),,,P8(Flute 1),,P8(Contrabass),P8(Violoncello)
305.0,316.0,P3(Flute 2)&P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P3(Flute 1)&P3(E Horn 2)&P3(E Trumpet 1)&P3(E Trumpet 2),U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(C Horn 4),U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(C Horn 4),U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(C Horn 4),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2)&U(Main)&U(C Horn 4),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 2)&U(Main)&U(C Horn 4),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Main)&P8(C Horn 4),,P8(Flute 1)&P3(Flute 2)&P8(E Trumpet 1)&U(E Trumpet 2),Main Part,P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(Main),P8(Flute 1)&P3(Flute 2)&P8(E Horn 2)&P8(E Trumpet 2),P8(Flute 1)&P3(Flute 2)&U(E Horn 2)&P8(E Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
316.0,318.0,U(Flute 2),U(Flute 1),U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),,,U(C Horn 4),U(C Horn 3),,,,Main Part,P8(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
318.0,320.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
320.0,322.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
