qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
450.0,462.0,,,P3(Oboe 2),P3(Oboe 1),,,,,,,,P8(F Horn 4),P8(F Horn 3),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
462.0,476.0,P8(Flute 2),P8(Flute 1),Main Part,,P8(Main),,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
476.0,497.5,P8(Flute 2),P8(Flute 1),Main Part,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Main),,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
497.5,499.5,,,,,Main Part,U(Main),,,,,,,,,,,,,,,,P6(Violoncello)&P6(Contrabass),P6(Viola)&P8(Contrabass),P6(Viola)&P8(Violoncello)
499.5,503.5,,,,,U(Bb Clarinet 2),U(Bb Clarinet 1),P8(Main),,,,,,,,,,,,,Main Part,P7(Viola)&P3(Violoncello)&P3(Contrabass),P7(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Violin 2)&P5(Viola)&P8(Contrabass),P3(Violin 2)&P5(Viola)&P8(Violoncello)
503.5,505.5,,,Main Part,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,,,,,,,,,,P7(Violoncello)&P7(Contrabass),,P7(Violin 2)&P8(Contrabass),P7(Violin 2)&P8(Violoncello)
505.5,507.5,,,,,Main Part,U(Main)&P8(Bassoon 1),P8(Main)&P8(Bb Clarinet 2),,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
507.5,514.0,,,,,P8(Bb Clarinet 2),P8(Bb Clarinet 1),,,,,,,,,,,,,,Main Part,,,,
514.0,522.0,,,,,Main Part,P8(Main),,,,,,,,,,,,,,,,,,
522.0,530.0,P3(Flute 2)&P5(Oboe 1),P3(Flute 1)&P7(Oboe 1),P5(Flute 1)&P7(Flute 2),,,,,,,,,,,,,,,,,Main Part,,,U(Contrabass),U(Violoncello)
530.0,540.0,,,Main Part,,,,,,,,,,,,,,,,,P8(Viola),,P8(Violin 1),U(Contrabass),U(Violoncello)
540.0,546.0,,,,,Main Part,,P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,,P8(Viola),,P8(Violin 1),U(Contrabass),U(Violoncello)
546.0,562.0,,,,,,,Main Part,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
562.0,568.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,,,U(F Trumpet 2),U(F Trumpet 1),,,,,Main Part,,U(Bassoon 1)&U(Bassoon 2),P8(Contrabass),P8(Violoncello)
568.0,574.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,,U(F Horn 4),U(F Horn 3),U(F Trumpet 2),U(F Trumpet 1),,,,,,Main Part,U(Bassoon 1)&U(Bassoon 2),,
574.0,578.0,,,,,,,P8(Bassoon 2)&U(Viola),P8(Bassoon 1)&P8(Viola),,,,U(F Horn 4),U(F Horn 3),,,,,,,Main Part,,U(Bassoon 1)&P8(Bassoon 2),,
578.0,582.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1),P8(Bassoon 2)&U(Viola)&P8(Violoncello),P8(Bassoon 1)&P8(Viola)&U(Violoncello),,,,U(F Horn 4),U(F Horn 3),U(F Trumpet 2),U(F Trumpet 1),,,,,,Main Part,U(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello),P8(Bassoon 1)&U(Bassoon 2)&P8(Viola),
582.0,594.0,P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Oboe 2),P8(Oboe 1),P8(Flute 1),P8(Flute 2),P8(Bassoon 2),P8(Bassoon 1),,P8(C Horn 2),P8(C Horn 1),U(F Horn 4),U(F Horn 3),P8(F Trumpet 2),P8(F Trumpet 1),,,,,Main Part,,,,
594.0,598.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),U(Bassoon 2),U(Bassoon 1),P8(Trombone 1)&P8(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(C Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(C Horn 1)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(C Horn 1)&P8(C Horn 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(C Horn 1)&P8(C Horn 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),P8(Contrabassoon)&U(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&U(Trombone 1)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&P8(Trombone 1)&P8(Trombone 2)&U(Contrabass),,Main Part,P8(Main),U(Violoncello),U(Viola),P8(Contrabassoon)&P8(Trombone 1)&P8(Trombone 2)&U(Trombone 3)
598.0,602.0,U(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P5(Flute 1)&P5(Flute 2)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(F Horn 3)&P5(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P5(F Horn 3)&P5(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),,,P8(Main)&P8(Trombone 2)&P8(Trombone 3)&P8(Contrabass),,,P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),Main Part,P8(Contrabassoon)&U(Main)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Trombone 2)&U(Contrabass),,U(Violin 2),U(Violin 1),U(Violoncello),U(Viola),P8(Contrabassoon)&P8(Main)&P8(Trombone 2)&U(Trombone 3)
602.0,606.0,Main Part,U(Main)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(C Horn 1)&P8(C Horn 2)&P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&U(Contrabass),P8(Contrabassoon)&P8(C Horn 2)&P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&P8(C Horn 1)&P5(Trombone 1)&P3(Trombone 2)&U(Trombone 3)&P8(Contrabass),P8(Main)&P8(Flute 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Main)&P8(Flute 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Main)&P8(Flute 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(Main)&P8(Flute 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),P5(Contrabassoon)&P5(C Horn 1)&P5(C Horn 2)&P3(Trombone 2)&P5(Trombone 3)&P5(Contrabass),P3(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P3(Trombone 1)&P3(Trombone 3)&P3(Contrabass),P8(Contrabassoon)&P8(C Horn 1)&U(C Horn 2)&P5(Trombone 1)&P3(Trombone 2)&P8(Contrabass),,U(Violin 2),U(Violin 1),P8(Violoncello),P8(Viola),U(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)
606.0,610.0,P4(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P4(Flute 1)&P2(Oboe 1)&P4(Oboe 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(F Horn 3)&P4(F Horn 4)&P4(F Trumpet 1)&P4(F Trumpet 2),P3(Flute 1)&P2(Flute 2)&P3(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P3(Flute 1)&P2(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),P3(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),,,P8(Trombone 3)&U(Contrabass),Main Part,P8(Main),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),,,P8(Contrabassoon)&P8(Contrabass),,U(Violin 2),U(Violin 1),P8(Violoncello),P8(Viola),U(Contrabassoon)&P8(Trombone 3)
610.0,614.0,Main Part,,U(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(F Horn 3),U(Oboe 1)&P8(Bb Clarinet 2),P8(Oboe 1)&P8(Bb Clarinet 1),,,P8(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&U(Contrabass),U(C Horn 2),U(C Horn 1),P8(Oboe 2),P8(Main)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Main)&P8(F Horn 4)&U(F Trumpet 2),P8(Main)&P8(F Horn 4)&U(F Trumpet 1),P8(Contrabassoon)&P3(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P3(Contrabassoon)&P3(Trombone 1)&P3(Trombone 3)&P3(Contrabass),P8(Contrabassoon)&P8(Trombone 1)&P3(Trombone 2)&P8(Contrabass),,U(Violin 2),U(Violin 1),U(Violoncello),U(Viola),U(Contrabassoon)&P8(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)
614.0,618.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),,,U(Contrabass),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),Main Part,,,,U(Violin 2),U(Violin 1),,,U(Contrabassoon)
618.0,622.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2),U(Bassoon 2),U(Bassoon 1),P8(C Horn 1)&P8(C Horn 2)&P8(Trombone 1)&P8(Trombone 2)&P8(Trombone 3)&U(Contrabass),P8(Contrabassoon)&P8(C Horn 2)&P8(Trombone 1)&U(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&P8(C Horn 1)&P8(Trombone 1)&P8(Trombone 2)&U(Trombone 3)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),P8(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&P8(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&U(C Horn 1)&P8(C Horn 2)&P8(Trombone 1)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&P8(C Horn 1)&U(C Horn 2)&P8(Trombone 1)&P8(Trombone 2)&P8(Contrabass),,,,,,U(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&P8(Trombone 1)&P8(Trombone 2)&P8(Trombone 3)
622.0,626.0,P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P4(Flute 1)&P6(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(F Horn 3)&P4(F Horn 4)&P4(F Trumpet 1)&P4(F Trumpet 2),P3(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),P4(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(F Horn 3)&P4(F Horn 4)&P4(F Trumpet 1)&P4(F Trumpet 2),P4(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(Bb Clarinet 2)&P4(F Horn 3)&P4(F Horn 4)&P4(F Trumpet 1)&P4(F Trumpet 2),P3(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),P8(Main),U(C Horn 2),P8(Trombone 1)&P8(Trombone 2)&P8(Trombone 3)&U(Contrabass),Main Part,U(Bassoon 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),P8(Contrabassoon)&P8(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&P8(Trombone 1)&P8(Trombone 3)&P8(Contrabass),P8(Contrabassoon)&P8(Trombone 1)&P8(Trombone 2)&P8(Contrabass),,,,,,U(Contrabassoon)&P8(Trombone 1)&P8(Trombone 2)&P8(Trombone 3)
626.0,630.0,Main Part,P8(Oboe 2)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Flute 2)&U(Bb Clarinet 1),P8(Flute 2)&U(Oboe 2),P8(Oboe 1),,,P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&U(Contrabass),,,P8(Main)&P8(F Trumpet 1),,P8(Main)&P8(F Horn 3),,P4(Contrabassoon)&P6(Trombone 2)&P4(Trombone 3)&P4(Contrabass),P3(Contrabassoon)&P6(Trombone 1)&P3(Trombone 3)&P3(Contrabass),P8(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&P8(Contrabass),,P8(Violin 2),P8(Violin 1),,,U(Contrabassoon)&P4(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)
630.0,638.0,P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Oboe 2)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Flute 2)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Oboe 2),P8(Oboe 1),,,U(Contrabass),Main Part,,P8(Flute 1)&U(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&U(F Horn 3)&P8(F Trumpet 1)&U(F Trumpet 2),P8(Flute 1)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2),P8(Flute 1)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1),,,,,P8(Violin 2),P8(Violin 1),P8(Violoncello),P8(Viola),U(Contrabassoon)
638.0,642.0,Main Part,P8(Oboe 2)&P8(Bb Clarinet 1)&P8(C Horn 1),P8(Bb Clarinet 2)&P8(C Horn 2),P8(Flute 2)&U(Bb Clarinet 1)&P8(C Horn 1),P8(Flute 2)&U(Oboe 2)&P8(C Horn 1),P8(Oboe 1)&P8(C Horn 2),,,P8(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&U(Contrabass),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Bb Clarinet 2),U(F Horn 4),U(F Horn 3),P8(Main)&P8(F Trumpet 2),P8(Main)&P8(F Trumpet 1),P8(Contrabassoon)&P3(Trombone 2)&P8(Trombone 3)&P8(Contrabass),P3(Contrabassoon)&P3(Trombone 1)&P3(Trombone 3)&P3(Contrabass),P8(Contrabassoon)&P8(Trombone 1)&P3(Trombone 2)&P8(Contrabass),,,,,,U(Contrabassoon)&P8(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)
