qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"F, F Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
2059.0,2071.0,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&U(Main)&U(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),Main Part,P8(Flute 1)&U(Flute 2)&U(Main)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&U(Flute 2)&U(Main)&U(Oboe 2)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola),"U(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)","U(Bassoon 1)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)","P5(Bassoon 1)&P5(Bassoon 2)&U(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P5(D Trumpet 1)&P5(D Trumpet 2)&P3(F, F Timpani)&P5(Violoncello)&P5(Contrabass)","P5(Bassoon 1)&P5(Bassoon 2)&U(D Horn 1)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P5(D Trumpet 1)&P5(D Trumpet 2)&P3(F, F Timpani)&P5(Violoncello)&P5(Contrabass)","P3(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&U(Bb (basso) Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(F, F Timpani)&P3(Violoncello)&P3(Contrabass)","P3(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&U(Bb (basso) Horn 3)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(F, F Timpani)&P3(Violoncello)&P3(Contrabass)","P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&U(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)","P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&U(D Trumpet 1)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)",,,,P3(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2),"P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Contrabass)","P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)"
2071.0,2083.0,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&U(Main)&U(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),Main Part,P8(Flute 1)&U(Flute 2)&U(Main)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&U(Flute 2)&U(Main)&U(Oboe 2)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola),"U(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)","U(Bassoon 1)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)","P5(Bassoon 1)&P5(Bassoon 2)&U(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P5(D Trumpet 1)&P5(D Trumpet 2)&P3(F, F Timpani)&P5(Violoncello)&P5(Contrabass)","P5(Bassoon 1)&P5(Bassoon 2)&U(D Horn 1)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P5(D Trumpet 1)&P5(D Trumpet 2)&P3(F, F Timpani)&P5(Violoncello)&P5(Contrabass)","P3(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&U(Bb (basso) Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(F, F Timpani)&P3(Violoncello)&P3(Contrabass)","P3(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&U(Bb (basso) Horn 3)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(F, F Timpani)&P3(Violoncello)&P3(Contrabass)","P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&U(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)","P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&U(D Trumpet 1)&P3(F, F Timpani)&P8(Violoncello)&P8(Contrabass)",,,,P3(Bassoon 1)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2),"P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Contrabass)","P8(Bassoon 1)&P8(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(F, F Timpani)&P8(Violoncello)"
2083.0,2095.0,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),Main Part,P8(Flute 1)&P8(Flute 2)&U(Main)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&U(Main)&U(Oboe 2)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),U(D Horn 2),U(D Horn 1),"U(Bb (basso) Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(F, F Timpani)","U(Bb (basso) Horn 3)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(F, F Timpani)","P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&U(D Trumpet 2)&P3(F, F Timpani)","P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&U(D Trumpet 1)&P3(F, F Timpani)",,,,P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P3(D Trumpet 1)&P3(D Trumpet 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
2095.0,2107.0,P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),Main Part,P8(Flute 1)&P8(Flute 2)&U(Main)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&U(Main)&U(Oboe 2)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),U(D Horn 2),U(D Horn 1),,,U(D Trumpet 2),U(D Trumpet 1),,,,,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Violin 1)&P8(Violin 2),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
2107.0,2119.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),U(D Horn 2),U(D Horn 1),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2119.0,2131.0,Main Part,P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&U(Bassoon 1),"U(D Horn 2)&P8(F, F Timpani)","U(D Horn 1)&P8(F, F Timpani)",P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),,,,,,P8(D Horn 1)&P8(D Horn 2),U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2131.0,2155.0,Main Part,"U(Oboe 2)&U(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(F, F Timpani)",P8(Main)&P8(Bassoon 1),"U(Flute 2)&U(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(F, F Timpani)",,"U(Flute 2)&U(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&P8(F, F Timpani)",P8(Main)&P8(Oboe 1),,"P8(Flute 2)&P8(Oboe 2)&P8(C Clarinet 2)&U(D Horn 2)&P8(F, F Timpani)","P8(Flute 2)&P8(Oboe 2)&P8(C Clarinet 2)&U(D Horn 1)&P8(F, F Timpani)",,,,,,,,P8(Flute 2)&P8(Oboe 2)&P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),,,,P8(Contrabass),P8(Violoncello)
2155.0,2161.0,Main Part,,P8(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2),P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 2),P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1),P8(Oboe 2)&P8(C Clarinet 2)&P8(D Horn 2),P8(Oboe 2)&P8(C Clarinet 2)&P8(D Horn 1),,,,,,,,,,,,,
2161.0,2167.0,Main Part,,P8(C Clarinet 1)&P8(Bassoon 1),P8(C Clarinet 2)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2),P8(Oboe 1)&P8(C Clarinet 1),P8(Oboe 2)&P8(C Clarinet 2)&U(D Horn 1)&P8(D Horn 2),P8(Oboe 2)&P8(C Clarinet 2)&U(Bassoon 2)&P8(D Horn 2),P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 2)&P8(D Horn 1),,,,,,,,,,,,,
2167.0,2170.0,Main Part,,P8(C Clarinet 1)&P8(Bassoon 1)&P2(D Horn 1)&P2(D Horn 2),P8(C Clarinet 2)&P8(Bassoon 2)&P8(Violin 2),P8(Oboe 1)&P8(Bassoon 1)&P2(D Horn 1)&P2(D Horn 2),P8(Oboe 2)&P8(Bassoon 2)&P8(Violin 2),P8(Oboe 1)&P8(C Clarinet 1)&P2(D Horn 1)&P2(D Horn 2),P8(Oboe 2)&P8(C Clarinet 2)&P8(Violin 2),P2(Oboe 1)&P2(C Clarinet 1)&P2(Bassoon 1)&P8(D Horn 2),P2(Oboe 1)&P2(C Clarinet 1)&P2(Bassoon 1)&P8(D Horn 1),,,,,,,,,,P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 2),P5(Main),,
2170.0,2185.0,Main Part,,P8(C Clarinet 1)&P8(Bassoon 1)&P8(Viola),P3(Main)&P8(C Clarinet 2)&P8(Bassoon 2)&P3(Violin 1)&P8(Violin 2),P8(Oboe 1)&P8(Bassoon 1)&P8(Viola),P3(Main)&P8(Oboe 2)&P8(Bassoon 2)&P3(Violin 1)&P8(Violin 2),P8(Oboe 1)&P8(C Clarinet 1)&P8(Viola),P3(Main)&P8(Oboe 2)&P8(C Clarinet 2)&P3(Violin 1)&P8(Violin 2),P8(D Horn 2),P8(D Horn 1),,,,,,,,,P8(Main)&P3(Oboe 2)&P3(C Clarinet 2)&P3(Bassoon 2)&P3(Violin 2),P3(Main)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 2)&P3(Violin 1),P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1),P8(Contrabass),P8(Violoncello)
2185.0,2191.0,Main Part,,,,,,,P8(Violin 2),P8(D Horn 2)&U(Violoncello),P8(D Horn 1)&P8(Violoncello),,,,,,,,,,P8(Bassoon 2),,U(D Horn 1)&P8(D Horn 2),
2191.0,2194.0,Main Part,,,,,,P8(Violin 1),P2(D Horn 1)&P2(D Horn 2)&P8(Violin 2),P2(Bassoon 2)&P8(D Horn 2)&P2(Violin 2),P2(Bassoon 2)&P8(D Horn 1)&P2(Violin 2),,,,,,,,,P8(Bassoon 1),P8(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2),P8(Violoncello),P8(Viola),
2194.0,2209.0,Main Part,,,,P8(C Clarinet 2),P8(C Clarinet 1),,,P8(D Horn 2),P8(D Horn 1),,,,,,,,,P3(Viola),,P3(Violin 1),,
2209.0,2212.0,Main Part,,P8(Main),,P8(C Clarinet 2),P8(C Clarinet 1),P8(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Violoncello),P8(Bassoon 1)&P8(D Horn 1)&P8(D Horn 2)&P8(Violoncello),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2)&P8(Violoncello),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&U(Violoncello),,,,,,,,,P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Contrabass),U(Violin 1)&P8(Violin 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 1)&U(D Horn 2),P8(Violin 1)&P8(Violin 2)&P8(Viola)
2212.0,2233.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),P8(C Clarinet 2),P8(C Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,,
2233.0,2245.0,Main Part,P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),,,P8(Main)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(D Horn 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P8(D Horn 1)&P8(Bb (basso) Horn 3)&U(Bb (basso) Horn 4),U(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 4),P8(D Horn 1)&U(D Horn 2)&P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2245.0,2257.0,Main Part,P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(C Clarinet 1)&P8(Bassoon 1),P8(Flute 2)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Oboe 1)&P8(Bassoon 1),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Oboe 1)&P8(C Clarinet 1),P8(Flute 2)&P8(Oboe 2)&P8(C Clarinet 2),P8(D Horn 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&U(D Trumpet 2),P8(D Horn 1)&P8(Bb (basso) Horn 3)&U(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2),U(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&U(D Trumpet 2),P8(D Horn 1)&U(D Horn 2)&P8(Bb (basso) Horn 3)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 2),U(D Horn 1)&P8(D Horn 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1),,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
2257.0,2269.0,Main Part,,P8(Main)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),P8(Bassoon 2),P8(Main)&P8(Oboe 1)&P8(C Clarinet 2)&P8(Bassoon 1),P8(Main)&P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1),P8(Main)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2),P8(Oboe 2),P8(D Horn 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(Bb (basso) Horn 3)&U(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&U(D Horn 2)&P8(Bb (basso) Horn 3)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(D Horn 1)&P8(D Horn 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,,,,P8(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
