qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
72.0,96.0,P3(Flute 2),P3(Flute 1),P8(C Clarinet 1),,P8(Oboe 1),,P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
96.0,104.0,,P3(C Horn 1),P2(Oboe 2)&P2(C Clarinet 2)&P8(C Horn 2),P2(Oboe 1)&P8(C Clarinet 2)&P2(C Horn 2),,P2(Oboe 1)&P8(Oboe 2)&P2(C Horn 2),P8(Bassoon 2)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 2),P8(Oboe 1)&P2(Oboe 2)&P2(C Clarinet 2),,,,Main Part,U(Bassoon 1)&P8(Bassoon 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
104.0,112.0,P4(Oboe 2)&P8(C Clarinet 1),P3(C Horn 1)&P3(C Horn 2),,P4(Flute 1)&P4(C Clarinet 1),P8(Flute 1)&P4(Oboe 2),,P8(Bassoon 2)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 2)&P8(C Horn 2),P3(Flute 2)&P8(C Horn 1),P4(C Trumpet 2)&P4(Timpani),P4(C Trumpet 1)&P8(Timpani),P4(C Trumpet 1)&P8(C Trumpet 2),Main Part,U(Bassoon 1)&P8(Bassoon 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
112.0,128.0,P8(C Clarinet 1),P8(C Clarinet 2),,,P8(Flute 1),P8(Flute 2),P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,U(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
128.0,136.0,,P8(Oboe 2)&P3(C Horn 2),,P8(Flute 2)&P3(C Horn 2),P8(Bassoon 1),,P8(C Clarinet 1),U(Violoncello)&P8(Contrabass),,P3(Flute 2)&P3(Oboe 2),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P8(Main),,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
136.0,144.0,U(Flute 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),U(Flute 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),,,P8(Flute 1)&P8(Flute 2)&U(C Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(C Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(C Clarinet 1)&P8(C Clarinet 2),P5(Viola)&U(Violoncello)&P8(Contrabass),,P3(Main),,,,Main Part,,P5(Bassoon 2)&P5(Violoncello)&P5(Contrabass),U(Bassoon 2)&P5(Viola)&P8(Contrabass),P8(Bassoon 2)&P5(Viola)&P8(Violoncello)
144.0,152.0,U(Flute 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P3(C Horn 2),U(Flute 1)&P8(C Clarinet 1)&P8(Bassoon 1)&P3(C Horn 2),,,P8(Flute 1)&P8(Flute 2)&P8(Bassoon 1)&P3(C Horn 2),,P8(Flute 1)&P8(Flute 2)&P8(C Clarinet 1)&P3(C Horn 2),U(Violoncello)&P8(Contrabass),,P3(Flute 1)&P3(Flute 2)&P3(C Clarinet 1)&P3(Bassoon 1),P3(C Trumpet 2)&P8(Timpani),P3(C Trumpet 1)&P3(Timpani),P8(C Trumpet 1)&P3(C Trumpet 2),Main Part,P8(Main),,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
152.0,160.0,U(Flute 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),U(Flute 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),,,P8(Flute 1)&P8(Flute 2)&U(C Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(C Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(C Clarinet 1)&P8(C Clarinet 2),U(Violoncello)&P8(Contrabass),P3(Viola),P3(Main),,,,Main Part,,P3(C Horn 1),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
160.0,176.0,U(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,P3(C Trumpet 2)&P8(Timpani),P3(C Trumpet 1)&P3(Timpani),P8(C Trumpet 1)&P3(C Trumpet 2),Main Part,P8(Main),P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
176.0,207.0,,,,,,,,,,,,,,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
207.0,212.0,,,,,,,,,,,,,,Main Part,,U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
212.0,216.0,Main Part,,,,,,,,,,,,,,,U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
216.0,220.0,Main Part,,,,,,,,,,,,,,,U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
220.0,224.0,,,P3(Viola)&P3(Violoncello)&P3(Contrabass),,P3(C Clarinet 2),P3(C Clarinet 1),,,,,,,,Main Part,,P3(Oboe 1)&P8(Violoncello)&P8(Contrabass),P3(Oboe 1)&P8(Viola)&P8(Contrabass),P3(Oboe 1)&P8(Viola)&P8(Violoncello)
224.0,239.0,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
239.0,244.0,Main Part,,P8(Main)&P8(C Clarinet 1),,P8(Main)&P8(Oboe 1),,,,,,,,,P8(Violin 2),P8(Violin 1),U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
244.0,248.0,Main Part,,P8(Main),,,,,,,,,,,P8(Violin 2),P8(Violin 1),U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
248.0,252.0,,,,,,,,,,,,,,Main Part,P8(Main),U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
252.0,256.0,,,,,,,,,,,,,,Main Part,P8(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Main)&P3(Violin 2)&U(Violoncello)&P8(Contrabass),P3(Main)&P3(Violin 2)&U(Viola)&P8(Contrabass),P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
256.0,304.0,Main Part,,,,,,,,,,U(C Trumpet 2),U(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
304.0,348.0,Main Part,,,,,,,,P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P4(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P4(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P4(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
348.0,436.0,,,Main Part,,,,,,,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
436.0,460.0,P3(Flute 2),P3(Flute 1),Main Part,,P3(C Clarinet 2),P3(C Clarinet 1),,,P3(C Horn 2),P3(C Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
460.0,484.0,Main Part,P3(Main),P8(C Clarinet 1),,P8(Oboe 1),,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
484.0,492.0,Main Part,P3(C Horn 1),P2(Oboe 2)&P2(C Clarinet 2)&P8(C Horn 2),P2(Oboe 1)&P8(C Clarinet 2)&P2(C Horn 2),,P2(Oboe 1)&P8(Oboe 2)&P2(C Horn 2),P8(Bassoon 2)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 2),P8(Oboe 1)&P2(Oboe 2)&P2(C Clarinet 2),,,,,U(Bassoon 1)&P8(Bassoon 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
492.0,500.0,P4(Oboe 2)&P8(C Clarinet 1),P3(C Horn 1)&P3(C Horn 2),Main Part,P4(Flute 1)&P4(C Clarinet 1),P8(Flute 1)&P4(Oboe 2),,P8(Bassoon 2)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 2)&P8(C Horn 2),P3(Flute 2)&P8(C Horn 1),P4(C Trumpet 2)&P4(Timpani),P4(C Trumpet 1)&P8(Timpani),P4(C Trumpet 1)&P8(C Trumpet 2),,U(Bassoon 1)&P8(Bassoon 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
500.0,516.0,P8(C Clarinet 1),P8(C Clarinet 2),Main Part,,P8(Flute 1),P8(Flute 2),P8(Bassoon 2),P8(Bassoon 1),,,,,,U(Violin 2),U(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
516.0,524.0,Main Part,P8(Oboe 2)&P3(C Horn 2),,P8(Flute 2)&P3(C Horn 2),P8(Bassoon 1),,P8(C Clarinet 1),U(Violoncello)&P8(Contrabass),,P3(Flute 2)&P3(Oboe 2),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),P8(Violin 2),P8(Violin 1),,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
