qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
122.5,126.5,,,,,P2(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2),P2(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2),P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P6(Bassoon 2),P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P6(Bassoon 1),,,Main Part,P8(Viola)&P6(Violoncello)&P6(Contrabass),P8(Violin 2)&P6(Violoncello)&P6(Contrabass),P6(Violin 2)&P6(Viola)&P8(Contrabass),P6(Violin 2)&P6(Viola)&P8(Violoncello)
126.5,132.0,,,,,,,,,,,Main Part,,,,
132.0,136.0,,,,,,,,,,,Main Part,,,,
136.0,140.0,,,,,,,,,,,Main Part,P3(Viola),P3(Violin 2),,
140.0,144.0,,,,,,,,,,,Main Part,,,,
144.0,148.0,,,,,,,,,,,Main Part,,,,
148.0,152.0,,,,,Main Part,,,,,,,,,,
152.0,156.0,P2(Contrabass),,,,Main Part,,,,,,,,,,P2(Flute 1)
156.0,160.0,,,Main Part,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
160.0,164.0,,,Main Part,,,,,,,,,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
164.0,168.0,,,,,Main Part,,,,,,,,,P8(Contrabass),P8(Violoncello)
168.0,172.0,,,,,Main Part,,P8(Main),,,,,,,P8(Contrabass),P8(Violoncello)
172.0,176.0,P8(Bb Clarinet 1)&P8(Bassoon 1),,P8(Oboe 2),P8(Oboe 1),P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bb Clarinet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
176.0,180.0,P8(Bb Clarinet 1)&P8(Bassoon 1),,P8(Oboe 2),P8(Oboe 1),P8(Flute 1)&P8(Bassoon 1),P8(Bassoon 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,Main Part,,,P8(Contrabass),P8(Violoncello)
180.0,184.0,P8(Oboe 1)&P8(Bb Clarinet 2),,P8(Flute 1)&P8(Bb Clarinet 2),U(Bb Clarinet 1)&P8(Bassoon 1),U(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&P8(Oboe 1),P8(Oboe 2)&P8(Bb Clarinet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
184.0,192.0,P3(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,,P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1),P3(Bassoon 2),P3(Bassoon 1),P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
192.0,198.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
198.0,206.0,P3(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,,P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1),,,P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
206.0,214.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
214.0,221.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,,P8(Contrabass),P8(Violoncello)
221.0,229.5,,,,,,P8(Bassoon 1),P8(Bb Clarinet 2),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
229.5,233.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Main),P8(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Violoncello)
233.5,237.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Main),P8(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Violoncello)
237.5,241.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Main),P8(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&U(Violoncello)
241.5,252.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(F Horn 2)&P8(Viola)&P8(Contrabass),P8(F Horn 1)&U(Viola)&P8(Contrabass),Main Part,,P8(F Horn 1)&U(F Horn 2)&P8(Contrabass),,P8(F Horn 1)&P8(F Horn 2)&P8(Viola)
252.5,260.5,,,,,,,,,,,Main Part,,,,
260.5,268.5,,,,,,,,,,,Main Part,,P8(Violoncello),P8(Viola),
268.5,276.5,,,,,,,,,,,Main Part,,,,
276.5,284.5,,,,,,,,,,,Main Part,,,,
284.5,286.5,,,,,,,,,,,Main Part,,,,
286.5,288.5,,,,,,,,,,,Main Part,,,,
288.5,290.5,,,,,,,,,,,Main Part,,,,
290.5,298.0,,,,,,,,,,,Main Part,,,,
298.0,306.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,,,
306.0,308.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
308.0,310.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
310.0,312.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,Main Part,P3(Main),P8(Contrabass),P8(Violoncello)
312.0,314.0,,,,,,,U(Bassoon 2),U(Bassoon 1),P8(F Horn 2),P8(F Horn 1),,Main Part,P3(Main),P8(Contrabass),P8(Violoncello)
314.0,316.0,,,,,,,U(Bassoon 2)&P8(Violin 1),U(Bassoon 1)&P8(Violin 1),P8(F Horn 2),P8(F Horn 1),P8(Bassoon 1)&P8(Bassoon 2),Main Part,P3(Main),P8(Contrabass),P8(Violoncello)
316.0,318.0,,,,,,,U(Bassoon 2),U(Bassoon 1),P8(F Horn 2),P8(F Horn 1),,Main Part,P3(Main),P8(Contrabass),P8(Violoncello)
318.0,320.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,P3(Viola),P3(Violin 2),Main Part,P8(Main)
320.0,322.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,P3(Viola),P3(Violin 2),Main Part,P8(Main)
322.0,324.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,P3(Viola),P3(Violin 2),Main Part,P8(Main)
324.0,326.0,,,,,,,,,P8(F Horn 2)&P3(Violin 2)&P5(Viola)&P8(Main)&P8(Contrabass),P8(F Horn 1)&P3(Violin 2)&P5(Viola)&U(Main)&P8(Contrabass),,P3(F Horn 1)&P3(F Horn 2)&P3(Viola)&P3(Main)&P3(Contrabass),P5(F Horn 1)&P5(F Horn 2)&P3(Violin 2)&P5(Main)&P5(Contrabass),Main Part,P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2)&P5(Viola)&P8(Main)
326.0,328.5,,,,,,,,,,,,,,,Main Part
328.5,330.5,,,,,,,,,,,,,,,Main Part
330.5,340.5,,,,,P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violin 1),P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&U(Violin 1),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Violin 1),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Violin 1),P4(F Horn 2),P4(F Horn 1),P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),,,,Main Part
340.5,348.5,P3(Flute 2)&P3(Main),P3(Flute 1)&P8(Main),,,,,,,,,,,,,Main Part
348.5,356.0,U(Oboe 1)&P8(Main)&U(Violin 1),U(Oboe 2),U(Flute 1)&P8(Main)&U(Violin 1),U(Flute 2),Main Part,P8(Violin 2),P4(Bassoon 2)&P8(Viola)&P4(Contrabass),P4(Bassoon 1)&P4(Viola)&P8(Contrabass),,,U(Flute 1)&U(Oboe 1)&P8(Main),P8(Bb Clarinet 2),P8(Bassoon 1)&P4(Bassoon 2)&P4(Contrabass),,P4(Bassoon 1)&P8(Bassoon 2)&P4(Viola)
356.0,364.0,,,P8(Main)&U(Violin 1),P8(Bb Clarinet 2)&U(Violin 2),Main Part,P8(Oboe 2)&P8(Violin 2),,,,,U(Oboe 1)&P8(Main),U(Oboe 2)&P8(Bb Clarinet 2),,,
364.0,372.0,,,,,Main Part,,U(Bassoon 2),U(Bassoon 1),,,,,,,
372.0,376.0,U(Flute 2),U(Flute 1),P8(F Horn 1),,Main Part,,U(Bassoon 2),U(Bassoon 1),P8(Oboe 1),,,,P4(Contrabass),,P4(Viola)
376.0,378.0,U(Flute 2),U(Flute 1),P3(Oboe 2)&P8(Main)&P3(Bb Clarinet 2)&P3(Violin 2),P3(Oboe 1)&P3(Main)&P8(Bb Clarinet 2)&U(Violin 2),Main Part,P3(Oboe 1)&P8(Oboe 2)&P3(Main)&P8(Violin 2),,,,,,P3(Oboe 1)&U(Oboe 2)&P3(Main)&P8(Bb Clarinet 2),P4(Contrabass),,P4(Viola)
378.0,382.5,,,P3(Oboe 2)&P3(Violin 2),P3(Oboe 1)&U(Violin 2),Main Part,P3(Main),,,,,,P3(Oboe 1)&U(Oboe 2),,,
382.5,390.5,,,,,Main Part,P3(Main)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P3(F Horn 2),P8(Main)&P3(Bb Clarinet 2)&P5(Bassoon 2)&P3(F Horn 1)&U(F Horn 2),P5(Main)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(F Horn 1)&P5(F Horn 2),P3(Main)&U(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 2),P8(Main)&P3(Bb Clarinet 2)&U(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1),,P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Violin 2)&P8(Violoncello)&P8(Contrabass),P5(Violin 2)&P8(Viola)&P8(Contrabass),P5(Violin 2)&P8(Viola)&P8(Violoncello)
390.5,398.5,,,,,Main Part,P3(Main)&P3(Bassoon 1)&P4(Bassoon 2)&U(F Horn 1)&P3(F Horn 2),P8(Main)&P3(Bb Clarinet 2)&P6(Bassoon 2)&P3(F Horn 1)&U(F Horn 2),P6(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P4(F Horn 1)&P6(F Horn 2),P3(Main)&U(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P3(F Horn 2),P8(Main)&P3(Bb Clarinet 2)&U(Bassoon 1)&P6(Bassoon 2)&P3(F Horn 1),,P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(Violin 2)&P8(Violoncello)&P8(Contrabass),P6(Violin 2)&P8(Viola)&P8(Contrabass),P6(Violin 2)&P8(Viola)&P8(Violoncello)
398.5,402.5,,,,,Main Part,P2(Main)&P3(Bassoon 1)&P4(Bassoon 2),P4(Main)&P3(Bb Clarinet 2)&P6(Bassoon 2),P3(Main)&P4(Bb Clarinet 2)&P6(Bassoon 1),,,,P8(Viola)&P6(Violoncello)&P6(Contrabass),P8(Violin 2)&P6(Violoncello)&P6(Contrabass),P6(Violin 2)&P6(Viola)&P8(Contrabass),P6(Violin 2)&P6(Viola)&P8(Violoncello)
402.5,408.0,,,,,Main Part,,,,,,,,,,
408.0,412.0,,,,,,,,,,,Main Part,,,,
412.0,416.0,,,,,,,,,,,Main Part,P3(Viola),P3(Violin 2),,
416.0,420.0,,,Main Part,,,,,,,,,,,,
420.0,424.0,,,Main Part,,,,,,,,,,,,
424.0,428.0,,,,,,,,,,,Main Part,,,,
428.0,432.0,P2(Contrabass),,,,,,,,,,Main Part,,,,P2(Flute 1)
432.0,436.0,,,Main Part,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
436.0,440.0,,,Main Part,,,,,,,,,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
440.0,444.0,,,Main Part,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
444.0,448.0,,,Main Part,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,P8(Contrabass),P8(Violoncello)
448.0,452.0,P8(Bb Clarinet 1)&P8(Bassoon 1),,Main Part,P8(Main),P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bb Clarinet 1),,,,,,,P8(Contrabass),P8(Violoncello)
452.0,456.0,P8(Bb Clarinet 1)&P8(Bassoon 1),,Main Part,P8(Main),P8(Flute 1)&P8(Bassoon 1),P8(Bassoon 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,,,,P8(Contrabass),P8(Violoncello)
456.0,460.0,P8(Oboe 1)&P8(Bb Clarinet 2),,P8(Flute 1)&P8(Bb Clarinet 2),U(Bb Clarinet 1)&P8(Bassoon 1),U(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&P8(Oboe 1),P8(Oboe 2)&P8(Bb Clarinet 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
460.0,468.0,P3(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,,P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1),P3(Bassoon 2),P3(Bassoon 1),P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
468.0,474.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
474.0,482.0,P3(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,,P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1),,,P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
482.0,490.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
490.0,497.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,,P8(Contrabass),P8(Violoncello)
