qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,Eb Horn 3,Eb Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
329.5,332.5,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),P8(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 1),,P8(Bb Clarinet 1)&P4(Bassoon 2)&U(C Horn 1),P4(Bb Clarinet 1)&P4(Bassoon 1)&P4(C Horn 1),,P8(Bb Clarinet 1)&U(Bassoon 1)&P4(Bassoon 2),,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,,
332.5,340.5,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,,,,,,P5(Eb Horn 4)&P2(Violin 2),P5(Eb Horn 3)&P4(Violin 2),,,,,P2(Eb Horn 3)&P4(Eb Horn 4),,,
340.5,363.0,,,Main Part,,,,,,,,,,,,,,,,,,
363.0,374.5,,,Main Part,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,,,,,,
374.5,390.0,,,,,,,,,,,,,,,,,Main Part,P8(Main),,,
390.0,403.0,P5(Flute 2)&P4(C Horn 1),P5(Flute 1)&P2(C Horn 1),,,,,,U(Viola),,P4(Flute 1)&P2(Flute 2),,,,,,,Main Part,,U(Bassoon 2),,
403.0,435.0,,,Main Part,,,,,,,,,,,,,,P4(Violin 2),P4(Violin 1),,,
435.0,444.0,,,Main Part,,,,,,,,,U(Eb Horn 4),U(Eb Horn 3),,,,,,,,
444.0,456.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,,,Main Part,P3(Violoncello),,P3(Main)&P3(Violin 2),
456.0,459.0,P8(Oboe 1)&P3(Violoncello),,P8(Flute 1)&P3(Violoncello),,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,,Main Part,P5(Main)&P8(Viola)&P3(Violoncello),P5(Main)&P8(Violin 2)&P3(Violoncello),P3(Flute 1)&P3(Oboe 1)&P3(Main)&P3(Violin 2)&P3(Viola),
