qstamp,measure,beat,measure_fraction,label,part_name,part_num,full_part_name
502.125,135,4.0,0.75,d,Vla,15,Vla
503.125,136,1.0,0.0,d,Fl,0,Fl 1
510.125,137,4.0,0.75,d,Vln,13,Vln 1
513.125,138,3.0,0.5,d,Fl,0,Fl 1
515.125,139,1.0,0.0,d,Vln,13,Vln 1
517.125,139,3.0,0.5,d,Fl,0,Fl 1
526.625,141,4.5,0.875,d,Vla,15,Vla
530.125,142,4.0,0.75,d,Vla,15,Vla
539.125,145,1.0,0.0,d,Ob,2,Ob 1
559.125,150,1.0,0.0,g,Vln,13,Vln 1
567.125,152,1.0,0.0,g,Vla,15,Vla
571.125,153,1.0,0.0,g,Vln,13,Vln 1
583.125,156,1.0,0.0,g,Vla,15,Vla
587.125,157,1.0,0.0,g,Vln,13,Vln 1
595.125,159,1.0,0.0,g,Ob,2,Ob 1
599.125,160,1.0,0.0,g,Vln,13,Vln 1
603.125,161,1.0,0.0,f,Bsn,6,Bsn 1
608.125,162,2.0,0.25,d,Fl,0,Fl 1
610.125,162,4.0,0.75,d,Vln,13,Vln 1
616.125,164,2.0,0.25,d,Fl,0,Fl 1
618.125,164,4.0,0.75,d,Vln,13,Vln 1
624.125,166,2.0,0.25,d,Fl,0,Fl 1
626.125,166,4.0,0.75,d,Vln,13,Vln 1
628.125,167,2.0,0.25,d,Fl,0,Fl 1
630.125,167,4.0,0.75,d,Vln,13,Vln 1
632.125,168,2.0,0.25,d,Fl,0,Fl 1
634.125,168,4.0,0.75,d,Vln,13,Vln 1
636.125,169,2.0,0.25,d,Fl,0,Fl 1
638.125,169,4.0,0.75,d,Vln,13,Vln 1
639.125,170,1.0,0.0,d,Bsn,6,Bsn 1
655.125,174,1.0,0.0,d,Bsn,6,Bsn 1
658.125,174,4.0,0.75,b,Vln,13,Vln 1
672.125,178,2.0,0.25,d,Bsn,6,Bsn 1
687.125,182,1.0,0.0,d,Ob,2,Ob 1
696.125,184,2.0,0.25,d,Vln,13,Vln 1
703.125,186,1.0,0.0,f,Vln,13,Vln 1
718.125,189,4.0,0.75,f,Fl,0,Fl 1
723.125,191,1.0,0.0,f,Vln,13,Vln 1
727.125,192,1.0,0.0,f,Fl,0,Fl 1
731.125,193,1.0,0.0,f,Vln,13,Vln 1
735.125,194,1.0,0.0,f,Fl,0,Fl 1
739.125,195,1.0,0.0,f,Vln,13,Vln 1
743.125,196,1.0,0.0,f,Fl,0,Fl 1
747.125,197,1.0,0.0,f,Vln,13,Vln 1
751.125,198,1.0,0.0,f,Fl,0,Fl 1
755.125,199,1.0,0.0,f,Vln,13,Vln 1
759.125,200,1.0,0.0,f,Fl,0,Fl 1
768.125,202,2.0,0.25,f,Vln,13,Vln 1
775.125,204,1.0,0.0,f,Vln,13,Vln 1
783.125,206,1.0,0.0,f,Vln,13,Vln 1
791.125,208,1.0,0.0,f,Vln,13,Vln 1
800.875,210,2.75,0.4375,f,Vln,13,Vln 1
802.875,210,4.75,0.9375,f,Fl,0,Fl 1
804.875,211,2.75,0.4375,f,Vln,13,Vln 1
806.875,211,4.75,0.9375,f,Fl,0,Fl 1
808.875,212,2.75,0.4375,f,Vln,13,Vln 1
810.875,212,4.75,0.9375,f,Fl,0,Fl 1
812.875,213,2.75,0.4375,f,Vln,13,Vln 1
814.875,213,4.75,0.9375,f,Fl,0,Fl 1
818.875,214,4.75,0.9375,f,Fl,0,Fl 1
831.125,218,1.0,0.0,b,Hn,8,Hn 1
835.125,219,1.0,0.0,b,Vln,13,Vln 1
839.125,220,1.0,0.0,d,Vla,15,Vla
851.125,223,1.0,0.0,b,Vln,13,Vln 1
855.125,224,1.0,0.0,d,Vla,15,Vla
867.125,227,1.0,0.0,d,Ob,2,Ob 1
871.125,228,1.0,0.0,d,Vla,15,Vla
875.125,229,1.0,0.0,d,Ob,2,Ob 1
892.125,233,2.0,0.25,d,Ob,2,Ob 1
908.125,237,2.0,0.25,e,Vln,13,Vln 1
924.125,241,2.0,0.25,e,Vln,13,Vln 1
931.625,243,1.5,0.125,e,Fl,0,Fl 1
939.125,245,1.0,0.0,e,Fl,0,Fl 1
948.125,247,2.0,0.25,e,Fl,0,Fl 1
955.125,249,1.0,0.0,f,Ob,2,Ob 1
971.125,253,1.0,0.0,f,Vln,13,Vln 1
987.125,257,1.0,0.0,f,Fl,0,Fl 1
1003.125,261,1.0,0.0,f,Fl,0,Fl 1
1007.125,262,1.0,0.0,f,Vln,13,Vln 1
1015.125,264,1.0,0.0,f,Vla,15,Vla
1023.125,266,1.0,0.0,f,Vln,13,Vln 1
1047.125,272,1.0,0.0,f,Vln,13,Vln 1
1048.875,272,2.75,0.4375,f,Fl,0,Fl 1
1051.125,273,1.0,0.0,f,Vln,13,Vln 1
1052.875,273,2.75,0.4375,f,Fl,0,Fl 1
1055.125,274,1.0,0.0,f,Vln,13,Vln 1
1056.125,274,2.0,0.25,f,Fl,0,Fl 1
1057.125,274,3.0,0.5,f,Vln,13,Vln 1
1058.125,274,4.0,0.75,f,Fl,0,Fl 1
1059.125,275,1.0,0.0,f,Vln,13,Vln 1
1060.125,275,2.0,0.25,f,Fl,0,Fl 1
1061.125,275,3.0,0.5,f,Vln,13,Vln 1
1062.125,275,4.0,0.75,f,Fl,0,Fl 1
1063.125,276,1.0,0.0,f,Vln,13,Vln 1
1064.875,276,2.75,0.4375,f,Fl,0,Fl 1
1067.125,277,1.0,0.0,f,Vln,13,Vln 1
1068.875,277,2.75,0.4375,f,Fl,0,Fl 1
1074.125,278,4.0,0.75,d,Vln,13,Vln 1
1094.125,283,4.0,0.75,d,Fl,0,Fl 1
1103.125,286,1.0,0.0,d,Fl,1,Fl 2
1107.125,287,1.0,0.0,d,Fl,0,Fl 1
1114.125,288,4.0,0.75,d,Vln,14,Vln 2
1119.125,290,1.0,0.0,d,Vln,13,Vln 1
1127.125,292,1.0,0.0,d,Vln,14,Vln 2
1135.125,294,1.0,0.0,d,Fl,0,Fl 1
1143.125,296,1.0,0.0,e,Fl,0,Fl 1
1159.125,300,1.0,0.0,e,Fl,0,Fl 1
1167.125,302,1.0,0.0,e,Fl,0,Fl 1
1183.125,306,1.0,0.0,e,Fl,0,Fl 1
1191.125,308,1.0,0.0,d,Ob,2,Ob 1
1200.125,310,2.0,0.25,d,Ob,2,Ob 1
1208.125,312,2.0,0.25,d,Bsn,6,Bsn 1
1215.125,314,1.0,0.0,d,Vln,14,Vln 2
1218.125,314,4.0,0.75,d,Vln,13,Vln 1
1223.125,316,1.0,0.0,d,Vln,14,Vln 2
1226.125,316,4.0,0.75,d,Vln,13,Vln 1
1239.125,320,1.0,0.0,d,Vln,14,Vln 2
1247.125,322,1.0,0.0,d,Fl,0,Fl 1
1250.125,322,4.0,0.75,d,Vln,14,Vln 2
1255.125,324,1.0,0.0,d,Fl,0,Fl 1
1266.125,326,4.0,0.75,d,Ob,2,Ob 1
1271.125,328,1.0,0.0,d,Ob,2,Ob 1
1281.125,330,3.0,0.5,d,Fl,0,Fl 1
1319.125,340,1.0,0.0,d,Fl,0,Fl 1
1335.125,344,1.0,0.0,d,Vln,13,Vln 1
1343.125,346,1.0,0.0,d,Ob,2,Ob 1
1375.125,354,1.0,0.0,d,Vln,13,Vln 1
1378.125,354,4.0,0.75,d,Ob,2,Ob 1
1392.875,358,2.75,0.4375,d,Ob,3,Ob 2
1394.875,358,4.75,0.9375,d,Vln,14,Vln 2
1396.875,359,2.75,0.4375,d,Ob,3,Ob 2
1398.875,359,4.75,0.9375,d,Vln,14,Vln 2
1400.875,360,2.75,0.4375,d,Ob,3,Ob 2
1402.875,360,4.75,0.9375,d,Vln,14,Vln 2
1404.875,361,2.75,0.4375,d,Ob,3,Ob 2
1406.875,361,4.75,0.9375,d,Vln,14,Vln 2
1410.875,362,4.75,0.9375,d,Ob,3,Ob 2
