qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
94.0,47.0,16,3.0,A5,F#5,E-5,B4,F#4,E-5,B4,B3,F#3,B2
95.0,47.5,16,3.5,A5,F#5,E-5,B4,F#4,E-5,B4,B3,F#3,B2
96.0,48.0,17,1.0,G#5,E5,E5,B4,G#4,r,B4,C4,r,E2
97.0,48.5,17,1.5,G#5,E5,E5,B4,G#4,r,B4,C4,r,E2
98.0,49.0,17,2.0,A5,C5,r,r,r,r,A4,C4,r,E3
99.0,49.5,17,2.5,A5,C5,r,r,r,r,A4,C4,r,E3
100.0,50.0,17,3.0,C6,G4,E5,C5,G4,r,G4,C4,r,E3
101.0,50.5,17,3.5,C6,G4,E5,C5,G4,r,G4,C4,r,E3
102.0,51.0,18,1.0,r,r,F#5,F#4,A4,r,F#4,C4,A3,E-3
103.0,51.5,18,1.5,r,r,F#5,F#4,A4,r,F#4,C4,A3,E-3
104.0,52.0,18,2.0,B5,B4,r,r,r,r,B3,B3,G3,D3
105.0,52.5,18,2.5,B5,B4,r,r,r,r,B3,B3,G3,D3
106.0,53.0,18,3.0,B4,D4,F#4,B3,B4,r,r,B3,F#3,D3
107.0,53.5,18,3.5,B4,D4,F#4,B3,B4,r,r,B3,F#3,D3
108.0,54.0,19,1.0,r,r,G4,B3,E4,G4,r,B3,E3,C#3
109.0,54.5,19,1.5,r,r,G4,B3,E4,G4,r,A3,E3,C#3
110.0,55.0,19,2.0,E4,A4,r,r,r,F#4,r,A3,F#3,C3
111.0,55.5,19,2.5,E4,A4,r,r,r,F#4,r,A3,G3,C3
112.0,56.0,19,3.0,E5,A5,A4,A3,E3,E4,r,A3,A3,C3
113.0,56.5,19,3.5,E5,A5,A4,A3,E3,E4,r,B3,A3,C3
114.0,57.0,20,1.0,r,r,E-4,B3,F#3,E-4,r,B3,A3,B2
115.0,57.5,20,1.5,r,r,E-4,B3,F#3,E-4,r,B3,F#3,B2
116.0,58.0,20,2.0,E-5,F#5,r,r,r,B3,F#4,B3,B3,B2
117.0,58.5,20,2.5,E-5,F#5,r,r,r,B3,F#4,B3,A3,B2
118.0,59.0,20,3.0,B4,B5,E-5,B4,F#4,r,F#4,r,G3,B2
119.0,59.5,20,3.5,B4,B5,E-5,B4,F#4,r,F#4,r,F#3,B2
120.0,60.0,21,1.0,G4,B4,E5,B4,E4,r,F#4,r,G3,E2
121.0,60.5,21,1.5,G4,B4,E5,B4,E4,r,F#4,r,G3,E2
122.0,61.0,21,2.0,G5,E4,r,r,r,C5,E4,r,G3,E3
123.0,61.5,21,2.5,G5,E4,r,r,r,C5,E-4,r,G3,E3
124.0,62.0,21,3.0,E5,G4,E4,G4,C4,C5,E4,r,G3,E3
125.0,62.5,21,3.5,E5,G4,E4,G4,C4,C5,E4,r,G3,E3
126.0,63.0,22,1.0,r,r,F#4,A4,F#3,C5,F#4,r,F#3,E-3
127.0,63.5,22,1.5,r,r,F#4,A4,F#3,C5,G#4,r,F#3,E-3
128.0,64.0,22,2.0,B4,G#4,r,r,r,B4,G#4,r,F3,D3
129.0,64.5,22,2.5,B4,G#4,r,r,r,A4,G#4,r,F3,D3
130.0,65.0,22,3.0,B5,B4,G#4,B3,F3,B4,G#4,r,F3,D3
131.0,65.5,22,3.5,B5,B4,G#4,B3,F3,B4,F#4,r,F3,D3
131.5,65.75,22,3.75,B5,B4,G#4,B3,F3,B4,G#4,r,F3,D3
132.0,66.0,23,1.0,r,r,A4,E4,E3,r,A4,r,E3,C#3
133.0,66.5,23,1.5,r,r,A4,E4,E3,r,A4,r,E3,C#3
134.0,67.0,23,2.0,E5,B4,r,r,r,E4,G4,E4,r,C3
135.0,67.5,23,2.5,E5,B4,r,r,r,E4,G4,E4,r,C3
136.0,68.0,23,3.0,A5,A4,C5,E4,A3,F#4,A4,E4,r,C3
