qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,Timpani,Violin solo,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
47.0,55.0,,,,,,P3(A Bass Clarinet),P3(A Clarinet 2),,,P6(Main),P6(F Horn 3),P6(F Horn 2),,,Main Part,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
55.0,113.0,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,
113.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,
138.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,P3(Main),Main Part,,
140.0,161.0,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,
161.0,173.0,P8(Violin 1)&P6(Viola),,Main Part,,,,,,,U(Violin 2),,,,,,,,,,,,P8(Flute 1)&P6(Viola),U(F Horn 1),P6(Flute 1)&P6(Violin 1),,,
173.0,185.0,Main Part,,,,,,,,U(Violoncello 2),,,P3(F Horn 4)&P8(Violin solo),P3(F Horn 3)&P3(Violin solo),,,,,,,,P8(F Horn 3)&P3(F Horn 4),P8(Main),,,,U(Bassoon 2),
185.0,209.0,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,,
209.0,234.0,,,,,,,U(Bassoon 1)&P8(Bassoon 2),U(A Bass Clarinet)&P8(Bassoon 2),P8(A Bass Clarinet)&P8(Bassoon 1),,,,,,,,,,,,Main Part,,,,,,
234.0,235.5,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(F Horn 1)&P3(F Horn 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(F Horn 1)&P8(F Horn 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P8(F Horn 1)&P3(F Horn 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(F Horn 1)&P8(F Horn 2),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(F Horn 1)&P3(F Horn 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P3(F Horn 1)&P8(F Horn 2),Main Part,U(Main)&P8(Bassoon 2)&U(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Main)&P8(Bassoon 1)&P8(Violoncello 1)&P8(Violoncello 2)&U(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(F Horn 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(F Horn 1),,,P3(F Trumpet 2),P3(F Trumpet 1),,,,,,,,,,U(Main)&U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello 2)&P8(Contrabass),U(Main)&U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello 1)&P8(Contrabass),P8(Main)&P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello 1)&P8(Violoncello 2)
235.5,240.5,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(F Horn 1),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(F Horn 1),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P8(F Horn 1),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(F Horn 1),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(F Horn 1),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P3(F Horn 1),,P8(Bassoon 2)&U(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello 1)&P8(Violoncello 2)&U(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2),,,,Main Part,,P3(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P8(Timpani),P3(Tenor Trombone 1)&P5(Bass Trombone)&P5(Tuba)&P3(Timpani),P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P8(Tuba)&P3(Timpani),P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P8(Bass Trombone)&P3(Timpani),P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),U(Violin 1)&U(Violin 2),U(Violin solo)&U(Violin 2),U(Violin solo)&U(Violin 1),,U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello 2)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello 1)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello 1)&P8(Violoncello 2)
240.5,261.0,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,P8(Contrabass),P8(Violoncello 2)
261.0,282.5,,,,,,,U(Violoncello 2)&P8(Contrabass),,,,,,,,,,,,,,,Main Part,,,,U(A Bass Clarinet)&P8(Contrabass),P8(A Bass Clarinet)&P8(Violoncello 2)
282.5,288.0,P8(Oboe 1)&P8(A Clarinet 1),,P8(Flute 1)&U(A Clarinet 1),,P8(Flute 1)&U(Oboe 1),,U(Bass Trombone)&P8(Tuba)&U(Violoncello 2)&P8(Contrabass),P8(Bassoon 2),P8(Bassoon 1),U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4),U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 4),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3),Main Part,,,,U(A Bass Clarinet)&P8(Tuba)&U(Violoncello 2)&P8(Contrabass),P8(A Bass Clarinet)&P8(Bass Trombone)&P8(Violoncello 2)&U(Contrabass),,,P8(Viola),,P8(Violin 1),,U(A Bass Clarinet)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(A Bass Clarinet)&P8(Bass Trombone)&U(Tuba)&P8(Violoncello 2)
288.0,305.0,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,,Main Part,,,,P8(Contrabass),P8(Violoncello 2)
305.0,311.0,,,,,,,,,,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
311.0,318.5,,,P3(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2),P3(Oboe 1)&U(A Clarinet 1)&P3(A Clarinet 2),P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 2),P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1),Main Part,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
318.5,321.5,U(Flute 2),U(Flute 1),Main Part,,,,P3(F Horn 1)&P3(Violin 2),,,P3(A Bass Clarinet)&U(Violin 2),,,,,,,,,,,,,P3(A Bass Clarinet)&U(F Horn 1),P8(Violoncello 2)&P8(Contrabass),,P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello 2)
321.5,325.0,Main Part,,,,,,,,,,,,,,,P5(Tenor Trombone 2)&P2(Bass Trombone)&P4(Tuba),P5(Tenor Trombone 1)&P4(Bass Trombone)&P2(Tuba),P2(Tenor Trombone 1)&P4(Tenor Trombone 2)&P3(Tuba),P4(Tenor Trombone 1)&P2(Tenor Trombone 2)&P3(Bass Trombone),,,,,,,P8(Contrabass),P8(Violoncello 2)
325.0,344.0,,,,,,,,,,,,P8(F Horn 4),P8(F Horn 3),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,Main Part,,,,P8(Contrabass),P8(Violoncello 2)
344.0,345.0,U(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&P4(Tenor Trombone 1)&P6(Bass Trombone)&P6(Tuba),U(Flute 1)&P8(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&P4(Tenor Trombone 1)&P6(Bass Trombone)&P6(Tuba),P8(Flute 1)&P8(Flute 2)&P4(Oboe 2)&U(A Clarinet 1)&P4(A Clarinet 2)&P4(Tenor Trombone 1)&P6(Bass Trombone)&P6(Tuba),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(A Clarinet 1)&U(A Clarinet 2)&U(Tenor Trombone 1)&P4(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 2)&P4(Tenor Trombone 1)&P6(Bass Trombone)&P6(Tuba),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&U(Oboe 2)&P4(A Clarinet 1)&U(Tenor Trombone 1)&P4(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),,,,,Main Part,U(Main)&P8(F Horn 4)&P3(Violin 1)&P6(Violin 2)&P6(Viola)&U(Violoncello 2)&P8(Contrabass),P8(Main)&P8(F Horn 3)&P3(Violin 1)&P6(Violin 2)&P6(Viola)&P8(Violoncello 2)&U(Contrabass),,,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&U(Oboe 2)&P4(A Clarinet 1)&U(A Clarinet 2)&P4(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),P4(Oboe 2)&P4(A Clarinet 2)&P4(Tenor Trombone 1)&P6(Bass Trombone)&P6(Tuba),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P3(Oboe 2)&P6(A Clarinet 1)&P3(A Clarinet 2)&P3(Tenor Trombone 1)&P6(Tenor Trombone 2)&P8(Tuba),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P3(Oboe 2)&P6(A Clarinet 1)&P3(A Clarinet 2)&P3(Tenor Trombone 1)&P6(Tenor Trombone 2)&P8(Bass Trombone),,,P3(Main)&P3(F Horn 3)&P3(F Horn 4)&P4(Violin 2)&P4(Viola)&P3(Violoncello 2)&P3(Contrabass),P6(Main)&P6(F Horn 3)&P6(F Horn 4)&P4(Violin 1)&P8(Viola)&P6(Violoncello 2)&P6(Contrabass),P6(Main)&P6(F Horn 3)&P6(F Horn 4)&P4(Violin 1)&P8(Violin 2)&P6(Violoncello 2)&P6(Contrabass),,U(Main)&U(F Horn 3)&P8(F Horn 4)&P3(Violin 1)&P6(Violin 2)&P6(Viola)&P8(Contrabass),P8(Main)&P8(F Horn 3)&U(F Horn 4)&P3(Violin 1)&P6(Violin 2)&P6(Viola)&P8(Violoncello 2)
345.0,351.0,P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P3(Bassoon 1)&P4(Bassoon 2),P2(Flute 1)&P2(Oboe 1)&U(Oboe 2)&P4(Bassoon 1)&P3(Bassoon 2),U(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P3(Bassoon 1)&P4(Bassoon 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&P4(Bassoon 1)&P3(Bassoon 2),U(A Clarinet 2)&P8(A Bass Clarinet),U(A Clarinet 1)&P8(A Bass Clarinet),P8(A Clarinet 1)&P8(A Clarinet 2),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P6(Bassoon 2),P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P6(Bassoon 1),,,P8(F Horn 4)&P3(Violin 1)&P6(Violin 2),P8(F Horn 3)&P3(Violin 1)&P6(Violin 2),Main Part,,,,,,,,P3(F Horn 3)&P3(F Horn 4)&P4(Violin 2),P6(F Horn 3)&P6(F Horn 4)&P4(Violin 1),,,P8(Contrabass),P8(Violoncello 2)
351.0,353.0,P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P3(Bassoon 1)&P4(Bassoon 2),P2(Flute 1)&P2(Oboe 1)&U(Oboe 2)&P4(Bassoon 1)&P3(Bassoon 2),U(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P3(Bassoon 1)&P4(Bassoon 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&P4(Bassoon 1)&P3(Bassoon 2),Main Part,U(Main)&P8(A Bass Clarinet),P8(Main)&P8(A Clarinet 2),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P6(Bassoon 2),P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P6(Bassoon 1),,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
353.0,366.0,P4(Oboe 1)&P8(Oboe 2)&P4(Bassoon 1),,P4(Flute 1)&P4(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&P4(Oboe 1)&P4(Bassoon 1),,,,P4(Flute 1)&P8(Oboe 1)&P4(Oboe 2),,,,,,,,,,,,,,,,,,Main Part,P8(Main)
366.0,377.0,,,,,P8(A Bass Clarinet),,P8(A Clarinet 1),,,,,,,,,,,,,,,,,,,Main Part,P8(Main)
377.0,400.5,,,,,Main Part,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
400.5,425.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,,,,,,,,Main Part,,,,,
425.0,443.0,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,,,,,,,Main Part,P8(Main),,,,
443.0,466.0,U(Flute 2),U(Flute 1),,,,,U(Main),,,,,,,,,,,,,,,,,,,Main Part,
466.0,477.5,,,,,,,U(Violoncello 2),U(Bassoon 2)&P8(Contrabass),U(Bassoon 1)&P8(Contrabass),Main Part,,,,,,,,,,,,,U(Main),,,U(A Bass Clarinet),P8(Bassoon 1)&P8(Bassoon 2)
477.5,480.0,,,,,,,,U(Bassoon 2)&P8(Contrabass),U(Bassoon 1)&P8(Contrabass),,,,,,,,,,,,,,Main Part,,,,P8(Bassoon 1)&P8(Bassoon 2)
480.0,488.0,,,,,,,,U(Bassoon 2)&P5(Violin 2)&P4(Violoncello 2)&P8(Contrabass),U(Bassoon 1)&P5(Violin 2)&P4(Violoncello 2)&P8(Contrabass),,,,,,,,,,,,,,P5(Bassoon 1)&P5(Bassoon 2)&P2(Violoncello 2)&P5(Contrabass),Main Part,,P4(Bassoon 1)&P4(Bassoon 2)&P2(Violin 2)&P4(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P5(Violin 2)&P4(Violoncello 2)
488.0,492.0,,,,,P5(A Clarinet 2),P5(A Clarinet 1),Main Part,,,,,,,,,,,,,,,,,,,,
492.0,494.0,,,,,Main Part,P3(A Bass Clarinet)&P3(Timpani),P3(A Clarinet 2)&P5(Timpani),,,,,,,,,,,,,P3(A Clarinet 2)&P5(A Bass Clarinet),,,,,,P8(Contrabass),P8(Violoncello 2)
494.0,504.0,,,Main Part,,,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
504.0,552.0,,,,,,,,,U(F Horn 2),,U(Bassoon 2),,,,,,,,,,Main Part,U(Violin 2),U(Violin 1),,,P8(Contrabass),P8(Violoncello 2)
552.0,579.0,U(Flute 2)&U(Oboe 1)&P8(F Horn 1),U(Flute 1)&U(Oboe 1)&P8(F Horn 1),U(Flute 1)&U(Flute 2)&P8(F Horn 1),,P3(A Clarinet 2),P3(A Clarinet 1),,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),,,,,,,,,,,Main Part,U(Main),,,,P8(Contrabass),P8(Violoncello 2)
579.0,587.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,,,,
587.0,599.5,,,Main Part,,,,,P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,,U(Violin 1),U(Violin solo),,,,,
599.5,603.5,,U(Violin 2),,,,,,,,U(Viola),,,,,,,,,,,,Main Part,U(Flute 2),U(F Horn 1),,,
603.5,605.5,P3(Flute 2),P3(Flute 1),,,,,,,,P3(Violin 1),,,,,,,,,,,Main Part,P3(F Horn 1)&P3(Violin 2),P3(Violin 1),P3(Violoncello 2),,P3(Viola),
605.5,609.5,,,P3(Oboe 2),P3(Oboe 1),,,,P2(Bassoon 2),P2(Bassoon 1),,,,,,,,,,,,,Main Part,,,,,
