qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
81.0,28.2558,11,1.5,r,r,r,A4,C#4,r,A4,F#4,r,A4,F#4,C#4,C#4
82.0,28.6047,11,2.0,r,r,r,G#4,C#4,r,G#4,F4,r,G#4,F4,C#4,C#4
83.0,28.9535,11,2.5,r,r,r,G#4,B3,r,G#4,F4,r,G#4,F4,B3,B3
84.0,29.3023,11,3.0,C#5,C#5,C#5,F#4,A3,C#5,F#4,F#4,C#5,F#4,F#4,A3,A3
85.0,29.6512,11,3.5,C#5,C#5,C#5,F#4,G#3,C#5,F#4,F#4,C#5,F#4,F#4,G#3,G#3
86.0,30.0,11,4.0,D5,D5,D5,F#4,F#3,D5,F#4,A3,D5,F#4,A3,F#3,F#3
88.0,30.6977,12,1.0,C5,C5,C5,F#4,G#3,C5,F#4,G#3,C5,F#4,G#3,G#3,G#3
89.0,31.0465,12,1.5,C5,C5,C5,E-4,G#3,C5,E-4,G#3,C5,E-4,G#3,G#3,G#3
90.0,31.3953,12,2.0,C5,C5,C5,E4,G#3,C5,E4,G#4,C5,E4,G#4,G#3,G#3
91.0,31.7442,12,2.5,C#5,C#5,C#5,C#4,G#3,C#5,C#4,E4,C#5,C#4,E4,G#3,G#3
92.0,32.093,12,3.0,E-5,E-5,E-5,C4,G#3,E-5,C4,F#4,E-5,C4,F#4,G#3,G#3
93.0,32.4419,12,3.5,C#5,C#5,C#5,C4,G#3,C#5,C4,F#4,C#5,C4,F#4,G#3,G#3
94.0,32.7907,12,4.0,E-5,E-5,E-5,C4,F#3,E-5,C4,E-4,E-5,C4,E-4,F#3,F#3
95.0,33.1395,12,4.5,E5,E5,E5,C#4,G#3,E5,C#4,E-4,E5,C#4,E-4,G#3,G#3
96.0,33.4884,13,1.0,F#5,F#5,F#5,C#4,A3,F#5,C#4,C#4,F#5,C#4,C#4,A3,A3
98.0,34.186,13,2.0,E5,E5,E5,C#5,G#3,E5,C#5,A4,E5,C#5,A4,G#3,G#3
99.0,34.5349,13,2.5,E-5,E-5,E-5,C#5,F#3,E-5,C#5,A4,E-5,C#5,A4,F#3,F#3
